DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,LW_IN,LW_OUT,VPD
1,7.75,0.242333805,0.10443,-2.4131,0,-22.08905,-0.2075285,73.79785,0.06395,99.4073,0.288427,-1.439825,0.00109445,-0.2502885,0.4172055,-7.5542,-6.5311,-9.31865,-6.383255,-4.6694975,-8.141015,425.78,233.135,242.135,0.21188
1,8.25,0.2642980365,0.000432,-2.66882,0,-22.0246,-0.2087615,73.84495,0.0605,99.40215,0.35147,-1.38651,0.00218779,-0.235243,0.441717,-7.63685,-6.61306,-9.27362,-6.396705,-4.675505,-8.1742075,425.9789,231.625,242.77,0.214535
1,8.75,0.272088,0.10733,-2.5938238945,0,-21.6567,-0.208224,73.68845,0.0675,99.3544,0.322612,-1.47816,0.01072975,-0.2529765,0.42511,-7.59975,-6.5974,-9.221005,-6.40475,-4.6829925,-8.395425,425.6427,227.935,243.635,0.217965
1,9.25,0.336255,0.00387,-2.862605,0,-21.90315,-0.200996,73.3071,0.06145,99.34,0.4612965,-1.33325,0.1281095,-0.2474435,0.43472,-7.6438,-6.5127,-9.179155,-6.40863,-4.6888975,-8.4281675,425.58,234.87,242.11,0.227535
1,9.75,0.374639896,-0.0939,-2.4105617535,0.1904275,-21.9726,-0.204467,73.1501,0.06505,99.326,0.944327,-1.28634,1.555605,-0.24381,0.426951,-7.594,-6.48315,-9.195575,-6.391185,-4.6958025,-8.4544975,426.46,236.2,241.58,0.2255
1,10.25,0.28489,0.00563,-2.1774623675,1.94698,-21.70475,-0.194022,72.84705,0.0629,99.3826,2.342535,-0.845958,7.240145,-0.2512985,0.441828,-7.61045,-6.75255,-9.150175,-6.392955,-4.6965325,-8.43907,425.78,237.86,243.365,0.23012
1,10.75,0.312310257,0.144481,-1.4417,5.111,-21.47275,-0.1827625,73.20965,0.0636,99.3623,5.258825,0.34329,16.8436,-0.222025,0.4548545,-7.60108,-6.7752,-9.118215,-6.3803,-4.70342,-8.4208575,425.0547,238.57,245.69,0.235905
1,11.25,0.261618358,0.106876,-1.8964949825,11.0051,-20.54085,-0.182562,72.6492,0.0662,99.40015,9.1712,2.5915,28.8787,-0.208713,0.451182,-7.5206,-6.7473,-9.105585,-6.372195,-4.69732,-8.393615,424.86315,239.725,245.89,0.24429
1,11.75,0.3015505,0.13419,-1.93657,19.6579,-19.71245,-0.182643,73.2808,0.069,99.425,13.5458,5.78624,41.0369,-0.220604,0.4831765,-7.4354,-6.6804,-9.11201,-6.35784,-4.69728,-8.38625,424.92,243.02,247.825,0.260815
1,12.25,0.282888988,0.1817365,-2.3657,23.4676,-19.14005,-0.1738605,72.75535,0.0778,99.4598,15.7782,7.24162,49.9988,-0.217276,0.4869,-7.43355,-6.711625,-9.15758,-6.350835,-4.692005,-8.291830223,423.786,242.67,247.41,0.33713
1,12.75,0.250008557,0.319056,-1.61318267,28.12695,-18.44585,-0.1536645,72.31275,0.0785,99.4805,18.7134,7.86798,55.4555,-0.201726,0.520686,-7.4513,-6.74393,-9.17097,-6.323765,-4.6918875,-8.32453,422.69,242.73,248.675,0.372205
1,13.25,0.2732253795,0.4186545,-1.4659454085,29.56005,-18.239,-0.1320315,72.0885,0.08575,99.51605,20.0839,8.549605,55.7457,-0.1796835,0.54983,-7.36701,-6.70967,-9.19303,-6.35993,-4.6854525,-8.341975,422.27,245.31,250.95,0.465385
1,13.75,0.284073,0.268621075,-1.5556,25.215,-17.56045,-0.1512005,71.7722,0.07735,99.5547,18.5968,7.00854,52.61405,-0.175505,0.5216375,-7.3399,-6.6428,-9.214745,-6.380615,-4.6892525,-8.392355,421.775,244.49,251.205,0.44548
1,14.25,0.300648743,0.1911855,-1.7542840895,20.2556,-17.58315,-0.134265,71.96325,0.08475,99.5324,15.81165,6.09667,42.049,-0.1706715,0.5542365,-7.479305,-6.5807,-9.23129,-6.3962,-4.68606,-8.430865,420.9,244.87,250.795,0.39021
1,14.75,0.280928,0.0887,-1.983989454,12.61765,-17.8473,-0.1207615,73.0029,0.0688,99.5517,10.11715,3.02819,28.08455,-0.1889255,0.527802,-7.45445,-6.51295,-9.207695,-6.39961,-4.6943075,-8.2569638785,420.45215,245.17,250.515,0.359095
1,15.25,0.306953,-0.0472,-2.91579,4.703875,-18.28305,-0.137568,73.1758,0.0797,99.4993,4.313045,0.728641,14.3905,-0.182578,0.4811225,-7.5087,-6.51115,-9.178905,-6.404075,-4.6995675,-8.4447625,420.27505,242.56,252.47,0.317665
1,15.75,0.298582,-0.06105,-3.005365,0.99609,-18.6741,-0.16686,73.3851,0.066,99.4984,1.443355,-0.40871,4.77202,-0.1676085,0.456108,-7.24481,-6.4603,-9.054825,-6.394375,-4.68522,-8.3178206355,421.22,241.84,254.625,0.303765
1,16.25,0.313483,-0.08485,-2.300255,0,-19.4412,-0.154006,73.9403,0.0636,99.476,0.50307,-0.77824,0.8043445,-0.1813685,0.426455,-7.345,-6.4344,-9.085325,-6.38821,-4.69043,-8.4402325,421.58,240.405,253.895,0.27781
1,16.75,0.299279,-0.0952,-2.21859,0,-19.7783,-0.151965,74.43055,0.0656,99.477,0.2432175,-0.869107,0.06217965,-0.1756565,0.414971,-7.4885,-6.3876,-9.07927,-6.38378,-4.7047,-8.4740225,421.7195,241.75,251.335,0.26646
1,17.25,0.2955175435,-0.16595,-2.3698579575,0,-19.96945,-0.1285445,74.2921,0.0617,99.44545,0.1611535,-1.05867,0.011365,-0.176884,0.441766,-7.49817,-6.4436,-9.02221,-6.368125,-4.70855,-8.3757412715,421.64,243.885,246.51,0.25241
