DOY2,HR2,H,LE,NEE,TAU,USTAR,CO2,H2O,WS,PPFD_IN,PPFD_OUT,NETRAD,TA_1_2_1,RH,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,TA_1_1_1,TA_1_2_2,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,VPD,PA,SW_IN,SW_OUT
1,0.25,-20.2398,0.1365,0.10125,-0.07515,0.2741,381.23,3.31645,4.25,-0.146,0.0415,-23.37,-3.9675,70.3,-6.712,-5.295,-8.185,-3.8205,-5.19,-3.588,-2.42,-2.106,-1.857,-1.631,0.2125,-0.9895,-0.895,-0.8125,-0.5125,0.273,1.435,90.7,0,0
1,0.75,-23.9425,0.2029,0.096511,-0.058,0.23255,381.48,3.3189,4.0654,-0.15,0.043,-22.73,-4.038,70.75,-6.306,-5.289,-8.21,-3.9465,-5.28,-3.422,-2.54,-2.197,-1.892,-1.659,0.197,-1.094,-0.945,-0.7915,-0.4965,0.2675,1.345,90.7,0,0
1,1.25,-21.2066,0.1017,0.1036,-0.05855,0.2326,381.68747,3.30542,4.0361,-0.151,0.0595,-22.11,-4.039,70.15,-6.337,-5.25,-8.455,-3.953,-5.17,-3.604,-2.566,-2.209,-1.958,-1.7,0.216,-1.0865,-0.994,-0.876,-0.515,0.265,1.335,90.7,0,0
1,1.75,-18.507,0.1388,0.0986,-0.0518,0.223,381.47,3.34115,3.94,-0.16,0.047,-22.89,-4.179,70.15,-6.303,-5.301,-9,-3.9965,-4.58,-3.75,-2.583,-2.275,-1.947,-1.755,0.257,-1.0885,-0.976,-0.8245,-0.517,0.273,1.215,90.7,0,0
1,2.25,-21.7981,0.0475,0.08925,-0.0638,0.2492,381.58105,3.32,3.99215,-0.141,0.028,-22.37,-4.268,70.95,-6.4,-5.531,-9.01,-4.024,-4.82,-3.78,-2.59,-2.26,-1.87,-1.73,0.254,-1.1125,-1.0465,-0.8935,-0.547,0.27,1.19,90.7,0,0
1,2.75,-19.9572,0.13895,0.097,-0.0623,0.2496,381.88,3.3075,4.35033,-0.13,0.0415,-21.69,-4.211,72.2,-6.67,-5.65,-9.495,-4.0235,-5.37,-4.127,-2.694,-2.314,-1.927,-1.761,0.275,-1.191,-1.046,-0.888,-0.554,0.2655,1.135,90.7,0,0
1,3.25,-26.173,0.1145,0.0861,-0.06295,0.23925,381.785,3.3101,4.10105,-0.146,0.037,-21.337,-4.049,71.95,-6.72,-5.453,-9.88,-4.429,-5.63,-4.06,-2.752,-2.368,-1.957,-1.805,0.2745,-1.1645,-1.018,-0.9245,-0.5465,0.253,1.255,90.7,0,0
1,3.75,-19.0175,0.0945,0.0807,-0.0487,0.2287,382.095,3.339805,4.096995,-0.16,0.0435,-22.56,-4.035,71.2,-6.86,-5.478,-9.665,-4.3275,-4.88,-4.26,-2.81,-2.366,-1.965,-1.875,0.264,-1.206,-1.112,-0.93,-0.533,0.2945,1.225,90.75,0,0
1,4.25,-21.217,0.1263,0.1108,-0.04495,0.2065,382.38,3.3354,3.9276,-0.149,0.037,-20.89,-4.31,70.95,-6.755,-5.62,-9.11,-4.358,-4.84,-4.484,-2.72,-2.454,-2.128,-1.936,0.2565,-1.144,-1.107,-0.9225,-0.5265,0.2335,1.13,90.75,0,0
1,4.75,-18.951,0.06235,0.1066,-0.0368,0.1882,382.12,3.3634,3.786,-0.138,0.038,-21.03,-4.5,71.85,-7.07,-5.476,-8.985,-4.4895,-4.81,-4.41,-2.8,-2.476,-2.132,-2.036,0.273,-1.216,-1.147,-0.893,-0.522,0.272,0.97,90.7,0,0
1,5.25,-20.182,0.25465,0.099265,-0.0459,0.2089,382.13,3.3648,4.00805,-0.14,0.047,-20.34,-4.576,72.6,-7.05,-5.488,-9.45,-4.773,-4.48,-4.319,-2.9,-2.588,-2.24,-2.024,0.275,-1.199,-1.137,-0.8735,-0.5335,0.276,1.02,90.7,0,0
1,5.75,-23.1589,0.15085,0.10674,-0.0649,0.2444,382.155,3.3415,4.12595,-0.15,0.031,-19.3,-4.43,72.7,-7.15,-5.306,-9.505,-4.8265,-4.25,-4.2,-2.94,-2.588,-2.223,-2.026,0.2875,-1.252,-1.1705,-0.8995,-0.531,0.2785,0.95,90.7,0,0
1,6.25,-23.8635,0.1635,0.1201,-0.04885,0.21475,382.165,3.37235,4.05462,-0.157,0.041,-18.41,-4.49,72,-7.27,-5.444,-9.995,-4.986,-4.39,-4.402,-2.887,-2.59,-2.235,-2.03,0.2355,-1.333,-1.275,-0.982,-0.5695,0.2755,0.96,90.7,0,0
1,6.75,-21.187,0.2159,0.1357,-0.04665,0.24185,382.05,3.36435,3.929745,-0.14,0.0445,-19.23,-4.435,71.6,-7.39,-5.827,-9.525,-4.901,-4.23,-4.3,-2.944,-2.6,-2.251,-2.01,0.271,-1.374,-1.298,-1.015,-0.5655,0.246,1.02,90.7,0,0
1,7.25,-22.4754,0.16055,0.108885,-0.0558,0.2338,381.98,3.395,4.1262,-0.15,0.043,-19.32,-4.275,71.95,-7.41,-5.894,-9.325,-5.033,-4.29,-4.002,-2.905,-2.69,-2.26,-2.021,0.25,-1.3745,-1.33,-1.06,-0.604,0.2335,1.075,90.7,0,0
1,7.75,-19.9899,0.1191,0.1136,-0.0678,0.26635,381.928105,3.39,4.1749,0.172,0.105,-17.8,-4.473,71,-7.17,-5.913,-9.825,-4.9985,-4.53,-3.845,-2.929,-2.744,-2.24,-2.018,0.1975,-1.3665,-1.3375,-1.118,-0.623,0.167,1.095,90.65,0,0
1,8.25,-20.312,0.20125,0.1093,-0.05225,0.2292,381.97,3.3567,4.27679,6.597,1.582,-15.72,-4.205,71.15,-6.91,-5.76,-9.16,-4.8275,-5.47,-4.12,-2.96,-2.67,-2.298,-2.068,0.165,-1.3515,-1.3235,-1.1615,-0.6875,0.126,1.05,90.65,1.296,0.794
1,8.75,-20.614,0.3079,0.11335,-0.0533,0.2256,381.95,3.38211,4.226895,38.64,9.935,-9.48,-4.063,70.75,-6.421,-5.43,-8.76,-4.9035,-4.5,-3.859,-2.97,-2.69,-2.33,-2.1,0.102,-1.352,-1.317,-1.247,-0.782,0.067,1.225,90.6,19.295,10.225
1,9.25,-14.053,0.6977,0.1295,-0.0724,0.2771,382.36,3.39334,4.3501,103.1,31.5,4.13,-3.703,69.745,-5.7,-5.093,-8.255,-4.6645,-4.53,-3.166,-2.878,-2.574,-2.378,-2.163,0.0115,-1.415,-1.321,-1.18,-0.783,-5e-04,1.385,90.6,58.48,29.58
1,9.75,-7.91135,1.6903,0.1318,-0.06685,0.275,381.9881,3.49,4.3339,184.9,60.66,18.13,-2.466,68.38,-4.991,-4.361,-6.8595,-4.275,-3.81,-2.363,-2.83,-2.61,-2.359,-2.34,-0.052,-1.4405,-1.389,-1.2885,-0.8615,-0.063,1.515,90.65,114.6,53.64
1,10.25,-1.61355,3.4574,0.1373,-0.096,0.30715,382.136335,3.66645,4.47655,259.3,86.05,32.97,-2.081,66.595,-3.451,-3.807,-6.0175,-3.9595,-3.58,-1.847,-2.745,-2.57,-2.44,-2.4,-0.137,-1.394,-1.373,-1.3355,-0.886,-0.1265,1.755,90.7,160.75,69.12
1,10.75,4.97165,4.5121,0.1448,-0.1046,0.3213,381.931825,3.6447,4.87,329,105.35,47.1,-1.346,63.655,-2.291,-2.807,-4.615,-3.0745,-2.37,-0.89,-2.687,-2.55,-2.41,-2.38,-0.2065,-1.3765,-1.412,-1.4235,-0.998,-0.2155,1.955,90.7,187.55,83
1,11.25,16.071,5.2296,0.151,-0.1113,0.3176,381.80664,3.64,4.90125,418.6,125,58.72,-0.56,61.36,-1.533,-2.132,-2.875,-2.413,-2.27,-0.11,-2.622,-2.46,-2.389,-2.375,-0.317,-1.3915,-1.4475,-1.5335,-1.0585,-0.3555,2.41,90.7,251.9,93.4
1,11.75,21.085,6.9885,0.1276,-0.1329,0.3455,381.4,3.5924,5.4201,482.3,144.4,67.07,-0.048,59.385,-0.78,-1.398,-1.836,-1.74,-1.96,0.09,-2.45,-2.396,-2.332,-2.42,-0.276,-1.3755,-1.4505,-1.5425,-1.0985,-0.333,2.655,90.7,270.85,101.5
1,12.25,23.234,7.1735,0.1345,-0.1349,0.35175,381.16,3.5,5.4034,535.4,143.7,74.23,0.4,57.775,-0.178,-0.579,-1.092,-1.1025,-1.28,0.471,-2.215,-2.17,-2.27,-2.41,-0.3625,-1.3015,-1.3345,-1.436,-1.113,-0.358,2.915,90.6,288.05,106.2
