DOY2,HR2,CO2_1_3_1,CO2_1_4_1,G_1_1_1,USTAR,FC,LE,SLE,H,SH,NEE,NETRAD_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_1_1,PPFD_OUT,PPFD_DIF,TA_1_1_1,RH_1_1_1,WS,PA,TS_1_1_1,TS_1_2_1,VPD
1,0.25,382.81275,345.5375,-7.782575,0.014,-0.250175,-3.9667,-3.24355,-64.886875,-15.29395,-0.28985,-77.2575,-0.6535,-0.15,127.19125,186.21125,-0.02,-0.01,-0.3347,-31.40925,66.446,0.267,93.4065,-7.9835,-7.438,0.1175
1,0.75,382.81275,345.5375,-7.81055,0.026,-0.250175,-3.9667,-3.6781,-58.918375,-12.96835,-0.5645,-77.79875,-0.6505,-0.14525,127.659,185.7775,-0.02,-0.01,-0.076925,-31.59675,66.0935,0.5371,93.4147,-7.9875,-7.434,0.12
1,1.25,382.81325,345.3375,-7.7685,0.0281,-0.263875,-4.7685,-3.95145,-67.75805,-15.001925,-0.46795,-76.5105,-0.5285,-0.19,125.52975,184.4095,-0.02,-0.02,-0.0671,-31.6525,65.864,0.418,93.389,-7.987,-7.444,0.1175
1,1.75,382.75625,345.3275,-7.7625,0.028725,-0.18975,-3.914,-3.90545,-65.1565,-15.6644,-0.432,-78.19075,-0.73,-0.155,126.34775,182.9935,-0.02,-0.02,-0.0688,-31.79225,66.074,0.281,93.336,-7.984,-7.4465,0.1175
1,2.25,382.803,345.53,-7.79825,0.0275,-0.311025,-3.9842,-5.471275,-59.39215,-14.265125,-0.536375,-77.524,-0.765,-0.16,126.535,183.02025,-0.02,-0.01,-0.0654,-31.89025,67.068,0.345,93.3065,-7.9795,-7.449,0.11
1,2.75,382.72625,345.67,-7.8775,0.0187,-0.225,-3.5805,-4.223025,-76.7778,-13.824475,-0.22305,-79.2045,-0.749,-0.16,125.26,182.4995,-0.02,-0.01,-0.0773,-31.992,66.7915,0.238,93.296,-7.9695,-7.4595,0.11
1,3.25,382.586,345.7,-7.96125,0.021,-0.3661,-3.7143,-4.54745,-73.1455,-15.88265,-0.5518,-80.495,-0.76325,-0.18,124.21,182.221,-0.02,-0.02,-0.0743,-31.879,66.839,0.4975,93.3035,-7.9595,-7.469,0.1175
1,3.75,382.56,345.505,-7.984675,0.026025,-0.2754,-3.561,-4.859625,-64.618125,-14.3879,-0.33625,-79.79175,-0.706,-0.185,123.92,182.37,-0.02,-0.01,-0.0486,-32.0125,66.7775,0.3395,93.3065,-7.953,-7.478,0.12
1,4.25,382.553,345.5375,-8.0235,0.020375,-0.1877,-4.090825,-3.622575,-73.61,-14.273325,-0.3485,-79.0685,-0.7,-0.19,124.876,182.876,-0.02,-0.01525,-0.087475,-31.954825,66.596225,0.3999,93.246125,-7.9505,-7.489,0.12
1,4.75,382.514,345.5,-8.0495,0.025675,-0.375125,-3.7009,-3.664175,-76.700125,-13.625025,-0.54345,-78.4,-0.65,-0.17525,124.338,181.70475,-0.02,-0.02,-0.07505,-32.302,66.6009,0.2069,93.206225,-7.949,-7.497,0.12
1,5.25,382.531,345.7325,-8.1125,0.01765,-0.347375,-4.1915,-3.679575,-71.436375,-13.5327,-0.55265,-79.0095,-0.67975,-0.15,124.4845,182.2335,-0.02,-0.01525,-0.066625,-32.207125,66.211675,0.223425,93.173,-7.9485,-7.5075,0.12
1,5.75,382.493,345.635,-8.2935,0.021625,-0.31275,-3.9605,-3.5425,-65.2565,-13.759875,-0.7685,-78.375,-0.753,-0.15525,124.8735,181.91275,-0.02,-0.01,-0.070175,-32.4619,66.4129,0.243475,93.13175,-7.944,-7.5145,0.12
1,6.25,382.5565,345.6,-8.22275,0.02025,-0.5024,-4.28385,-3.861325,-73.4345,-13.24145,-1.0097,-77.4895,-0.69325,-0.16525,124.041,181.1125,-0.02,-0.01,-0.07665,-32.744075,66.02235,0.18645,93.10265,-7.941,-7.526,0.11
1,6.75,382.549,345.635,-8.24625,0.02665,-0.2808,-4.6098,-4.70245,-73.1631,-14.830925,-0.2816,-76.15125,-0.75975,-0.15,123.8345,180.746,-0.02,-0.01,-0.055475,-32.940375,65.70575,0.091175,93.1115,-7.945,-7.5365,0.11725
1,7.25,382.4525,345.5125,-8.32,0.024,-0.3666,-4.86665,-3.491425,-73.25915,-14.676,-0.56625,-73.96,-0.86325,-0.18525,123.77225,180.22,-0.02,-0.01525,-0.1002,-32.95375,65.412575,0.112375,93.11405,-7.9375,-7.551,0.11
1,7.75,382.525,345.63,-8.38225,0.02825,-0.3185,-4.345725,-3.772,-62.418,-17.447,-0.4192,-76.452,-0.8295,-0.15525,123.5365,181.152,-0.02,-0.01,-0.048625,-33.393825,63.617825,0.13955,93.106875,-7.9275,-7.562,0.11
1,8.25,382.5775,345.5,-8.42075,0.0252,-0.408,-4.692,-4.513,-61.974,-16.998,-0.764525,-79.0355,-0.95,-0.14,123.282,180.384,-0.01,-0.01525,-0.09505,-32.8265,64.9549,0.133125,93.1134,-7.9135,-7.576,0.11
1,8.75,382.58375,345.4325,-8.4835,0.026,-0.32995,-5.69045,-3.835,-55.328375,-15.78,-1.73275,-77.002,-0.5675,-0.08525,122.95,179.502,0.15475,0.04,-0.074325,-32.815,64.8172,0.261125,93.08865,-7.901,-7.588,0.12
1,9.25,382.53375,345.4325,-8.52,0.03,-0.34115,-3.976125,-3.636,-62.18325,-13.278,-0.24735,-70.50725,1.5415,0.30475,124.2495,180.6635,2.90375,0.58,-0.082675,-32.9027,65.157825,0.161425,93.1019,-7.891,-7.6,0.12
1,9.75,382.6925,345.43,-8.61725,0.03125,-0.4504,-5.2922,-2.702,-64.7435,-7.8,-0.391975,-53.891,6.109,1.24475,125.13275,182.125,12.1865,2.308,-0.069475,-32.773,65.556675,0.165875,93.1412,-7.8865,-7.611,0.12
1,10.25,382.75525,345.07,-8.62575,0.061625,-0.314,-3.60325,-1.868,-44.84175,-6.601,-0.5916,-28.3955,12.2075,2.63225,125.52875,185.68425,24.056,4.3785,-0.032625,-32.6093,64.646025,0.14515,93.179475,-7.8815,-7.625,0.12
1,10.75,382.613,345.2,-8.6746,0.078625,-0.25325,-4.6351,-2.2796,-37.758,-5.644,-0.3457,-9.119,19.45925,4.16575,127.16575,190.34175,38.92325,7.115,-0.051925,-31.318675,63.99775,0.207675,93.241175,-7.8785,-7.6385,0.13
1,11.25,382.505,345.13,-8.669525,0.076,-0.303075,-5.8576,-2.622975,-32.42655,-5.6324,-0.4524,8.787,25.511,5.25825,128.04125,194.376,47.85875,8.80925,-0.0785,-30.4255,60.8772,0.098275,93.285475,-7.8715,-7.6495,0.14
1,11.75,382.668,345.2275,-8.63975,0.0715,-0.47225,-4.0886,-2.09985,-26.6602,-4.60475,-0.8345,14.858,28.846,6.29425,129.2125,199.0035,58.6775,11.34,-0.022975,-29.44705,58.356575,0.1413,93.3093,-7.868,-7.6475,0.15
1,12.25,382.51475,345.2275,-8.520575,0.100075,-0.678925,-0.94405,-3.02705,-12.4475,-6.3244,-0.89425,19.732,33.1815,7.5365,130.9586,202.1425,63.442,12.787,-0.072625,-28.3546,55.08355,0.235,93.28695,-7.864225,-7.6505,0.167
1,12.75,382.216875,345.3,-8.345,0.0986,-0.57545,-1.4975,-3.48845,-12.5511,-5.34235,-1.0608,18.367,36.845,8.051,131.11,205.894,67.281,14.204,-0.05495,-27.3144,53.024,0.24535,93.28175,-7.85945,-7.643675,0.17
1,13.25,382.272,344.8625,-8.3241,0.117825,-0.4544,-2.6468,-2.1154,-4.8087,-4.9731,-0.772975,20.44,45.20625,8.7065,130.79375,207.877,79.4565,15.6325,-0.14105,-26.9223,50.83745,0.3603,93.28315,-7.8551,-7.6406,0.177
1,13.75,382.193,344.8925,-8.332225,0.133775,-0.500075,-2.16335,-2.25785,-14.2525,-7.9535,-0.619,26.372,42.3215,9.0835,131.58,208.9945,80.302,15.8795,-0.18705,-26.341,49.1835,0.408,93.28145,-7.851925,-7.634575,0.177
1,14.25,381.9802,345.06,-8.139825,0.13795,-0.3701,0.0331000000000001,-3.2828,-16.7025,-7.80215,-0.384825,16.50825,32.39575,6.90425,134.2,209.76775,64.1205,12.13375,-0.091325,-26.1005,48.70895,0.343825,93.251925,-7.8605,-7.626,0.18
1,14.75,381.9281,345.11,-8.039,0.1584,-0.36125,-1.502875,-2.70545,-15.23625,-9.2088,-0.53175,6.819,27.162,5.9565,133.2275,209.0465,58.0485,10.5925,-0.001775,-26.0319,48.1136,0.4173,93.2668,-7.866,-7.6205,0.17
1,15.25,381.578,344.855,-7.95475,0.13765,-0.419625,-0.8296,-5.1544,-17.71375,-12.033925,-0.4393,-11.186,25.156,5.15025,132.2625,208.85375,45.0675,9.6535,-0.0835,-25.8927,47.685575,0.417225,93.2858,-7.871,-7.6115,0.17725
1,15.75,381.65675,344.8275,-7.907,0.11005,-0.50575,-0.5836,-5.16795,-25.0897,-15.97155,-0.6154,-40.31875,19.4705,4.0965,129.985,208.468,30.4975,7.0915,-0.0964,-25.79805,47.787025,0.37535,93.3166,-7.8715,-7.6055,0.17725
1,16.25,381.6275,344.93,-7.76775,0.083125,-0.4746,-2.32125,-4.40285,-38.08925,-19.74265,-0.35165,-62.423,9.577,1.9525,130.365625,206.9615,15.837,3.5505,-0.0822,-26.0303,49.2189,0.308675,93.2923,-7.874,-7.598,0.17
1,16.75,381.678,344.81,-7.66225,0.0505,-0.307,-2.4774,-5.02395,-45.4002,-24.488375,-0.247,-74.1585,3.127,0.54,131.686,203.53,5.2035,1.078,-0.106775,-26.5898,52.345575,0.37045,93.2767,-7.874,-7.588,0.177
1,17.25,382.1105,344.53,-7.58925,0.0258,-0.351,-3.084,-5.50285,-54.094125,-27.120475,-0.2665,-82.414,-0.1525,-0.061,130.8275,199.648,0.518,0.11,-0.084625,-27.0771,53.383275,0.5445,93.2765,-7.874,-7.5795,0.15
1,17.75,381.9715,344.75,-7.4595,0.0269,-0.299,-3.334425,-5.83465,-57.9052,-25.250825,-0.48875,-84.038,-0.946,-0.25,128.986,196.8635,0,-0.00549999999999999,-0.104275,-27.7003,54.8903,0.2114,93.2856,-7.8705,-7.571,0.157
1,18.25,382.396,344.39,-7.4305,0.0227,-0.1831,-2.97385,-4.707575,-58.09375,-22.568075,-0.78265,-83.646,-1.058,-0.23,128.027,195.96975,-0.02,-0.02,-0.110325,-28.1137,60.28475,0.47945,93.319825,-8.04205,-7.5577,0.15
1,18.75,382.4945,344.4325,-7.478,0.0388,-0.256,-3.3441,-4.8631,-61.041125,-20.526,-0.272675,-81.84,-0.998,-0.22525,127.827,193.85675,-0.02525,-0.02,-0.088725,-28.452325,62.395175,0.5671,93.316175,-8.040575,-7.5475,0.14725
1,19.25,382.59875,344.77,-7.403,0.029775,-0.3987,-3.5719,-4.525525,-57.685875,-18.227925,-0.51725,-82.336,-0.952,-0.23,126.615,191.6385,-0.03,-0.02,-0.047625,-29.055075,63.33265,0.3737,93.3417,-8.0396,-7.536875,0.14725
1,19.75,382.6575,345.225,-7.342275,0.03275,-0.275,-3.002875,-4.7635,-52.916,-15.21935,-0.26265,-81.168,-0.834,-0.19525,126.08,190.083,-0.03,-0.02,-0.094825,-29.5016,64.255675,0.3916,93.36035,-8.042325,-7.524775,0.14725
1,20.25,382.57,345.035,-7.3285,0.03955,-0.304,-3.148375,-5.49745,-63.86855,-16.17195,-0.4928,-80.6,-0.794,-0.19525,125.756,189.6925,-0.02,-0.02,-0.06385,-29.725475,64.524725,0.506725,93.34405,-8.034675,-7.5152,0.14
1,20.75,382.43,345.2,-7.36215,0.03865,-0.223,-3.54865,-3.99165,-59.8355,-17.118025,-0.34535,-79.4865,-0.7,-0.17525,126.667975,191.005,-0.02,-0.02,-0.0814,-29.825925,64.53775,0.4757,93.3371,-8.038075,-7.512075,0.13725
1,21.25,382.5625,345.43,-7.408625,0.02765,-0.282225,-4.0311,-4.112725,-63.841,-17.439375,-0.57175,-78.9195,-0.7325,-0.16525,126.35775,190.364,-0.02,-0.02,-0.099925,-29.948375,65.927725,0.324225,93.354025,-8.040475,-7.51425,0.13725
1,21.75,382.561,345.6,-7.440025,0.029825,-0.269625,-3.16925,-3.864825,-63.018425,-16.5976,-0.3379,-77.911,-0.7985,-0.15525,125.8955,189.1725,-0.02,-0.02,-0.151475,-30.424075,66.3493,0.299525,93.32445,-8.035325,-7.5178,0.12725
1,22.25,382.46,345.635,-7.436625,0.0258,-0.257,-4.66825,-4.3547,-64.2381,-15.768125,-0.60465,-77.759,-0.72425,-0.16525,126.00225,188.0385,-0.02,-0.01525,-0.063925,-30.748875,66.163825,0.46985,93.29255,-8.0269,-7.515325,0.11725
1,22.75,382.591,345.73,-7.430675,0.03055,-0.17665,-3.931,-3.7625,-63.958225,-13.9277,-0.37595,-78.2075,-0.75425,-0.20525,125.63925,186.9975,-0.02,-0.02,-0.078875,-31.1333,66.7165,0.3286,93.3101,-8.02195,-7.5,0.12
1,23.25,382.69875,345.8,-7.44005,0.042,-0.2738,-4.401625,-3.79995,-66.8335,-13.798825,-0.61075,-76.989,-0.6255,-0.17,127.821,185.7785,-0.02,-0.02,-0.081775,-31.493825,67.175975,0.2924,93.32135,-8.01795,-7.485325,0.11
1,23.75,382.579,345.7,-7.45975,0.0268,-0.20265,-3.895875,-3.3058,-71.491275,-13.2646,-0.35095,-78.0995,-0.647,-0.1705,127.5805,185.114,-0.02,-0.01525,-0.048425,-31.662225,67.646425,0.154425,93.3322,-8.013375,-7.470075,0.11
2,0.25,383.3775,345.885,-5.035025,0.016775,-0.1499,-3.3648,-4.70025,-51.333125,-19.5235,-0.2639,-81.143,-0.9425,-0.18,131.78575,193.59675,-0.02,-0.01,3.848425,-28.23495,56.960525,0.49,93.49835,-7.477,-6.8766,0.13
2,0.75,383.3775,345.885,-5.095025,0.02395,-0.1499,-3.3648,-5.52325,-56.8936,-18.55525,-0.3292,-80.3935,-0.8695,-0.17,131.67425,193.98125,-0.01,-0.01,3.83535,-28.35325,56.845775,0.3845,93.50845,-7.4707,-6.8695,0.13
2,1.25,383.426,346.0875,-5.15925,0.019,-0.24175,-3.314925,-4.7905,-55.901075,-20.72825,-0.3898,-80.99625,-0.80125,-0.13425,131.0165,193.733,-0.02,-0.01,3.856375,-28.581275,58.22095,0.285,93.484575,-7.4749,-6.8566,0.13
2,1.75,383.409,346.24,-5.26055,0.028,-0.214475,-3.2085,-4.0215,-56.1879,-19.85725,-0.293375,-79.88025,-0.64975,-0.17,130.325425,192.46375,-0.01,-0.01,3.86235,-28.88335,59.1892,0.129125,93.467175,-7.4809,-6.8452,0.12825
2,2.25,383.333,346.14,-5.359475,0.018925,-0.265,-3.43465,-4.048,-61.68825,-19.701,-0.4687,-79.34025,-0.6695,-0.15,129.901175,190.521,-0.01,-0.01,3.855125,-29.130225,60.025625,0.19435,93.4653,-7.4865,-6.8315,0.13
2,2.75,383.3935,346.14,-5.397775,0.016,-0.124275,-3.10585,-3.7095,-63.172625,-15.91275,-0.1493,-79.73625,-0.58975,-0.15425,129.17375,189.69575,-0.01,-0.01,3.8426,-29.251825,60.39865,0.2833,93.4621,-7.4959,-6.8201,0.13
2,3.25,383.49625,346.02,-5.496925,0.0159,-0.1465,-3.38615,-4.186725,-57.30375,-19.98405,-0.17365,-79.135,-0.68975,-0.18425,129.912925,189.754,-0.01,-0.01,3.82405,-29.28245,60.8537,0.324,93.47375,-7.5037,-6.8077,0.13
2,3.75,383.35,346.175,-5.536525,0.021,-0.11845,-3.9886,-3.34675,-61.1814,-19.37485,-0.120825,-79.80325,-0.79725,-0.20425,129.85125,189.02025,-0.01425,-0.01,3.854675,-29.3709,61.32245,0.427075,93.51775,-7.5139,-6.7966,0.13
2,4.25,383.2675,346.4,-5.490575,0.019875,-0.2006,-4.0522,-3.58825,-61.637225,-18.4724,-0.2448,-79.47075,-0.66975,-0.21,128.9875,189.10075,-0.02,-0.01,3.859,-29.530825,61.266375,0.298275,93.5351,-7.5227,-6.7869,0.13
2,4.75,383.092,346.01,-5.418375,0.018875,-0.1749,-3.25725,-3.551425,-56.352475,-16.5328,-0.34905,-79.83,-0.69,-0.2,128.936175,188.9635,-0.02,-0.01,3.86775,-29.760425,62.0196,0.236925,93.50985,-7.5191,-6.7847,0.13
2,5.25,383.15625,347.1625,-5.4052,0.022,-0.1815,-3.616,-3.2713,-57.50825,-15.769625,-0.1674,-79.32,-0.66825,-0.17425,128.75525,188.0075,-0.02,-0.01,3.881075,-30.18455,62.748475,0.28825,93.524475,-7.5119,-6.7817,0.13
2,5.75,383.142,350.06,-5.37515,0.0239,-0.1915,-4.079525,-3.15435,-57.6236,-15.422525,-0.208,-79.42,-0.67925,-0.1785,128.472325,187.3,-0.01,-0.01425,3.86245,-30.5859,63.12495,0.26255,93.511725,-7.513,-6.7766,0.13
2,6.25,383.21125,347.675,-5.404275,0.0137,-0.1619,-3.046,-3.166825,-58.159375,-15.1723,-0.1767,-78.25,-0.6395,-0.16425,128.147325,186.3755,-0.01,-0.01,3.844225,-30.87665,63.9499,0.326125,93.504225,-7.5349,-6.7879,0.13
2,6.75,383.31825,347.425,-5.4623,0.0219,-0.16615,-3.693325,-3.441175,-65.478,-15.62965,-0.199,-77.78,-0.68975,-0.19,128.5065,185.6175,-0.02,-0.02,3.8335,-30.9178,64.76285,0.267,93.5543,-7.55665,-6.788825,0.13
2,7.25,383.4025,346.93,-5.4817,0.022125,-0.0994,-3.7464,-3.623375,-62.332675,-17.0421,-0.15525,-78.5,-0.6595,-0.18425,128.87475,185.7075,-0.02,-0.02,3.860075,-31.218575,64.322325,0.35585,93.602675,-7.5623,-6.7851,0.12825
2,7.75,383.35375,347.0125,-5.576575,0.01765,-0.1283,-3.73455,-3.550525,-59.36735,-14.756475,-0.35815,-76.58,-0.68875,-0.16,129.639325,184.721,-0.01,-0.01,3.95435,-31.3319,64.094,0.40895,93.61905,-7.5644,-6.7839,0.12
2,8.25,383.421,349.7375,-5.6767,0.016,-0.2266,-4.39755,-3.402475,-68.5828,-12.94915,-0.291,-74.323,-0.38025,-0.04,129.831,183.31375,0.17575,0.02,4.825225,-31.715625,64.3721,0.37195,93.62065,-7.5699,-6.7775,0.12
2,8.75,383.2695,349.58,-5.8105,0.02195,-0.1164,-3.81775,-4.2063,-53.723025,-11.012725,-0.190125,-63.86625,2.129,0.40725,131.11695,184.51725,4.32625,0.7045,9.229,-31.6165,64.3664,0.250475,93.6159,-7.5887,-6.769,0.12
2,9.25,383.1805,347.32,-5.88515,0.03,-0.153875,-3.6115,-3.92225,-44.357,-4.19645,-0.262825,-35.243,8.7605,1.60725,130.7165,190.30175,18.09175,2.93875,23.008,-31.15905,61.008,0.374575,93.643925,-7.6019,-6.7613,0.13
2,9.75,383.3275,347.12,-5.88345,0.06625,-0.29945,-3.96285,-2.34675,-33.202,-2.444625,-0.387975,-1.843,16.75,3.683,133.65475,194.8515,35.41,6.15725,41.223,-30.3089,59.95155,0.16285,93.64195,-7.6191,-6.7515,0.13825
2,10.25,383.087,346.84,-5.82495,0.1144,-0.4039,-4.70895,-3.3214,-21.455725,-2.850925,-0.6317,15.99,30.55,5.383,135.85975,201.96075,53.09725,9.4695,53.786,-28.88125,56.997175,0.222575,93.63205,-7.633525,-6.744675,0.15
