DOY2,HR2,CO2,H2O,FC,NEE,LE,H,USTAR,TA_1_1_2,TA_1_1_1,RH,PA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_1_2,PPFD_DIF,TS_1_1_1,TS_2_1_1,TS_1_2_1,TS_2_2_1,TS_1_3_1,TS_2_3_1,TS_1_4_1,TS_2_4_1,TS_1_5_1,TS_2_5_1,TS_1_6_1,TS_2_6_1,WS
1,0.25,394.436623,1.96,0.11,0.16,0.02,-2.58,0.14,-13.45,-13.42,83.2,94.9,-0.45,0.44,245.4,248,-5.13,-0.05,0,21.06,11.76,-5.621,-7.87,-4.335,-7.18,-3.192,-5.879,-0.41,-3.56,0.131,-0.35,-2.389,0.589,1.33
1,0.75,394.4,1.97,0.12,0.14,0.02,-2.85,0.14,-13.43,-13.44,83.3,94.9,-0.63,0.5,244.7,248.2,-4.92,-0.05,0,20.35,12.21,-5.65,-7.91,-4.325,-7.1,-3.28,-6.02,-0.42,-3.545,0.131,-0.35,-2.39,0.59,1.27
1,1.25,394.19,1.97,0.115,0.13,0.03,-3.16,0.15,-13.38,-13.36,83.4,94.9,-0.48,0.51,244.8,249,-5.09,-0.04,0,20.92,11.57,-5.59,-7.94,-4.346,-7.2,-3.293,-6.104,-0.41,-3.544,0.13,-0.35,-2.391,0.589,1.36
1,1.75,394.31,1.94,0.12,0.15,0.05,-2.395,0.16,-13.34,-13.25,83.4,94.9,-0.42,0.51,243.2,249.2,-4.62,-0.04,0,20.01,11.26,-5.608,-8.07,-4.401,-7.27,-3.303,-6.178,-0.41,-3.544,0.13,-0.351,-2.392,0.588,1.27
1,2.25,393.97,1.95,0.12,0.13,0.07,-1.39,0.17,-13.06,-13.07,83.2,94.9,-0.42,0.47,239.3,249.6,-4.34,-0.07,0,21.3,11.96,-5.636,-8.25,-4.44,-7.21,-3.321,-6.19,-0.41,-3.533,0.13,-0.353,-2.393,0.588,1.29
1,2.75,393.98,1.94,0.12,0.13,0.08,-2.23,0.16,-12.99,-12.84,83.2,94.9,-0.44,0.48,244.6,250.4,-4.31,-0.05,0,20.25,11.68,-5.688,-8.35,-4.459,-7.22,-3.239,-6.19,-0.414,-3.543,0.13,-0.355,-2.393,0.588,1.29
1,3.25,393.666949,1.92,0.135,0.13,0.03,-1.75,0.16,-13.11,-13.04,83.1,94.9,-0.44,0.51,244.2,249.5,-4,-0.05,0,20.07,11.73,-5.686,-8.41,-4.433,-7.26,-3.249,-6.162,-0.41,-3.543,0.13,-0.357,-2.394,0.587,1.25
1,3.75,393.59,1.89,0.12,0.13,0.1,-2.01,0.15,-13.29,-13.21,82.5,94.9,-0.48,0.41,242.9,251.4,-3.51,-0.03,0,20.43,12.01,-5.669,-8.38,-4.45,-7.35,-3.212,-6.102,-0.42,-3.58,0.13,-0.357,-2.396,0.587,1.29
1,4.25,393.63,1.83,0.11,0.13,0.06,-1.99,0.16,-13.55,-13.59,82.4,94.9,-0.42,0.35,240.2,250.8,-3.54,-0.03,0,20.99,11.73,-5.692,-8.36,-4.471,-7.43,-3.209,-6.113,-0.421,-3.627,0.13,-0.358,-2.396,0.586,1.3
1,4.75,393.845,1.775,0.11,0.12,0.045,-2.37,0.17,-13.64,-13.69,82.2,94.9,-0.46,0.35,240.7,250.5,-3.78,-0.05,0,21.05,11.94,-5.71,-8.48,-4.48,-7.48,-3.27,-6.12,-0.433,-3.63,0.129,-0.358,-2.399,0.586,1.34
