DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
1,0.25,0.402825,-6.3493,3.67865,-13.021,-0.1065,80.582,98.6,405.1,3.0244,0.414005,0.54385,-16.505,-0.50017,0.35778,264.085,283.91,0.373315,0.10095,0.53324,0.68267,0.667,0.95,1.2583,2.117,2.7,4.6,6.1667
1,0.75,0.38943,-6.5759,3.7045,-11.641,-0.128815,81.04,98.6,405.37,3.02615,0.38629,0.53609,-15.774,-0.53178,0.35927,264.13,283.74,0.34371,-0.00055815,0.46935,0.66083,0.675,0.958,1.271,2.13315,2.7,4.6085,6.16685
1,1.25,0.393195,-6.7392,3.73615,-12.091,-0.02538,81.69,98.6,405.415,3.0464,0.4138,0.564145,-15.5545,-0.50498,0.37417,264.04,283.23,0.40464,0.023568,0.5343,0.660665,0.69167,0.967,1.275,2.1333,2.7,4.617,6.167
1,1.75,0.42382,-6.7556,3.7098,-12.6625,-0.128455,82.166,98.6,405.565,3.0465,0.40042,0.546285,-14.283,-0.49816,0.35517,264.8,282.87,0.36952,0.059273,0.49972,0.665165,0.679,0.962665,1.271,2.129,2.7,4.617,6.167
1,2.25,0.42285,-6.8155,3.7118,-12.643,-0.14052,81.995,98.6,405.445,3.0279,0.41191,0.54378,-14.5215,-0.48575,0.35219,266.355,281.82,0.40531,0.059347,0.54947,0.659835,0.692,0.958,1.275,2.1417,2.7,4.617,6.1667
1,2.75,0.41818,-6.8375,3.72005,-13.1685,-0.041819,82.158,98.6,405.42,3.0245,0.40543,0.548535,-14.728,-0.46961,0.3602,265.19,282.13,0.40089,0.069316,0.511055,0.66567,0.69167,0.967,1.275,2.133,2.7,4.617,6.167
1,3.25,0.39773,-6.8428,3.6536,-12.422,-0.072441,82.683,98.63,405.39,3.0216,0.464485,0.56591,-13.9235,-0.47805,0.35315,265.08,281.915,0.44391,0.0793015,0.58953,0.667335,0.7,0.967,1.267,2.142,2.7,4.6167,6.15
1,3.75,0.397495,-7.1273,3.6733,-13.285,-0.0967575,82.756,98.6,405.51,3.0245,0.38961,0.52763,-14.636,-0.52165,0.34999,262.52,281.04,0.43386,0.0252885,0.522385,0.661,0.692,0.967,1.267,2.1333,2.7,4.617,6.1667
1,4.25,0.39991,-7.1838,3.6313,-11.741,-0.111305,82.39,98.6,405.715,2.9861,0.406735,0.52494,-14.527,-0.52248,0.33147,261.89,280.54,0.376165,0.052772,0.53408,0.65733,0.68333,0.95,1.2667,2.125,2.7,4.6,6.15
1,4.75,0.39748,-7.3129,3.584,-11.814,-0.11775,82.766,98.6,405.875,2.9502,0.39674,0.52813,-13.5745,-0.50142,0.31348,262.825,280.55,0.422965,0.0774445,0.55374,0.65667,0.7,0.95,1.267,2.133,2.7,4.617,6.167
