DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,FC_1_1_1,H_1_1_1,LE_1_1_1,TS_1,RH_1_1_1,CO2_1_1_1,PPFD_IN_1_1_1,H2O_1_1_1,T_SONIC_1_1_1,VPD_1_1_1,TA_1_1_2,PPFD_OUT_2_1_1,PPFD_IN_2_1_1,PPFD_IN_2_3_1,NETRAD_2_1_1,SW_OUT_2_1_1,SW_IN_2_1_1,LW_OUT_2_1_1,LW_IN_2_1_1,TA_2_2_1,RH_2_2_1,TA_2_3_1,RH_2_3_1,TA_2_4_1,WS_2_1_1,CO2_2_1_1,H2O_2_1_1,WS_2_2_1,USTAR_2_1_1,H_2_1_1,LE_2_1_1,FC_2_1_1,T_SONIC_2_1_1,TA_2_1_1,RH_2_1_1,VPD_2_1_1,PPFD_IN_2_2_1,TA_2_1_2
4,13.75,0.928,16.25,3.15,-4.495,287.82,113.075,6.6,63.115,399.15,1449,7.7,17.725,13,16.31,42.6,1448.5,148.225,583.35,75.075,782.1375,387.625,338.2,13.725,82.3,13.5,84.5,13.7,4.1825,420.825,8.4925,3.8375,0.9804,338.525,85.245,-2.6885,14.175,12.95,83.2,8.86095,1317.525,12.1
4,14.25,0.91,15.825,3.305,-4.2,264.8125,102.6,6.65,64.18775,399.2,1338,7.82,17.575,13,16.595,38.75,1296.25,114.925,524.9,68.425,704.225,387,339.25,13.7,82.675,13.6,84.125,13.8,4.1225,420.625,8.4175,3.66,0.9589,307.7,83.2975,-2.574,14.275,13.225,82.55,9.070875,1125.075,12.4
4,14.75,0.8975,16.0125,3.22,-3.5,221.38,95.3,6.8,64.805,399,1207,7.9,17.675,13,16.2625,35.525,1172.5,123.275,459.025,62.425,633,387.125,337.6625,13.8,82.2,13.625,83.775,13.9,4.1725,420.5,8.4025,3.775,0.991575,272.2,84.6725,-2.2845,14.05,13.2,81.8,9.3567,1002.25,12
4,15.25,0.914875,16,3.1525,-2.915,198.82,89.8,6.9,67.1775,399,1050,7.8,17.8,13,16.05,31.075,1031,144.4125,380.925,53.45,549.225,386,337.925,13.625,83.95,13.625,85.7,13.675,4.3225,420.5,8.2025,3.815,1.00325,224.95,74.6725,-1.934,14.325,13.325,82.05,9.4567,484.475,12.175
4,15.75,0.8975,15.9,3.18,-2.6525,156.8175,77.15,6.9,66.7225,399.15,860,7.9,17.575,12.845,15.725,26.525,835.75,94.1,296.95,45.35,450.75,384.5,336.25,13.7,85.025,13.55,85.7,13.475,4.0525,420.525,8.235,3.67,1,175.7,70.705,-1.63925,14.35,13.425,81.725,9.520375,241.725,12.2
4,16.25,0.865,15.675,3.04,-2,112.79,71.9,7,66.5825,399.5,601,7.9,17.35,12,15.3625,21.75,625.825,53.585,203.75,36.4,339.475,383,334.22,13.425,81.6,13.425,83.2,13.4,4.025,420.35,8.105,3.6225,0.9334,123.25,57.675,-0.9937,14.05,13.4,82.025,9.394625,181.4,11.95
4,16.75,0.868,15.29,3.08,-1.54,63.565,59.85,7,67.55,399.4,290,7.8,17.025,11.905,15.125,15.3,447.65,38.2,117.025,26.5,241,381,331,13.35,83.275,13.325,85.175,12.9,3.985,420.3,7.8875,3.65,0.940125,61.81,47.1125,-0.4372,13.9,13.3,83.275,8.99675,131.055,11.75
4,17.25,0.8075,14.9,2.93,-0.682445,17.697,42.9,7,70.7,399.7,171,7.85,16.8,11,14.525,9.2575,270.175,25.7,41.3,16.3175,152.25,378.25,333,12.9375,84.8,12.875,86.15,12.5,3.9875,420.625,8.0075,3.65,0.8983,25.265,35.585,0.0666675,13.625,13.0775,84.9,8.45865,90.325,11.15
4,17.75,0.76,14.175,2.805,0.04,-9.6125,31.35,7.1,72.04,400.1,100,7.8,16.55,10.66,13.9,4.5,131.3,13.9,5.38,8.3975,71.5025,374,330,12.3,88.925,12.3,89.625,11.725,3.81,420.9,8.16,3.525,0.833,-5.09575,21.05,0.4575,13.1,12.65,88.6,7.930175,50.775,10.975
4,18.25,0.71,13.45,2.6875,0.6,-18.515,20.55,7.025,74.7,400.3,40,7.85,16,10,13.1,1.1175,37.455,5.225,-7.05,2.65,18.9725,369.25,327.25,11.5775,92.65,11.5,93.05,10.875,3.555,421.2,7.95,3.22,0.763175,-11.84,14.095,0.974875,12.4,11.95,89.625,7.503675,19.49,10.275
4,18.75,0.67,12.6625,2.59,1.1,-16.255,15.1,7.1,78.6,400.7,4,7.8,15.275,9,12.3925,0.019625,3.3,0.52,-12.65,1.54,0,365.25,326,10.825,92.775,10.7,93.05,10.1,3.56,421.45,7.97,3.255,0.7736,-9.72025,9.304,1.229,12.1,11.495,90.65,6.85055,2.325,8.975
4,19.25,0.66,12.1,2.58,1.2,-16.81,11.85,7.025,82.6,401.275,0,7.95,14.975,8.17,12.1,-0.0663,0,0,-12.17,1.3825,-0.8,363,326.25,10.4,95.15,10.025,95.05,9.9125,3.5175,421.9,8.065,3.165,0.7186,-9.062,6.936,1.22175,11.625,11.125,91.05,6.26725,0,8.7
4,19.75,0.64,11.45,2.6,1.2,-17.8,10.225,7.1,80.45,401.775,0,7.9,14.375,8,11.7,-0.07,0,0,-12.25,1.4225,-0.7,361,325,10.025,95.8,9.7775,95.525,9.3775,3.3325,421.9,8.08,3.095,0.70995,-12.46,5.566,1.367,11.2,10.725,92.025,6.03345,0,8.5
4,20.25,0.62,11.125,2.48,1.2,-17.81,9.425,7.1,81.875,402.2,0,7.9,13.7,7,11.2075,-0.07,0,0,-17.25,1.4425,-1.0625,360.125,323.16,9.7825,93.6,9.2675,95.95,9.24,3.5225,421.875,8.0975,2.99,0.6812,-12.795,4.975,1.267,11,10.25,93,5.641125,0,8.425
4,20.75,0.6,10.715,2.58,1.195,-17,7.4,7.1,84.75,402.25,0,7.925,13.05,7,11,-0.0693,0,0,-16.4,1.385,-1.1,360,323.0175,9.535,94.6,9.0525,96.275,9.235,3.2225,422.275,8.12,2.945,0.666,-11.72,4.9795,1.297,10.6,9.8,93.925,5.32125,0,8.15
4,21.25,0.59,10.3625,2.555,1.2,-16.5445,6.65,7.025,85.8,402.575,0,8.025,12.9,6,10.6,-0.069875,0,0,-13.1825,1.3,-0.88625,357.475,325.99,9.0175,95.625,8.7475,97.45,8.885,3.375,422.6,8.22,3.1175,0.693175,-13.05,5.28625,1.43025,9.925,9.7,94.575,5.032425,0,7.775
4,21.75,0.59,10,2.49,1.15,-16.2,5.8,7,86.75,402.7,0,8,12.575,6,10.25,-0.07225,0,0,-10.2,1.3025,-0.8725,356,323.25,8.65,97.425,8.3275,98.225,8.815,3.2975,422.9,8.195,2.91,0.63855,-11.39,4.1625,1.1345,9.35,9.15,95.425,4.43535,0,7.375
4,22.25,0.5745,9.525,2.48,1.2,-14.675,6.5,7,90.35,402.8,0,8.1,12.375,5.06975,9.9,-0.073275,0,0,-9.075,1.3925,-0.7725,355,322,8.3025,98.05,8.2775,98.65,8.55,3.18,423.15,8.235,2.86,0.6055,-10.155,4.205,1.1605,8.925,8.725,95.55,4.1188,0,7.275
