DOY2,HR2,LE,H,FC,G_1_1_1,G_2_1_1,G_2_1_2,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,SW_IN,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1
1,0.25,2.531335327,-27.4015546,0.2467015845,-13.78179,-16.076545,-5.2011159905,-53.29067,-8.944105,-9.5464545,75.33179079,0.536772801,65.800125,0.7896539,13.66857,399.8338331,2.8016877035,-7.300065,0.0016816665,-6.3575,-5.8555,-5.194,-5.981,-5.624,-4.893
1,0.75,2.002530468,-25.15748985,0.290098237,-13.40096,-15.74326,-5.3731260975,-52.00287,-9.059447,-9.560497,76.16024959,0.536793854,65.7923,0.7987962,13.57732,399.7269038,2.756862755,-7.3202055,0.0018695,-6.352,-5.867,-5.197,-5.9935,-5.6275,-4.923
1,1.25,2.418750278,-23.42668786,0.334379211,-13.344795,-15.53876,-5.2902873915,-52.15691,-8.9983005,-9.5301245,76.40593909,0.561783446,65.78974,0.7983422,14.019985,399.7161137,2.7549340685,-7.365744,0.002427667,-6.3575,-5.866,-5.2165,-6.0135,-5.6485,-4.939
1,1.75,3.2327095025,-23.93789462,0.4444383385,-13.01767,-15.58727,-5.197804441,-50.9336,-8.990108,-9.5754695,75.53427129,0.58933975,65.787335,0.798214,13.92168,399.6929325,2.711767405,-7.418247,0.0016235,-6.368,-5.8835,-5.2265,-6.0345,-5.655,-4.972
1,2.25,2.4983337535,-22.43030891,0.1363143,-12.82046,-15.6598,-5.0738984585,-52.267865,-9.0612285,-9.7307805,75.05727309,0.572618226,65.78529,0.7989013,14.053845,400.0210621,2.757230706,-7.503959,0.0019143335,-6.3715,-5.912,-5.242,-6.0745,-5.654,-4.9815
1,2.75,2.392409715,-21.45816417,0.354376142,-12.704835,-15.482725,-5.072529185,-52.22372,-8.976404,-9.601585,75.652574065,0.573732669,65.79341,0.7973648,13.94254,399.7557399,2.719582535,-7.584372,0.0020551665,-6.367,-5.9495,-5.2815,-6.115,-5.6685,-4.9755
1,3.25,2.5802748955,-24.22481363,0.27359731,-12.788205,-16.21093,-5.0146465425,-51.26851,-8.8891905,-9.595282,74.67521842,0.57243826,65.77812,0.8023922,13.58215,399.9444568,2.672495384,-7.599386,0.0024305,-6.3345,-5.9635,-5.2805,-6.1635,-5.6885,-5.032
1,3.75,3.598653085,-24.2142392,0.244479445,-11.99912,-15.62099,-4.608109703,-50.314255,-8.992144,-9.606501,75.63604806,0.5926816715,65.74113,0.8067554,13.96076,399.6828977,2.683008838,-7.656624,0.0030858335,-6.3465,-6.024,-5.3065,-6.1785,-5.681,-5.05
1,4.25,2.73981686,-22.09900621,0.372294185,-11.770575,-14.724,-4.7336113495,-50.86936,-9.088525,-9.806401,75.372190605,0.599745882,65.742655,0.799604,13.73601,399.8682629,2.66481811,-7.733995,0.0030863335,-6.368,-6.0395,-5.306,-6.2265,-5.68,-5.0565
1,4.75,3.175320257,-26.6561645,0.339699188,-11.58014,-14.52125,-4.778467938,-51.32383,-9.177621,-9.8303235,75.4756175,0.578491028,65.746555,0.81805755,14.1464,399.76387485,2.5960235525,-7.765555,0.003083,-6.385,-6.057,-5.3365,-6.242,-5.675,-5.076
1,5.25,3.52442475,-22.328419035,0.296438512,-11.47955,-14.62999,-4.7849114865,-49.126225,-9.304771,-10.01663,75.77620462,0.556076816,65.77309,0.81429485,14.03576,399.7593314,2.6401902835,-7.7851285,0.0028033335,-6.406,-6.102,-5.339,-6.2925,-5.6935,-5.0945
1,5.75,3.868857843,-24.36309913,0.094534863,-11.88474,-15.03131,-4.634455337,-52.47482,-9.41592,-9.991065,74.4947815,0.587076282,65.77071,0.7936249,13.38484,399.9925071,2.558420149,-7.791701,0.002802833,-6.412,-6.1155,-5.323,-6.329,-5.703,-5.108
1,6.25,4.2755373715,-25.27952807,0.120909877,-11.79334,-15.47551,-4.530961991,-51.08615,-9.41104,-10.1782,74.71297101,0.604804192,65.76833,0.8039712,13.71641,399.6307364,2.575478011,-7.8082295,0.0029895,-6.448,-6.139,-5.3455,-6.373,-5.7075,-5.14
1,6.75,4.1632817585,-25.8571677,0.161020265,-11.77532,-15.39303,-4.607541384,-50.08233,-9.3469765,-10.02722,73.483845855,0.586025107,65.789765,0.7867873,13.273865,399.69534025,2.553117554,-7.831808,0.1941493335,-6.457,-6.172,-5.3285,-6.429,-5.7175,-5.1475
1,7.25,4.241196038,-22.62557274,0.1229005135,-11.07475,-15.61616,-4.67484188,-46.58831,-9.382938,-9.939085,72.72773053,0.6106653205,65.793115,0.7831411,13.42507,399.6325399,2.633026168,-7.832128,8.4141985,-6.481,-6.1575,-5.347,-6.4535,-5.725,-5.1745
1,7.75,4.234779088,-20.347147455,0.1685899325,-9.8794615,-13.94365,-4.52301958,-35.51419,-9.312338,-9.961061,72.46091522,0.619044294,65.789315,0.7843622,12.75008,400.2301333,2.636633328,-7.892695,54.415941665,-6.54,-6.19,-5.3555,-6.535,-5.733,-5.199
1,8.25,5.833287389,-13.337870225,0.203578419,-7.019252,-10.58443,-4.199034164,-18.35396,-9.1396435,-9.800125,71.214573675,0.659307777,65.830835,0.78129155,12.44464,400.2212653,2.62606331,-7.971475,129.24106665,-6.579,-6.2075,-5.3495,-6.5735,-5.749,-5.194
1,8.75,9.139688366,-5.078333525,0.436166385,-4.023649,-4.6624565,-3.1285244155,4.674424,-9.165469,-9.6176455,71.12225231,0.68676073,65.83307,0.7806817,12.64414,400.2528672,2.62642341,-8.018369,207.7100995,-6.62,-6.2315,-5.349,-6.5855,-5.7605,-5.177
1,9.25,11.096323035,2.3653439515,0.455783,-0.7536232,-0.6505958,-1.613033248,26.145305,-8.987918,-9.414895,69.36747158,0.742625645,65.86331,0.75682655,12.455845,400.3064458,2.670096372,-7.8805315,289.30466665,-6.668,-6.2475,-5.3575,-6.5765,-5.7715,-5.1845
1,9.75,13.67360622,11.84028636,0.426558291,3.050734,2.7276735,-0.037903357,50.504955,-8.904023,-9.281313,70.128909615,0.7632918725,65.86752,0.7729039,12.14657,400.3357556,2.688892949,-7.860765,350.40615,-6.681,-6.2565,-5.352,-6.565,-5.7665,-5.2065
