DOY2,HR2,USTAR,TA,WS,FC,H,LE,TS_1,RH,PA,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,CO2,FCH4,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1
1,0.25,0.07035905375,-31.90475,0.460585775,-0.00082626825,-21.4557014575,-0.15194067,-9.31675,68.007655,93.73148,0.1031,-11.59713,0.14232305,-1.7767405,-0.1385,-0.18575,172.5275,184.85,0.807854864,-7.27548975,-8.8222,-4.710075,-5.21035,365.1479442,3.7823025,-3.1262145,-2.684442,-2.269087,-1.267045,-0.9788022,-4.4826845,-3.351918,-2.389974,-1.859293,-1.5196385,-4.7997305,-4.35948,-3.354685,-2.994002,-2.8410725,-2.5995105,-2.2949125,-2.1992375,-1.359036,-1.0985635
1,0.75,0.07533014325,-31.542,0.5296425,-0.0014143885,-19.627791485,-0.2845260225,-9.32575,68.02725,93.73019,0.10553125,-14.5582025,0.12453235,-1.73599475,-0.13375,-0.21225,171.4725,184.8125,0.94410228575,-7.351959,-8.658,-4.6801,-5.1834,362.179034,5.5255045,-3.177656,-2.67084675,-2.253665,-1.1651995,-0.9062978,-4.3200105,-3.284821,-2.40711675,-1.7964905,-1.49588425,-4.8209745,-4.3780435,-3.227769,-2.9511895,-2.792403,-2.68056375,-2.3189155,-2.197826,-1.33650975,-1.10748275
1,1.25,0.09009100175,-31.57507,0.545770775,-0.0143781485,-20.1755981025,-0.0043797485,-9.3355,68.2752375,93.752035,0.1046,-15.705685,0.14003,-1.64785,-0.16175,-0.14475,170.74,184.6775,0.86285156575,-7.3426,-8.6391,-4.6882,-5.2203,364.510429,2.338497,-3.26526925,-2.78507075,-2.4016285,-1.314886,-0.9974808,-4.35173125,-3.3865845,-2.58602125,-1.945219,-1.6064615,-5.1751305,-4.65785125,-3.35464525,-3.03895175,-2.82693325,-2.80217725,-2.461035,-2.391735,-1.46500775,-1.27653725
1,1.75,0.068075,-31.63835,0.58952,-0.117642786,-24.41813318,-0.34687232675,-9.34305,68.3125775,93.7926275,0.1062,-17.15703,0.12444035,-1.658275,-0.1825,-0.12325,171.74,185.3025,0.95919485475,-7.3137,-8.6413,-4.6879,-5.2173,364.4984045,6.7899825,-3.36884575,-2.93542075,-2.47326925,-1.29583725,-1.010586575,-4.6956865,-3.559,-2.677374,-2.02663375,-1.76180875,-5.27555575,-4.85819375,-3.48553625,-3.2210145,-2.97294675,-2.93684925,-2.6247615,-2.474276,-1.550234,-1.44496125
1,2.25,0.0673625075,-31.961,0.492865,-0.032456827,-12.1022109425,-0.112587639,-9.35195,68.1333725,93.817115,0.1075212525,-14.224,0.14041595,-1.65402325,-0.182,-0.18725,171.5575,184.2775,0.78398727675,-7.34525,-8.6634,-4.6907,-5.2202,364.56361,6.560429,-3.37024125,-2.92103925,-2.48924225,-1.34151725,-1.004513875,-4.65210725,-3.6318065,-2.73902175,-2.15343975,-1.825295,-5.337013,-4.773924,-3.483804,-3.18522975,-2.968905,-2.98188475,-2.6165025,-2.569751,-1.5803675,-1.40824225
1,2.75,0.08551724975,-31.862,0.6546447,-0.00015723725,-24.20509219,-0.2404990425,-9.3614,68.007825,93.774,0.108830275,-13.6236425,0.1343075,-1.54891125,-0.1605,-0.266,171.4225,185.005,0.896487813,-7.34096,-8.6348,-4.7045,-5.2279,365.11397905,12.39061075,-3.4273245,-2.941963,-2.48524225,-1.36080875,-1.09429975,-4.5794845,-3.65394975,-2.77609525,-2.136896,-1.87165975,-5.3364115,-4.788421,-3.58957375,-3.17887025,-2.9378435,-2.903126,-2.6272775,-2.57060075,-1.65543775,-1.49422925
1,3.25,0.0767,-32.11683,0.441105025,-0.10629410775,-19.285374795,-0.656486162,-9.3648,68.12675,93.790445,0.10815,-13.179075,0.132235,-1.66655325,-0.1735,-0.25775,171.1925,184.82,0.77323681,-7.338891,-8.6174,-4.6844,-5.2417,364.86601195,9.720259375,-3.40623725,-2.917899,-2.4834985,-1.4313835,-1.126426,-4.61969975,-3.63595175,-2.72611075,-2.09824975,-1.8368975,-5.21254,-4.8277805,-3.56805725,-3.14789825,-2.96025525,-2.8757045,-2.53283925,-2.54287425,-1.712538,-1.5528525
1,3.75,0.0714,-32.102,0.588259425,-0.13624590975,-30.738174545,-0.3387949935,-9.37015,67.9817175,93.769,0.10460272,-13.24742,0.121383625,-1.55693825,-0.18325,-0.2215,171.9125,183.895,0.9713492065,-7.360415,-8.6053,-4.6614,-5.2447,365.1626974,7.049908,-3.32329175,-2.8545765,-2.386138,-1.389323,-1.13519775,-4.6155585,-3.6249045,-2.783271,-2.11813525,-1.92620225,-5.11375925,-4.7928865,-3.603529,-3.1141415,-2.92745,-2.7688425,-2.54319175,-2.56722125,-1.765031,-1.464453
1,4.25,0.075308633,-32.115,0.4557111,-0.042873342,-24.52454782,-0.259957322,-9.3775,68.0841725,93.774805,0.10714985,-11.15465,0.1385091,-1.655025,-0.18125,-0.17125,171.8975,184.595,0.84583933475,-7.355842,-8.5858,-4.6567,-5.2551,365.1234385,4.664981,-3.30764775,-2.835692,-2.41662975,-1.4253645,-1.12724975,-4.482701,-3.6442925,-2.71261475,-2.14510625,-1.85467775,-5.25419825,-4.7794935,-3.605687,-3.129484,-2.92685175,-2.83931675,-2.563611,-2.5620935,-1.7124735,-1.49856875
1,4.75,0.07399420875,-32.11007,0.6170922,-0.007738818,-13.8007234225,-0.0306836815,-9.38285,67.882215,93.760875,0.1089842775,-12.1884675,0.1153525,-1.6741765,-0.19375,-0.187,171.025,184.47,0.874352231,-7.352431,-8.528,-4.6704,-5.2873,367.47643845,4.9284175,-3.25184875,-2.75442175,-2.3002425,-1.33433675,-1.02956075,-4.5379705,-3.553772,-2.69316925,-2.05042225,-1.73803225,-5.17373275,-4.71994425,-3.61584575,-3.13978275,-2.91513125,-2.83783975,-2.58430025,-2.513414,-1.62835925,-1.401613
