DOY2,HR2,CO2,H2O,FC,SC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_2_1_1,TS_3_1_1,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,421.479,5.6185,0.59525,-0.028,-8.291,-48.374,-1.19825,1.662,0.244,0.514,0.42,0.282,100.653,62.64,-0.1185,0.7575,2.367,0.103,8.815,8.615,7.87225,0.086,-80.273,-3.57,0.485,251.334,316.241
1,0.75,420,5.674,0.674,-0.07375,-8.4605,-43.7195,-0.645,1.66775,0.26775,0.559,0.42675,0.26175,100.65325,62.925,-0.05875,0.79475,2.1495,0.097,8.8175,8.615,7.87225,0.09575,-80.787,-3.44775,0.4925,251.9455,314.643
1,1.25,421.616,5.6425,0.71,-0.155,-8.63325,-43.34925,-1.578,1.6595,0.2495,0.474,0.38675,0.2605,100.6575,66.16,-0.50125,0.60275,1.78525,0.10125,8.84,8.58,7.77475,0.0955,-80.369,-3.453,0.4335,252.599,313.9575
1,1.75,422,5.637,0.69,0.08,-8.82325,-49.42625,-1.859,1.7095,0.24025,0.51325,0.39675,0.25925,100.65525,66.16,-0.50125,0.60275,1.43825,0.1095,8.84,8.58,7.77475,0.082,-80.87725,-3.54975,0.60775,249.87875,313.09775
1,2.25,423,5.824,0.643,0.15125,-9.0685,-43.99625,-1.093,1.755,0.2895,0.5025,0.42825,0.29725,100.653,69.13,-0.6905,0.544,0.88,0.114,8.7725,8.5075,7.7155,0.08075,-79.45275,-3.22825,0.522,247.42025,312.24925
1,2.75,422,5.707,0.832,0.066,-9.2925,-44.6825,-1.305,1.66775,0.2825,0.48275,0.408,0.29925,100.6815,69.13,-0.6905,0.544,0.89725,0.0965,8.7725,8.5075,7.7155,0.07575,-78.8935,-3.28325,0.35525,246.40025,312.896
1,3.25,423.139,5.6185,0.674,-0.232,-9.386,-45.571,-1.996,1.71675,0.27875,0.58,0.44825,0.29475,100.69825,71.4225,-0.7785,0.46,0.85325,0.09325,8.7275,8.5175,7.73225,0.07325,-77.8585,-3.31925,0.34,246.31625,312.89625
1,3.75,423.581,5.5625,0.955,-0.286,-9.41875,-45.63575,-1.283,1.672,0.2885,0.53,0.432,0.293,100.69575,71.4225,-0.7785,0.46,0.72975,0.091,8.7275,8.5175,7.73225,0.07475,-76.577,-3.4725,0.48725,244.68975,311.352
1,4.25,424,5.5155,0.842,-0.05025,-9.45925,-41.916,-1.005,1.62125,0.2585,0.523,0.406,0.281,100.7035,72.57,-0.91375,0.3805,0.7845,0.089,8.67,8.4475,7.6805,0.069,-76.42275,-3.29575,0.4195,246.9605,310.1415
1,4.75,424,5.525,0.772,-0.052,-9.5105,-45.4315,-1.074,1.723,0.292,0.601,0.444,0.305,100.704,72.57,-0.91375,0.3805,0.61725,0.08375,8.67,8.4475,7.6805,0.0655,-76.78175,-3.25975,0.43175,244.358,309.71325
1,5.25,425,5.4935,1.042,-0.142,-9.66275,-42.42175,-1.226,1.79325,0.2875,0.593,0.46925,0.33675,100.68625,74.1425,-0.732,0.43425,0.7005,0.0985,8.6175,8.385,7.57425,0.06425,-76.818,-3.078,0.35,245.84425,311.55625
1,5.75,426,5.415,0.983,-0.142,-9.80525,-41.44775,-1.613,1.78675,0.3005,0.62275,0.50625,0.35425,100.67175,74.1425,-0.732,0.43425,0.55075,0.09275,8.6175,8.385,7.57425,0.06475,-76.51775,-3.1045,0.3295,243.0615,311.1705
1,6.25,426,5.4,0.941,-0.356,-9.94325,-42.13775,-1.134,1.817,0.33325,0.6435,0.45575,0.3555,100.661,74.8875,-1.09225,0.39775,0.29825,0.08525,8.575,8.43,7.582,0.071,-74.56475,-3.24275,0.367,243.48475,309.908
1,6.75,427,5.42,0.706,-0.512,-10.08475,-36.244,-1.6,1.704,0.273,0.563,0.45175,0.301,100.6845,74.8875,-1.09225,0.39775,0.3375,0.082,8.575,8.43,7.582,0.068,-74.75875,-3.259,0.23125,242.703,309.5825
1,7.25,428,5.3925,0.883,-2.8695,-10.12925,-40.0075,-1.118,1.733,0.29125,0.563,0.45175,0.3205,100.68925,76.6,-1.649,0.364,0.09025,0.083,8.565,8.34,7.51,0.0655,-74.6295,-3.1665,0.26475,241.47225,308.9535
1,7.75,427,5.39,0.778,-2.544,-10.21125,-40.997,-1.661,1.614,0.27825,0.56975,0.4235,0.30075,100.69725,76.6,-1.649,0.364,-0.13475,0.077,8.565,8.34,7.51,0.54,-73.7215,-2.8225,0.294,242.2,307.5475
1,8.25,428,5.36725,0.594,-5.343,-10.31425,-35.44975,-1.795,1.684,0.26975,0.5125,0.42475,0.2715,100.711,70.79,-1.168,0.578,-0.0465,0.0895,8.505,8.345,7.509,9.7765,-69.29125,3.3325,0.77075,243.977,307.916
1,8.75,426,5.34575,-0.157,-5.1075,-10.4395,-12.1035,-1.055,1.5485,0.26775,0.5485,0.44025,0.28525,100.718,70.79,-1.168,0.578,0.28075,0.0805,8.505,8.345,7.509,28.7275,-28.41825,13.9055,2.20375,242.72,310.01825
1,9.25,426.025,5.393,-1.451,-3.277,-10.58,-0.1335,-2.832,1.61,0.339,0.615,0.46375,0.368,100.732,63.3,0.454,0.7705,0.93725,0.08275,8.485,8.33,7.4485,89.463,22.878,46.58,4.98225,245.35225,314.75575
