DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,SH_1_1_1,SLE_1_1_1,SC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,TA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,CO2_SIGMA_1_1_1,H2O_SIGMA_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
8,22.25,0.1755,0.9245,2.569,-10.2925,0.095,-0.0414633,-10.1581,0.858826,2.411885,-4.36226,-0.487662,0.519138,1.13308,0.195836,25.5776,22.709,100.063,100,0,342.5755,29.8753,0.440226,0.382148,0.23269,0.164113,0.0629513,0.087347559,4.989463975,0.7363444
8,22.75,0.1355,0.837,2.1175,-10.829,-1.0285,-0.04021525,-10.4355,0.665152,2.770905,-4.1228,-2.04383,0.65044,1.14098,0.1861525,25.5253,22.68785,100.0585,100,0,343.832,29.71155,0.4277045,0.388779,0.218796,0.170286,0.0665481,0.0841957325,4.989463975,0.75135335
8,23.25,0.1445,0.7875,2.642,-9.357,-1.5635,-0.0375069,-8.93627,0.0227342,2.2662,-3.53727,-0.844104,0.7406025,1.109065,0.180777,25.2857,22.4945,100.055,100,0,345.661,29.85145,0.4360795,0.3888085,0.2102145,0.1611645,0.0709111,0.0822953155,4.989463975,0.74692305
8,23.75,0.149,0.74,2.091,-9.22,-1.324,-0.036028,-8.91424,0.314105,2.27049,-4.127475,-2.47961,0.76475,1.097945,0.1755725,25.05275,22.2813,100.051,100,0,347.328,29.6892,0.4302515,0.37999,0.1983965,0.1474055,0.0666939,0.080798136,4.989463975,0.7392655
9,0.25,0.135,0.872,1.7465,-10.5075,-1.1,-0.0267035,-9.17592,-0.43019,1.8597,-4.22305,-0.858326,0.562818,1.04097,0.151572,23.4463,21.1186,100.094,100,0,347.952,25.8342,0.375026,0.325054,0.186195,0.197046,0.0677958,0.072446652,1.24456,0.65125185
9,0.75,0.124,0.804,1.299,-10.3455,-0.7895,-0.0266724,-9.80503,-0.280909,2.26586,-4.190925,-1.68449,0.529858,1.056825,0.156174,23.14345,20.78805,100.0735,100,0,349.228,26.113,0.3745205,0.319712,0.1767855,0.195643,0.0703673,0.074730439,1.24456,0.6410937
9,1.25,0.136,0.8975,1.4355,-9.1915,-0.737,-0.0262953,-9.96825,-0.894821,2.25344,-3.32482,-2.70004,0.497993,1.08185,0.149996,22.981,20.6415,100.067,100,0,350.685,25.7107,0.393113,0.310573,0.179916,0.18518,0.0783671,0.076622517,1.24456,0.6332751
9,1.75,0.1435,0.864,1.321,-7.899,-0.8665,-0.026378,-9.106725,-0.5305575,1.96767,-3.519705,-2.95287,0.491041,1.069015,0.1503825,22.92485,20.45935,100.059,100,0,350.419,25.1435,0.3755385,0.343662,0.192711,0.18848,0.076158,0.067063772,1.24456,0.6803077
9,2.25,0.126,0.836,1.603,-7.593,-1.03,-0.0252351,-9.79291,-0.660967,2.95976,-3.06612,-2.92429,0.406761,1.06233,0.146087,22.8518,20.4006,100.043,100,0,351.0545,25.026,0.378848,0.334306,0.184309,0.204161,0.0889009,0.086864361,1.24456,0.662949375
9,2.75,0.1705,0.918,1.7175,-10.0705,-1.002,-0.03645,-9.09663,-0.0960023,2.582225,-2.09435,-2.445895,0.300849,1.09078,0.175233,22.7797,20.3628,100.04,100,0,352.363,25.0444,0.415094,0.330859,0.201088,0.182944,0.08173755,0.0781952415,1.24456,0.578264455
9,3.25,0.168,0.891,2.551,-9.118,-1.13,-0.032635,-8.53741,-0.3469195,2.535995,-1.782735,-1.97351,0.191114,1.08835,0.1657025,22.65635,20.31135,100.042,100,0,350.907,25.0329,0.387265,0.320244,0.19404,0.187391,0.078901,0.0732779005,1.24456,0.5372426
9,3.75,0.164,0.875,2.987,-9.187,-1.989,-0.0313198,-10.2735,0.006492935,2.80334,-1.96708,-1.91328,0.331635,1.07108,0.163844,22.5453,20.1858,100.049,100,0,351.297,24.643,0.38837,0.320863,0.185751,0.190465,0.0881532,0.0728193525,1.24456,0.563546
