DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA_1_1_1,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1,TA_1_1_2,SW_OUT,LW_IN,LW_OUT,CO2
1,0.25,0.05825,-11.512475,-0.0225,0.069,0.602,-34.4075,0,0,-2.4525,76.859,0.31,89.87525,-2.26125,1.4845,0.7995,-1.53057,1.16699,173.834,265.186,425.837
1,0.75,0.161,-12.54375,-2.21,0.09,0.4885,-33.06,0,0,-2.46,76.575,0.33,89.87525,-2.269,1.44925,0.80675,-1.84072,1.298735,170.426,264.426,425.6965
1,1.25,0.11975,-10.2495,-1.4025,0.09,0.73,-34.985,0,0,-2.676,76.625,0.3225,89.87525,-2.25775,1.41625,0.79375,-1.435595,1.66147,173.51,263.896,425.532
1,1.75,0.0785,-11.72265,-1.7375,0.08425,0.537,-30.8625,0,0,-2.505,77.425,0.3,89.87525,-2.25975,1.4945,0.801,-1.20657,1.37782,174.983,262.983,425.70225
1,2.25,0.2055,-17.544775,-0.5325,0.0785,0.4745,-34.04,0,0,-2.5325,77.775,0.31,89.801,-2.2585,1.51975,0.795,-1.4704,1.39549,174.555,263.412,425.8295
1,2.75,0.1245,-10.98095,-0.1,0.072,0.512,-33.8275,0,0,-2.5125,78.823,0.29,89.9,-2.26125,1.54375,0.787,-1.9900325,1.3429125,167.965,263.45675,425.726
1,3.25,0.138,-4.41,-0.1,0.08875,0.6285,-32.4025,0,0,-2.5075,77.5015,0.38,89.8505,-2.266,1.49175,0.779,-2.5481725,0.9120965,169.584,262.286,425.944
1,3.75,0.07,-10.065,-1.01,0.0785,0.58075,-31.1275,0,0,-3.0345,76.3,0.34,89.8505,-2.29275,1.4885,0.793,-2.2685025,1.3188075,168.5945,262.3365,426.046
1,4.25,0.604,-15.75,-0.31,0.08775,0.435,-31.9425,0,0,-3.2325,77.8,0.3025,89.9,-2.09025,1.4665,0.784,-1.9885,1.37397,170.559,262.186,425.797
1,4.75,0.15975,-19.79115,-0.16,0.076,0.447,-32.55,0,0,-2.9615,77.975,0.28,89.95,-2.0855,1.45125,0.7835,-2.20783,1.03946,172.596,261.255,426.41225
1,5.25,0.313,-14.9243,-1.13,0.0795,0.447,-33.59225,0,0,-3.54675,77.9,0.25,89.95,-2.0855,1.36525,0.77375,-2.43467,1.16169375,166.81725,260.43725,426.933
1,5.75,0.18675,-16.15085,0.485,0.08275,0.447,-30.93,0,0,-3.40575,78.33775,0.2725,89.95,-2.0805,1.4535,0.78525,-2.404785,1.56032,165.2175,258.339,426.13425
1,6.25,0.1165,-23.98,0.37,0.07675,0.4485,-29.725,0,0,-3.1725,77.6,0.26,89.95,-2.08175,1.44375,0.77475,-2.03823,1.7012675,166.561,259.775,425.8375
1,6.75,0.5375,2.13,-2.9575,0.07475,0.44925,-30.235,0,0,-3.075,78.8,0.2525,90,-2.07925,1.4165,0.783,-1.94409,2.8540375,167.955,262.396,426.684
1,7.25,-1.09075,-8.723825,0.88,0.088,0.512,-32.02,0,0,-3.0925,79.25,0.2925,90,-2.07875,1.417,0.7675,-2.66253,4.56864,170.21,259.675,426.09725
1,7.75,-2.46575,-0.59,5.4440225,0.0735,0.46125,-19.79,6.24125,1.61525,-3.34875,79.55,0.25,90,-2.0805,1.49025,0.772,-2.221535,6.56331,167.181,260.2115,425.89225
1,8.25,-2.266,0.627675,7.8122775,0.10125,0.55925,-9.46875,29.34375,11.2295,-3.3175,79.3,0.26,90,-2.08,1.065,0.7555,-1.89865,20.29925,170.91175,263.527,425.547
1,8.75,-2.832,12.46,3.99,0.1065,0.46175,1.47525,52.8275,11.36475,-3.1285,76.78525,0.3175,90,-2.08125,0.643,0.72525,-1.5197825,25.39945,170.33275,267.273,424.889
1,9.25,-2.609,4.34,6.57147,0.125,0.4565,17.6875,94.8405,19.19075,-2.3385,75.075,0.31,90,-2.06475,0.762,0.7075,-1.480215,35.73525,174.1225,267.426,425.19375
1,9.75,-2.985,8.7371,19.2125,0.11,0.447,39.975,157.05,37.8055,-1.61,72.925,0.5175,90,-2.025,0.7595,0.6315,1.2766515,45.67135,180.536,280.674,424.9515
1,10.25,-3.56075,7.1125,7.755,0.1305,0.43875,47.8975,167.35,38.9795,-0.9495,67.3675,0.6975,90.0505,-2.025,0.97475,0.58,2.202065,50.065225,180.42,284.9875,424.6885
1,10.75,-3.83625,16.09,11.655,0.1805,0.447,59.84,191.325,50.43825,-0.7145,65.715,0.8575,90.0391,-2.02475,1.07975,0.54725,3.86824,39.9995,185.03525,289.32825,423.415
