DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
1,0.25,0.18,1.17,13.61,14.305,29.94,-2.595,1.885,-51.12,-30.42,-10.765,2.6,0.695,11.4
1,0.75,0.18,1.17,13.39,14.11,29.71,-2.755,1.855,-51.245,-24.395,-10.195,3.075,0.72,11.32
1,1.25,0.17,1.13,13.4,14.18,30.12,-2.705,1.865,-51.19,-23.985,-10.11,2.6,0.535,11.24
1,1.75,0.17,1.04,13.16,13.96,28.39,-2.66,1.89,-51.345,-22.64,-9.395,2.575,0.71,11.165
1,2.25,0.16,1.13,13.02,13.88,29.3,-2.64,1.85,-50.13,-23.99,-10.335,3.555,0.64,11.095
1,2.75,0.16,1.195,12.97,13.69,30.585,-2.685,1.845,-50.745,-24.455,-9.31,1.8,0.595,11.015
1,3.25,0.17,1.16,12.605,13.82,29.42,-2.67,1.745,-49.87,-24.055,-14.095,3.42,0.67,10.94
1,3.75,0.18,1.2,12.765,13.835,29.61,-2.62,1.77,-50.405,-14.095,-12.74,3.335,0.745,10.875
1,4.25,0.18,1.1,12.7,13.735,28.56,-2.43,1.83,-49.295,-23.14,-12.39,2.825,0.67,10.82
1,4.75,0.17,1.25,12.86,13.93,28.21,-2.42,1.85,-50.045,-17.36,-11.955,3.52,0.76,10.76
1,5.25,0.2,1.3,12.715,13.74,29.34,-2.54,1.805,-49.93,-19.255,-16.83,4.7,0.81,10.685
1,5.75,0.21,1.31,13.065,13.93,28.415,-2.57,1.805,-48.81,-15.96,-16.46,3.8,0.775,10.64
1,6.25,0.18,1.305,13.005,13.95,28.305,-2.665,1.67,-49.01,-21.095,-13.71,3.08,0.65,10.59
1,6.75,0.19,1.345,12.66,13.725,28.72,-0.86,2.08,-46.955,-18.92,-12.785,4.155,0.66,10.55
1,7.25,0.19,1.435,12.62,13.64,29.69,25.445,13.78,-33.73,-7.75,-14.425,4.79,0.375,10.525
1,7.75,0.2,1.37,13.16,14.16,31.195,99.76,42.21,-0.965,-9.37,-8.09,10.44,-0.305,10.535
1,8.25,0.21,1.37,13.785,14.48,30.37,189.415,58.985,43.765,-0.52,5.38,21.59,-1.24,10.555
1,8.75,0.24,1.6,14.445,15.145,30.17,286.565,71.285,109.11,18.095,25.58,41.39,-2.44,10.57
1,9.25,0.24,1.725,15.15,15.97,29.41,370.55,80.55,173.585,28.61,45.99,52.07,-3.24,10.64
1,9.75,0.25,1.96,15.495,16.39,30.455,445.365,89.435,235.455,40.58,72.335,64.69,-4.04,10.735
1,10.25,0.27,2.04,15.69,16.51,30.14,509.72,98.595,286.125,55.23,90.61,77.58,-4.625,10.835
1,10.75,0.28,2.13,15.665,16.69,30.19,555.655,103.455,323.945,71.75,110.22,85.62,-4.63,11.055
1,11.25,0.275,2.26,16.18,16.835,29.68,585.815,109.315,353.88,88.2,117.23,88.425,-4.785,11.295
1,11.75,0.28,2.27,16.485,17.08,30.2,600.79,111.54,364.15,93.9,125.735,91.1,-4.855,11.595
1,12.25,0.28,2.36,16.81,17.22,30.99,600.65,110.37,363.34,96.22,125.22,90.03,-4.775,11.9
1,12.75,0.28,2.37,16.985,17.36,30.17,585.76,106.675,347.415,94.36,124.45,83.305,-4.38,12.24
1,13.25,0.28,2.26,17.185,17.39,30.74,543.185,102.32,321.675,83.9,112.8,81.48,-4.32,12.56
1,13.75,0.27,2.36,17.105,17.45,31.21,494.365,93.31,284.14,74.125,93.05,70.935,-3.51,12.815
1,14.25,0.28,2.28,17.265,17.54,31.585,429.935,86.615,240.625,61.79,81.35,61.215,-3.295,13.09
1,14.75,0.26,2.29,16.995,17.61,33.49,355.215,73.725,181.78,39.185,58.75,54.09,-2.56,13.22
1,15.25,0.24,2.325,16.835,17.325,33.595,271.08,62.92,122.42,22,35.1,36.645,-2.27,13.33
1,15.75,0.23,2.25,16.26,16.84,34.825,164.825,45.04,56.955,-7.53,12.32,27.36,-1.455,13.36
1,16.25,0.2,2.18,15.64,16.335,37.58,61.975,15.82,-3.69,9.975,-4.26,10.65,-0.29,13.32
1,16.75,0.18,1.865,15.12,15.895,41.33,15.18,4.19,-49.985,3.375,-13.68,4.53,0.63,13.3
1,17.25,0.17,1.76,14.545,15.39,42.685,-0.395,1.98,-60.295,-22.71,-12.205,4.13,1.09,13.21
1,17.75,0.17,1.495,14.13,15.055,42.92,-3.32,1.605,-58.305,-31.725,-11.485,2.05,0.87,13.1
1,18.25,0.17,1.44,14.015,15.02,43.055,-3.155,1.71,-55.97,-27.41,-10.46,1.555,0.985,13.01
1,18.75,0.17,1.305,13.93,14.715,42.53,-2.935,1.79,-55.25,-32.775,-9.425,2.74,1.02,12.88
1,19.25,0.15,1.16,13.825,14.98,40.665,-2.625,1.91,-54.265,-31.86,-8.35,2.76,0.985,12.74
1,19.75,0.17,1.165,13.96,14.845,38.425,-2.695,1.915,-53.89,-25.23,-9.85,2.74,0.755,12.6
1,20.25,0.18,1.23,13.745,14.765,36.51,-2.74,1.87,-52.54,-27.32,-11.07,2.955,0.83,12.44
1,20.75,0.17,1.145,13.59,14.61,35.11,-2.72,1.9,-52.065,-23.97,-12.07,3.21,0.995,12.34
1,21.25,0.19,1.19,13.515,14.32,35.99,-2.77,1.895,-52.98,-30.3,-12.41,3.345,0.86,12.24
1,21.75,0.17,1.3,13.27,14.3,34.925,-2.545,1.96,-53.245,-22.675,-12.64,3.705,0.91,12.1
1,22.25,0.18,1.3,13.25,14.2,34.09,-2.845,1.76,-52.75,-26.215,-12.78,2.4,0.87,12
1,22.75,0.17,1.22,13.165,14.16,35.285,-2.695,1.84,-51.575,-21.02,-11.82,2.205,0.81,11.9
1,23.25,0.18,1.175,13.275,14.26,33.2,-2.78,1.81,-50.82,-24.905,-10.945,2.84,0.72,11.8
1,23.75,0.17,1.175,13.2,14.37,32.42,-2.665,1.81,-51.85,-22.5,-11.94,2.34,0.785,11.68
2,0.25,0.15,0.985,11.085,11.77,54.395,-2.55,1.68,-50.79,-28.425,-6.86,1.56,0.77,12.26
2,0.75,0.15,1.02,10.86,11.56,54.42,-2.465,1.805,-50.36,-26.935,-6.55,1.46,0.6,12.21
2,1.25,0.16,0.975,10.725,11.515,53.62,-2.69,1.72,-50.62,-25.44,-7.38,2.64,0.72,12.11
