DOY2,HR2,USTAR,FC,H,LE,CO2,H2O,TA,G,TS,NETRAD,RH,VPD,WS,SW_IN,PA,PPFD_IN
1,0.25,0.1092367,-0.0782882695,-16.296168825,-1.493853975,380.46225255,2.0070822905,-12.525,-20.43445607,-3.528175,-50.873,76.40975,0.631367028,1.626939325,0,97.6209395,0
1,0.75,0.0945697,-0.18587418075,-12.9668138,-0.851299725,380.2212345,1.906306406,-12.53325,-21.0825484525,-3.674725,-45.970073545,77.619,0.547316235,1.803332,0,97.6634706,0
1,1.25,0.0939847,-0.112913448,-13.4587984,-0.7259021,379.4254813,1.9638364875,-12.8551886,-22.2141111975,-3.804725,-47.04775,77.5945,0.60163286325,1.6084464,0,97.667477375,0
1,1.75,0.112141,-0.0978081415,-14.0330806,-0.92333385,379.63518,1.88000985025,-12.86138155,-20.3589821275,-3.8065125,-48.0160361,77.6195,0.5703668735,1.6715335,0,97.63483265,0
1,2.25,0.1097088,-0.1183766585,-15.3815799,-0.712477275,380.2028445,1.864713717,-13.42328785,-20.7586380025,-3.804425,-46.4755,77.543,0.53616675825,1.9132664,0,97.669,0
1,2.75,0.1062699,-0.20414616175,-16.874336725,-0.4182909,380.256705375,1.773784807,-13.3052216,-23.273315,-3.79815,-45.79970104,77.158,0.499960926,1.89531145,0,97.68625,0
1,3.25,0.1032478,-0.145628756,-14.7988693,-0.654801675,380.2780784,1.78768972675,-13.310235675,-21.9861662,-3.794675,-49.557733125,76.864,0.48777822225,1.712373,0,97.6570048,0
1,3.75,0.0965472,-0.10806950925,-13.20008325,-0.4889197,380.4386081,1.7644795175,-13.70250805,-21.67394547,-3.790225,-50.61475,77.047,0.53422642075,1.770994125,0,97.655745,0
1,4.25,0.112392,-0.055477378,-14.8244425,-1.02572155,379.1714505,1.757866977,-13.850107325,-21.636362875,-3.8058125,-49.2536053,76.864,0.510992282,1.673547125,0,97.6425,0
1,4.75,0.1057245,-0.065308992,-14.39536215,-1.4943895,379.409835375,1.855339081,-13.7454386,-21.6897037025,-3.825225,-49.229079825,77.31275,0.42513403275,1.803101,0,97.5370674,0
1,5.25,0.0788383,-0.077995238,-13.992743275,-0.84255415,380.0254882,1.954338764,-14.05262655,-21.54968575,-3.8432375,-48.17595065,77.48325,0.454149936,1.625002925,0,97.53619765,0
