DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,G_1,G_2,TS_1,TS_2
1,0.25,0.100149,8.725285,25.1955625,8.09311199999999,7.077465,0.4378255,8.26209,509.5183,19.2302949999999,1.84101,1.23878,0.5759735,0.3495346,0.305668122500001,1.741698525,336.707775,348.1364375,8.351,94.343,9.94404999999998,10.015475,4.23725,3.946375
1,0.75,0.129368,11.8671,22.0726825,29.3244875,6.846825,0.4650805,8.02788,574.103875,10.00058975,1.73242,1.319455,0.5613475,0.6765735,0.256761695000001,1.873805575,339.131295,345.486985,7.81675,94.382,7.44899999999999,8.26394999999998,4.294975,4.02905
1,1.25,0.0741325,14.81745,31.24524,13.29551125,7.571814,0.41319675,7.788275,555.0086,6.6332395,1.68213975,1.389818,0.5592641,0.6006825,0.18782604,1.8811413,338.09268,344.79197,7.39225,94.13125,5.86067499999999,6.46689999999999,4.226575,3.9558
1,1.75,0.051395,10.9609375,27.38548,8.96347875,12.28205825,0.43721255,7.490465,584.733,6.46286375,1.799063,1.34963325,0.54880185,0.3283665,0.2409317825,2.208728425,335.9691375,343.6861425,6.98575,93.72225,4.66649999999999,5.34619999999999,4.1955,3.899475
1,2.25,0.076,15.39059,39.405655,14.1468325,7.118065,0.4509665,7.266092,516.383125,19.6733334999999,1.63161,1.32634,0.5967035,0.42547,0.267407222500001,1.93184625,335.28039,342.830505,6.6395,93.76325,3.44522499999999,3.97577499999999,4.111075,3.839075
1,2.75,0.08655,7.867205,23.85504,5.49076625,6.996965,0.4229515,7.2386405,603.7874,6.53143,1.469235,1.304575,0.571142,0.32445515,0.384936575,1.971423075,335.4012225,342.1166725,6.3685,93.453,4.364875,3.22144999999999,4.031125,3.77375
1,3.25,0.0752173250000001,18.2198945,46.25526,7.92264400000001,6.8097855,0.492441425,7.1305305,655.465525,6.436358,1.501137,1.294564,0.5680099,0.531185224999999,0.7848168075,2.17314145,334.595445,340.9074275,6.044,93.6515,9.97884999999998,2.92294999999999,3.96695,3.7262
1,3.75,0.112253,7.463615,37.115885,7.30864625,6.84688575,0.4016695,7.18624049999999,653.112875,6.468388,1.551155,1.18667,0.547218,0.7622335,0.498713330000001,1.9908238,334.184845,339.19189,5.762,93.60275,9.07382499999998,1.8466,3.948775,3.6604
1,4.25,0.124239675,46.9652125000001,26.4300325,2.0702025,6.8731935,0.5087848,7.0810055,616.363,20.7210419999999,1.8019245,1.31875725,0.617338425,0.772989925000001,0.70232393,2.269512875,333.8532725,338.37275,5.59425,93.5935,9.43819999999998,0.666875,3.8613,3.545875
1,4.75,0.143884325,11.835315,78.5191800000001,14.8084125,6.49372225,0.4138167,7.27457625,605.548875,18.01256,1.656587,1.292698,0.542950875,0.6699325,0.531138645,2.495477275,339.1656625,339.141575,5.4535,93.3185,10.36315,2.130825,3.71645,3.40315
