DOY2,HR2,TAU,H,LE,FC,CO2,H2O,T_SONIC,PA,VPD,WS,USTAR,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,PPFD_IN,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,0.010206242,0.295336,63.140665,6.91331129854472,825.338894564075,11.8337,13.161831012725,103.089891784722,5.89929455803158,8.29504545643586,0.608397099999999,10.761,12.81175,13.40875,6.58907499999999,7.01077499999999,55.841296,93.755,13.258,1.38524999999999,2.661825,363.40075,375.12375
1,0.75,0.0019281915,1.72152449012571,56.3027875,2.62829310027713,825.340445761654,11.76145,12.4912765047916,103.090840200694,7.37934174999997,7.6152265,0.480452594771021,10.7165,12.7385,13.4035,6.39182499999998,5.55987499999994,55.848192725,93.955,12.71175,0.743999999999999,2.5695,365.50575,374.14825
1,1.25,0.01042024125,1.459142,56.71225,6.25397884886211,835.84315156914,11.8134775,12.4541249999999,103.087125,6.82046266338464,7.46525,0.476143525153381,10.679,12.68,13.39775,5.82257499999996,4.79419999999991,55.85508945,93.965,12.558,0.84215,2.54375,365.741,374.565
1,1.75,0.00761364625,0.429102859639452,75.708105,3.20896702070115,834.2527,11.7743525,12.7955,103.11025,8.15153875,8.3921330353069,0.591999,10.655,12.62625,13.39725,4.2955999999999,3.89892499999988,55.85508945,93.955,12.455,1.92317499999999,2.621875,370.29925,377.36725
1,2.25,0.00551925875,5.68706224999999,76.2751,7.97962543545107,836.372826375326,11.81349,12.86225,103.1355,8.64707108988096,8.74791351821876,0.643900396798855,10.634,12.55775,13.392,4.2353999999999,3.89869999999988,55.841296,94.055,12.555,0.364624999999998,2.794525,367.5015,376.98125
1,2.75,0.00448593,13.596214229587,78.79631,13.115688,844.51375,12.038975,13.215625,103.14925,8.37760196267417,9.0674125,0.592567152424717,10.61875,12.494,13.38625,4.2680249999999,3.89869999999988,55.841296,94.0775,12.72175,1.24662499999999,2.3608,366.0485,377.28575
1,3.25,0.0048101875,4.57970180152447,80.56848,6.82787920511539,853.3112,11.8720375,12.937125,103.13925,8.27824597742905,8.6300375,0.644317885259445,10.56875,12.435,13.381,6.921325,3.89869999999988,55.85508945,94.155,12.6485,1.68835,2.418725,367.25075,374.8865
1,3.75,0.00408666699999999,0.34129359999999,74.50233,8.54107199999998,862.70555,11.2618375,12.7489,103.13,8.72507245233937,8.44130099999999,0.59332172104431,10.6425,12.38125,13.36525,6.921325,3.89869999999988,55.859094,94.1775,12.33875,1.32214999999999,2.537525,358.62775,375.54525
1,4.25,0.0096053615,1.51879375,70.17002,3.33415595985038,871.146875,11.3931625,12.543325,103.1241,8.19942980547014,8.19866525,0.516909185426037,10.645,12.31175,13.35575,6.751025,3.89869999999988,55.859094,94.2,12.18325,0.958899999999997,2.52425,354.17825,371.935
1,4.75,0.01348337575,-0.5054024,80.81289,6.29653600396242,859.0879,11.2340946462268,12.612575,103.14795,8.02323735721963,8.09101775,0.549824625,10.66625,12.2475,13.34575,4.35769999999991,3.89869999999988,55.859094,94.255,12.236,0.330525,2.5785,353.03475,371.5585
1,5.25,0.00629337750000001,1.22790696918756,84.0699825,3.31892127251751,842.393290453241,10.5482537007834,12.5934,103.1566,7.942286790761,9.01482564478044,0.55858685,10.64875,12.17325,13.3415,3.97079999999989,3.99972499999988,55.85508945,94.2,12.30675,0.573274999999998,2.75345,356.5675,370.64175
1,5.75,0.003935859,1.41150425,72.793575,6.0631239430644,854.6929,10.5599663188138,12.4924,103.1611,7.78564906312553,8.00720199999999,0.49056444128752,10.6225,12.12375,13.33725,3.99217499999989,3.94504999999988,55.859094,94.2775,12.2435,0.773799999999999,2.751575,361.181,369.32025
1,6.25,0.00374682825,-0.6976937,65.85818,3.103682,868.306008475959,10.5796408730762,12.214175,103.189975,7.61389985893289,7.95124,0.47312096812619,10.53625,12.08375,13.3325,5.48807499999995,3.37127499999989,55.857091725,94.2775,11.94725,0.911824999999999,2.57305,362.21925,368.30625
1,6.75,0.0071624545,9.72163179039248,63.41758,5.29397276866105,873.428419392795,10.76770722841,11.89885,103.203025,7.79564,7.5515299765763,0.510037875,10.45875,12.0485,13.31775,4.06922499999989,1.80144999999991,55.859094,94.2775,11.84475,0.42505,2.408375,362.4065,367.6795
1,7.25,0.0042205,19.2605301799258,68.5231225,4.4157072053951,868.623875,10.9726686573266,11.643774736913,103.21805,7.26955224386957,8.452106,0.52683875,10.38,12.01325,13.30825,3.71537499999994,-5.55965000000002,55.87288745,94.3,11.55425,8.641,4.6228,364.90625,368.10525
1,7.75,0.00980802499999999,7.463946,65.38609,10.9664039444292,857.836875,10.9492516741439,11.8323836196793,103.267875,7.48755,8.79021472026592,0.494312837574085,10.3075,11.9875,13.294,6.79307499999999,-0.835300000000019,137.098065,94.3,11.8355,61.2985,18.45225,364.09125,369.90125
1,8.25,0.00121002,31.8411817068775,112.540057830611,3.56103730852787,864.943942578802,11.0878648283293,11.9796092382325,103.2788,7.63014639843246,9.09764352969887,0.570280375,10.25125,11.98225,13.2845,8.71775,7.71275,348.53608025,94.355,12.5915,149.8625,33.68825,367.2575,373.6235
1,8.75,-0.0041431755,36.20291,114.105605859449,4.27201577578141,828.835606696146,11.1267966430484,13.4685838880192,103.31175,8.1763684361443,9.33286673723849,0.558655065521251,10.21875,11.98225,13.28025,20.595,12.3255,552.14520025,94.4,12.75575,239.7525,41.41025,365.20825,372.92875
