DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,H2O_1_5_2,H2O_1_5_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CH4_1_1_1,CH4_1_3_1,CH4_1_5_1
1,0.25,3.09392718530014,3.72938973684825,0.105981357752424,0.494241943328011,-0.123281027115427,0.987033652174302,0.716179073074697,-2.5627441791439,0.180203014400936,-28.6562089616798,-7.75228367954637,0.442922049161871,2.855,2.15,0.8875,0.51,1.777325,1.844,2.73495,1.82165,1.363375,1.5691,99.669395,48.63,1.45595,3.35,3.47,4.02,3.69,0.3,-4.01,1.2,-1.32,0.21,247.1,329.1,306,328.1,-0.06,-0.12,-0.42,-0.19,-0.15,-0.13,-0.03,-0.12,-0.155,3.244,4.31,5.907,7.198,8.988,10.218,11.144,12.435,13.531,4.647,5.746,7.006,8.241,10.052,10.348,11.968,12.766,13.723,8.436,8.998,10.212,10.755,11.479,12.73425,12.669,12.746,5.723,6.285,7.511,8.595,10.209,11.25125,11.904,12.995,13.906,6.33,6.825,8.048,9.237,10.712,11.932,13.01,14.06925,14.643,-35.146,-16.59,-18.995,-92.535,3.44044584324695,4.38199312932879,3.97978185410175,5.19286296519486,4.54409517812801,4.39249704805444,3.98039306207012,5.30365736008839,4.46816983715501,4.70175718326577,4.34036565128887,414.829666867727,419.514362343501,419.508389978348,417.59429290126,419.274247992782,420.050287067762,419.377713640306,419.368773217763,419.05802647023,421.668650454883,420.186319150454,2007.82924708963,2008.91100865327,2005.68294628018
1,0.75,2.99655610802998,3.19791196354337,0.107183018387789,0.436539607176293,0.0913938399622543,0.771596605459802,0.862783010519082,-2.13692314172065,0.187889399397648,-31.1987613891069,-8.96311186839319,0.48301508719616,2.8175,1.9975,0.835,0.5,1.5328,1.75675,2.772025,1.5642,1.554,1.905475,99.66459,51.135,1.44115,3.4475,3.47,4.0075,3.5975,0.3,-3.9975,1.2,-1.3,0.17,248.225,328.3,304.6,327.6,-0.06,-0.12,-0.42,-0.19,-0.15,-0.13,-0.02,-0.13,-0.16,3.1765,4.146,5.9335,7.164,8.999,10.22475,11.16875,12.432,13.526,4.66125,5.68125,6.947,8.20825,10.0595,10.352,11.96225,12.76375,13.721,8.3945,8.96425,10.20625,10.78675,11.513,12.715,12.7105,12.726,5.67475,6.19,7.53625,8.58825,10.2145,11.2565,11.9455,12.977,13.90275,6.3085,6.83675,8.05725,9.231,10.734,11.95825,13.03225,14.065,14.637,-35.7705,-17.149,-19.719,-92.4875,3.41377889104259,4.29921588029462,3.67060217417587,4.93958688584059,3.63217566108528,4.41051938509477,3.82701772578465,5.07050155876271,4.19572799432994,4.67151887511068,4.03868497728204,414.773679095923,419.189676755217,418.868761849539,418.215715009316,418.441972499356,419.364198314311,419.887750796213,419.281136114792,421.172446958427,421.686434276731,419.864088072644,2019.42132442815,2021.08942198999,2008.3115173843
1,1.25,3.06530209786241,3.00780358818372,0.118258355252283,0.457965293726519,-0.0388581286067687,0.817869545727101,1.13450134385295,-3.17721621206794,0.201206079550638,-30.9372836425953,-6.40487521377108,0.484730205121761,2.845,2.06,0.965,0.55,1.4126,1.49675,2.364925,1.24465,1.21795,1.5024,99.66593,51.235,1.3677,3.31,3.1775,3.8175,3.51,0.3,-3.9175,1.2,-1.265,0.1775,247.725,327.85,303.6,326.8,-0.06,-0.12,-0.4125,-0.19,-0.15,-0.13,-0.02,-0.1225,-0.16,3.09225,3.9905,5.84025,7.116,8.98325,10.2245,11.1685,12.4315,13.52475,4.5515,5.5965,6.88775,8.17375,10.066,10.351,11.96125,12.76425,13.71925,8.41275,8.9155,10.185,10.733,11.50325,12.7075,12.6885,12.71575,5.616,6.142,7.495,8.57775,10.21875,11.251,11.9465,12.9745,13.9015,6.20975,6.776,8.0485,9.21275,10.72425,11.94,13.03025,14.0715,14.63525,-37.63,-17.03025,-20.384,-91.82,3.40664064043014,4.27386174761503,4.02063333304026,4.93753975313431,4.31460001313974,4.35056849505695,4.16375016715273,5.07482637976585,4.63567665198486,4.53035286284232,3.83437897309239,415.314643168216,419.982151899655,419.205543143102,418.462078785961,419.57044978151,419.948062741001,421.318427972744,418.971268183726,420.099553688871,421.916672848098,419.073204206306,2017.30544544321,2016.82161565777,2016.61406397342
1,1.75,2.8826881533389,2.80513456919214,0.100087248388945,0.532914013112627,0.0213713428345274,0.991650273212597,0.284818541176223,-3.09853492063396,0.19825855207615,-28.4890607567661,-8.92176431214744,0.464893678652777,2.855,2.1175,1.0075,0.53,1.3467,1.217,2.08215,1.3471,1.028125,1.0202,99.6785,51.9025,1.3474,2.97,2.89,3.52,3.31,0.3,-3.995,1.2,-1.29,0.21,246.7,326.9,302.4,325.7,-0.06,-0.12,-0.42,-0.19,-0.15,-0.13,-0.02,-0.13,-0.15,2.91,3.746,5.644,6.979,8.952,10.22,11.168,12.437,13.526,4.354,5.467,6.822,8.14,10.07475,10.3465,11.962,12.767,13.718,8.352,8.816,10.118,10.682,11.494,12.698,12.654,12.692,5.501,6.085,7.381,8.536,10.199,11.244,11.898,12.983,13.903,6.054,6.69,8.002,9.164,10.669,11.90875,13.005,14.079,14.639,-36.43325,-16.62775,-20.34,-91.425,3.39953465328268,4.17087799438428,4.12974696995233,5.04511700075241,4.22145609286663,4.29944122600398,4.17507927467088,5.23431898312301,4.97304339617593,4.43366579561801,4.10666745272443,415.268742447674,420.043614895117,420.969840136042,418.390012227205,419.597161579554,420.14269791419,420.340722980761,419.177251255723,421.720375290875,422.347518949953,422.939772363992,2013.78134580044,2013.80783136182,2015.13991940797
1,2.25,3.05463277168566,2.53452387712753,0.113107778760777,0.490856340390974,-0.378266077962095,0.500832186577099,-0.298202482973475,-4.43321639666989,0.204206021513614,-31.6308486040281,-7.16915956477188,0.462045257167664,2.7025,2.125,1.0175,0.5325,1,0.9765,1.93805,1.08575,1.020375,0.9596,99.679935,52.6975,1.259175,2.9125,2.815,3.38,2.9925,0.3,-3.9375,1.2,-1.2575,0.2225,246.65,324.925,301.85,324.825,-0.06,-0.1275,-0.42,-0.19,-0.1575,-0.13,-0.0275,-0.13,-0.2,2.6665,3.684,5.61975,6.94325,8.964,10.21475,11.168,12.437,13.524,4.2145,5.399,6.79075,8.09425,10.06125,10.341,11.9655,12.77075,13.73275,8.29075,8.78825,10.124,10.708,11.50225,12.63375,12.67175,12.66675,5.32175,6.05475,7.307,8.50075,10.20375,11.23775,11.9115,12.987,13.90775,5.98875,6.58775,7.93075,9.18225,10.6795,11.911,13.01175,14.0765,14.64625,-35.49175,-17.3755,-19.595,-90.7175,3.30134757817183,4.04011457067916,3.95634307840788,5.08488490650683,3.90384075725741,4.15973089954626,3.97158040295291,5.29851927052125,4.30695467895903,4.36091310653037,3.43815699183234,415.649923460417,420.391093538188,420.123954524129,417.900614296,419.779933900188,420.692764328887,421.473759614665,419.217983305704,420.512993082966,422.667818657368,420.791982610367,2015.51133344223,2015.47946914556,2014.82052365696
1,2.75,3.16722106717109,2.36127899677247,0.106878430163429,0.524627781097949,-0.359761649567346,0.425700751522774,0.311456891908555,-3.03165948757462,0.23230623717388,-25.2932999943876,-7.60481338325037,0.461959407791235,2.86,2.135,0.9425,0.53,0.68185,0.93,1.794575,0.99875,0.7868,0.73465,99.666925,53.075,1.2844,3.01,2.75,3.31,2.84,0.3,-3.9425,1.2,-1.2275,0.205,242.75,324.15,301.6,325.3,-0.06,-0.12,-0.42,-0.19,-0.15,-0.13,-0.02,-0.1275,-0.24,2.5785,3.64375,5.52875,6.89675,8.95125,10.21425,11.16775,12.43575,13.522,4.08725,5.3315,6.76425,8.04775,10.0645,10.3345,11.9645,12.771,13.715,8.2695,8.79725,10.12125,10.678,11.50325,12.64125,12.6465,12.69475,5.198,5.9465,7.23,8.46125,10.1995,11.23,11.909,12.9835,13.90625,5.8655,6.508,7.8775,9.15125,10.68575,11.9185,13.013,14.07475,14.64475,-36.1565,-17.8765,-19.74075,-90.8925,3.24135051556535,4.03987287250992,3.96160773379131,5.1594148863432,4.46686698744413,4.29704834262423,3.90383978502072,5.45815946820128,4.44286430501838,4.40233650852008,4.18772529219108,415.660817156907,420.084142189447,421.167345575026,420.069673076315,422.621317115868,420.846340345822,421.650360531804,420.554001455972,421.603883165312,422.53714841016,420.610130075822,2017.16815355339,2015.31221984412,2016.28214801752
1,3.25,3.10237450092432,2.32649134711779,0.106976852302765,0.567351483151424,-0.120025887490207,0.943456577737858,0.614326121547764,-2.16034787679077,0.201065314387985,-28.6904816261486,-7.02006947667635,0.436548876963539,3.105,2.13,0.92,0.51,0.8456,0.992,1.65955,1.0299,0.8296,0.778175,99.66543,54.62,1.2305,2.9,2.64,3.17,2.76,0.3,-3.805,1.2,-1.24,0.19,245.5,324.6,299.7,324.5,-0.06,-0.13,-0.42,-0.19,-0.15,-0.13,-0.03,-0.13,-0.24,2.475,3.5,5.507,6.847,8.948,10.212,11.16,12.432,13.52,4.063,5.277,6.769,8.041,10.069,10.3275,11.959,12.772,13.713,8.24,8.922,10.135,10.693,11.476,12.652,12.646,12.68,5.181,5.909,7.271,8.489,10.185,11.225,11.891,12.971,13.901,5.805,6.479,7.845,9.157,10.69,11.912,13.009,14.068,14.635,-34.012,-17.707,-19.88925,-90.03,3.24846701881664,4.01384248808442,3.88781835941712,5.01149047925437,3.61159575340965,4.28132290859183,4.09585139974676,5.2050773463021,3.88464339315822,4.36172424768252,4.08055565537184,415.643412721862,420.166415910485,421.435032786511,419.415848588397,420.478890861054,420.836905464908,421.556005610705,420.719002123961,421.799783047426,422.837311793064,420.762352971952,2017.68121410064,2017.47328217292,2018.33701099262
1,3.75,3.1049737339235,2.13716349950468,0.104579379994562,0.517186198242649,-0.0671187557968851,0.86078010719426,0.064311502210201,-2.96910054989529,0.189451924961556,-28.8522051677882,-7.62353038869874,0.441450105255506,2.805,2.06,0.825,0.4875,0.7144,0.956,1.64025,0.96475,0.70485,0.760425,99.66911,56.0375,1.2292,2.68,2.61,3.05,2.82,0.3,-3.89,1.2,-1.26,0.2,244.2,324.4,300.2,323.3,-0.06,-0.12,-0.42,-0.19,-0.15,-0.13,-0.02,-0.13,-0.245,2.37,3.356,5.419,6.789,8.938,10.212,11.157,12.43,13.518,4.026,5.189,6.716,8.006,10.07,10.3205,11.96,12.771,13.711,8.188,8.814,10.136,10.731,11.418,12.64,12.645,12.671,5.081,5.856,7.27,8.468,10.178,11.224,11.888,12.967,13.9,5.723,6.397,7.805,9.111,10.695,11.912,13.011,14.064,14.634,-38.653,-18.645,-20.75075,-90.605,3.23379944218723,4.22509394895882,4.10702527036725,4.64611793037069,4.39466108854376,4.37455831827373,4.1847273313556,5.075007497697,4.34993787809208,4.44807652453495,4.14315457883725,415.734421900929,420.524471585759,422.236923044028,418.79170878385,421.898493703857,421.246016134872,423.738068876676,420.540550205768,421.775161511598,423.374438991968,421.968130242541,2019.35946304337,2019.62684800408,2021.28234496341
1,4.25,3.03242361867566,2.03163209149676,0.110716599955384,0.432187964099572,-0.387129033447437,0.455845788726235,-0.616778687697973,-3.95925626637164,0.198498581083367,-27.8100960967505,-7.73269680007272,0.43166331344638,2.8025,2.13,0.895,0.52,0.5423,0.73125,1.62865,0.573,0.445325,0.6435,99.675325,56.86,1.256125,2.5125,2.485,2.98,2.67,0.3,-3.915,1.2,-1.235,0.1825,244.325,323.375,300.1,323.2,-0.06,-0.12,-0.42,-0.19,-0.16,-0.13,-0.03,-0.13,-0.195,2.21525,3.17525,5.20875,6.7355,8.90925,10.22475,11.162,12.43325,13.51525,3.79925,4.98275,6.58475,7.9625,10.067,10.31375,11.9685,12.7705,13.774,8.10425,8.65525,10.0975,10.7195,11.43225,12.635,12.65875,12.66475,4.97525,5.75475,7.07,8.34175,10.17325,11.22225,11.89925,12.973,13.903,5.62675,6.2675,7.75375,9.0445,10.69275,11.9085,13.01775,14.067,14.63975,-38.456,-19.2235,-20.0355,-88.86,3.21082280281872,4.13519583310401,4.12903264054587,4.56076739901785,4.32877326845637,4.28306034648846,4.16592517632517,5.34167676822706,4.74501141109242,4.44195652071217,4.02794261222131,416.192480599204,420.665027751461,422.417570015487,419.275503010631,421.550008856734,421.540172101954,423.855298053312,421.213544400862,422.569781852143,423.617391258198,424.061500765196,2019.74172532494,2022.76869987182,2019.39499987819
1,4.75,3.01617770227505,2.01246102706054,0.111901899897778,0.591383057001778,-0.452643286395338,0.729776085375834,-0.828108827028792,-2.24035964567432,0.17714695173382,-27.1148302578544,-6.5461997810046,0.450206258332662,2.7375,2.05,0.905,0.5,0.273725,0.42875,1.44615,0.451,0.4008,0.444225,99.6764525,57.7625,1.1948,2.3525,2.335,2.865,2.545,0.225,-3.7325,1.2,-1.21,0.1875,244.5,323.075,300.025,323.075,-0.06,-0.12,-0.42,-0.19,-0.15,-0.13,-0.0275,-0.13,-0.1925,2.11925,3.1285,5.03175,6.687,8.883,10.2335,11.151,12.432,13.5135,3.7785,4.8495,6.518,7.91725,10.07,10.30675,11.969,12.76975,13.772,8.042,8.63275,10.06825,10.67425,11.42225,12.608,12.591,12.6535,4.88725,5.6525,7.00625,8.3025,10.1665,11.219,11.89775,12.9695,13.899,5.571,6.1985,7.6915,9.0195,10.6845,11.90175,13.019,14.0645,14.6375,-41.188,-19.1935,-23.14975,-90.0925,3.23026735780982,4.12076301193376,3.74810207305457,4.59512873992286,3.99191728373638,4.14835972850585,3.66341086806086,5.01535944946095,4.43009132314144,4.37665517204132,3.71685705869303,416.02725779742,420.399767400502,421.784798004806,419.006526560574,420.302075401183,420.769834980887,423.656140545069,421.09939938195,421.514386990866,423.457992690533,421.534630536734,2024.35741215162,2023.08482277785,2024.27478847476
