DOY2,HR2,CO2,H2O,FC,LE,H,USTAR,WS,U_SIGMA,V_SIGMA,W_SIGMA,PA,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,G_3_1_1,SW_OUT,LW_IN,LW_OUT,NETRAD,SW_IN
1,0.25,372.18060595,5.420884678,0.9518521565,7.59227133625,-0.9924092545,0.276604403,2.76875539025,0.9475839925,0.941533423,0.4017571275,99.279733705,-0.7608404145,0.645715825,0.43206917475,1.895,-3.17364225,-1.717348,-3.64956075,0,301.82315,311.0385,-1.9632,0
1,0.75,370.9632793,5.366914805,0.935392058,7.93487,-1.0163033925,0.272741754,2.65167485,0.87201592025,0.9048652825,0.38976518825,99.29620045,-0.6578152665,0.64790915,0.42920062525,1.892,-3.0685195,-1.704667,-3.78938725,0,300.9851,311.0567,-2.0679989,0
1,1.25,370.619489875,5.325310823,0.7972470545,7.211035458,-1.35083517175,0.2611774015,2.67321612,0.8840682015,0.931809972,0.39089473975,99.2702508,-0.6988348895,0.6453696,0.425319,1.889,-3.11160925,-1.8756615,-3.73113075,0,299.66991555,310.6211,-2.05943105,0
1,1.75,371.24050975,5.5275330835,0.83659240325,8.1108684865,-0.84678,0.262067586,2.7139875,0.8725378215,0.89454896825,0.390059781,99.25396317,-0.81892,0.64011235,0.42001755,1.89,-3.176625,-2.082688,-3.665154,0,299.68395885,309.78315,-1.54172522,0
1,2.25,370.6099231,5.2438060995,0.918691809,8.29007234875,-1.364206832,0.2618209055,2.669412565,0.894570281,0.871043118,0.385607265,99.266150815,-0.87919415825,0.6342413,0.4187938,1.887,-3.09501575,-2.251686,-3.822711,0,298.78895,308.4104,-1.12996875,0
1,2.75,370.5230675,5.19386926575,0.823774726,8.0333403415,-1.2267059585,0.2638,2.633581942,0.86948019,0.882588817,0.387863084,99.26279733,-0.9610264525,0.6300993,0.419278333,1.885,-3.239385,-2.424253,-3.891215,0,298.6346,308.8953,-1.2259,0
1,3.25,370.85502845,5.1929720485,0.779449823,8.78696444,-1.4808523145,0.261031206,2.602485,0.89480197125,0.89185686575,0.39083617525,99.27807996,-1.095940839,0.629,0.41942508,1.8836475,-3.297328,-2.361112,-3.8539135,0,298.759865,308.73195,-1.4444,0
1,3.75,370.310157775,5.1985451595,0.835695379,8.10262572575,-1.288338695,0.26543862975,2.668285305,0.88300407825,0.8889076395,0.39144734025,99.275633595,-1.06680744375,0.625284,0.42056854,1.8666005,-3.264852,-2.343208,-3.85310625,0,299.29567675,309.27705,-2.04495,0
1,4.25,370.80198185,5.0512156515,0.8432242795,6.6587137415,-1.06180555,0.254308896,2.5731559555,0.8690052565,0.8720167965,0.3872414385,99.24523979,-0.9909225155,0.6241423,0.4167891915,1.8555155,-3.2270431875,-2.41193775,-3.85562625,0,300.1101,309.2976067,-1.94615,0
1,4.75,370.57661295,4.977249674,0.9727148185,7.115319035,-0.806559767,0.2594,2.656330137,0.891448857,0.872353836,0.395624499,99.256275555,-1.02276336525,0.6139462,0.415101625,1.84675725,-3.3737955,-2.347799,-3.87354925,0,300.32445,308.2067,-1.45345,0
1,5.25,371.8051364,5.041705476,0.88881040025,6.687645659,-1.357568194,0.257882413,2.52304,0.846831625,0.844483668,0.377416805,99.2457604875,-1.066329057,0.618705,0.4168964,1.83962175,-3.341941,-2.32756125,-3.8570945,0,300.39265,308.09735,-1.4672676,0
1,5.75,370.579249925,5.169063281,0.7669661845,6.9629038955,-0.469090593,0.259688114,2.53194,0.83629,0.828556817,0.380989668,99.23134808,-1.149405833,0.6128839,0.412175,1.86570525,-3.19231825,-2.21534375,-3.828844,0,301.2061,307.62060035,-1.18112,0
1,6.25,370.380152725,5.298822681,0.844009715,7.39282802975,-0.656351113,0.260792739,2.462083207,0.87867,0.85781,0.386007239,99.2998199425,-1.226075376,0.6095665,0.411876675,1.86893575,-3.2141485,-2.16502,-3.7674135,0,300.34568765,307.17635,-1.07453475,0
1,6.75,370.078429625,5.139694183,0.95888492075,6.79251597025,-0.613364371,0.2629836615,2.4384851805,0.807895,0.8596036705,0.378420839,99.29352602,-1.1309560715,0.6113942,0.3945517,1.8680305,-3.33977275,-2.2898655,-3.7552065,0,301.266625,307.8161779,-1.01692905,0
1,7.25,371.0414094,5.1851686675,0.94033095725,5.98331834,-0.66283,0.25189017275,2.445758268,0.804739347,0.82198,0.366804119,99.32719018,-1.12540663,0.609090775,0.3840513,1.871,-3.120704625,-2.276935,-3.702065,0,299.9774295,308.008116,-0.995240925,0
1,7.75,371.0379421,5.031935135,1.010972683,7.203477066,-0.64919254175,0.258429129,2.491708541,0.818470762,0.83503,0.37141,99.360897405,-1.103098162,0.6192143,0.38074785,1.84697925,-3.04284425,-2.375544,-3.547312,0.2763931,301.58285065,308.082121175,-1.089411325,0.07791964
1,8.25,370.8555605,5.04051521575,0.868019246,6.6468444715,-0.72859249025,0.2617013425,2.48215992975,0.84057828025,0.85285,0.37619265825,99.35981678,-1.330312789,0.614613625,0.3832917,1.841363,-2.89428975,-2.190759,-3.587995,6.019451,301.2329,307.8542725,0.615635055,7.5405765
1,8.75,370.915084325,4.97106264875,0.817212831,8.52474606375,0.9317474945,0.2689429735,2.591271035,0.86129914,0.912479762,0.388778857,99.39163771,-1.1850715765,0.607802025,0.37772235,1.82481875,-2.893268,-2.126301,-3.58981825,22.82278,302.585,309.6123,10.86401025,37.07717
1,9.25,371.6043942,5.133196825,0.887785,12.298647495,4.0309636195,0.28871015325,2.741329004,0.9033,0.95948,0.41295,99.368207055,-0.7595774155,0.605620075,0.37625425,1.85044025,-2.880966,-2.49873925,-3.5224805,50.2831894375,303.2101699,311.463225,28.52592435,84.332585
1,9.75,370.670607275,5.366397054,0.838497838,15.46902024,11.774708455,0.31229887925,2.8932963685,0.9900041005,1.0149624155,0.4182691775,99.3594293975,-0.79848748675,0.61657675,0.375446175,1.844023,-3.250842,-2.626296,-3.51194375,80.3429925,303.5717651,312.551775,54.13636938,129.1729
1,10.25,371.0144999,5.28035751875,0.78641667525,20.73478745,19.36363097,0.324705659,2.984739188,1.0334626845,1.0578226585,0.440958097,99.37952833,-0.035964165,0.6130426,0.371641975,1.8492305,-2.874677625,-2.629617,-3.463804,115.26125,303.39763625,314.078256,84.741255,183.0618
