DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,-64.2632775,-55.385485,-8.2355,-59.35292,-1.425908,0.0379785775,370.192875,3.727931,-5.2305475,87.58569,-8.758332,25.0964475,0.1764925,0,0,-0.798589225,0.4864875,3.4986125,5.26775,6.3979,7.76875
1,0.75,-62.756125,-56.715055,-8.00084125,-48.668585,-1.90385625,0.03990011,369.7475,3.31827375,-5.507786,87.568975,-9.22264875,24.89392,0.08480473,0,0,-1.1016985,0.214075,3.4684375,5.23295,6.405225,7.7495
1,1.25,-63.1076125,-55.56836,-9.21864125,-52.96315,-1.868735,0.03531379,369.46835,3.5122655,-5.8550115,87.57317,-9.76585275,25.44348,0.1858475,0,0,-1.3787065,-0.0497875,3.3673,5.25155,6.426275,7.8175
1,1.75,-63.4142925,-55.45572,-8.51481125,-56.757525,-1.55375,0.0355882825,369.64875,3.5480175,-6.72442775,87.56821,-10.18559,26.7195825,0.10798165,0,0,-1.70883375,-0.3546875,3.3450625,5.11065,6.4586,7.7495
1,2.25,-60.50141,-54.350905,-8.4150375,-47.63402,-1.918026,0.0325695025,369.96165,3.5706915,-6.94765975,87.55433,-10.592045,28.5378625,0.12697275,0,0,-1.97123425,-0.6122875,3.2014625,5.08115,6.485475,7.7695
1,2.75,-57.986895,-52.8788,-6.923712,-55.8345125,-1.1742935,0.0392623125,367.4176,3.7909075,-6.703255,87.54764,-10.9297075,29.944205,0.1507479,0,0,-2.2792705,-0.8976,3.1216,4.993125,6.533475,7.74975
1,3.25,-62.21345,-52.48762,-7.25192175,-50.01672,-1.1854875,0.039239335,359.1607,3.36614775,-7.8989405,87.508125,-11.138265,29.83447,0.15195935,0,0,-2.474292,-1.090225,3.034975,5.06945,6.606575,7.7995
1,3.75,-67.4092825,-53.688515,-7.736635,-55.52788,-1.7926175,0.0308955875,357.662775,3.53634425,-8.317257,87.47582,-11.900615,31.7279,0.11140817,0,0,-2.65015875,-1.27945,2.9357375,4.991225,6.643375,7.8095
1,4.25,-60.9271275,-52.5960225,-4.75411,-46.385865,-1.561572,0.030951325,362.34315,3.32071175,-8.8079515,87.44659,-12.5686275,31.8502875,0.11290465,0,0,-2.8044365,-1.457075,2.890525,4.870325,6.533725,7.7995
1,4.75,-66.4005325,-52.0257175,-5.599952,-53.384185,-1.078351375,0.02907221,369.287375,3.25135125,-8.886303,87.43893,-13.2819175,32.2771,0.12609758,0,0,-2.7571055,-1.400925,2.833975,4.85025,6.63365,7.8095
1,5.25,-66.9068225,-51.9006175,-7.2613685,-48.7084,-1.4618009,0.04459707,349.7462,3.153718,-9.5538365,87.423255,-13.3784425,33.424135,0.1477297,0,0,-2.95760375,-1.5696875,2.7263375,4.7322,6.545025,7.77975
1,5.75,-65.00389,-52.2710125,-7.514696,-40.707625,-1.951342,0.03323447,363.89665,3.401945,-9.776697,87.441045,-13.7857775,33.58908,0.18243235,0,0,-3.21732925,-1.8236,2.6472,4.606475,6.568525,7.7995
1,6.25,-62.89137,-50.26647,-9.217457,-30.9968125,-1.717165,0.03366116,367.9696,3.68656025,-10.49628,87.4533375,-13.865005,34.03284,0.08884252,0,0,-3.46803975,-2.05345,2.485325,4.57195,6.547525,7.7795
1,6.75,-63.4639575,-50.4230675,-10.1073285,-45.56174,-1.67018625,0.03209063,364.77535,3.4181975,-10.462355,87.479125,-13.53933,33.5095225,0.086164405,0,0,-3.73438875,-2.29175,2.39005,4.4788,6.5653,7.79825
1,7.25,-61.3585875,-53.042455,-6.824382,-55.30287,-2.23897125,0.037560985,368.1002,3.646462,-10.342565,87.499895,-14.1070975,32.0607475,0.101633025,0.04034508,0,-3.90287125,-2.44325,2.2688875,4.439925,6.51805,7.8085
1,7.75,-43.97758,-49.3171525,-10.127586,-44.911705,-1.42108,0.03530917,370.30965,3.401905,-10.35852,87.5296,-13.1771725,34.2459775,0.1330766,4.370145,11.6361925,-4.10722275,-2.6465375,2.1837375,4.359575,6.549825,7.83
1,8.25,-25.249095,-40.5816475,-7.6955625,-36.050155,-2.37047,0.03555756,374.00465,3.6800445,-7.77322825,87.5573875,-9.25930025,29.7830025,0.08668696,28.52984,43.824565,-4.12327625,-2.7165625,2.1585125,4.417,6.5841,7.91875
1,8.75,3.504831725,-32.98874,-6.62907475,-37.24745,-3.4653115,0.04187873,374.6494,3.7550355,-4.161231,87.58252,-5.64475,25.43855,0.1732024,50.95092,58.8450675,-3.817501,-2.5227875,2.2551875,4.525625,6.7092,8.159
1,9.25,28.7204325,-29.307585,0.361065,-10.5963465,-4.219335,0.05203167,374.503725,3.849098,-1.87879775,87.5871275,-2.0423265,23.2583725,0.1123999275,64.97608,110.0368275,-3.3049335,-2.187325,2.3022125,4.552275,6.86185,8.20775
1,9.75,62.16485,-24.18201,1.16897525,-0.6630686,-3.2779825,0.076881465,372.963,3.53935125,0.57792895,87.60625,0.64184825,18.51432,0.17876065,123.56561,166.2648,-2.737527,-1.8776625,2.3128875,4.611025,6.97465,8.2795
1,10.25,101.097125,-16.8036625,2.14795825,3.56247525,-3.660968,0.100120625,362.804975,2.7864695,2.98931375,87.6326125,3.64894875,16.3234125,0.199881125,145.8303,274.835625,-2.0235275,-1.369825,2.31195,4.688075,7.046025,8.4055
1,10.75,90.2028625,-4.5478924,3.98632475,-1.083085,-3.8615765,0.0974443175,362.1385,2.716412,4.4655245,87.655345,5.11884625,13.455545,0.225439175,133.1854,282.58365,-1.0857385,-0.70895,2.323175,4.542025,7.07735,8.4845
1,11.25,120.285925,7.6577685,0.64632555,10.64342275,-3.21505725,0.1003005625,361.9087,2.661347,5.409817,87.6425525,6.60875125,11.8987425,0.2623637,147.514,334.82525,-0.16878825,-0.13025,2.377425,4.42735,7.0595,8.44525
1,11.75,122.5098,16.2880475,6.82397175,15.3657475,-3.08041,0.12729695,360.6162,2.4034405,6.05639175,87.5973,6.957514,11.22249,0.28448285,177.2235,369.206725,0.1690622625,0.2937875,2.4138625,4.48375,7.12635,8.50825
1,12.25,124.104925,25.47644,5.373292,29.01566,-2.381672,0.113431,360.303875,2.32084875,6.5351215,87.539655,7.7275725,10.5139075,0.339859575,188.7001,368.111525,0.8915953,0.8269,2.1953125,4.371525,7.019425,8.38975
1,12.75,140.623075,26.3126325,5.2532073,45.922385,-2.891512,0.13097545,360.435,2.123343,6.2404795,87.4683075,7.0397035,9.801662,0.3544453,321.4148,377.083625,2.356578,2.1067,2.2253125,4.25105,6.97105,8.24975
1,13.25,151.04095,27.54702,3.02071525,57.76395,-2.4130415,0.180267025,360.6169,2.1175535,6.87531775,87.398865,7.6209295,9.481894,0.392053775,225.0593,381.710475,3.6273345,3.3885375,2.4529625,4.278425,7.0662,8.3295
1,13.75,73.1047975,7.053569,2.939875,12.9557685,-2.34886225,0.135740325,360.401825,1.910467,7.311514,87.3638825,8.52492025,9.3115355,0.33606805,91.3382,216.697475,4.5577005,4.2627625,2.670425,4.14745,6.88495,8.22975
1,14.25,67.55762,2.22342625,-4.91700725,1.3078692,-1.90360975,0.121621325,359.7283,1.957805,7.6942535,87.366915,8.4544115,8.87419325,0.350543125,99.6506,241.111875,5.46342425,5.2242625,2.9653,4.228875,6.889725,8.1795
1,14.75,60.514,-1.95104749999999,1.737342,8.73661,-1.6356,0.1520907,359.874625,1.80334325,7.91485175,87.3763,8.51061825,8.654731,0.445904425,169.7179,215.218375,6.1911735,5.8946125,3.0957125,4.24795,6.896125,8.25975
1,15.25,31.787985,-16.353725,-1.156996,-6.810815,-1.8178055,0.12780125,359.77635,1.80751825,7.854181,87.3857775,8.36436725,8.7792375,0.461962225,76.76101,139.382875,6.409216,6.3673625,3.3193875,4.263825,6.9298,8.21925
1,15.75,25.8883175,-35.07183,-3.437257,-5.796108,-1.0986525,0.116461325,359.4027,1.968103,8.0402255,87.388765,8.04432275,9.02577975,0.443508925,70.01104,116.6175,6.69587875,6.6923625,3.58355,4.23835,6.8352,8.18925
1,16.25,8.90776625,-44.912795,-2.3698895,-11.097806,-0.9960104,0.105573575,358.8019,1.744968,8.41505775,87.4091775,9.00792425,8.780457,0.3243967,43.28209,81.6184025,6.76019325,6.8122875,3.8683875,4.404475,6.801325,8.17975
1,16.75,-15.9772425,-49.736605,-4.0894965,-29.839625,-1.0478195,0.107710375,358.216825,2.009034,8.0339105,87.411265,7.968176,8.8125935,0.416976225,28.08499,53.5502925,6.51929625,6.648025,4.113175,4.521775,6.688675,8.13825
1,17.25,-61.47354,-50.337,-9.415464,-37.401125,-0.2910689,0.07982396,357.784775,2.13702875,7.053636,87.41776,6.70631,9.041202,0.491035,8.622818,19.53266,5.82769025,6.04785,4.018225,4.486925,6.4778,7.91925
1,17.75,-76.19106,-56.48778,-6.374759,-65.1379375,-0.30719525,0.05281216,356.819,2.1737015,6.122642,87.4315,5.108886,10.7513,0.4870328,0.6013976,0,5.0191315,5.4661625,4.0541,4.403725,6.34665,7.7675
1,18.25,-80.15208,-61.47325,-9.188179,-66.1183175,-0.35037675,0.04517261,357.103325,2.193652,5.064778,87.45209,3.83561,12.75031,0.3567898,0,0,4.21716525,4.921575,4.049825,4.636975,6.254525,7.70875
1,18.75,-76.95374,-62.82821,-7.3484875,-64.4471,-0.793391,0.04361794,355.937,2.41961,4.092124,87.46059,2.008787,14.30548,0.2143575,0,0,3.59638075,4.1632,3.9968375,4.7167,6.21075,7.69975
1,19.25,-72.7850325,-61.368815,-9.289375,-75.75285,-0.7711776,0.0473013925,369.473,3.0441575,2.8716815,87.4772425,-0.03586403,14.8924875,0.27783585,0,0,3.07887775,3.7166375,3.985925,4.8631,6.239225,7.7195
1,19.75,-71.49971,-59.7071875,-7.52532075,-62.937955,-0.7485755,0.04441058,369.78175,3.18993375,2.26555275,87.497085,-1.579558,16.7404025,0.146185825,0,0,2.5729955,3.26495,3.9519875,4.949075,6.2396,7.739
1,20.25,-68.7523825,-60.7881975,-7.795868,-57.2714525,-0.484445,0.0362201425,370.231975,3.283532,1.689076,87.4951525,-2.1577965,19.2166375,0.1633767,0,0,1.95383925,2.7179875,3.9344375,5.0265,6.240875,7.7095
1,20.75,-67.58223,-62.0964875,-9.14274,-57.43745,-1.81509,0.03547955,370.33795,3.3808915,-0.152421525,87.5200425,-3.06283075,20.3922225,0.2235323,0,0,1.554882,2.3063875,4.0393875,5.1501,6.255,7.70975
1,21.25,-69.63688,-62.2128925,-6.76537,-59.1471425,-1.131979,0.03458255,370.6654,3.498617,-1.6063065,87.5483475,-5.12580625,21.5335675,0.140114725,0,0,1.47692625,2.1090875,3.948275,5.178275,6.33615,7.77725
1,21.75,-69.5471725,-60.7640975,-8.8790265,-56.9327225,-0.988874,0.04313688,370.553075,3.63916025,-1.389635,87.579625,-6.34055275,23.717865,0.1440129,0,0,1.3067605,1.9222875,3.8091875,5.209725,6.34845,7.75825
1,22.25,-66.6015,-59.5435075,-6.63185225,-52.609725,-1.25345,0.0306198475,370.633075,3.6171305,-2.0057425,87.605025,-5.983679,24.71862,0.134903255,0,0,1.211874525,1.857425,3.77825,5.267525,6.40475,7.77775
1,22.75,-66.34316,-58.249185,-7.527617,-55.6496875,-0.6975393,0.03847007,371.245,3.5851585,-3.6417625,87.592565,-7.1552905,26.8150575,0.1669164,0,0,0.9785968325,1.7867875,3.78,5.256325,6.365175,7.71
1,23.25,-64.8769825,-58.526995,-6.990987,-56.50812,-1.377059,0.043161935,370.556,3.6715,-3.80993175,87.583955,-7.10830075,28.106975,0.144586275,0,0,0.627016975,1.5957625,3.706475,5.28855,6.397775,7.73925
1,23.75,-63.37648,-57.2046725,-5.7444375,-50.40496,-1.575358,0.0420864725,370.5404,3.792444,-4.372876,87.58242,-7.77476925,24.5361175,0.14213025,0,0,0.266956925,1.347975,3.610875,5.314575,6.431,7.8175
2,0.25,-71.53081,-59.0032125,-3.90067425,-56.73973,-1.07191375,0.0343608625,370.6888,3.146497,-4.07930925,87.3770375,-7.49269575,22.0219975,0.2368501,0,0,0.850675,1.8599125,5.1653625,6.63405,6.962925,8.198
2,0.75,-70.971555,-58.6982875,-6.7560805,-66.15609,-0.85810745,0.0345363075,373.035125,3.1980575,-4.19202975,87.374375,-7.97602525,21.5815475,0.162879675,0,0,0.5772875,1.5540125,5.0188125,6.5669,6.95855,8.22725
2,1.25,-71.209685,-58.2912,-9.608363,-55.010375,-1.17658,0.042506125,371.375,3.178541,-4.45800675,87.37326,-8.5115555,21.5043275,0.1077521575,0,0,0.3084125,1.293225,4.8430625,6.54795,6.9998,8.19825
2,1.75,-71.866345,-57.4478325,-16.034125,-57.7338075,-1.208,0.03644215,373.4341,3.292245,-5.201654,87.3553975,-8.5859375,22.536545,0.146839725,0,0,0.0373875,1.015225,4.694975,6.48885,7.0595,8.18875
2,2.25,-73.95424,-56.514475,-6.841395,-66.1139675,-1.116474,0.0385051275,372.70685,3.260206,-5.555873,87.35749,-9.24523675,22.89913,0.14904955,0,0,0.0110875,0.8239625,4.5251,6.372675,7.09975,8.17875
2,2.75,-70.4446125,-55.5106775,-9.094624,-59.8611675,-0.9946461,0.0399226775,372.8167,3.14933725,-5.837214,87.35349,-9.70363675,20.2808225,0.115547475,0,0,-0.1253875,0.721275,4.3960625,6.321425,7.1095,8.22775
