DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE,G_2_1_1,G_3_1_1
1,0.25,0.195752,-0.72,-13.8413522275,-4.3,-6.251,-2.8,400.525,4.191225,89.633,-4.957935,0.19,-3.614675,-5.31,-4.7,77.5037525,0,0,0,233.101665,289.61,-57.185,-0.9925,-0.134,0.596,1.29,2.538,4.12,0.05,0.255,0.29648631275,0.06,0.845,0.598,-12.9405,-2.0035425
1,0.75,0.2325,-0.8,-18.157,-4.5147475,-7.180215,-2.7771225,401.1,4.093425,89.627,-5.1433175,0.20472,-4.125175,-5.315,-4.88,77.04125,0,0,0,233.77,288.5074975,-58.8625,-1.018,-0.165,0.58925,1.28,2.519,4.14,0.0527175,0.26571,0.2992275,0.06,0.8373,0.9385,-14.9830675,-2.003715
1,1.25,0.17,-0.63701,-12.788146515,-5.3,-7.265735,-3,399.65,4.1,89.601315,-5.30371,0.1918825,-4.512005,-5.5203325,-4.82,77.42667,0,0,0,234.0749975,286.7,-56.63,-1.1,-0.192,0.601,1.265,2.54,4.118,0.05,0.26,0.31,0.06,0.755725,0.916,-15.0981525,-2.0039325
1,1.75,0.2225,-0.51,-17.0464575,-5.3,-7.6559,-3,399.475,3.95271,89.58447,-5.361565,0.19,-4.9691575,-5.6,-5.02,77.2555,0,0,0,233.498335,285.4249975,-53.768325,-1.083,-0.215,0.60275,1.26,2.53,4.123,0.053125,0.2642,0.28,0.051895,0.75325,0.857,-14.5852125,-2.004315
1,2.25,0.17,-0.706285,-14.0479839775,-5.1107725,-7.6937425,-3,400.975,4.06386,89.58122,-5.97,0.20234,-4.938095,-5.84233,-5.27,78.59725,0,0,0,232.61667,284.1674975,-53.2058325,-1.08525,-0.22575,0.5875,1.26675,2.54,4.126,0.054,0.2775,0.31843,0.06,0.825,0.58925,-13.8838625,-2.0286675
1,2.75,0.1675,-0.53815,-12.98244,-5.3,-7.581625,-3,401.703,4,89.5996525,-5.92,0.2,-4.73908,-6.068,-5.473,79.22667,0,0,0,236.13333,283.6175025,-52.03917,-1.177,-0.2235,0.56,1.2425,2.51575,4.092,0.0524,0.26,0.3,0.06,0.7931375,0.6665,-14.3374925,-2.1790425
1,3.25,0.192,-0.73575,-14.57,-5.3,-8.614675,-3,401.012,3.9,89.577385,-6.032895,0.210615,-5.619485,-6.32,-5.568,81.16675,0,0,0,233.3575025,282.116665,-52.6975,-1.2885,-0.3135,0.546,1.25,2.521,4.08725,0.0570825,0.279083582,0.32495,0.06,0.770655,0.656,-14.8767425,-2.73
1,3.75,0.2,-0.71,-16.89,-5.32095,-7.96686,-3,399.7,3.8771475,89.558705,-6.07,0.2021684685,-5.6004325,-6.245,-5.48875,80.9685,0,0,0,233.53,281.665,-52.885,-1.2875,-0.351,0.49525,1.249,2.53,4.106,0.051,0.28927214075,0.2825,0.06,0.793,0.61725,-15.3908,-2.8013625
1,4.25,0.1425,-0.645,-15.96826,-5.3208,-7.575,-3.000725,399.16885,3.80858,89.52373,-6.34,0.2004825,-5.690935,-6.385,-5.5955,80.725,0,0,0,232.2916925,281.783335,-52.8224975,-1.284,-0.348,0.536,1.23475,2.524,4.1055,0.0573,0.2711725,0.305,0.06,0.728,0.729,-15.3911,-2.9516525
1,4.75,0.1125,-0.61,-17.0352825,-5.322,-8.2,-3.0029,400.2,3.82478,89.514,-6.54938,0.1975,-5.5786625,-6.609,-5.59,80.15375,0,0,0,232.0249975,281.8825,-53.03,-1.37,-0.345,0.54475,1.245,2.52,4.0965,0.0592,0.287325,0.3104125,0.06,0.779,0.497,-11.2862975,-3.00174
1,5.25,0.136,-0.45,-16.94275,-5.322895,-8.2,-3.0029,401.123,3.9,89.48252,-6.675,0.20926,-5.6176875,-6.662335,-5.612,79.992,0,0,0,229.9,279.56667,-52.93,-1.49,-0.3595,0.47225,1.23,2.5,4.089,0.05,0.273075,0.28971,0.06,0.781475,0.483,-14.561265,-3.0018425
1,5.75,0.125,-0.59,-11.90834,-5.350105,-8.47965,-3.002175,399.82575,3.8,89.5425,-6.78036,0.197885,-5.3927775,-6.59,-5.58,77.7715,0,0,0,229.45,281.0525,-52.8075,-1.52375,-0.371,0.45,1.2275,2.51075,4.10725,0.05,0.2659775,0.2890975,0.06,0.79025,0.56275,-10.6504825,-3.0019775
1,6.25,0.09005,-0.61775,-10.023365,-6.129205,-8.30901,-3.00145,399.444,3.7,89.551365,-6.865,0.196765,-5.4874175,-6.881,-5.75,79.1841675,0,0,0,228.16667,279.985,-52.24,-1.5365,-0.4,0.491,1.22,2.51,4.07,0.053,0.276945,0.295,0.06,0.779,0.532,-15.0231725,-3.0021725
1,6.75,0.045,-0.6224,-17.98065,-6.4,-8.492,-3.003,400.2425,3.875,89.512925,-7.22948,0.2,-5.6157825,-6.887165,-5.7815,78.355,0,0,0,228.866665,280.37,-51.74667,-1.534,-0.435,0.445,1.2195,2.4865,4.08,0.0545,0.26,0.3,0.06,0.74,0.36,-14.2763225,-3.0021875
1,7.25,-0.065,-1.187,-10.43363096,-6.4,-9.0879725,-3.00079,400.10675,3.775,89.44404,-7.25,0.185,-5.67607,-7.265,-5.8505,78.62675,0,0,0,230.183335,279.63333,-51.19667,-1.55125,-0.4485,0.434,1.194,2.479,4.09275,0.05467,0.26,0.29843,0.06142,0.8039,0.194,-10.8754375,-3.0021725
1,7.75,-0.275,-0.3765,-11.2245,-6.4,-9.7285,-3.0031,400.275,3.8795,89.45514,-7.11666,0.1761175,-5.1885,-7.41075,-6.1885,79.353335,6.14133,0,0,225.5825,277.5825,-49.2800025,-1.552,-0.48,0.38,1.185,2.4705,4.093,0.056,0.29,0.26,0.06,0.75925,0.551,-13.519225,-3.0021875
1,8.25,-0.4571,-0.628515,-6.874965,-6.39443,-9.2,-3.00307,402.19545,3.8,89.585785,-6.91,0.2,-4.17826,-7.26,-6.012,78.91925,34.31875,12.5225,2.29925,225.985,279.935,-24.8783325,-1.52,-0.522,0.35925,1.13,2.437,4.045,0.05525,0.28,0.27,0.07,0.708,-0.409,-10.23818,-3.0037725
1,8.75,-0.42,-0.7875,-8.1162,-5.32478,-7.18306,-3,399.821,4.10071,89.53978,-5.32,0.2418775,-2.83853,-6.0975,-4.956825,75.671665,81.17667,38.99,7.5435,230.5825,286.658335,8.46923409275,-1.6725,-0.655,0.1475,0.95,2.321,3.952,0.06,0.2740931795,0.27078351925,0.08,0.561,-0.65475,-7.88218,-3.0037125
1,9.25,-0.8525,0.417,-6.34995,-5.3,-5.13069,-3.00145,400.565,4.597275,89.6782,-3.93,0.2216625,-1.42125,-4.59575,-3.57,70.795,135.47,65.83,11.81333,233.9325,295.1075,28.9917475,-1.384,-0.6325,0.15,0.97,2.29,3.938,0.0701175,0.25177,0.27,0.096755,0.457815,-0.87975,-7.1989525,-3.0028575
