DOY2,HR2,FC,LE,H,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,T_BOLE_1_1_1,T_BOLE_2_1_1,T_BOLE_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,PA,PPFD_IN_1_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_2,PPFD_IN_1_2_1,PPFD_OUT,WS,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,0.32,7.95,-24.23,0.55,410.3,410.4,410.3,410.5,-11.768,-12.977,-13.032,-4.01,-6.07,-6.65,99.32,0,0,0,0,185.16,248.47,-63.75,0,0,0,4.376,-13.722,-13.498,-13.6665,-13.74,-13.931,-13.6695,-13.595,78.8,82.95,84.4,86.15,85.9,-0.83,-0.591,0.03,0.612,2.04,2.05
1,0.75,0.355,7.82,-26.11,0.615,410.4,410.6,410.5,410.6,-11.8,-12.638,-12.695,-4.02,-6.12,-6.68,99.34,0,0,0,0,179.01,248.17,-72.1,0,0,0,3.915,-13.7045,-13.466,-13.645,-13.77,-13.955,-13.705,-13.635,78.8,82.9,84.4,86.2,85.75,-0.86,-0.589,0,0.658,2.05,2.04
1,1.25,0.345,8.42,-24.045,0.665,410.7,410.55,410.65,410.75,-12.518,-12.95,-12.921,-4.02,-6.17,-6.69,99.35,0,0,0,0,174.04,247.87,-67.5,0,0,0,4.015,-13.9675,-13.3935,-13.79,-13.945,-13.915,-13.66,-13.6,78.7,83.05,84.55,86.65,85.65,-0.838,-0.643,-0.02,0.641,2.01,2.06
1,1.75,0.34,6.85,-26.09,0.62,410.6,410.5,410.65,410.65,-12.631,-12.7545,-12.8105,-4.01,-6.22,-6.73,99.385,0,0,0,0,177.44,245.89,-57.3,0,0,0,3.941,-14.061,-13.608,-14.194,-14.36,-14.325,-14.01,-13.935,78.85,83.25,83.7585,85.9995,85.15,-0.865,-0.591,-0.01,0.61,2.07,1.98
1,2.25,0.34,8.22,-25.395,0.65,410.4,410.3,410.45,410.5,-12.7345,-12.939,-12.85,-4.04,-6.27,-6.78,99.395,0,0,0,0,175.895,239.05,-70.045,0,0.095,0,3.94,-13.7855,-13.4305,-14.2595,-14.28,-14.625,-14.37,-14.315,79.8,83.25,83.7,86.1,85.65,-0.8075,-0.714,0.004,0.5455,1.957,2.085
1,2.75,0.34,7.95,-23.07,0.645,410.3,410.3,410.35,410.4,-12.554,-12.683,-12.779,-4.04,-6.3,-6.89,99.4,0,0,0,0,177.44,233.28,-75.1,0,0,0,4.0115,-13.9095,-13.4065,-13.99,-14.005,-14.58,-14.375,-14.37,79.25,83,83.9,86.3,85.3,-0.838,-0.725,0.053,0.633,2.012,2.01
1,3.25,0.36,7.08,-21.99,0.635,410.4,410.2,410.4,410.5,-12.227,-12.261,-12.557,-4.08,-6.31,-7.61,99.43,0,0,0,0,175.16,232.27,-63.8,0,0,0,3.908,-14.0295,-13.585,-14.255,-14.27,-14.535,-14.35,-14.435,79.55,82.9,83.8,86.5,86,-0.804,-0.646,0.026,0.54,2.02,1.92
1,3.75,0.365,7.31,-22.31,0.68,410.2,410.2,410.3,410.2,-11.9065,-12.33,-12.2285,-4.12,-6.38,-7.6,99.44,0,0,0,0,173.39,231.7,-75.48,0,0,0,4.042,-13.856,-13.492,-14.315,-14.365,-14.445,-14.23,-14.36,79.5,83.25,83.95,86.4,86.05,-0.898,-0.724,-0.008,0.59,1.98,1.97
1,4.25,0.38,7.95,-21,0.71,409.95,409.9,410.1,410.2,-11.841,-12.3025,-12.01,-4.14,-6.4,-7.59,99.44,0,0,0,0,176.53,232.32,-74.54,0,0,0,3.999,-13.896,-13.529,-14.61,-14.635,-14.725,-14.455,-14.525,79.95,83.15,84,86.6,85.6,-0.908,-0.69,-0.12,0.61,2.06,2.04
1,4.75,0.34,7.62,-18.88,0.74,409.8,409.75,410,410,-11.8725,-12.334,-11.9295,-4.14,-6.43,-7.59,99.44,0,0,0,0,165.965,230.545,-72.535,0,0,0,4.18,-13.955,-13.6395,-14.935,-14.965,-15.02,-14.765,-14.685,79.5,82.9,84.4,86.45,85.65,-0.7925,-0.7245,-0.027,0.545,1.982,1.97
