DOY2,HR2,LE,H,FC,USTAR,TA,WS,CO2,VPD,H2O,RH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,G,APAR
1,0.25,-20.5730925,-230.9077,-11.88476875,0.05357072,-21.8106775,0.2934262,397.225725,0.000146545895,2.20132175,56.2099025,-52.9747405,-4.231739275,-0.3238548875,185.892945,225.8403675,-7.0347,-0.0321795647521498
1,0.75,-13.120545,-258.773,-19.2539525,0.072346675,-21.56956,0.325215875,398.145425,0.00012345546,2.3117275,54.130902,-52.804264,-3.9650836,-0.2525761,186.07432,226.1111,-6.9699,-2.6144091e-07
1,1.25,-17.32155,-164.13555,-8.88643525,0.08645088,-21.6548025,0.241992,397.375875,0.0001521682225,2.28251125,54.46144,-52.70848125,-4.107166575,-0.62113762,185.8332425,225.376215,-6.3431,-0.0415230925
1,1.75,-24.8576,-238.617,-8.2069975,0.0841779575,-21.42862,0.24026425,397.439375,0.00011840548,2.235609,54.666268,-53.10162,-3.9851224,-0.49103292,185.92506,226.19454,-6.3465,-9.23872075e-09
1,2.25,-15.235795,-164.99155,-19.75173,0.09036009,-21.6737825,0.2876062,397.2813,0.000123190715,2.35738525,56.1161425,-51.93969225,-4.2324195,-0.7432460025,185.826175,225.176245,-6.3626,-5.16325225e-08
1,2.75,-17.9454,-161.3683,-16.156595,0.09036852,-21.84354,0.3034847,397.66125,0.00011688092,2.336234,53.299532,-53.040656,-4.0447704,-0.60236666,185.20002,226.00888,-6.3412,-1.385807725e-08
1,3.25,-22.53155,-250.032,-13.489224,0.088241075,-21.9927625,0.15085565,397.816125,0.00012084674,2.286613,56.3903075,-52.36460525,-4.075768725,-0.421698365,185.3162125,224.60129,-6.3318,-7.4952841e-08
1,3.75,-15.04295,-215.43245,-6.90766975,0.06939722,-22.08504,0.4304066,397.50545,0.00011613148,2.197497,53.663394,-53.151342,-4.120281,-0.19423156,185.60098,224.31044,-6.3599,-5.9902663e-08
1,4.25,-11.1734175,-160.6216,-14.5374625,0.0857985,-22.369805,0.27801985,397.688,0.0001220832425,2.20239,54.7869575,-51.5675125,-3.86994695,-0.45551181,183.4879375,223.2783525,-6.3939,-0.041526565
1,4.75,-12.9096245,-182.488225,-9.414657,0.0892833125,-22.32532,0.306953875,397.742475,0.00012687782,2.25523775,55.38226,-52.649642,-3.9535832,-0.3612356,184.64632,223.0821,-6.4448,-4.6193596e-08
1,5.25,-11.2695375,-201.77145,-11.26571,0.0964185875,-23.020415,0.193409375,398.1178,0.0001300145825,2.16549375,53.63386,-52.844819,-4.071325775,-0.4316703675,181.3897625,221.96178,-6.4561,-0.0415234015
1,5.75,-12.5253,-193.90795,-13.98148,0.0674561225,-22.76142,0.21817425,398.34225,0.00012062688,2.133594,55.526608,-52.710186,-4.0259252,-0.40972294,183.35326,222.47876,-6.5008,-0.041519725
1,6.25,-21.59895,-183.126675,-7.89321375,0.08054424,-23.1333175,0.195937275,398.36555,0.00013300713,2.1239475,54.3453375,-51.45618175,-3.773332675,-0.5600325125,180.9100625,222.097155,-6.9056,-0.04152020925
1,6.75,-55.8623,-191.79135,-8.08517,0.08156693,-22.79064,0.24964035,397.499375,0.0001304892,2.18010625,57.155172,-51.351434,-3.6626064,-0.41145092,183.75618,223.14996,-6.8614,0.00934128935807725
1,7.25,-14.17734125,-174.6219,-13.18108,0.06179085,-22.9888225,0.2710851,396.629725,0.0001446501025,2.13441175,56.0989375,-41.3270455,0.26112776,-0.1329195025,182.667105,221.8010125,-6.4495,1.173148125
1,7.75,-13.532375,-210.2278,-11.53444575,0.1081252,-22.41174,0.27993355,398.436175,0.0001239646,2.078269,51.51256,-29.398576,2.2690484,0.55479098,186.6965,223.38882,-6.5034,5.4915461
1,8.25,-26.640415,-171.293675,-10.639085,0.1092354,-22.1295075,0.299962,398.50085,0.0001586130475,2.19252,50.2834875,1.556984775,5.735096675,1.435176425,187.5056025,225.808855,-6.4782,11.05293075
1,8.75,-21.1582125,-167.8558,-19.4451375,0.08679896,-21.63858,0.1600834,398.136875,0.00015426672,2.193,48.1336,1.6426414,9.1769088,2.318237,190.6747,228.68034,-6.4935,17.9278015
1,9.25,-22.360425,-112.0391,-36.146055,0.07930054,-21.7296,0.1685829,398.40035,0.000173111475,2.189758,45.2171625,6.41609705,9.018844775,3.19087515,191.635055,228.33194,-6.5076,20.92517925
1,9.75,-8.3492765,-107.518225,-25.202555,0.0693620225,-21.3828,0.1905144,396.574,0.00024542084,2.1511535,45.1018,6.0875388,15.120154,3.766585,193.81446,232.38172,-6.50425,26.17783175
1,10.25,-8.45932925,-89.56133,-13.64027,0.10074343,-21.23643,0.16945335,396.6355,0.023042890045,1.95911875,42.1872725,9.3814363,21.400544,4.552068425,195.6574525,232.8168975,-6.4942125,44.1507405
1,10.75,-7.755005,-99.8559075,-17.4324625,0.1168256,-19.5597,0.30290955,396.9016,0.00023305514,2.16440225,41.20256,9.7336034,22.58966,4.3026074,201.12734,238.21014,-6.5034625,43.78127675
1,11.25,-13.9523505,-120.52515,-22.11564,0.100467325,-19.5012375,0.317424175,396.641625,0.0377961256175,2.11277125,38.8875275,9.880715575,21.21039975,3.419160725,202.839055,238.06304,-6.545925,50.160092
1,11.75,-15.9516605,-93.7253,-15.73785,0.1069827,-18.85,0.23921775,397.277375,0.00283290368,1.99196075,37.67838,12.450776,29.415882,5.200826,206.80724,239.9935,-6.5471625,62.513944
1,12.25,-12.68799,-91.3980525,-14.90837,0.1226138,-18.6355225,0.1910558,393.9776,0.031402508325,2.060378,35.147595,10.5623885,26.07950425,3.96706035,207.07481,240.3424025,-7.194,53.40906525
1,12.75,-0.815744025,-39.24426,-16.08449,0.133989,-17.70644,0.2484236,394.8665,0.032624322,2.100592,35.96484,16.171434,27.227584,4.8663762,210.59426,241.07142,-7.101875,54.01936975
1,13.25,-27.905075,-87.338545,-20.2524,0.13792,-18.4949,0.231889,395.4375,0.03803082425,1.96497625,32.322065,12.7164888,24.0373995,4.001046075,208.378575,241.6657075,-6.399175,39.86146375
1,13.75,-22.832625,-43.1785725,-13.3089925,0.1229629,-17.1115,0.325220675,393.149,0.00374311424,2.0464185,34.382834,11.989372,19.096648,3.7264382,210.7524,242.2501,-6.2934125,39.2860865
1,14.25,-5.2305345,-72.31814,-15.2697,0.1215578,-18.276685,0.3118892,396.0285,0.00023786268,2.10127175,34.964985,10.0404508,17.213166,3.47759575,208.35246,238.5085325,-6.354625,43.22459125
1,14.75,-5.08991875,-61.365715,-16.0815475,0.099585525,-16.79388,0.18066925,397.92475,0.00017451524,2.1670245,34.97544,6.4287944,12.147916,2.8157768,210.18714,240.12592,-6.3885375,23.209843
