DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,G_8_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,FC_2_1_1,LE_2_1_1,H_2_1_1,CO2_2_1_1,H2O_2_1_1,T_SONIC_2_1_1,T_SONIC_SIGMA_2_1_1,WS_2_1_1,USTAR_2_1_1,TA_2_1_1,TA_2_1_2,RH_2_1_1,PPFD_IN_2_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,NETRAD_2_1_1,PA_2_1_1,LW_OUT_2_1_1
1,0.25,4.059995,91.55501575,10.5634,0.0378000000000002,0.388899999999999,1.78,0.17545,0.209425,1.306,1.25111799999998,0,424.555976,9.65598,88.4805,10.84555,1.074755,10.27425,9.61598,9.6477725,99.56,0.1,2.8414515,0,0,329.668664,341.166,6.76855224999998,1.814,2.3925,3.31125,2.67425,3.00775,4.3682,1.4484,3.20944675,2.64259425,1.80437775,9.7658735,2.54531775,29.2799924999999,15.4953725,415.39225,6.983432,10.3419775,0.815157024999999,11.3199,0.872389525,9.84463999999999,8.90378499999999,92.686395,0,0,0,335.3055,12.1156625,88.83,326.60625
1,0.75,4.62325,69.1966645,13.276625,0.0355750000000002,0.4572,1.943475,0.146199999999998,0.21935,0.221133999999999,0.795931749999993,0,424.57,9.6828935,88.430225,10.87095,1.00006525,10.21,9.51202,9.55122749999999,99.5375,0.0924999999999955,2.84417325,0,0,329.048,342.25,6.99162499999996,1.86547499999999,1.98625,3.33535,2.63547499999999,2.97435,4.329975,1.4608925,3.2034825,2.6166525,1.7925615,9.420405,2.22784125,31.43467,8.06271274999998,415.9662,6.929706,9.36793075,0.967290699999999,10.33247,0.786569025,8.9244975,8.04764,92.746145,0,0,0,337.439025,14.9826875,88.83,326.28765
1,1.25,4.70325,81.7525,12.93140375,0.0119750000000001,0.443025,1.934725,0.144674999999998,0.220175,-0.52241925,0.5324815,0,425.106632,9.623621,88.41755,10.943675,1.13933,10.48337825,9.58664,9.71677249999999,99.416875,0,2.891745,0,0,330.5435,342.603,5.74879999999999,1.87554999999999,2.60609999999999,3.369225,2.62959999999999,2.96935,4.33065,1.513955,3.29675,2.662385,1.89501,9.366578,3.227758,22.6539925,7.82027600000001,415.618775,6.8195545,8.94473625,0.7147384,9.94561,0.7625784,8.46155749999999,7.48292475,92.40225,0,0,0,323.771225,9.29930999999999,88.83,324.56685
1,1.75,4.553,91.228,21.07624275,0.015775,0.41975,1.966125,0.149775,0.213775,-0.725256500000001,0.491991749999998,0,425.049032,9.56559,88.426875,11.22450875,1.27576,10.428,9.47454,9.74249999999999,99.27,0,2.834715,0,0,328.6645,342.624,6.94263,1.91132499999999,2.34975,3.378125,2.629475,2.97685,4.322475,1.430725,3.060044,2.54434,1.781946,9.5693925,2.16063249999999,25.5070425,8.69789899999998,415.714,6.69202925,8.67333625,0.753652525,10.1191,0.71680625,8.26682275,7.20330225,92.4915,0,0,0,325.47875,11.178895,88.83,323.915
1,2.25,4.0885325,84.38942,16.63155,0.00842500000000004,0.40425,1.959875,0.122449999999999,0.206425,-0.99850525,0.405479999999993,0,424.609656,9.594315,88.4619,11.096437,1.0245525,10.714,9.45799999999999,9.76097499999997,99.5,0,2.834668,0,0,329.32125,342.17,6.22667999999999,1.91564999999999,2.20325,3.3478,2.607225,2.9641,4.3173,1.431925,3.13465,2.602007,1.83734,9.70933575,2.74163624999999,29.4557499999999,9.10547449999999,415.54735,6.64268875,8.522095,0.8079504,11.2638,0.772578525,7.9221405,7.11097975,92.3950275,0,0,0,326.223025,13.49839,88.8445775,323.217825
1,2.75,4.88225,92.55,14.01828375,0.00455000000000001,0.417475,1.965675,0.10885,0.202475,-0.928214500000001,0.359342999999991,0,424.635658,9.315925,88.4923,10.860775,1.08381,10.51125,9.62599999999999,9.55605,99.435,0,2.83150125,0,0,327.24025,341.156,6.04699999999995,1.89877499999999,2.71595,3.305575,2.5684,2.96785,4.322625,1.4923675,3.347872,2.69474,1.81156,9.88416449999999,3.241834,24.2607925,10.645884,415.63125,6.543795,8.19898375,0.873434399999999,9.63241,0.71200845,7.5785355,6.78856525,92.4287775,0,0,0,329.670525,11.5702575,88.8451725,323.3945
1,3.25,6.45130000000002,75.1429999999999,14.471125,0.00232500000000002,0.44765,1.9827,0.0835,0.19825,-0.9982145,0.359403749999991,0,424.61204275,9.254825,88.47025,11.194115,0.9301275,10.645,9.84936,9.76657249999999,99.435,0,2.87007,0,0,327.942,341.369,7.73864999999996,1.89625,2.042125,3.2725,2.5385,2.970625,4.30795,1.44667,3.19014,2.667368,1.79486,9.95625,2.21562575,18.197895,17.15436,415.71895,6.595724,9.241204,0.776868400000001,9.62127225,0.6856102,8.43501999999999,7.4105525,91.896145,0,0,0,326.058775,17.0531725,88.83,324.377
1,3.75,4.398475,68.4556,11.85892,0.02065,0.498325,1.94255,0.0669500000000002,0.1972,-1.0100325,0.189941749999999,0,424.60099925,9.17366,88.4656,10.9765,1.0012,10.4375,9.68334,9.71507475,99.36755,0,2.85245,0,0,328.00625,341.223,7.78187499999999,1.852175,2.026375,3.258025,2.527875,2.983075,4.274,1.44972,3.12808,2.6328,1.787414,9.3895,2.41792,17.3833600000001,8.94514400000001,437.5084,6.647648,9.467016,0.9450044,9.3721,0.7059332,8.56827749999999,7.69386749999999,92.2009725,0,0,0,327.1458,13.2636875,88.83,325.2786
1,4.25,5.00724999999999,64.8987,14.67215,0.021775,0.426125,1.940875,0.0596499999999994,0.1993,-0.986448000000001,-0.163312875000005,0,424.583895,9.36356,88.45215,11.0778,0.93182,10.4578,9.57598,9.79797749999999,99.4,0,2.890002,0,0,328.1875,340.484999,6.78087725,1.876175,2.04039999999999,3.2734,2.514975,2.983,4.2729,1.47647775,3.1308,2.58722,1.738425,9.28695,5.167896,35.52602,7.53955600000001,438.9202,6.639056,9.190688,0.977588000000001,8.5037,0.6590252,8.42717724999999,7.49335049999999,92.4251725,0,0,0,331.517275,14.3843775,88.83,325.959175
1,4.75,5.4081,96.204875,14.289125,0.0191,0.3515,1.936125,0.0464749999999996,0.209874999999999,-1.0156225,-0.508494250000001,-0.0225052750000012,424.752561,9.289475,88.462075,11.02735,1.06445,10.1525,9.2012,9.82325,99.4,0,2.824998,0,0,327.392,340.24,6.51524999999996,1.853025,1.99809999999999,3.274675,2.479325,2.980675,4.2834,1.437545,3.2328325,2.729523,1.7753775,9.896332,1.754254,14.1829600000001,10.91496,437.6338,6.640186,9.694136,0.945665600000002,8.19501475,0.6587608,8.75080699999999,7.96250699999999,92.155855,0,0,0,332.49225,15.876775,88.83,325.514575
1,5.25,5.8,90.82,16.7064,0.0100750000000001,0.310625,1.919375,0.0610999999999999,0.198225,-0.992239250000001,-0.53245325,-0.241481500000002,424.866559,9.178685,88.4701,11.00865,1.110635,10.06125,9.35184,9.70307249999999,99.335,0,2.816288,0,0,327.53008025,338.644,7.52025249999998,1.778975,1.95919999999999,3.269825,2.524775,2.98545,4.2719,1.51376575,3.19723,2.665325,1.81963,10.1519,6.418529,27.2757925,5.69465224999998,436.02595,6.6773345,9.16313449999999,1.0499509,8.11376,0.668572025,7.82758249999999,7.21247749999999,92.5471725,0,0,0,332.41775,16.4333525,88.83,324.370575
1,5.75,3.8975,75.9830999999999,16.2935,0.0131,0.244875,1.9435,0.0360749999999999,0.207574999999999,-0.969092250000001,-0.532486,-0.203848125000008,424.885082,9.313177,88.4797,10.19248,1.018906,10.1185,9.10508075,9.20066450000001,99.3,0,2.857532,0,0,327.9925,338.022,7.9207,1.73695,1.89419999999999,3.2735,2.5673,2.969475,4.2677,1.5092,3.25334,2.74116,1.86736,9.7812575,4.04504275,14.89289,11.0762,440.454925,6.81205125,8.725201,0.8969507,9.5770725,0.617957675,7.54883774999999,6.86253224999999,92.784105,0,0,0,331.808975,12.437645,88.83,324.14215
1,6.25,4.25992499999999,83.8182499999999,15.02,0.00787500000000003,0.229125,1.914,0.040025,0.169749999999999,-0.9924905,-0.53247925,-0.244985500000007,424.6038275,9.14670125,88.488,10.5662,1.313955,10.19375,9.04044174999999,9.3276645,99.136,0,2.88693,0,0,328.338,338.0475,8.22385000000001,1.6689,1.85657499999999,3.244625,2.554425,2.9743,4.2629,1.57372,3.208745,2.72395,1.86311,9.67794249999999,4.093268,11.19364,13.560804,415.2551,6.857396,8.684832,0.8030396,8.44582775,0.6743352,7.48626524999999,6.76992249999999,92.5073,0,0,0,332.504975,13.32997,88.8405,324.8446
