DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA
1,9.25,3.07094,3.116437,0.71673065,0.1326337,0.2473308,66.45825,-0.5101316,-0.4239805,430.9474,50.67754,279.307,281.833,15.84875,-7.7950825,88.97666,2.040313,2070.276,4.304497,0.007347405,0.09123474,0.3909057,-0.05958659,96.03486
1,9.75,6.9709275,4.761356,0.854350885,0.15577935,0.29784265,101.478,-0.6724150675,-0.61729395,430.4833,75.22646,276.3044,282.70925,21.992585,-7.883067,88.698325,2.0206945,2068.1065,3.433386,0.0050103345,0.1581186,0.5567425,-0.03949562,96.06442
1,10.25,10.64419,6.3612915,0.876011,0.1619532,0.3765289,166.34945,-0.85183345,-0.82441305,430.1126,103.1305,275.17265,284.12145,30.31154,-6.887269,86.8624,2.139611,2068.025,3.183811,-0.003587688,0.15746205,0.5733321,-0.0173348385,96.00804
1,10.75,13.216215,6.998203,0.8934324,0.18074001,0.4684879,195.81355,-1.08434,-1.039844,429.991,130.73875,272.6175,287.8646,35.143415,-6.7585465,85.035335,2.139331,2068.3395,2.606805,-0.003416886,0.09619214,0.6683092,-0.02937007,95.9964
1,11.25,13.63291,8.136153,0.985816925,0.18668345,0.5915858,231.458,-0.894529246,-0.8516905,429.0983,146.7421,274.5337,289.5214,37.93579,-6.042421,82.32069,2.181295,2067.5175,3.283947,-0.009026057,0.07786822,0.5091583,-0.0054610615,95.9808
1,11.75,17.201915,10.11814,1.038449,0.1938861,0.6870341,239.541,-1.183982,-1.130183,428.6387,142.725,259.152,290.9335,50.28508,-5.808766,80.8075,2.209014,2068.475,3.897146,-0.007963141,0.04499313,0.3710105,-0.001793096,95.95184
1,12.25,17.22,7.229139,0.91444145,0.1833632,0.7111002,248.1085,-0.861504694,-0.83565935,428.0851,164.94625,256.8754,292.10125,46.828075,-5.4853165,78.16925,2.191226,2064.528,3.573288,-0.006979112,0.068297865,0.38315685,-0.04243417,95.960485
1,12.75,17.3689,7.933973,0.94570495,0.2007222,0.7306578,220.3686,-0.922025,-0.91983785,427.45845,144.6186,264.7859,293.6177,44.12158,-5.23975,78.049425,2.2457685,2062.8165,3.633363,-0.005739828,0.03392613,0.2443044,-0.02205015,95.94463
1,13.25,15.15,7.0875985,1.0377415,0.1922399,0.7992234,191.7257,-1.0513625,-1.0075945,427.1984,130.7545,257.4359,294.0848,39.28517,-5.038051,77.07834,2.2785485,2064.3355,3.8097915,-0.009617048,0.02333009,0.1497162,0.016496955,95.96922
1,13.75,13.925,6.981425,1.029038349,0.1955693,0.76875315,186.9408,-0.9350458,-0.9141958,427.106,119.5106,259.0428,292.9989,31.88308,-4.375634,75.71633,2.3645885,2063.6025,3.113668,-0.00117303235,0.0026100015,0.1055967,0.0087509175,95.93365
