DOY2,HR2,CO2,FC,CH4,FCH4,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,RH_2_2_1,RH_2_3_1,TA_2_2_1,TA_2_3_1,TAU,T_SONIC,USTAR,WS,VPD,U_SIGMA,V_SIGMA,W_SIGMA,SW_IN,SW_OUT,TS_1_1_1,TS_1_3_1,NEE
1,0.25,483.3402,12.69404,2360.39125,38.225,12.672695,18.1955725,66.44913,403.66522675,412.715862583334,-1.44189758333336,103.3377,99.0647577666666,100.126768666667,19.9147924666667,19.781571375,0.032845,21.7509,0.6489505,7.438341,7.990062,1.6271486563357,1.2992981198573,0.724195820026498,0.0528546628499984,0,17.7241487666667,17.9734331,8.85016500000005
1,0.75,492.6168,6.87627199999999,2411.6335,43.3525,8.970252,17.6129775,53.0434,407.33452,413.624369916667,-0.463082076933385,103.316,99.118550125,100.133325416666,19.80174835,19.8243157583334,0.01847,21.6258,0.54915035,7.180531,7.90229075,1.52990924298851,1.20676995038185,0.685560646826655,0.716204032983332,0,17.7259662333333,17.9483570166667,3.62792974999999
1,1.25,479.040225,6.04341100000001,2384.451,13.75,11.3871,17.2530175,56.23205,408.467762166667,416.817288166666,-1.26550209434164,103.280875,99.133232675,100.24416975,20.160384775,20.163375775,0.0156625,22.23575,0.5995485,7.0975575,7.75391275,1.76564044270143,1.39989771800536,0.731542575041125,0.188431333999999,0,17.7275351333333,17.94625425,5.321617
1,1.75,488.3684,6.40233599999998,2333.5645,18.715,8.71141299999999,18.0523,71.95307,405.885722333333,414.002105333333,-1.00828299999998,103.2566,99.1135523333333,100.226301333333,19.8139012,19.6580405666667,0.00895249999999998,22.7119,0.61412745,7.0770515,8.3483615,1.62126213929046,1.32868954559894,0.706010518942947,0.210642882533332,0,17.7372647333333,17.9805405666667,5.28539600000002
1,2.25,487.2472,6.68460175,2336.164,15.6,8.59899875,18.17809,61.153645,405.474861333333,413.357926333333,-1.62514042612005,103.2803,99.1373172666667,100.223194333333,19.5806597,19.5402010666667,0.028375,22.34775,0.6084085,7.23445,7.55318,1.60265628900115,1.32086328720013,0.715385819750295,0.245720868059999,0,17.7370461666667,17.9775640666667,7.75452400000001
1,2.75,485.51355,5.57289875,2444.8365,20.6475,11.0611775,17.34035,74.7491625,401.710707,411.616834333333,-1.87425846533322,103.287,99.1302167666667,100.236479333333,19.1622528,19.2843069,0.021375,22.090625,0.6228544,7.15081125,8.20266,1.72210059593213,1.36376718113949,0.732115057669988,0,0,17.7364280666667,17.9705120333333,4.18887925
1,3.25,482.4719,3.86279775,2373.28,16.18,14.7029475,17.339,68.3561,403.129438666666,410.913378,-2.88082875143332,103.294,99.1170203333333,100.2437405,18.9860556833333,19.2033992333333,0.00803525,22.020725,0.5978806,7.07489425,7.952915,1.78825532359699,1.57421205707326,0.747062411079976,0,0,17.74542205,18.0228879833333,3.352735
1,3.75,482.1611,6.67120074999998,2338.9625,31.7,7.61139325,17.2056,77.21095,398.748714583333,409.761050833333,-1.84441871109177,103.2875,99.0511798333333,100.236055833333,18.77543625,19.170545,0.0198025,21.692825,0.5469061,6.54283225,8.95519,1.75269704921361,1.53938501649382,0.719924358495879,0.0507554555749999,0,17.7453875,18.0372595,7.31433900000005
1,4.25,482.8325,6.599165,2424.36475,16.47,13.832505,18.0708625,73.48868,400.727109166667,410.013255833333,-1.27310749999989,103.285,99.07353475,100.263499166667,18.7564939166667,19.01301125,0.017725,21.5657500000001,0.63685335,7.764666,9.453611,1.97123392576667,1.65041540979169,0.803058232285233,0,0,17.7398257916667,18.016737125,4.92162649999998
1,4.75,480.3583,3.640239,2379.094,18.64,5.966555,18.6752075,76.3816899999998,405.89368,409.734921333333,-0.3302560000001,103.2619,99.0686804666667,100.293591333333,18.8988018,18.8845364,0.0218,21.776,0.6583795,7.00275,8.8403205,1.79738940783792,1.51054763127535,0.718802531727131,0.0450872257333322,0,17.7351428666667,18.0231386666666,4.6994925
1,5.25,484.445625,5.10744700000001,2364.845,13.83,5.475849,18.4556,97.7543,405.465314,409.218997333333,-0.323406000000033,103.25575,99.0917742666667,100.314503333333,18.8128105333333,18.7338933333333,0.0208074999999999,21.71025,0.591700824999999,6.96506875,8.435854,1.57969881145172,1.38181212096731,0.67052053514802,0,0,17.7273927333333,18.0090229333333,9.49407724999981
1,5.75,485.895,5.1174125,2407.26125,22.2,7.81320600000001,18.382195,59.9656,403.752982083333,409.126555333333,-0.381109833333383,103.272025,99.0764689916667,100.3136335,18.7318969166667,18.8241939833333,0.0109935,21.46675,0.656964175,7.6133875,7.9148195,1.79017808524409,1.37535932297997,0.724891808868681,0,0,17.710617425,18.0215639833333,2.48951625
