DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,382.135,3.991,0.677,-11.096,-17.6205,2.634,1.35,0.16,0.471,0.561,0.2285,99.9995,69.163,1.861,2.08,3.809,0.3105,0,-1.112,1.651,294.865,325.35
1,0.75,382.45,4.0095,0.5415,-10.935,-14.31,2.8315,1.303,0.151,0.422,0.4995,0.2135,99.9885,68.798,1.94,2.055,3.7045,0.3015,0,-1.19,1.659,297.28,325.34
1,1.25,382.67,4.034,0.673,-11.62,-16.05,2.395,1.326,0.1585,0.4645,0.557,0.2045,99.973,69.146,1.919,2.04,3.265,0.322,0,-1.028,1.725,295.42,324.825
1,1.75,382.41,4.0225,0.6345,-10.993,-17.401,2.8175,1.2145,0.1415,0.43,0.476,0.199,99.966,70.497,1.428,1.99,3.307,0.333,0,-0.989,1.728,296.7,322.535
1,2.25,382.74,3.93,0.638,-10.877,-18.6,1.852,1.31,0.151,0.447,0.489,0.222,99.978,70.996,1.105,1.94,3.185,0.326,0,-1.011,1.58,293.85,322.77
1,2.75,382.82,3.828,0.6,-11.28,-18.1855,2.532,1.373,0.147,0.462,0.526,0.2275,99.99,71.244,0.965,1.86,3.0565,0.316,0,-0.873,1.66,298.44,322.24
1,3.25,383.52,3.972,0.648,-9.915,-14.395,2.479,1.341,0.133,0.426,0.516,0.225,99.989,74.131,1.02,1.7,3.096,0.318,0,-1.166,1.542,299.06,322.53
1,3.75,383.31,3.859,0.609,-9.87,-15.482,1.714,1.323,0.151,0.404,0.537,0.226,99.979,76.007,1.04,1.61,2.7955,0.292,0,-1.012,1.566,304.905,322.305
1,4.25,383.105,3.849,0.638,-9.585,-14.122,2.2255,1.286,0.165,0.436,0.538,0.222,99.975,75.556,1.049,1.57,2.803,0.314,0,-0.991,1.48,300.98,322.135
1,4.75,383.315,3.8655,0.548,-9.715,-15.084,1.688,1.3105,0.16,0.43,0.522,0.216,99.982,75.847,0.932,1.48,2.874,0.318,0,-0.93,1.5,299.015,319.885
1,5.25,384.1,3.782,0.671,-9.76,-14.446,2.911,1.282,0.166,0.438,0.524,0.228,100.02,76.979,0.825,1.53,2.288,0.308,0,-0.835,1.5,302.775,319.245
1,5.75,382.97,3.8985,0.627,-9.375,-13.582,2.0295,1.215,0.158,0.441,0.535,0.226,100.03,77.415,0.809,1.43,2.3215,0.3055,0,-0.888,1.391,302.755,319.575
1,6.25,384.385,3.875,0.6045,-10.14,-11.95,2.6345,1.156,0.153,0.459,0.531,0.227,100.08,77.4965,0.512,1.4,2.077,0.326,0,-1.092,1.374,302.83,319.66
1,6.75,384.28,3.835,0.577,-9.819,-12.6195,2.329,1.082,0.1455,0.45,0.483,0.211,100.07,78.041,0.2105,1.335,1.723,0.29,0,-0.95,1.563,303.135,319.29
1,7.25,384.57,3.8945,0.546,-9.095,-14.5295,2.589,1.11,0.138,0.42,0.481,0.191,100.1,79.806,0.13,1.27,1.595,0.285,1,0.777,1.769,303.745,318.115
1,7.75,385.04,3.936,0.547,-8.608,-10.569,3.218,1.089,0.134,0.393,0.49,0.195,100.13,79.728,0.172,1.23,1.854,0.28,41.41,23.049,7.25,306.415,319.955
1,8.25,385.365,4.092,0.26,-7.567,-6.62,7.718,1.174,0.163,0.463,0.584,0.247,100.15,75.925,0.6845,1.45,2.141,0.31,137,66.843,16.791,305.845,324.235
1,8.75,385.39,4.009,-0.097,-6.521,-0.951,17.0325,1.451,0.189,0.548,0.701,0.28,100.19,70.476,1.497,1.855,2.95,0.333,277.3,125,30.086,304.04,330.705
1,9.25,382.985,4.133,-1.061,-3.475,9.585,27.515,1.661,0.233,0.68,0.823,0.339,100.2,65.5555,2.942,2.37,4.558,0.355,410,219,54.364,298.41,341.82
1,9.75,381.35,4.0545,-1.376,-1.07,27.465,37.079,1.844,0.26,0.806,0.972,0.406,100.17,60.266,4.432,2.91,5.757,0.391,538,286.89,67.622,296.475,348.305
1,10.25,380.2,3.874,-2.017,4.066,40.519,38.9945,2.061,0.284,0.8845,1.0745,0.434,100.2,56.407,4.857,3.48,6.566,0.4265,642.4,351.1,81.853,292.95,354.79
1,10.75,379.765,3.9825,-2.042,7.541,62.597,43.84,2.194,0.306,0.947,1.125,0.434,100.19,52.302,5.885,4.02,7.183,0.454,754,424.12,93.2,290.995,362.87
1,11.25,379.11,3.883,-2.261,11.555,71.916,46.7585,2.2545,0.3135,1.026,1.179,0.444,100.145,49.8135,6.365,4.38,7.589,0.499,837,437.55,95.849,297.81,366.795
1,11.75,378.705,3.9855,-2.3215,14.5575,78.449,47.655,2.3165,0.327,1.0885,1.281,0.451,100.1,48.495,6.818,4.64,8.039,0.5095,872,466.78,98.9635,299.05,369.59
1,12.25,377.54,3.941,-2.175,15.48,87.239,48.956,2.158,0.313,1.091,1.263,0.465,100.05,46.874,7.142,5.04,8.58,0.513,894,500.55,108,299.47,374.2
1,12.75,377.235,3.864,-2.0085,18.09,91.5795,52.752,2.33,0.326,1.116,1.3035,0.452,100,44.574,7.235,5.4,8.984,0.524,912,511,112.94,295.94,376.79
1,13.25,376.815,3.885,-2.0975,20.6,86.806,49.141,2.287,0.3075,1.113,1.25,0.453,99.9485,42.521,7.569,5.76,9.146,0.487,870.5,500,107.68,285.855,376.54
1,13.75,376.095,3.96,-2.18,19.6475,74.3,50.746,2.234,0.318,1.153,1.27,0.455,99.907,41.7195,8.2595,6.035,9.677,0.44,808.53,431.37,97.555,302.33,375.14
1,14.25,376.695,3.8555,-2.0015,19.0125,59.41,46.407,2.35,0.309,1.1145,1.2355,0.4515,99.878,40.4575,8.456,6.225,9.8375,0.412,730,390.8,88.3,300.73,374.77
1,14.75,376.6,3.7185,-1.558,18.77,45.251,40.7715,2.3405,0.305,1.066,1.221,0.447,99.899,40.697,8.883,6.445,9.71,0.339,615,326.66,77.504,301.77,373
1,15.25,376.93,3.9005,-1.672,16.104,28.216,36.34,2.293,0.279,1.033,1.144,0.424,99.886,40.578,8.7845,6.33,10.055,0.275,498,271.72,69.4055,294.84,370.02
1,15.75,376.39,3.796,-1.2315,11.5825,7.48,25.679,2.144,0.2725,0.963,1.057,0.399,99.8785,40.775,8.727,6.2,10.15,0.183,329,185.31,47.712,289.47,363.38
1,16.25,376.95,4.124,-0.755,7.6245,-4.071,17.4105,1.959,0.237,0.8255,0.9225,0.367,99.914,41.6795,8.19,5.945,9.9915,0.172,210.3,110.38,32.8005,287.46,354.17
1,16.75,377.29,4.001,-0.015,4.4065,-14.239,9.522,1.599,0.1905,0.65,0.724,0.304,99.9155,43.592,7.6915,5.6,9.661,0.235,86,45.002,14.918,293.3,346.32
1,17.25,378,4.162,0.1195,0.065,-15.95,4.31,1.225,0.132,0.494,0.556,0.229,99.931,46,6.882,5,8.892,0.369,9,6.67,2.783,283.05,334.64
1,17.75,378.68,4.377,0.4295,-4.785,-9.596,1.902,1.081,0.1185,0.415,0.477,0.187,99.962,50.5775,6.047,4.33,7.6875,0.409,0,-1.489,1.357,279.41,328.84
1,18.25,379.75,4.217,0.19,-7.225,-6.9445,0.8665,1.088,0.103,0.364,0.4265,0.1625,99.988,52.75,5.032,3.81,6.772,0.3655,0,-1.86,1.61,280.405,327.185
1,18.75,379.95,4.317,0.39,-8.5615,-6.568,0.763,1.015,0.104,0.331,0.422,0.152,99.998,56.292,4.448,3.45,6.344,0.33,0,-1.619,1.789,283.19,325.985
1,19.25,380.335,4.2865,0.327,-9.9065,-8.627,0.702,1.1585,0.099,0.345,0.433,0.156,100.025,58.837,4.042,3.15,5.832,0.346,0,-1.308,1.888,281.14,322.29
1,19.75,380.51,4.3225,0.443,-10.8265,-12.8,1.188,1.19,0.114,0.3645,0.4265,0.1625,100.05,59.066,3.9515,2.95,5.158,0.371,0,-1.2365,1.8235,279,321
1,20.25,380.235,4.239,0.338,-10.5225,-10.605,1.34,1.179,0.111,0.3595,0.4905,0.1695,100.07,61.46,3.3925,2.77,4.938,0.3375,0,-1.1785,1.8305,286,321
