DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY
1,0.25,0.153605,0.1783445,0.167206,-7.2e-05,-5.094553,-0.118526,0.098393,-0.011814,417.40705,1.837179,-7.8456225,-5.36348525,-1.787456,-1.598765,-1.436908,-1.3820075,-20.24989,82.66518,0.444672337,2.215638,0,0.8010092,252.309,277.8317,0.0024287565,98.639822,-8.940642256
1,0.75,0.153471,0.1332115,0.174535,0.000716,-5.9255295,-0.05352,0.1584255,-0.0064812245,417.467743,1.9990955,-7.7783075,-5.45432575,-1.806594,-1.588887,-1.4508465,-1.376305,-20.12983,82.48456,0.449823711,2.133672,0,0.7379162,247.0478,277.0504,0.0009385385,98.64074,-8.967581525
1,1.25,0.151871,0.18878,0.216364,0.008881,-5.32866,-0.129909,0.205583,-0.018302,417.9790885,2.208394,-7.9609385,-5.520123,-1.845741,-1.647759,-1.4976505,-1.397478,-19.91513,82.72287,0.4152143545,2.139838,0,0.8140196,246.7323,276.5613,0.00083911,98.63993,-9.1841992435
1,1.75,0.144008,0.177809,0.153412,0.005445,-6.62126,-0.034097,0.245347,-0.009139,417.979927,1.8833585,-7.834999,-5.50458025,-1.8487125,-1.6348825,-1.5500435,-1.4179495,-20.67806,82.68101,0.4055420345,2.216671,0,0.8423246,247.07175,275.8734,0,98.655942,-9.3136953405
1,2.25,0.1426605,0.138885,0.1183665,0.005336,-4.5934895,-0.1356437715,0.250458,-0.012294,417.972958,1.993601,-7.972645,-5.39224125,-1.832462,-1.662047,-1.588727,-1.4703535,-19.40195,83.133465,0.3893590225,1.980648,0,0.9077795,244.4458,274.9986,0.0004015665,98.686066,-9.336460161
1,2.75,0.144488,0.1346905,0.138815,0.0039405,-5.1831485,-0.031127,0.208945,-0.000945086,418.261043,1.9345505,-7.752611,-5.37384325,-1.84449,-1.67194,-1.574852,-1.498512,-20.46044,82.878075,0.3792296085,2.042733,0,0.8542116,244.69525,276.3093,0.000187088,98.713538,-9.4049635095
1,3.25,0.142238,0.1715975,0.157402,0.005391,-6.217653,-0.094614,0.159998,-0.015466101,418.319892,1.9888465,-8.039612,-5.43911425,-1.856763,-1.718124,-1.624921,-1.514216,-19.09178,83.235815,0.373799921,1.935339,0,0.8706068,247.45695,276.6578,9.07655e-05,98.699662,-9.2669568345
1,3.75,0.1528446,0.1846635,0.1595975,0.0065668265,-5.292738,-0.080325667,0.206831,-0.015762,418.758063,2.018464,-8.095909,-5.52083425,-1.883289,-1.737089,-1.65576,-1.546735,-16.294715,82.958995,0.355908553,2.1019035,0,0.8257588,247.77015,276.1103,9.2617e-05,98.695794,-9.2742885
1,4.25,0.14528465,0.207731,0.215283,0.003439,-5.182288,-0.0610001415,0.207567,-0.007995066,418.603397,2.0757245,-8.1539025,-5.667659,-1.893517,-1.732437,-1.723434,-1.5386,-15.896215,83.821415,0.335443257,2.110508,0,0.8251148,252.78335,276.0752,0,98.673271,-9.2941265085
1,4.75,0.142315,0.184152,0.198894,0.003306,-5.358515,-0.0500015,0.058503,-0.000518113,418.2780091,2.0035005,-8.2766685,-5.73517525,-1.882472,-1.685845,-1.622263,-1.581116,-17.482565,84.143395,0.346514998,2.0896975,0,0.8828251,252.18925,275.6657,0,98.671705,-9.2153211435
1,5.25,0.15157045,0.218682,0.208518,0.0062815,-4.5523155,-0.017592,0.2100855,0.003806,418.48502895,1.973485,-8.170026,-5.79517625,-1.903606,-1.735587,-1.639993,-1.566382,-15.60692,84.21369,0.342820032,2.0365125,0,0.8741164,255.6461,276.1182,0,98.689271,-9.1761645
