DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,PPFD_OUT,APAR,FAPAR,WS,USTAR,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1
1,0.25,0.1,-26.85,-0.3,-0.21792,-11.5,75.1,-45.5,0,0,0,0,0,0,1.71,0.16,98.52,-12.1,1.3,1.7,2.4,3.4
1,0.75,0.1,-25.65,-0.3,-0.218525,-11.8,75.1,-44.2,0,0,0,0,0,0,1.72,0.16,98.49,-11.9,1.3,1.7,2.5,3.4
1,1.25,0.1,-24.9,-0.2,-0.2204675,-11.9,75.4,-44.1,0,0,0,0,0,0,1.79,0.1575,98.49,-12.4,1.3,1.7,2.5,3.4
1,1.75,0,-25.7,-0.2,-0.20789,-12.3,75.3,-43.8,0,0,0,0,0,0,1.8,0.1625,98.49,-11.7,1.3,1.7,2.5,3.4
1,2.25,0.1,-26.3,-0.2,-0.2088475,-12.4,75.4,-42.2,0,0,0,0,0,0,1.725,0.17,98.48,-12.4,1.2,1.7,2.4,3.4
1,2.75,0,-25.45,-0.3,-0.201925,-12.5,75.9,-41.2,0,0,0,0,0,0,1.74,0.16,98.46,-12.1,1.2,1.7,2.4,3.4
1,3.25,0.025,-24.6,-0.1,-0.20954,-12.6,76.3,-41.8,0,0,0,0,0,0,1.7375,0.16,98.43,-12.1,1.2,1.7,2.4,3.4
1,3.75,0,-24.4,-0.2,-0.19513,-12.4,76.6,-41,0,0,0,0,0,0,1.6575,0.14,98.43,-12.2,1.2,1.7,2.4,3.4
1,4.25,0.1,-23.525,-0.2,-0.19393,-12.5,76.8,-39.7,0,0,0,0,0,0,1.66,0.14,98.43,-12.8,1.2,1.7,2.4,3.4
1,4.75,0.1,-22.85,0,-0.195485,-12.2,77.2,-40,0,0,0,0,0,0,1.73,0.15,98.43,-12.6,1.2,1.7,2.4,3.4
1,5.25,0,-22.25,-0.1,-0.188615,-12.4,78,-39.1,0,0,0,0,0,0,1.7275,0.14,98.44,-13.1,1.2,1.7,2.4,3.4
1,5.75,0.1,-20.8,-0.1,-0.190915,-12.4,78,-36.5,0,0,0,0,0,0,1.6575,0.15,98.44,-12.7,1.2,1.7,2.4,3.4
1,6.25,0.1,-21.25,-0.1,-0.19915,-12.6,78,-37.4,0,0,0,0,0,0,1.6575,0.15,98.44,-13,1.2,1.7,2.4,3.4
1,6.75,0,-22.475,-0.3,-0.19397,-12.6,78.2,-37.8,0,0,0,0,0,0,1.6675,0.16,98.44,-12.9,1.2,1.7,2.4,3.4
1,7.25,0,-21.375,-0.1,-0.19199,-12.9,78.6,-32.1,1,0,0,0.8,0,0,1.595,0.16,98.45,-13.1,1.2,1.7,2.4,3.4
1,7.75,0,-14.175,0.9,-0.20706,-12.5,78,-19.4,11.9,2.6,30.8,5.3,13.1,40.755,1.59,0.17,98.47,-12.4,1.1,1.6,2.4,3.4
1,8.25,-0.2,-1,3.2,-0.22744,-12.1,76,5.2,28.2,7.6,70.1,12.7,33.275,49.42,1.8675,0.22,98.47,-11.3,1.1,1.6,2.4,3.4
1,8.75,-0.3,8.45,5,-0.26099,-11.5,73.6,21.2,49.5,13.8,117.3,23.9,57.05,49.585,2.0425,0.25,98.51,-10,1.1,1.6,2.4,3.4
1,9.25,-0.3,14.3,7.5,-0.2838325,-10.7,70.4,33.5,71.4,18.6,164.575,31.4,81.675,49.215,2.2975,0.27,98.51,-8.8,1.1,1.6,2.4,3.4
1,9.75,-0.4,21.575,8.85,-0.28715,-9.9,67.7,45.7,91.3,25.3,235.15,44.3,108.375,50.0225,2.4575,0.3,98.52,-8,1.2,1.6,2.4,3.4
1,10.25,-0.3,29.775,9.6,-0.3046525,-9.4,65,55.3,113.6,29.7,284.7,50.6,131.7,49.1675,2.5575,0.31,98.52,-7,1.2,1.7,2.4,3.4
1,10.75,-0.35,36.9,10,-0.31332,-8.8,63.1,60.3,131.1,33.4,330.425,58.6,146.35,48.555,2.64,0.3125,98.52,-6.4,1.2,1.7,2.5,3.4
1,11.25,-0.4,40.6,11.65,-0.3258875,-8.6,61.3,65.1,146.4,38.1,371.4,65.7,163.75,49.125,2.6525,0.32,98.51,-6.3,1.3,1.7,2.5,3.4
1,11.75,-0.4,41.4,12.4,-0.331605,-8.4,59.7,69.5,146.1,38.8,376.075,68.8,164.3,49.0625,2.7575,0.33,98.4975,-6,1.3,1.7,2.5,3.4
1,12.25,-0.4,41.55,12.35,-0.340135,-7.9,59.4,63.7,138,39.2,350.85,62.6,155.15,50.14,2.775,0.33,98.46,-5.7,1.3,1.7,2.5,3.4
1,12.75,-0.4,37.45,12.35,-0.33949,-7.5,58.7,63,130.3,34.1,322.525,61.8,144.8,50.77,2.7775,0.33,98.4375,-5.8,1.3,1.7,2.5,3.4
1,13.25,-0.3,30.85,12,-0.34051,-7.4,58.6,57.8,115,28.6,273.05,52.7,141.275,50.825,2.79,0.33,98.42,-5.5,1.3,1.7,2.5,3.4
1,13.75,-0.2,28.55,10.8,-0.326325,-7.5,58.2,50.2,103.1,26.9,264.3,47.7,123.5,51.4825,2.86,0.335,98.415,-5.7,1.4,1.7,2.5,3.4
1,14.25,-0.2,22.85,9.575,-0.31881,-7.5,57.6,43.1,95.1,23.9,228.05,42,122.15,52.705,2.75,0.32,98.4225,-5.6,1.4,1.7,2.5,3.4
1,14.75,-0.2,14.8,8.05,-0.32537,-7.5,58.3,32.4,68,17.6,171.125,30.9,92.6,51.485,2.6375,0.31,98.42,-6,1.4,1.7,2.5,3.4
1,15.25,-0.2,6.7,5.375,-0.303985,-7.7,58.8,18.2,48.8,12.7,117.55,21.8,67.65,53.7475,2.555,0.29,98.4475,-6.5,1.4,1.7,2.5,3.4
1,15.75,-0.1,-3.1,4.2,-0.2912025,-7.8,59.9,1.9,29.5,7.7,73,13,41.6,51.24,2.495,0.27,98.47,-6.6,1.4,1.7,2.5,3.4
1,16.25,0,-16.925,2.375,-0.273395,-8.4,61.9,-27.8,11.6,3,29.6,5.3,15.5,46.705,2.285,0.2475,98.48,-7.3,1.4,1.7,2.5,3.4
1,16.75,0,-28.55,0.45,-0.24531,-8.6,65.1,-45.4,0.9,0,0,0.7,0,0,2.0675,0.2075,98.48,-8.1,1.4,1.7,2.5,3.4
1,17.25,0.1,-28.65,0,-0.2366,-8.9,66.9,-48.1,0,0,0,0,0,0,1.905,0.185,98.49,-8.8,1.4,1.7,2.5,3.4
1,17.75,0.1,-31.075,0,-0.250895,-9.2,68.9,-47.9,0,0,0,0,0,0,1.9275,0.1875,98.49,-9.4,1.4,1.7,2.5,3.4
1,18.25,0.1,-30.4,-0.175,-0.24905,-9.45,69.9,-46.35,0,0,0,0,0,0,1.855,0.16,98.505,-10.05,1.4,1.7,2.45,3.4
