DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,G_1_1_1,G_3_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CH4_1_1_1,CH4_1_5_1
1,0.25,4.34871791502801,-8.31460825956833,0.347793557053383,0.294348050751757,0.0774118551282513,0.324173941546871,1.93353873516449,0.263110715429452,0.573740471786311,-5.21047847814673,2.93143476083869,1.13025713874708,2.11,0.975,0.4625,0.23,-9.1371,-10.515,-8.5347,-11.050425,-12.524275,-14.8234,95.28617,81.6425,0.6019,-11.4475,-11.11,-10.34,-4.0325,1.5,-1.2225,2.5,0.12,240.175,266.525,286.2,292.475,0.25,-0.07,0.13,0.11,0.22,0.25,0.0475,0.13,0.3,-1.8995,-1.85925,-1.65925,-0.91075,-1.478,-0.8965,-0.92625,-0.1715,0.1125,-5.31,-4.6655,-1.0125,-0.5785,-0.24,-0.184,-0.002,-4.3125,-4.29275,-3.37575,-2.682,-2.376,-1.99,-1.85425,-3.7425,-3.84975,-3.25775,-3.069,-3.0865,-2.4985,-2.2415,-3.30325,-2.6355,-2.92325,-2.61525,-2.2785,-1.77375,-1.04225,-0.52425,-3.835,2.96447452056957,2.53773621989966,2.4213490781533,2.63364160395369,2.18027934562019,2.18336166339901,422.096536294676,423.515446632944,424.609255697417,423.914195956271,425.424851875093,424.450937521214,424.366301510032,426.945667560301,428.389499968304,428.42232561434,429.698162495184,2011.28120498661,2008.14784584934
1,0.75,3.95281246803005,-8.32580023632189,0.405430707667729,0.257011838865493,0.0638249722603854,0.314735088735263,3.19979309977065,0.409837516663423,0.579742036043275,-2.83086719520722,2.23231255335453,1.09161438038614,1.97,0.885,0.44,0.21,-9.8558,-10.36225,-8.72,-11.587075,-12.3608,-14.0458,95.28229,81.62,0.609,-11.525,-11.06,-10.235,-4.02,1.375,-1.055,2.1,0.07,239.95,267.35,286.45,292.45,0.25,-0.06,0.13,0.11,0.22,0.25,0.04,0.13,0.3,-1.9055,-1.85975,-1.6625,-0.91125,-1.482,-0.8995,-0.92625,-0.1725,0.1155,-5.29725,-4.66175,-1.00425,-0.578,-0.245,-0.185,-0.00175,-4.3065,-4.322,-3.374,-2.6875,-2.3795,-1.994,-1.856,-3.7455,-3.86325,-3.25525,-3.077,-3.08675,-2.50175,-2.24025,-3.275,-2.638,-2.92275,-2.61475,-2.27925,-1.7765,-1.005,-0.5295,-2.9425,2.98292203808269,2.50216524876123,2.46457504229877,2.68262660431316,2.0148393618464,2.14196623103786,421.905081871018,423.571713286307,424.891300900465,423.871443669967,424.897437083493,425.11858006638,424.4957528792,426.990133316698,427.484733088421,428.188890009366,428.694204640479,2011.57375195084,2007.93855801202
1,1.25,3.41240907693666,-8.22192427675378,0.37039746413415,0.301801433630865,0.059029076606442,0.358669284101101,3.17819216960361,0.360370905672716,0.566439088442412,-3.47811079778673,2.79332975825951,0.986827405899994,1.85,0.94,0.4425,0.19,-10.2944,-11.047,-8.464275,-10.794375,-11.09865,-14.3571,95.29833,80.96,0.660525,-11.01,-10.74,-10.385,-4.0675,1.3,-0.93,2.25,0.07,242.075,266.425,286.725,292.425,0.25,-0.0625,0.13,0.12,0.22,0.2575,0.04,0.13,0.3,-1.9105,-1.85975,-1.66575,-0.9075,-1.48625,-0.9025,-0.9275,-0.1735,0.1155,-5.30675,-4.653,-1.0115,-0.584,-0.251,-0.18625,-0.002,-4.316,-4.32275,-3.411,-2.69875,-2.383,-1.9955,-1.85625,-3.74925,-3.877,-3.25125,-3.07775,-3.0865,-2.505,-2.23975,-3.27075,-2.641,-2.91975,-2.61175,-2.28075,-1.77475,-0.977,-0.55075,-3.385,3.04713009516888,2.48466998886764,2.45284261775257,2.70647084806207,2.14523080603116,2.01111904019586,421.487489294502,423.677434718223,424.498901399259,423.911912423866,425.48499494177,425.155914735156,424.99483273778,427.050627547268,428.270934856781,429.198430313325,428.773722358055,2012.33219791938,2009.18311803029
1,1.75,3.5511756289139,-7.92921354133753,0.370313764564768,0.295669164381301,0.0914546187039572,0.359053573838618,3.23781647104335,0.536918530369268,0.426002676441756,-3.1263483257018,3.95078192688621,0.991490791207471,1.92,0.845,0.4725,0.2,-10.1089,-10.9,-8.3366,-10.1851,-10.9847,-14.42525,95.30885,81.1,0.6287,-10.8875,-10.42,-10.12,-3.985,1.2,-0.945,2.3,0.08,242.95,267.275,287.675,292.55,0.2575,-0.06,0.13,0.11,0.22,0.25,0.04,0.13,0.3,-1.91175,-1.856,-1.668,-0.90425,-1.49025,-0.9045,-0.9275,-0.175,0.11475,-5.30575,-4.64325,-1.02375,-0.587,-0.23575,-0.18675,-0.0025,-4.33375,-4.3305,-3.3735,-2.70925,-2.387,-1.9955,-1.85625,-3.753,-3.88575,-3.251,-3.08225,-3.0855,-2.509,-2.23975,-3.274,-2.644,-2.92,-2.6095,-2.28225,-1.77925,-1.0065,-0.533,-3.79,3.03329857899774,2.57333096890799,2.58004118699507,2.74563008279405,2.53441976934402,2.18886093014702,421.925060820035,423.753637287681,424.838433813751,424.07884023126,425.123696379935,424.789018497847,422.834438020021,427.385848783525,429.120454687894,428.50014169526,428.483914245758,2009.70518463627,2007.66951512545
1,2.25,3.54335225387628,-7.9282019410422,0.391803529121524,0.240747083554547,0.105122518549149,0.316427275420024,2.49239184425768,0.292682615514822,0.420040902006374,-1.54867284201577,3.97113856364828,1.04237162253513,1.94,0.965,0.475,0.2,-9.5949,-10.65175,-8.290075,-10.4928,-11.1404,-13.98455,95.3311175,81.24,0.615275,-10.98,-10.2025,-9.98,-3.7625,1.6,-0.755,2.5,0.1075,240.45,265.6,287.575,292.55,0.25,-0.06,0.14,0.11,0.22,0.2575,0.0575,0.13,0.3075,-1.91125,-1.84525,-1.67025,-0.90125,-1.493,-0.907,-0.92725,-0.176,0.1125,-5.18825,-4.62025,-1.037,-0.591,-0.2345,-0.18675,-0.002,-4.35125,-4.34325,-3.369,-2.7175,-2.3915,-2.004,-1.8565,-3.73925,-3.88525,-3.2515,-3.08675,-3.086,-2.51225,-2.242,-3.277,-2.64725,-2.92325,-2.60725,-2.283,-1.785,-1.045,-0.543,-3.07,3.00618085322484,2.49825160749778,2.40490134676883,2.67058384481144,2.46539218047739,2.23963193811145,422.405594461237,423.855829343139,424.576808751085,423.907766292293,425.312754051645,424.728308356255,424.517533572994,427.804661828849,428.67201222672,428.81231627523,428.237161480557,2012.66729091027,2007.62846047721
1,2.75,3.90854458691753,-8.09128873358067,0.385628160284326,0.275117216255149,0.0905231453310076,0.262199991074738,1.73531345229078,0.637301623637601,0.385584252806657,-2.2782889522352,3.22150275665883,0.924259995999843,1.99,1.06,0.49,0.19,-9.5866,-10.679,-8.303825,-10.3547,-11.5356,-13.7108,95.327115,81.15,0.661475,-11.1075,-10.06,-9.88,-4.125,1.275,-0.815,2.2,0.09,242.6,266.925,287.4,292.4,0.26,-0.06,0.14,0.11,0.22,0.25,0.0475,0.13,0.3,-1.91,-1.846,-1.6665,-0.89925,-1.49475,-0.90875,-0.92825,-0.1775,0.1115,-5.27,-4.66075,-1.0505,-0.59425,-0.235,-0.18775,-0.0025,-4.39,-4.34525,-3.36725,-2.71475,-2.3955,-2.007,-1.85675,-3.716,-3.88025,-3.252,-3.09175,-3.07825,-2.51425,-2.24175,-3.2805,-2.65075,-2.927,-2.605,-2.28375,-1.788,-1.019,-0.577,-3.65,2.8852125977268,2.5128481108891,2.42578507066528,2.49343101433263,2.28132781585015,2.12348120198405,422.413637592755,423.715096954509,425.091752742326,424.402243431188,425.543121820502,425.098097138032,424.489575057851,427.98240526236,427.907520551521,428.942108698296,431.31034587099,2009.62261430522,2007.98180012334
1,3.25,3.75339996142936,-8.0394461647287,0.378255697340914,0.328005678882134,0.117709425724247,0.429550964553821,2.9584083251856,1.18237560186843,0.462883177265167,-3.45562816897645,4.22406341208507,1.01001655488449,1.9,0.945,0.515,0.2075,-8.931675,-11.163,-8.09285,-10.206275,-11.503875,-14.8704,95.31221,81.01,0.69505,-11.51,-9.9025,-9.5975,-4.1425,1.2,-0.945,2.075,0.1225,245.275,268,287.275,292.4,0.2475,-0.07,0.14,0.11,0.22,0.25,0.0475,0.13,0.3,-1.90825,-1.84975,-1.66575,-0.89875,-1.492,-0.90975,-0.929,-0.1785,0.1105,-5.37175,-4.742,-1.0635,-0.59725,-0.236,-0.18875,-0.00275,-4.39875,-4.34875,-3.374,-2.704,-2.39575,-2.011,-1.857,-3.70225,-3.86725,-3.2515,-3.09575,-3.072,-2.51,-2.2405,-3.27975,-2.65575,-2.92875,-2.60375,-2.28525,-1.792,-1.02175,-0.5605,-3.9075,2.87953316154458,2.53945202880168,2.52641029310368,2.76631254846849,2.57059119306851,2.40306605440424,422.46449416795,423.74083815918,424.461538316474,424.031491045234,424.90774048607,424.751808991365,423.985515473378,427.694949261121,428.023240289746,429.171293250763,428.57422897212,2009.9652497237,2008.6078072759
1,3.75,3.9631187899958,-8.29821062298701,0.361710422420647,0.272549241528528,0.0643340560774218,0.249290818567891,3.13966869682846,0.526176527035021,0.451668781591875,-3.34544934280571,4.80701021955043,1.0381865967718,1.97,1.05,0.52,0.21,-9.409,-11.444,-7.8607,-10.8493,-11.2891,-15.045875,95.30776,81.19,0.6578,-11.5175,-10.2725,-9.8575,-4.1025,1.4,-0.9275,2.4,0.175,245.45,267.45,287.65,292.575,0.26,-0.06,0.13,0.11,0.22,0.25,0.04,0.13,0.3,-1.90725,-1.85325,-1.66525,-0.89825,-1.49,-0.91125,-0.92925,-0.1795,0.11125,-5.412,-4.7865,-1.06125,-0.598,-0.23725,-0.189,-0.00275,-4.41875,-4.35775,-3.38375,-2.70675,-2.3925,-1.99625,-1.85725,-3.71725,-3.86025,-3.252,-3.1005,-3.063,-2.504,-2.23775,-3.2695,-2.6615,-2.931,-2.60225,-2.286,-1.7885,-1.019,-0.558,-3.6225,2.88408117190126,2.59032879870475,2.54466177029428,2.81420037458679,2.56781838907624,2.50072765208489,422.317111720498,423.704439351986,424.801111001055,423.859394166154,425.262128027272,424.51948245109,424.176786177859,428.350115949042,428.437258124126,429.08774263893,429.34783363398,2011.47717812095,2007.52794905067
1,4.25,4.05192694753387,-8.7538566410471,0.392320330101577,0.238690843318821,0.0389530796295353,0.331084417490094,2.44040989358263,0.592551873847538,0.473944031574567,-2.56680572589683,4.50600222278562,1.05764393883553,2.17,0.96,0.495,0.21,-9.70485,-10.77375,-8.130175,-11.02205,-10.787925,-14.9992,95.297535,82.19,0.61985,-11.84,-10.86,-9.8575,-3.825,1.2,-0.84,2.2,0.13,244.7,266.8,288.3,292.475,0.2575,-0.06,0.13,0.115,0.22,0.25,0.03,0.13,0.3,-1.9045,-1.855,-1.6635,-0.898,-1.48775,-0.912,-0.929,-0.1805,0.1105,-5.48575,-4.862,-1.05625,-0.59825,-0.23825,-0.1915,-0.00225,-4.4615,-4.38575,-3.39475,-2.70875,-2.389,-1.9995,-1.884,-3.73375,-3.85175,-3.2515,-3.10625,-3.072,-2.497,-2.237,-3.2745,-2.66675,-2.93275,-2.5995,-2.2865,-1.79075,-1.01475,-0.624,-3.15,2.84465198149294,2.50216572878083,2.49349061665318,2.78992321396346,2.64207077149949,2.60727548523155,422.008045057029,423.848104219638,424.475803788561,423.980954858974,424.963767563951,425.134833782004,422.943544784535,427.728839749332,428.90006311906,429.163686578158,429.495152701793,2011.60603375071,2011.38469338625
1,4.75,3.86684018045461,-8.91643863186337,0.374621786052208,0.254848920710798,0.112555799661795,0.310315669012706,2.75732178711607,0.928077299054331,0.485331677208341,-3.50940660492769,4.28762081825488,1.10502439935463,2.01,0.87,0.435,0.205,-9.5043,-10.57775,-8.4583,-10.9389,-10.7382,-15.42635,95.29014,82.3,0.60605,-11.465,-10.96,-9.9025,-3.605,1.2,-1.03,2.2,0.1425,244.6,266.45,288.525,292.55,0.25,-0.07,0.13,0.11,0.22,0.26,0.05,0.13,0.3,-1.89475,-1.85625,-1.662,-0.8975,-1.48875,-0.911,-0.92875,-0.1815,0.11025,-5.53125,-4.943,-1.05125,-0.59675,-0.2395,-0.1925,-0.002,-4.46025,-4.3785,-3.3945,-2.71225,-2.38625,-2.00425,-1.889,-3.75075,-3.842,-3.251,-3.108,-3.074,-2.48875,-2.2365,-3.283,-2.67275,-2.93375,-2.59675,-2.28925,-1.79325,-0.961,-0.55975,-2.885,2.80220165313452,2.49599256817587,2.52322584584656,2.70994167543296,2.57910256694427,2.53977064067791,422.079169222146,423.64463503287,424.492413492306,423.756122855769,425.064956789741,425.126979090361,422.686611218412,427.91223032764,429.342071074421,429.151491974504,429.353509894494,2008.92252136093,2007.53812269312
