DOY2,HR2,USTAR,TA_1_1_1,WS,FC,SC,H,LE,G_1,TS_1,RH_1_1_1,CO2,VPD,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,TAU,SH,SLE,T_SONIC,PA,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_OUT_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,SW_OUT_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,TS_5_1_1,TS_6_1_1
1,0.25,0.2002975,6.234,1.1925,0.282,-0.248919502,-31.629125,-2.57475,-17.0375,12.065,72.125,397.01425,1.05,-52.86,0,0,-0.265583,-6.47337,-7.23711,12.9163,100.798,7.00874,0.476364,0.410794,0.262868,0.127208,0.461516891,0.0336360345,280.21,347.091,0.377778,-39.6628,-14.80865,-18.2929,1.076445,14.3,13.6978,14,13.5705,9.17018,14.0201
1,0.75,0.193,6.09625,1.21911,0.2827035,-0.264838751,-33.150825,-2.69225,-17.1475,11.98,71.825,397.276,1.022845745,-51.8735,0,0,-0.28315575,-7.231335,-7.54684,12.75075,100.79,6.92741,0.47183025,0.4176085,0.248074,0.126262,0.4781533055,0.039158656,279.8345,346.25,0.322796,-42.082075,-18.002,-21.7229,0.972712,14.19085,13.4987,13.988,13.541625,9.11605,13.9694
1,1.25,0.195,5.9065,1.132655,0.44401525,-0.277956,-32.62215,-2.837435,-17.205,11.895,72.4,397.8545,0.95,-49.84,0,0,-0.289893,-7.4260475,-7.30912,12.6996,100.786,6.869755,0.497663,0.421265,0.248811,0.126768,0.525526073,0.03818325125,278.621,345.702,0.30880425,-43.655425,-19.0009,-21.8576,0.941929,14.1,13.4272,13.8922,13.5387,9.073,13.9041
1,1.75,0.190925,5.70425,1.18009,0.373999,-0.266202,-33.7574,-2.49556,-17.9205,11.755,72.8,398,0.9,-49.03675,0,0,-0.313387,-6.60081,-10.15761,12.4439,100.783,6.8798775,0.47027,0.409264,0.263946,0.129115,0.55480776,0.0375813855,278.139,343.905,0.30151275,-44.934,-19.4263,-22.1664,0.9413145,14.1011,13.3956,13.7806,13.517,9.05212,13.8019
1,2.25,0.1996475,5.335,1.177645,0.4095,-0.28682125,-35.4785,-2.769,-18.1545,11.675,72.911925,397.639,0.86,-48.1475,0,0,-0.283523,-6.8529,-8.9002,12.1972,100.767,6.76167,0.449277,0.410623,0.257858,0.137377,0.54456636275,0.045255624,275.272,344.505,0.31826375,-46.167125,-19.5494,-22.364,0.906839,14.0983,13.3275,13.7272,13.4162,9.01549,13.7654
1,2.75,0.2060095,5.15175,1.2075,0.2375,-0.2049055,-33.0593,-3.2866875,-18.185,11.63,73.6,397.289,0.795,-47.9779,0,0,-0.299738,-6.18182,-7.386715,11.9116,100.771,6.526405,0.493405,0.432083,0.275082,0.127009,0.494724919,0.0355099805,277.328,343.605,0.31511075,-46.9129,-19.9962,-22.5394,0.907454,14.0161,13.3136,13.6667,13.3577,8.96283,13.7452
1,3.25,0.188657,4.8105,1.173,0.3695,-0.23686875,-32.4608,-2.4775,-17.7125,11.6125,73.4,398.071,0.765,-47.93,0,0,-0.291867,-7.52095,-6.994175,12.011675,100.777,6.68214,0.485161,0.423789,0.262058,0.138984,0.482494566,0.03989282775,278.537,342.903,0.2912655,-47.47105,-20.3978,-22.7691,1.089375,13.9983,13.2994,13.5128,13.2894,8.91084,13.724
1,3.75,0.20000625,4.721765,1.18126,0.31434525,-0.258,-37.067,-2.9725,-18.4775,11.52,73.9,398.9535,0.715,-47.965,0,0,-0.324827,-7.68556,-5.86553,11.870925,100.793,6.70071,0.523331,0.4302,0.271332,0.137078,0.514055731,0.0441058065,277.445,342.222,0.259341,-47.43935,-20.792,-23.4863,0.972712,13.9883,13.2756,13.4872,13.3063,8.86023,13.6783
1,4.25,0.21264575,4.433,1.20152,0.369118,-0.409781,-36.511,-2.977,-18.8375,11.52,74.51085,399,0.6575,-47.93,0,0,-0.269911,-6.39761,-5.52021,11.5976,100.791,6.696535,0.530651,0.425512,0.302951,0.141724,0.515759141,0.0450242595,276.892,341.359,0.25914325,-47.9126,-20.9589,-24.0327,0.766934,13.8567,13.1195,13.4208,13.2587,8.81186,13.6399
1,4.75,0.2072375,4.248,1.189565,0.23954625,-0.25241194125,-39.282125,-2.589605,-19.29375,11.4,74.2385,399.6205,0.66,-47.93,0,0,-0.308276,-5.93505,-5.7910975,11.509275,100.778,6.37451,0.51608,0.458788,0.268493,0.13634,0.509243778,0.04613488,275.257,339.965,0.23155425,-48.597125,-21.1973,-23.805,0.7341515,13.7697,13.0042,13.3956,13.2147,8.7657,13.6423
1,5.25,0.2065,3.80375,1.16255,0.53952835,-0.2388105,-39.528,-3.045,-19.3425,11.35,74.23505,399.077,0.635,-47.93,0,0,-0.278792,-6.15591,-5.64689,11.4749,100.751,6.54904,0.518929,0.401828,0.281778,0.139776,0.510259739,0.0490284205,273.457,339.29,0.2100735,-49.16025,-21.3714,-24.0659,0.7503115,13.69,12.8167,13.3939,13.1657,8.70398,13.6045
1,5.75,0.217,3.7,1.1705,0.386267,-0.2194435,-36.7275,-2.90523,-19.35,11.3,75.425,399.54625,0.63307175,-47.93,0,0,-0.297389,-6.77222,-4.5117,11.432175,100.751,6.50729,0.509194,0.403165,0.266413,0.138251,0.52039316925,0.04872999175,273.707,336.996,0.2118475,-49.537175,-21.3826,-24.5815,0.71983775,13.5089,12.6956,13.4,13.1106,8.62342,13.5728
1,6.25,0.21334675,3.624,1.1457,0.42675,-0.317603,-37.361,-3.543,-19.36,11.19,76.35,400,0.59,-47.93,0,0,-0.296171,-7.26743,-4.89725,11.037275,100.774,6.6643875,0.521365,0.417284,0.271618,0.140028,0.549212716,0.04870951225,272.985,336.687,0.1986435,-47.814325,-20.4387,-24.5602,0.719684,13.5,12.7489,13.3856,13.032,8.5931,13.5418
