DOY2,HR2,LE,USTAR,TA_1_1_1,WS,FC,H,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
1,0.25,0.0575,0.285,-24.47,1.6855,0.1205,-4.445,71.317,367.626,0.24,-14.047,1.43,-1.798,0.739,0.471,0.975
1,0.75,-0.033,0.2965,-24.556,1.6055,0.205,-7.663,71.474,367.284,0.24,-17.941,1.456,-1.66,0.7225,0.553,0.919
1,1.25,-0.026,0.277,-24.678,1.523,0.134,-8.813,71.736,367.314,0.24,-15.736,1.628,-1.643,0.719,0.56,0.932
1,1.75,0.013,0.2625,-24.75,1.4575,0.13,-7.062,72.156,367.346,0.23,-15.741,1.525,-1.725,0.7295,0.47,0.928
1,2.25,0.0605,0.252,-24.651,1.5925,0.091,-6.732,72.418,367.253,0.24,-17.663,0.235,-1.216,0.748,0.598,0.923
1,2.75,0.029,0.268,-24.724,1.6305,0.102,-5.534,72.333,367.093,0.23,-16.172,1.118,-1.554,0.7235,0.655,0.9235
1,3.25,-0.0025,0.269,-24.706,1.475,0.1025,-8.363,71.534,366.963,0.24,-14.116,1.664,-1.423,0.696,0.586,0.865
1,3.75,-0.022,0.2495,-24.976,1.3385,0.1205,-6.715,71.744,366.855,0.23,-15.928,1.643,-1.536,0.6835,0.551,0.9345
1,4.25,0.03,0.237,-25.158,1.424,0.074,-3.012,71.901,371.264,0.25,-12.883,0.719,-1.74,0.7225,0.616,0.869
1,4.75,0.022,0.234,-25.322,1.2745,0.022,-0.477,71.957,376.6285,0.23,-11.823,0.537,-1.368,0.7175,0.668,0.901
1,5.25,0.072,0.2405,-25.278,1.3115,0.1,-2.365,71.949,376.3895,0.24,-11.689,0.328,-1.56,0.711,0.579,0.9105
1,5.75,0.046,0.2395,-25.013,1.3525,0.094,-0.309,71.868,376.103,0.24,-11.463,0.237,-1.296,0.7095,0.632,0.888
1,6.25,0.0505,0.2465,-25.517,1.34,0.1595,-5.193,71.9,376.271,0.25,-12.043,0.915,-1.356,0.696,0.387,0.764
1,6.75,0.02,0.211,-26.121,1.319,0.083,0.736,72.017,374.844,0.25,-11.045,1.5165,-1.3485,0.708,0.4705,0.717
1,7.25,0.015,0.233,-26.1165,1.3,0.122,-6.4045,71.598,374.6015,0.25,-11.4015,1.282,-1.8,0.72,0.533,0.646
1,7.75,0.013,0.253,-26.1085,1.378,0.194,-6.892,71.576,374.0065,0.24,-10.8345,1.7535,-1.834,0.6855,0.508,0.668
1,8.25,-0.0175,0.234,-26.235,1.3765,0.144,-6.352,71.493,373.798,0.22,-9.329,1.679,-1.4165,0.7985,0.765,0.607
1,8.75,-0.022,0.2475,-26.4125,1.2155,0.153,-4.565,71.411,374.673,0.22,-8.4985,4.6595,1.269,1.9535,2.2845,0.6935
1,9.25,0.071,0.2595,-26.4235,1.49,0.22,-4.288,71.601,375.2775,0.21,-5.3235,23.143,12.9365,7.318,7.6685,0.752
1,9.75,-0.0065,0.288,-26.085,1.6085,0.12,-1.425,71.473,374.6755,0.21,2.106,61.7285,41.6105,15.9825,20.0435,0.766
1,10.25,0.234,0.328,-25.7035,1.726,0.132,6.805,71.1385,373.644,0.245,10.328,121.391,74.011,25.6225,32.5135,0.772
1,10.75,0.19,0.363,-25.0575,1.98,0.169,17.323,71.338,372.634,0.265,20.534,158.011,108.2505,36.0185,40.488,0.814
1,11.25,0.185,0.344,-23.99,1.996,0.196,25.353,71.9275,371.057,0.28,27.513,204.5905,145.2435,49.134,51.683,0.9055
1,11.75,0.654,0.379,-23.152,2.159,0.112,25.882,71.578,370.182,0.29,31.9285,256.294,163.034,49.958,60.149,1.015
1,12.25,0.707,0.397,-22.477,2.1,0.156,34.084,69.975,369.422,0.31,33.9825,263.754,165.713,55.376,66.217,1.11
1,12.75,0.493,0.408,-21.9175,2.167,0.156,36.034,70.388,368.815,0.32,34.431,263.325,189.9655,54.9605,71.03,1.045
1,13.25,0.47,0.374,-21.411,2.0485,0.182,27.701,69.666,368.173,0.34,32.9695,269.8625,210.6135,52.629,65.7975,1.029
1,13.75,1.016,0.4,-21.2855,2.151,0.16,32.738,69.073,367.819,0.35,27.4685,237.903,189.3345,50.0995,61.3105,1.038
1,14.25,0.854,0.405,-21.243,2.133,0.169,27.8935,68.736,367.476,0.36,22.562,195.665,151.059,40.6125,50.774,1.062
1,14.75,0.819,0.3875,-21.3465,2.0265,0.18,19.6715,68.593,367.293,0.36,17.5605,163.122,125.2585,29.626,41.3075,1.092
1,15.25,0.264,0.3745,-21.4355,1.9665,0.114,7.5525,69.605,367.196,0.35,7.0495,126.081,81.8015,21.257,29.111,1.109
1,15.75,0.06,0.3455,-21.7075,1.843,0.145,-3.674,70.79,367.178,0.34,-3.418,66.234,34.2975,12.747,15.962,1.105
1,16.25,-0.033,0.322,-22.048,1.6075,0.154,-10.128,71.807,366.974,0.32,-13.726,22.592,9.006,6.5845,5.1235,1.079
1,16.75,0.001,0.281,-22.4595,1.599,0.136,-13.903,72.773,366.805,0.3,-19.8035,4.5585,0.1485,1.717,1.515,1.106
1,17.25,-0.045,0.282,-22.998,1.655,0.138,-9.0895,73.24,366.419,0.28,-22.5795,0.7495,-1.901,0.782,0.6015,1.136
