DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,TA,RH
1,19.25,-0.05485,-4.92415,0.142418,-0.167313,0.6228345,0.08745,-4.87147,367.28575,1.20755,0.345153,0.306671,0.1342985,0.05065,-1.3468135,0.3863085,255.11462265,299.2189468,-0.00175,-4.899,70.0125
1,19.75,-0.0519,-6.511605,1.534819,0.0206,0.609235,0.093915,-5.278205,367.0755,1.30861,0.3400045,0.3395885,0.1543815,0.054,-1.446023,0.355776225,255.70613695,298.7325498,-0.00275,-4.89275,69.5925
1,20.25,-0.06165,-10.1719,2.839305,-0.00484,0.7464655,0.1085025,-5.689795,366.9015,1.20195,0.4259165,0.368849,0.185484,0.05405,-1.70285675,0.38969495,255.35580845,297.4081399,0.002,-4.75525,69.4075
1,20.75,-0.0509,-6.28533,3.69431,0.0768,0.7454345,0.0977,-5.933805,366.50275,1.32496,0.4068885,0.362788,0.17398,0.05305,-1.6792515,0.341943175,254.7637024,294.6602869,0.001,-4.66275,70.715
1,21.25,-0.05095,-4.834045,2.487855,-0.161213,0.82041,0.117221,-4.4444725,366.3655,1.6239625,0.4200065,0.3699255,0.1878855,0.07045,-1.7241965,0.343428425,255.2300772,297.725568,-0.0025,-5.0665,71.0625
1,21.75,-0.05935,-7.84142,2.12677,-0.004475,0.602874,0.1009905,-4.44435,366.92575,1.23176,0.423911,0.335533,0.1862385,0.061575,-1.365766,0.355126225,252.30886735,295.9833284,0,-5.294,72.0925
1,22.25,-0.0649,-9.265595,2.56854,-0.1538585,0.850533,0.102606,-4.9335525,367.14525,1.17969,0.310617,0.349926,0.152913,0.0643,-1.38635625,0.35921085,252.8540848,294.992369925,0.00025,-5.44025,71.725
1,22.75,-0.0412,-4.671495,1.54453,-0.081025,0.773112,0.09435,-5.5203125,367.12025,1.34578,0.313431,0.3687405,0.138259,0.06475,-1.371883,0.386332,258.7706238,291.38927775,0.00325,-5.43775,70.98
1,23.25,-0.05695,-3.64143,0.702719,-0.181422,0.8342735,0.0969,-6.0617325,366.97,1.3518,0.35314,0.3579975,0.142547,0.05965,-1.37452775,0.379061625,257.0947574,289.651094125,0.00025,-5.4645,72.0025
1,23.75,-0.07195,-5.9380325,2.28206,-0.1311735,0.60477375,0.08706575,-6.83806,366.509,1.39729,0.31353325,0.27324275,0.1393365,0.05815,-1.44494375,0.324626775,254.125591025,286.581988,-0.00075,-5.582,73.2675
2,0.25,-0.0631,-17.0161,0.1344135,-0.4980435,0.413873,0.0936,-6.44869,375.521,1.16369,0.399357,0.370268,0.140848,0.0963,-1.572329,0.42683905,269.9030351,295.3304284,0.0035,-6.2165,72.135
2,0.75,-0.0593,-8.75456,0.1696945,-0.204069,0.547659,0.0983,-6.3717,375.84,1.13298,0.361926,0.350246,0.136911,0.0872,-1.638162,0.44524165,270.4806193,296.335216,0,-6.0855,72.99
2,1.25,-0.0652,-7.22248,0.7896505,-0.4267735,0.490836,0.113166,-6.23991,375.957,1.075715,0.410275,0.383446,0.170914,0.0841,-1.7271565,0.47912355,270.4816923,295.2631745,0.0035,-6.5615,72.63
