DOY2,HR2,LE,USTAR,TA_1_1_1,WS,FC,H,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
1,0.25,-0.257,0.065,-31.21825,0.51975,0.03225,-18.828,67.35325,373.9915,0.14,-27.7075,-0.082,-1.86175,-0.144,0.01125,0.29775
1,0.75,-0.188,0.06975,-31.0545,0.505,0.00175,-20.84575,67.34625,373.9655,0.14,-26.92375,-0.078,-1.907,-0.15,0.0465,0.29375
1,1.25,-0.2825,0.0715,-31.192,0.51675,0.02675,-19.63725,67.404,373.97875,0.14,-27.487,-0.08875,-2.0305,-0.145,0.0485,0.283
1,1.75,-0.26625,0.0845,-31.27125,0.51125,0.02425,-17.97925,67.28675,374.0485,0.14,-27.79,-0.0875,-1.974,-0.14175,0.115,0.319
1,2.25,-0.217,0.08775,-31.578,0.57625,0.0415,-18.343,67.28125,374.1355,0.14,-24.3645,-0.085,-1.87525,-0.13875,0.044,0.332
1,2.75,-0.142,0.104,-31.93425,0.4915,0.05775,-19.27275,67.0545,374.1385,0.14,-23.6095,-0.108,-2.034,-0.13975,0.0395,0.321
1,3.25,-0.12525,0.083,-32.15225,0.48475,0.04825,-15.487,66.9,374.20125,0.13,-23.56075,-16.865,-1.957,-0.14425,-0.158,0.328
1,3.75,-0.092,0.063,-32.08825,0.54125,0.01475,-12.01075,66.35325,374.2695,0.13,-22.05325,-16.94725,-1.9225,-0.14175,-0.0455,0.32975
1,4.25,-0.146,0.07675,-32.1885,0.51025,0.012,-13.325,64.94675,374.111,0.12,-22.142,-17.769,-1.834,-0.13875,0.025,0.225
1,4.75,-0.196,0.07925,-32.18325,0.55525,0.085,-14.20475,65.03175,374.0885,0.12,-23.15825,-17.935,-1.70925,-0.144,0.11225,0.242
1,5.25,-0.135,0.07725,-32.294,0.49375,0.026,-18.726,64.71225,374.379,0.12,-21.7035,-17.83575,-1.9025,-0.1425,0.0955,0.26025
1,5.75,-0.20425,0.0705,-32.26625,0.4005,-0.00725,-15.129,64.979,374.4115,0.12,-23.49675,-17.80025,-1.86025,-0.1445,0.1505,0.30225
1,6.25,-0.1925,0.0615,-32.54925,0.46275,0.005,-18.08375,65.0685,374.4435,0.1125,-23.961,-17.6255,-1.8575,-0.142,0.057,0.2905
1,6.75,-0.182,0.08025,-32.288,0.55025,-0.0165,-12.948,65.48225,374.47775,0.12,-24.31575,-17.808,-1.97075,-0.137,0.13225,0.3065
1,7.25,-0.171,0.08325,-32.35875,0.56625,0.014,-14.508,65.494,374.585,0.12,-23.477,-18.01675,-1.796,-0.1525,-0.066,0.3075
1,7.75,-0.1825,0.084,-32.08225,0.448,0.024,-15.6475,65.763,374.911,0.12,-25.0485,-17.85725,-1.74675,-0.1455,-0.0765,0.331
1,8.25,-0.082,0.07775,-31.90725,0.3785,-0.01,-13.785,66.097,374.937,0.12,-23.73,-17.776,-1.8735,-0.108,-0.0065,0.30325
1,8.75,-0.18025,0.089,-31.88175,0.41,0.0335,-13.18925,66.30025,374.835,0.12,-21.92725,-16.10925,-0.7855,0.6595,0.5055,0.295
1,9.25,-0.235,0.079,-31.84925,0.3985,0.007,-12.237,66.183,374.758,0.12,-16.28025,-9.42625,2.186,6.8625,3.394,0.27825
