DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_2_1,RH_1_2_1,TA_1_3_1,RH_1_3_1,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,428.74465,1.575776,2.704855,0.1167028,0.110927625,2.563463,0.400982675,3.6215915,0.162080875,-0.00760928,0.868829725,0.8031341,0.16324455,88.2952,0.903746225,37.7366225,2.648483,35.78048,0.2514111,86.96558,4.8347745,2.31546375,0.388379375,2.10356625,-31.1934125,18.270525,0.6051388,284.6571,317.447325
1,0.75,428.5229,1.475789,2.70326175,0.121526775,0.09250128,2.05545025,2.02035,3.2712565,0.17156485,-0.006687242,0.6907996,0.70586325,0.153788825,88.286135,1.126268,40.0803175,2.23439525,37.60231,-0.2078055,87.38316,4.805615,2.31996075,0.431024075,1.95754675,-33.174275,18.270525,0.501229175,284.6069,315.41165
1,1.25,428.09055,1.35159775,2.6387625,0.10793325,0.096506585,2.90366275,1.565352,3.2204685,0.154652925,-0.00679050375,0.74006975,0.799742925,0.171080225,88.2903075,0.859790325,38.234435,2.197064,36.08385,-0.3054056,87.94075,4.88952075,2.20169025,0.3972863,1.7937775,-34.868155,18.270525,0.5884722,279.202525,316.085475
1,1.75,428.43195,1.431703,2.65319825,0.112985375,0.174327725,1.921269,2.0264505,3.37305475,0.16747885,-0.006037005,0.791336075,0.774698675,0.19092005,88.2840775,0.561656575,37.94415,1.870466,35.65212,-0.5466945,87.89896,4.89263,1.92375925,0.3809836,1.64413325,-29.099195,18.270525,0.7625277,286.17335,314.96045
1,2.25,428.6938,1.67053125,2.580024,0.1296874,0.05407523,1.903863,0.4403764,3.76972725,0.1507298,-0.0056808005,0.7864314,0.783408075,0.16554485,88.2718,0.488379025,38.216675,1.782154,35.86977,-0.7485166,88.20291,4.79819525,1.90244475,0.388741775,1.5015985,-27.942555,18.270525,0.7939236,286.02545,313.938
1,2.75,428.627575,1.488215,2.34398275,0.132238575,0.080598135,4.877882,3.09139175,3.5118025,0.178435525,-0.0078484075,0.8394708,0.82683745,0.185536425,88.2442975,0.6025507,36.1479875,1.79685,33.82357,-0.6008555,89.29789,4.779045,1.83246325,0.4329942,1.4124925,-22.60686,18.270525,0.60891665,282.0869,313.66985
1,3.25,429.132275,1.2453155,2.381924,0.126142925,0.1667929,1.5936805,1.649395675,3.88414075,0.159166625,-0.007935789,0.8110569,0.81215405,0.174799825,88.2465525,0.379597875,36.6954975,1.8210225,34.50407,-0.6082277,90.089,4.7678415,1.78526975,0.347479,1.2741265,-27.29558,18.270525,0.8448194,281.966,313.14135
1,3.75,428.914375,1.314058,2.1934915,0.11387825,0.1087317,2.3966535,2.778994,3.350005,0.1459326,-0.0075080885,0.9429864,0.7655047,0.153586,88.24641,0.3732053,36.48743,1.717182,34.308235,-0.786018075,90.4984275,4.8282375,1.628275,0.4216846,1.186124,-21.9775275,18.270525,0.777875,286.1608,312.647875
1,4.25,428.998,1.637461,2.259396,0.128317,0.131165285,2.526063,2.80118275,3.656545,0.1829821,-0.007243347,0.8154635,0.795541,0.1606697,88.22417,0.4977255,36.16565,1.97098225,33.98707,-1.096989,90.2637,5.198138,1.910355,0.347672725,1.06351,-24.37294,18.270525,0.728986125,284.7686,311.514
1,4.75,428.98835,1.59006675,2.1997115,0.12761175,0.1397752,2.220959,1.409597,3.146162,0.17871695,-0.00662917125,0.8410506,1.0044632,0.15379255,88.24799,0.199418325,35.54251,1.23967375,33.310885,-1.0351192,89.093015,5.245904,1.4233905,0.460269825,0.9381247,-29.723115,18.270525,0.757729075,278.299425,310.586625
