DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,5.25,419.362,2.44875,416.64725,2.6075,1991.0025,419.0945,2.4625,416.594,2.5955,1990.8895,419.523,2.355,416.48525,2.58325,1988.56475,419.337,2.3125,417.71925,2.45275,1994.18925,2.324,-5.346,0.224,416.5875,2.534,0.02375,-0.04025,0.043,-1.06125,-0.4945,0.09,-43.281,-2.43825,0.465,1.845,1.545,0.555,-5.234,-6.2445,-6.169,-6.5305,-8.8105,82.701,46.5475,1.09825,-8.3225,-7.4525,-7.885,0.7,-3.71,1.9,-1.73,-0.07,211.15,274.125,-73.55,212.4,269.2,-0.05,-0.23,-0.05,-0.05,-0.1175,-0.08,-0.01,-0.16,-4.841,-3.7915,-2.5225,-1.155,0.4955,2.08,4.4495,6.672,8.3605,-4.769,-3.67925,-1.989,-0.90925,0.604,1.6315,3.44775,5.5545,6.84375,-5.28325,-4.23,-2.49675,-1.38025,0.0565,1.086,2.9525,5.3875,6.716,-5.16125,-4.14975,-2.705,-1.237,0.28575,1.48725,3.4445,5.58775,7.1215,-4.658,-3.988,-2.299,-0.976,0.59175,1.724,3.8395,5.83025,7.0295,-17.127,-15.70375,-15.739
1,5.75,419.175,2.3905,417.24675,2.61975,1994.039,418.98275,2.36275,417.04675,2.56775,1988.4555,419.16475,2.29125,417.90925,2.52875,1987.487,419.09175,2.208,417.50075,2.4825,1988.539,2.4335,-5.859,0.2555,416.439,2.47475,0.0385,-0.0795,-0.037,-0.69625,-0.582,0.098,-41.87725,-2.093,0.4395,1.96,1.63,0.56,-5.5065,-6.34375,-6.231,-6.61575,-9.2265,82.693,46.6275,1.034,-8.4175,-7.6075,-8.145,0.7,-3.7775,2,-1.72,-0.19,212.175,272.4,-74.39,212.775,268.6,-0.04,-0.2325,-0.04,-0.0375,-0.09,-0.08,-0.01,-0.16,-4.7545,-3.7915,-2.5415,-1.1525,0.4925,2.07975,4.4495,6.671,8.359,-4.781,-3.62675,-2.0205,-0.91125,0.608,1.62725,3.44775,5.55375,6.8425,-5.284,-4.25725,-2.497,-1.4295,0.05275,1.09025,2.9515,5.38225,6.7155,-5.26775,-4.1665,-2.686,-1.26475,0.27775,1.4865,3.44275,5.58625,7.1205,-4.70725,-4.04125,-2.43525,-1.01825,0.5945,1.72225,3.83275,5.83025,7.02875,-17.08025,-17.23,-16.323
1,6.25,419.2095,2.41525,416.92,2.617,1992.399,418.8565,2.40625,416.385,2.59,1995.6105,419.072,2.23,416.948,2.4235,1987.115,419.1475,2.17775,417.301,2.6365,1990.37275,2.187,-5.614,0.254,416.2005,2.5155,0.0445,-0.071,-0.006,-1.017,-0.565,0.096,-43.328,-2.698,0.458,1.9025,1.5175,0.535,-5.35825,-5.98075,-6.0855,-6.79025,-9.439,82.69425,45.905,1.01,-8.2675,-7.735,-8.0275,0.6,-3.86,2.1,-1.74,-0.2,212.55,273.475,-73.67,212.9,268.7,-0.05,-0.2425,-0.0425,-0.0325,-0.115,-0.08,-0.01,-0.16,-4.836,-3.868,-2.628,-1.1585,0.4855,2.079,4.4485,6.67,8.358,-4.67075,-3.52575,-1.99025,-0.951,0.60425,1.625,3.44675,5.553,6.84125,-5.358,-4.0845,-2.5425,-1.43975,0.0525,1.093,2.95,5.382,6.7145,-5.40775,-4.25325,-2.74525,-1.30425,0.26975,1.486,3.441,5.58475,7.1195,-4.73775,-4.00675,-2.42425,-1.074,0.597,1.717,3.832,5.82925,7.0325,-16.89,-17.8445,-15.102
1,6.75,419.162,2.4405,417.176,2.6,1988.856,419.023,2.35975,416.80025,2.56025,1986.03725,418.967,2.28575,417.285,2.476,1989.0495,419.105,2.24025,417.147,2.589,1986.971,2.404,-5.519,0.246,416.34575,2.4575,0.018,-0.0485,0.0485,-0.81,-0.5175,0.102,-45.3165,-3.413,0.4565,1.97,1.58,0.56,-5.6555,-6.049,-6.244,-6.965,-9.5635,82.7015,46.755,1.1285,-8.535,-7.64,-8.18,0.8,-3.7,2.1,-1.66,-0.14,212.3,272.4,-72.535,213.05,267.4,0.03,-0.14,0.025,0.05,-0.065,-0.0225,0.03,-0.1225,-4.87625,-3.82175,-2.6785,-1.17025,0.47125,2.038,4.45675,6.67175,8.35775,-4.7405,-3.6165,-1.9805,-0.992,0.5995,1.622,3.4505,5.556,6.8405,-5.487,-4.1795,-2.543,-1.438,0.0375,1.0935,2.949,5.385,6.7075,-5.5175,-4.369,-2.744,-1.298,0.2665,1.4915,3.44,5.586,7.1195,-4.7485,-3.9435,-2.30925,-1.1285,0.59825,1.71225,3.832,5.82825,7.02725,-17.177,-18.96125,-15.8565
1,7.25,419.412,2.37925,416.86775,2.646,1986.865,419.43,2.3125,416.69975,2.443,1991.154,419.4,2.292,416.799,2.456,1988.9725,419.404,2.21,417.336,2.54,1991.58175,2.3115,-5.662,0.235,416.851,2.396,0.0475,-0.02675,0.048,-0.724,-0.33325,0.098,-38.796,-2.629,0.4405,1.785,1.51,0.53,-5.7495,-6.3015,-6.408,-6.8005,-9.29575,82.70925,46.825,1.0915,-8.1225,-7.31,-7.845,3,0.5425,4.2,1.265,0.915,211.15,274,-65.1425,213.025,268.9,5.7675,5.4425,5.295,5.0525,1.2775,2.29,2.26,1.4,-4.895,-3.7975,-2.6865,-1.213,0.469,2.04475,4.447,6.6685,8.35675,-4.92475,-3.736,-2.06625,-0.97,0.60575,1.624,3.44575,5.5525,6.83875,-5.424,-4.21575,-2.538,-1.448,0.03975,1.09475,2.9475,5.37675,6.71325,-5.4885,-4.2535,-2.77275,-1.28375,0.26725,1.4915,3.43975,5.58075,7.11825,-4.9055,-4.072,-2.398,-1.12425,0.6085,1.70825,3.83325,5.8285,7.02625,-17.4855,-18.885,-15.3735
1,7.75,419.172,2.381,417.399,2.52375,1993.62275,418.8765,2.324,416.824,2.526,1990.865,419.444,2.2925,417.795,2.632,1987.79225,419.26425,2.3335,417.38,2.5145,1990.056,2.0905,-5.543,0.213,416.82825,2.373,-0.065,-0.0695,-0.056,-0.4545,-0.225,0.0995,-29.72,-0.6235,0.4165,1.75,1.4,0.52,-5.874,-6.3335,-6.545,-6.16125,-8.31075,82.71375,47.305,1.13,-7.09,-5.82,-6.91,16.3,20.86,21.3,20.19,7.8,211.5,278.4,-40.7,212,274.45,45.305,44.1775,42.1,39.135,11.42,17.26,16.295,10.46,-4.821,-3.896,-2.722,-1.2385,0.4685,2.04,4.443,6.6675,8.35425,-4.7645,-3.7715,-2.0935,-1.006,0.6105,1.61825,3.4425,5.551,6.8355,-5.315,-4.2085,-2.535,-1.438,0.047,1.089,2.947,5.376,6.7195,-5.509,-4.2395,-2.8105,-1.32825,0.259,1.495,3.4385,5.5795,7.1185,-5.0245,-4.271,-2.4115,-1.1815,0.604,1.7,3.832,5.8245,7.025,-16.562,-16.567,-14.187
1,8.25,419.185,2.408,416.612,2.625,1990.885,419.024,2.507,416.394,2.709,1991.2115,419.1425,2.45825,416.747,2.697,1988.46775,419.1095,2.53125,417.117,2.715,1989.75,2.033,-5.18525,0.24575,416.63525,2.48425,0.05675,-0.0635,0.063,1.145,0.0405,0.099,-24.891,1.37525,0.493,1.6875,1.41,0.57,-5.22,-5.72,-5.707,-5.1275,-6.4395,82.725,45.97,1.18,-5.095,-4.2875,-5.43,28.675,59,56.95,58.12,20.63,212.1,286.375,-6.47,213.05,283.825,124.15,119.285,114.215,106.745,33.51,46.11,42.6425,26.8075,-4.4775,-3.642,-2.7125,-1.217,0.472,2.0405,4.4455,6.667,8.3535,-4.40525,-3.4805,-1.99175,-0.983,0.6095,1.619,3.444,5.55125,6.8355,-4.91225,-3.94925,-2.49225,-1.4415,0.05675,1.09075,2.94675,5.3775,6.7115,-5.08625,-4.068,-2.7835,-1.35275,0.262,1.495,3.43775,5.5785,7.118,-4.583,-3.98675,-2.3555,-1.1825,0.59525,1.697,3.8335,5.8265,7.025,-16.183,-17.4305,-14.3785
1,8.75,418.995,2.6105,416.99575,2.831,1992.153,418.89925,2.65975,416.291,2.83275,1988.51775,419.249,2.7195,416.871,2.8915,1987.831,418.86525,2.784,417.073,3.04,1988.2095,1.9225,-4.89,0.219,416.04,2.59175,0.086,-0.1675,0.075,3.088,-0.18575,0.1165,-14.197,1.726,0.467,1.59,1.38,0.61,-4.57075,-5.093,-5.018,-4.365,-5.3005,82.7445,42.68,1.4035,-3.52,-2.62,-4.04,38.5,106.07,99.925,104.41,34.49,213.2,293.9,13.9,215.95,293.65,228.285,220.835,210.805,193.35,60.795,84.415,78.53,54.565,-3.8765,-3.31,-2.4775,-1.146,0.47275,2.05,4.451,6.666,8.353,-3.532,-2.82,-1.7855,-0.894,0.627,1.617,3.448,5.558,6.83625,-4.1245,-3.455,-2.2805,-1.3605,0.0725,1.09075,2.9445,5.377,6.7045,-4.0845,-3.5155,-2.516,-1.287,0.2685,1.492,3.4365,5.5805,7.119,-3.994,-3.5765,-2.217,-1.076,0.5965,1.688,3.8315,5.8225,7.02775,-13.426,-14.063,-12.312
1,9.25,419.175,2.624,416.843,2.875,1986.81825,418.57275,2.709,416.56925,2.89775,1987.483,418.8895,2.672,417.0285,2.87825,1990.154,418.829,2.8515,416.80725,3.1705,1986.5215,2.0355,-3.9555,0.2375,416.3175,2.654,0.113,-0.1255,0.1165,4.964,-1.047,0.1415,-3.80825,1.569,0.4795,1.8,1.59,0.7075,-3.83075,-4.16025,-4.20625,-3.5735,-4.1165,82.75925,40.5575,1.748,-2.54,-1.31,-3.1175,45.15,160.065,149.7,157.8425,54.57,213.05,299.2,38.805,218.2,300.075,343.305,332.41,315.15,304.31,93.9775,121.1,118.6175,82.29,-3.1235,-2.8145,-2.052,-0.99675,0.5165,2.05725,4.451,6.666,8.352,-2.428,-2.13525,-1.335,-0.6995,0.6455,1.6255,3.4485,5.55925,6.8365,-3.035,-2.89625,-1.8945,-1.183,0.0995,1.0945,2.95,5.381,6.71975,-2.82225,-2.95275,-2.1285,-1.1135,0.294,1.4965,3.43625,5.58325,7.121,-2.95725,-2.9225,-1.8865,-0.90025,0.628,1.68225,3.83725,5.8375,7.03575,-11.50325,-11.327,-9.408
1,9.75,419.30325,2.751,417.56125,2.90975,1987.3605,418.799,2.712,417.15825,2.75225,1986.558,419.276,2.7595,417.389,3.025,1986.60425,419.181,2.7845,417.396,3.19025,1986.20725,2.1665,-3.3345,0.2395,416.858,2.6875,0.122,-0.103,0.1635,6.6515,-0.782,0.149,6.7515,1.39,0.5445,1.9425,1.74,0.7625,-2.94575,-3.4495,-3.421,-2.73175,-3.60225,82.762,37.175,2.03025,-1.35,-0.575,-2.28,50,213.1625,203.2,210.51,69.095,213.575,303.575,59.68,219.75,306.25,452.97,440.745,410.79,390.645,118.935,142.1,154.455,113.135,-2.54075,-2.41275,-1.67875,-0.71075,0.56325,2.065,4.451,6.665,8.351,-1.681,-1.571,-0.97,-0.464,0.687,1.6285,3.457,5.55925,6.83425,-1.9135,-2.0445,-1.481,-0.974,0.122,1.09875,2.949,5.38025,6.7165,-1.8955,-2.071,-1.53,-0.924,0.3415,1.51,3.435,5.5785,7.1165,-2.05,-2.1745,-1.4725,-0.669,0.6515,1.687,3.8325,5.8305,7.0275,-8.2805,-8.7865,-7.7085
