DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,RH_1_1_1,RH_2_1_1,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,SW_IN_1_1_2,PPFD_IN_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_1_2,TS_1_2_2,TS_1_3_2,NETRAD_1_1_1,TAU_1_2_1,H_1_2_1,LE_1_2_1,FC_1_2_1,WS_1_2_1,USTAR_1_2_1,T_SONIC_1_2_1,TA_1_2_1,PA_1_2_1,RH_1_2_1,CO2_1_2_1,H2O_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,W_SIGMA_1_2_1,T_SONIC_SIGMA_1_2_1,TAU_1_3_1,H_1_3_1,LE_1_3_1,FC_1_3_1,WS_1_3_1,USTAR_1_3_1,T_SONIC_1_3_1,TA_1_3_1,PA_1_3_1,RH_1_3_1,CO2_1_3_1,H2O_1_3_1,U_SIGMA_1_3_1,V_SIGMA_1_3_1,W_SIGMA_1_3_1,T_SONIC_SIGMA_1_3_1,PPFD_OUT_1_1_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_3_1_1,TS_3_1_2,TS_3_2_1,TS_3_2_2,TS_3_3_1,TS_3_3_2,SW_DIF_1_1_1,T_CANOPY_1_1_1
1,0.25,-0.14655975,-24.84285,-0.07789355,0.0455375,2.17705,0.100118,4.65866,394.4395,4.701235,0.35990725,0.31639175,0.11786475,0.1613165,97.6,-2.6576425,-3.942,64.13,63.935,-2.797,231.145,0,289.93775,-56.035,1.212385,-0.089,-27.4075,-26.805075,-29.434,-29.1425,2.91725,1.9145,0.4685,3.17175,1.89575,0.88075,-68.2029,-0.1521325,-21.8501,-0.32372725,-0.013459375,4.019955,0.09137565,5.98439,8.1151575,97.4063,42.9066,381.03,4.947065,0.3808935,0.335699,0.092836625,0.162655,-0.1614865,-15.365175,-0.491152,-0.0911364,5.395555,0.09456,5.5211,6.6801925,96.8881,50.39435,373.1845,5.82789,0.373997,0.3323525,0.08345615,0.149222,-0.137,3.968555,5.2046975,5.460825,6.3834275,7.5736525,8.9305825,5.55318,5.4638,4.8904975,4.88148,3.9851175,3.6893325,1.6576075,-3.4318675
1,0.75,-0.1388915,-23.6726,-0.00987508,0.0774906,2.19384,0.101288,4.4661125,394.8855,4.6542375,0.36920975,0.32393075,0.11628725,0.16298575,97.58015,-2.92675,-4.021,65.51865,65.25,-2.80098,230.35325,0.004,289.7975,-55.665,1.05783,-0.076,-27.67,-26.985,-29.6675,-29.465,2.90925,1.8735,0.411,3.1575,1.89325,0.858,-67.97,-0.1460775,-19.86785,-0.203341,-0.0349567,4.05751,0.0948062,5.8222,8.00484,97.4337,43.3209,381.83075,4.93584,0.388143,0.334755,0.100718,0.16360825,-0.153195,-14.0191,-0.433568,-0.05506135,5.49816,0.100804,5.36422,6.54979,96.8243,51.4487,372.9025,5.7813775,0.369657,0.335732,0.0914373,0.142987,-0.13375,3.93469,5.195005,5.4714925,6.3750775,7.5729925,8.928165,5.550345,5.45895,4.8907225,4.85766,3.93415,3.63183,1.6145025,-3.5600175
1,1.25,-0.135853,-24.002175,-0.0368702,0.0787211,2.16607,0.10650975,4.2317775,395.09475,4.60343,0.36962225,0.327873,0.12323525,0.15928375,97.59,-3.22938,-4.131,66.414425,66.055,-2.72,230.88,0,290.08,-55.68,1.1391,-0.085,-27.00865,-26.865,-29.42735,-29.35,2.8995,1.85425,0.388,3.1345,1.87375,0.83975,-68.405,-0.1395935,-20.166425,-0.0638971,-0.0254553,4.142655,0.101683,5.625765,7.95812,97.4228,43.371825,382.34925,4.928735,0.403841,0.346247,0.113451,0.1620145,-0.1532815,-14.0106,-0.247282,-0.069988725,5.36782,0.104613,5.14757,6.45969,96.8164,51.4573,373.3095,5.710975,0.407886,0.33996225,0.093802525,0.147616,-0.14875,3.8772575,5.1744475,5.476925,6.3675725,7.561905,8.92442,5.54832,5.45035,4.873115,4.83473,3.906035,3.589235,1.60035,-3.377745
1,1.75,-0.142385,-22.796575,-0.16779575,0.080681125,2.1910325,0.1072005,3.960125,394.8375,4.5646275,0.38937525,0.32840575,0.12729275,0.15459375,97.6,-3.3516,-4.209,66.11,66.675,-2.803,230.3275,0,288.7,-55.695,0.99305,-0.072,-27.945075,-27.77,-30.39,-29.7475,2.8865,1.835,0.371,3.11725,1.858,0.81075,-68.3347,-0.15248,-20.0261,-0.1207575,-0.04803755,4.1039025,0.10756775,5.44052,7.73189,97.4049,44.077025,382.802,4.94942,0.404996,0.3386575,0.11121475,0.1637775,-0.152037,-14.2238,-0.45125775,-0.0462967,5.6035475,0.108803,5.0361225,6.4496875,96.82285,51.8186,373.496,5.71018,0.3937005,0.3438685,0.0949638,0.14321275,-0.138,3.822305,5.1573,5.47995,6.358525,7.5566475,8.9124975,5.5509525,5.4622175,4.8609575,4.8236175,3.8792025,3.50588,1.42976,-3.51015
1,2.25,-0.137325,-23.029,-0.3087225,0.0868537,2.1869,0.1097925,3.6493,394.536,4.54955,0.399911,0.33574375,0.12962975,0.152607,97.6,-3.4845,-4.282,67.157225,66.97,-2.837985,230.14175,0,288.7025,-55.535,1.249265,-0.07,-27.455,-27.175,-30.72,-29.7975,2.8735,1.80025,0.36275,3.1125,1.84475,0.79725,-68.1757,-0.1545595,-21.08035,-0.06529085,-0.0356005,4.0843175,0.109674,5.3367775,7.6580225,97.4412,44.32615,383.05725,4.9026375,0.417284,0.358661,0.115264,0.16348475,-0.15246875,-13.5985,-0.418299,-0.0387915,5.6747425,0.103498,4.86061,6.38926,96.87955,52.40195,373.668,5.74094,0.3896475,0.3581045,0.0942574,0.14401075,-0.134,3.7534825,5.13462,5.4815,6.3587675,7.554805,8.9142475,5.55043,5.459625,4.8292775,4.8406675,3.83155,3.45497,1.4699575,-3.64302
1,2.75,-0.127929,-22.8039,-0.2130555,0.0786555,2.344285,0.11563775,3.65294,394.55475,4.4821625,0.39005275,0.34245525,0.134837,0.152302,97.6,-3.6137225,-4.476,67.709475,67.095,-2.720065,228.9575,0,287.535,-55.415,1.27132,-0.074,-27.9057,-28.28225,-31.367975,-30.336025,2.852,1.7375,0.34025,3.1045,1.83,0.76825,-67.72835,-0.1469005,-19.99,-0.259732,0.01972975,4.074845,0.10786525,5.218235,7.5941,97.45035,44.757025,382.86475,4.842635,0.41473225,0.346841,0.118408,0.1616955,-0.160417,-14.4027,-0.29753475,-0.058361625,5.6195525,0.10079175,4.6813325,6.18762,96.88285,53.564,373.605,5.728445,0.3901895,0.35483925,0.099501625,0.149023,-0.1375585,3.681965,5.11332,5.462935,6.342375,7.5609975,8.91492,5.5507075,5.4563675,4.83439,4.8383425,3.78366,3.431385,1.4432,-3.84696
1,3.25,-0.1371655,-22.943725,-0.25451625,0.06266335,2.3577275,0.11609025,3.5359375,394.72,4.411545,0.398117,0.33188275,0.140473,0.152405,97.6,-3.8386325,-4.811,68.12,67.8,-2.788065,228.3195,0.003,286.5375,-55.625,1.29677,-0.068,-27.82,-27.58,-31.4775,-30.21,2.83875,1.70325,0.336,3.09125,1.81525,0.6885,-68.19825,-0.1433225,-18.944075,-0.22638975,-0.013381025,4.00119,0.102185,5.0392925,7.487695,97.4558,45.0021,382.36575,4.90756,0.4166565,0.338456,0.1123675,0.15965025,-0.156854,-13.15765,-0.235207,-0.0513747,5.51861,0.10053,4.5747,6.2980575,96.879175,53.951,373.961,5.62567,0.381989,0.347362,0.10166,0.145267,-0.13715,3.6193025,5.09104,5.4538525,6.349875,7.561365,8.91017,5.5549725,5.4310425,4.7974725,4.8370925,3.73084,3.397575,1.567155,-3.8215175
1,3.75,-0.13706125,-21.83485,-0.141914,0.0584102,2.24312,0.10727975,3.3679475,394.52725,4.3978575,0.39648425,0.3476535,0.12963475,0.1537845,97.572,-3.8849175,-4.951,68.88,68.45,-2.884335,228.285,0.003,286.33225,-55.66,1.25853,-0.059,-28.258225,-28.2375,-31.819075,-30.495,2.82825,1.6865,0.31925,3.08225,1.8135,0.671,-68.165,-0.151253,-18.7255,-0.0746568,-0.04814225,3.999355,0.106242,4.935015,7.22093,97.4688,45.5777,383.344,4.88055,0.4188405,0.351212,0.120738,0.1592795,-0.1422845,-14.395375,-0.327316,-0.08678555,5.52222,0.0990067,4.54961,6.25605,96.82015,53.9659,374.2345,5.66226,0.393102,0.357445,0.0990316,0.147674,-0.132,3.57415,5.0819325,5.43027,6.357575,7.5564225,8.9077475,5.5527575,5.41037,4.764785,4.82351,3.68847,3.3663975,1.486945,-4.30053
1,4.25,-0.130851,-20.2197,-0.28414375,0.108212,2.25809,0.1114235,3.24909,395.076,4.41699,0.3949105,0.335762,0.128152,0.153423,97.5705,-4.2995,-5.272,69.428525,69.08,-2.89045,228.065,0.004,285.0125,-55.58,1.19835,-0.068,-27.8975,-28.7475,-31.706825,-30.82585,2.81175,1.66575,0.3155,3.07125,1.77475,0.63725,-68.37755,-0.145754,-18.490925,-0.107517,-0.019937875,3.98498,0.10573575,4.81539,7.153945,97.40375,45.130025,383.63225,4.7975125,0.42160575,0.34580075,0.1220955,0.1600305,-0.1412015,-12.5036,-0.2592,-0.0715716,5.47099,0.106865,4.46735,6.01385,96.80015,54.0628,374.094,5.664785,0.408993,0.358869,0.101833,0.1455885,-0.1409,3.5169175,5.0766825,5.3984725,6.3627475,7.55439,8.9055825,5.5504775,5.405055,4.75926,4.80015,3.6377325,3.3137275,1.5055525,-4.1352825
1,4.75,-0.140882,-19.375475,-0.46091425,0.07769185,2.2409975,0.106671,3.27685,394.74075,4.4198525,0.3928245,0.335476,0.124854,0.14501,97.5585,-4.35388,-5.562,69.534675,69.79,-2.806135,226.80175,0,284.885,-55.655,1.344115,-0.064,-28.7825,-29.0175,-31.9975,-31.09,2.80925,1.6405,0.31425,3.0435,1.749,0.61525,-68.12045,-0.158088,-18.40185,-0.147962,0.013848475,3.995085,0.1103805,4.73418,7.056325,97.40095,45.824425,383.17475,4.83908,0.43481575,0.35872675,0.12518425,0.154118,-0.141649,-12.3268,-0.37196,-0.0759473,5.51703,0.1083275,4.2136,6.02135,96.7998,54.03775,373.896,5.6876425,0.3925615,0.357755,0.106087,0.140038,-0.13475,3.47151,5.040665,5.3756925,6.368235,7.5588925,8.9007475,5.5460575,5.4110925,4.775925,4.777035,3.6019575,3.2680025,1.5328025,-4.2898525
1,5.25,-0.14492475,-20.63395,-0.19437425,0.06537495,2.3012025,0.1171955,3.1625525,394.7145,4.4249725,0.385384,0.336116,0.1383845,0.145893,97.5633,-4.567,-5.612,70.10035,70.2,-2.77265,227.28275,0,284.3,-55.63,1.247555,-0.064,-28.253175,-29.17,-31.8025,-31.295,2.8035,1.6075,0.29625,3.0155,1.74925,0.578,-68.415,-0.143536,-20.4041,-0.0656075,-0.00366519,3.8397775,0.111557,4.671055,6.95225,97.4001,45.85825,383.5855,4.868675,0.413068,0.354278,0.121756,0.1541655,-0.1533755,-11.646325,-0.1591245,-0.103165,5.30764,0.0988965,4.141175,5.95819,96.8005,54.686375,374.349,5.659935,0.37810175,0.35284525,0.099601625,0.1436475,-0.12075,3.40832,5.00813,5.3655925,6.37935,7.5630575,8.9134175,5.54359,5.4244725,4.764825,4.762175,3.5789825,3.23011,1.568725,-4.52714
1,5.75,-0.137968,-20.05265,-0.466538,0.0751378,2.2661675,0.11161725,3.0492825,394.2995,4.354515,0.3875075,0.34690875,0.134221,0.14672,97.569,-4.7317725,-5.799,71.35,71.3,-2.874,227.172,0,283.5375,-55.25,1.23493,-0.053,-28.54,-29.37175,-32.365,-31.45685,2.79325,1.578,0.25775,3.0005,1.72,0.54125,-67.66585,-0.15452,-20.626975,-0.126289,0.02320515,3.9852075,0.10937,4.346495,6.847695,97.402075,46.870525,383.426,4.8471425,0.419187,0.349397,0.120678,0.1562845,-0.158972,-11.567125,-0.21378925,-0.095239525,5.40033,0.09379145,3.91284,5.82987,96.8194,54.496,374.526,5.64513,0.37838675,0.33919125,0.096866525,0.139679,-0.11325,3.362315,5.0132725,5.35325,6.3803525,7.56959,8.91283,5.5352075,5.429935,4.7736075,4.786375,3.5416725,3.175865,1.4472225,-4.63807
