DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,13.75,376.035,4.639,-0.787,4.11,146.595,34.008,3.14,0.6995,1.2081,1.2936,0.82552,99.756,41.563,8.28,6.145,8.3455,0.34667,5.9835,6.023,808.53,433.59,60.141,286.265,369
1,14.25,376.08,4.61,-0.914,3.265,140.71,28.376,3.06,0.655,1.1949,1.2955,0.784215,99.7385,40.3,8.64,6.395,8.5111,0.30691,5.9395,6.031,730,387,58.2215,289.16,367.575
1,14.75,376.05,4.6975,-0.6,2.625,117.33,24.282,3.02,0.638,1.1549,1.2689,0.76978,99.7355,40.0615,8.77,6.6,8.4655,0.27824,6.041,6.0755,615,329.94,50.956,288.16,366.665
1,15.25,376.09,4.489,-0.897,1.31,88.36,20.5975,3.006,0.641,1.1213,1.1929,0.76076,99.7245,39.867,8.81,6.5,8.6577,0.22222,6.085,6.13,498,268.16,45.3,285,364
1,15.75,375.685,4.475,-0.775,0.2855,59.222,14.805,2.818,0.568,1.0587,1.1626,0.69271,99.724,39.7,8.917,6.355,8.7421,0.17257,6.0935,6.172,329,185.07,33.8,279.32,359
1,16.25,375.95,4.6855,-0.673,-0.532,22.1105,11.16,2.745,0.525,0.98642,1.0096,0.62999,99.737,40.35,8.605,6.19,8.73075,0.11811,5.971,6.227,210.3,120,22.9,278,353
1,16.75,376.065,4.645,-0.365,-1.81,-0.51,8.1535,2.4195,0.4405,0.81167,0.8704,0.54849,99.743,42,8.394,5.85,8.5854,0.11203,5.964,6.254,86,52.1,12.993,277.6,346.32
1,17.25,376.21,4.699,-0.088,-3.6825,-11.795,3.15,2.027,0.324,0.63298,0.6759,0.42347,99.752,44.7,7.6445,5.42,8.4652,0.15975,5.96,6.269,9,8.401,4.02,275,337.74
1,17.75,376.025,4.698,0.0215,-4.6275,-13.971,1.3,1.99,0.257,0.5337,0.58905,0.33795,99.769,49.8885,6.869,4.865,7.7791,0.19667,5.9105,6.282,0,-1.4535,1.804,274.6,334
1,18.25,375.49,4.6805,0.145,-5.34,-13.725,0.888,1.986,0.2335,0.489765,0.52738,0.30573,99.786,51.3,6.43,4.44,7.2032,0.189265,5.795,6.2935,0,-2.3195,1.7395,275.235,330.87
1,18.75,376.69,4.784,0.189,-5.915,-14.006,0.741,2.081,0.237,0.53208,0.55199,0.31464,99.7945,54.6,5.919,4.03,6.8003,0.18828,5.655,6.319,0,-2.24,1.6845,274,329.315
1,19.25,377.23,4.8615,0.2175,-6.435,-17.0015,1.317,2.13,0.243,0.5339,0.59826,0.32288,99.836,57.899,5.382,3.7,6.5791,0.19391,5.5325,6.34,0,-2.1145,1.6305,270.655,325.985
1,19.75,377.035,4.874,0.329,-6.825,-19.481,1.358,2.218,0.254,0.552865,0.60075,0.346585,99.851,58.3,5.0155,3.5,6.1918,0.191105,5.4165,6.323,0,-2.14,1.533,266,324.85
1,20.25,376.87,4.931,0.307,-7.0425,-19.762,1.0245,2.2235,0.274,0.53493,0.60768,0.35847,99.848,58.4,4.689,3.22,5.8588,0.19095,5.3785,6.312,0,-1.951,1.561,269.46,324.35
1,20.75,377.11,4.9425,0.299,-7.275,-20.074,1.497,2.2705,0.2795,0.579715,0.64151,0.37103,99.864,59.1,4.3945,3.24,5.54205,0.191635,5.3425,6.313,0,-1.914,1.484,271.28,324
1,21.25,376.81,4.804,0.288,-7.065,-20.46,1.07,2.328,0.283,0.59747,0.64639,0.39129,99.878,61.5,3.923,3.05,5.2054,0.18738,5.3125,6.2895,0,-2.03,1.59,268.45,322
1,21.75,377.09,4.8765,0.236,-7.48,-22.8,1.376,2.377,0.291,0.59277,0.6962,0.404985,99.8845,63.073,3.8615,2.89,5.00325,0.18859,5.262,6.269,0,-1.908,1.629,271.125,322.595
1,22.25,377.505,4.936,0.1625,-7.635,-22.0035,1.035,2.425,0.3315,0.61898,0.715095,0.417835,99.883,63.2,3.635,2.85,4.67745,0.18605,5.263,6.249,0,-1.9545,1.571,265.76,322.325
1,22.75,377.175,4.949,0.231,-7.95,-24.037,1.089,2.486,0.329,0.63985,0.72001,0.42776,99.893,63.9,3.423,2.68,4.4818,0.19847,5.2415,6.229,0,-1.771,1.511,270.985,321.62
1,23.25,378.29,5.024,0.1755,-7.92,-22.9705,0.654,2.439,0.33,0.6298,0.73084,0.41617,99.8795,65.8,3.0875,2.59,4.2487,0.1946,5.2215,6.219,0,-1.8045,1.53,265.5,320.905
1,23.75,378.265,5.025,0.199,-7.9675,-22.4235,0.9705,2.359,0.341,0.64271,0.75808,0.42969,99.8715,65.8,2.9405,2.58,4.0497,0.18748,5.2165,6.217,0,-1.685,1.4235,269.385,321.09
2,0.25,380.62,5.02,0.1635,-6.915,-18.404,1.13,2.22,0.305,0.61395,0.6967,0.39574,99.8955,59.878,3.96,2.78,5.2753,0.19476,6.654,7.6125,0,-1.7805,1.544,267.5,320.765
2,0.75,381,5.216,0.0795,-6.94,-20.132,1.0905,2.215,0.292,0.62043,0.694845,0.37747,99.888,61.707,3.9215,2.63,4.87595,0.19172,6.576,7.5925,0,-1.604,1.502,267.65,319.93
2,1.25,382,5.049,0.113,-6.945,-19.539,1.02,2.205,0.286,0.58378,0.690755,0.38796,99.891,62.895,3.575,2.59,4.5919,0.188225,6.4695,7.5525,0,-1.807,1.481,263.13,320.025
2,1.75,382.555,5.059,0.113,-7.135,-18.6835,0.541,2.168,0.287,0.606375,0.6779,0.38961,99.908,64.731,3.3385,2.52,4.4899,0.188835,6.3765,7.5125,0,-1.675,1.5215,262.46,318.81
2,2.25,381.46,4.943,0.165,-7.27,-18.413,0.9795,2.09,0.287,0.578775,0.683245,0.372275,99.8925,65.119,3.257,2.48,4.3611,0.17975,6.2965,7.49,0,-1.684,1.5105,260.3,318.055
2,2.75,381.88,5.0105,0.155,-7.375,-20.2095,1.136,2.222,0.285,0.564355,0.679645,0.392375,99.884,65.523,3.1105,2.28,4.1914,0.17768,6.2465,7.4775,0,-1.606,1.5125,264.465,318
2,3.25,382.195,5.079,0.041,-7.23,-18.386,1.081,2.1385,0.297,0.58213,0.70331,0.38108,99.8925,66.1,2.8715,2.22,3.8523,0.18493,6.1985,7.4625,0,-1.637,1.4435,263.975,317.5
2,3.75,382.76,4.899,0.021,-7.265,-16.291,1.3505,2.1895,0.311,0.58369,0.693075,0.38707,99.8805,67.015,2.791,2.16,3.45455,0.189615,6.16,7.46,0,-1.6715,1.4645,270.125,317.51
2,4.25,383.21,4.993,0.112,-7.3225,-19.1505,1.114,2.14,0.294,0.604155,0.7022,0.387695,99.883,68.2645,2.7315,2.11,3.1755,0.184045,6.1235,7.4375,0,-1.7405,1.463,259.165,316.435
2,4.75,383.03,4.9575,0.011,-7.6475,-17.1405,0.886,2.14,0.288,0.59091,0.71242,0.39869,99.8965,69.76,2.5595,1.97,2.9655,0.18412,6.08,7.405,0,-1.665,1.5325,256.42,315.085
2,5.25,383.07,4.953,0.086,-7.6625,-18.8,1.6375,2.18,0.303,0.584065,0.711105,0.40968,99.8895,70.902,2.2985,1.905,2.9491,0.18559,6.0235,7.361,0,-1.7335,1.525,252.365,315.005
2,5.75,383.58,4.943,0.031,-7.795,-18.879,1.416,2.075,0.3035,0.58649,0.66339,0.3763,99.8965,71.9665,2.0475,1.8,2.6985,0.17994,5.9685,7.3435,0,-1.809,1.4885,250.105,314.5
2,6.25,384.01,5.094,0.064,-7.625,-18.326,0.854,2.063,0.295,0.57265,0.68511,0.37327,99.9295,73.1,1.9785,1.75,2.8352,0.18937,5.913,7.34,0,-1.6125,1.5825,250.895,314.22
2,6.75,383.63,4.919,0.049,-7.955,-15.784,1.086,2.03,0.275,0.57741,0.670485,0.36955,99.96,73.4,1.861,1.63,2.6485,0.186,5.8725,7.3375,0,-0.553,1.7615,252.87,312.87
2,7.25,384.03,4.888,-0.013,-7.935,-16.48,1.0265,1.96,0.257,0.553135,0.65296,0.37153,99.9745,73.9,1.5935,1.68,2.5592,0.181125,5.8295,7.33,17.96,8.9645,4.199,251.815,314
2,7.75,383.19,4.7355,0.0275,-7.3225,-9.251,2.5605,2.04,0.2935,0.612215,0.693595,0.41014,99.995,72.9,1.8315,1.91,2.6751,0.190775,5.76,7.31,93.7,52.079,15.0285,251.74,316.33
2,8.25,383.02,4.823,0.108,-5.115,-0.416,6.93,2.067,0.37,0.69386,0.80185,0.48341,100.01,70.1,2.5375,2.19,3.1408,0.21934,5.6915,7.2925,230.455,123.255,27.4085,254.995,321.47
2,8.75,382.64,4.59,0.104,-3.905,14.7705,14.252,2.2105,0.433,0.82161,0.91852,0.55471,100.04,65.28,3.4185,2.71,3.9607,0.2494,5.692,7.275,372,210.915,32.636,258.885,327.285
2,9.25,382.33,4.469,-0.326,-1.81,46.932,21.169,2.426,0.508,0.92251,1.0421,0.64434,100.085,58.112,4.42,3.26,4.7993,0.28789,5.6985,7.24,528.7,311.895,43.95,250.455,334.02
2,9.75,382.28,4.692,-1.236,-0.302,80.4,26.3,2.529,0.5615,0.99942,1.1269,0.71054,100.055,53.2,5.282,3.95,5.3274,0.33869,5.8425,7.205,691,404.375,53.295,252.945,340.865
2,10.25,381.505,4.539,-0.5735,1.175,109.74,29.579,2.664,0.555,1.0597,1.1829,0.740155,100.055,48.718,5.823,4.58,5.9862,0.363125,5.9165,7.1325,834,483,61.2615,252.21,345.135
2,10.75,379.83,4.507,-1.371,4.5475,143.06,32.902,2.671,0.6035,1.0913,1.2534,0.75908,100.055,45.302,6.4525,5.02,6.61765,0.401755,6.2155,7.113,947.5,529.65,65.75,260.43,352.22
2,11.25,379.29,4.547,-1.231,5.425,157.335,39.6285,2.639,0.634,1.05125,1.31605,0.763415,100.055,43.485,7.195,5.48,7.0531,0.41871,6.6215,7.106,1030.5,573,71.911,265.82,357.105
2,11.75,381.245,4.526,-1.45,7.7025,174.22,41.71,2.667,0.596,1.1507,1.2997,0.75996,100.035,41.005,7.42,5.95,7.3491,0.43742,6.897,7.1195,1092.5,602,75.071,269.5,361.725
2,12.25,378.66,4.607,-1.6185,8.2075,203.455,39.3,2.715,0.641,1.1526,1.326,0.79557,99.9945,39.915,8.185,6.39,8.1975,0.45119,7.0415,7.1375,1139.5,651.5,82.21,272.23,365
