DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,-2.32,0.24564345,0.5531836,0.1278217,0.20783895,0,-0.2222274,-0.18198,431.6081,0,253.0913,266.928,-6.6645,-10.64167,87.47002,1.505659,2066.672,3.89455,-0.00471228,-0.009945,-0.051819095,-0.03211,95.875745,0.43551705,0.44746,0.2014186
1,0.75,-2.10948,0.816895,0.6051358,0.12339,0.20473625,0,-0.463585,-0.444305,431.40055,0,251.31915,265.84435,-6.262499,-10.62767,87.69001,1.507692,2068.566,3.337655,0.0035174035,0.008444472,-0.02913,-0.0198,95.82957,0.4990335,0.47874,0.2155115
1,1.25,-2.01056,0.5552734,0.6576306,0.1214436,0.20990835,0,-0.19269,-0.16159,430.9901,0.0105,251.9405,264.661,-6.55825,-10.613,87.69334,1.50587,2060.652,3.11178,-7.5e-05,-0.020465,-0.09993176,-0.01135,95.78917,0.47820505,0.502685,0.2008418
1,1.75,-2.21265,0.9145366,0.6097672,0.13292,0.20476,0,-0.3360887,-0.3721736,430.9665,0.0115,253.4875,262.0615,-6.30042,-11.0355,87.81335,1.505143,2061.006,3.83263,0.006390004,-0.00792,-0.04422,0.048065,95.70417,0.474805,0.5128362,0.21697475
1,2.25,-2.268835,0.781615,0.6628271,0.12744,0.19182,0,-0.34443,-0.35685,431.4402,0.002395,253.2356,264.3095,-5.83995,-10.860315,87.43333,1.46379,2060.6885,3.63444,0.0067527395,0.0005978125,-0.00137,0.03099,95.62387,0.49589115,0.50437235,0.2139696
1,2.75,-2.19745,0.6075483,0.5805117,0.10977,0.19738,0,-0.316505,-0.312345,431.1221,0.016735295,254.5225,263.66785,-6.0115,-11.879335,87.7675,1.484145,2066.454,3.144275,-0.0006365604,-0.008785596,-0.01704012,-0.003605,95.66455,0.4669707,0.5139984,0.20348
1,3.25,-2.28562,0.06657,0.5199003,0.1189238,0.21733,0,-0.43816,-0.42552305,431.3405,0.0125,252.7585,265.1057,-5.49033,-11.2805,88.122505,1.512781,2065.896,3.337935,-0.00415,0.002580554,-0.01751,0.00884,95.620395,0.4343584,0.4648011,0.20768
1,3.75,-1.75982,0.21,0.52808,0.11607,0.222825,0,-0.45619,-0.41,430.8838,0.01383,257.5129,266.9768,-5.625585,-10.723165,88.434995,1.4908,2062.971,3.37693,-0.0013420025,0.0037,-0.05587,-0.04072,95.63513,0.44174015,0.4977512,0.2025639
1,4.25,-2.06958,0.64697,0.49804705,0.12508,0.21991585,0,-0.45007,-0.4444339,431.49785,0.01981,257.6675,268.8376,-5.64408,-11.18333,88.443345,1.564643,2061.3745,3.40443,0.00423,0.0022,-0.03115,-0.04332,95.67741,0.4121969,0.467235,0.20361905
1,4.75,-2.51785,0.96845905,0.56524,0.12286,0.2060959,0,-0.215,-0.2597684,431.2018,0.00342,255.3788,267.2203,-4.92275,-9.8355,88.68668,1.572801,2063.904,2.8968,0.005565,0.00135,-0.01078,-0.00251,95.70579,0.5325594,0.5684817,0.2463804
