DOY2,HR2,CO2,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD_1_1_1,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TA_1_1_1,TS_1_1_1,TS_1_2_1,USTAR,VPD,WS
1,0.25,396.67695,-0.122500000000001,12.514,3.9413,4.34000000000001,294.6825,314.77,13.17075,97.1775,0,0,98.0025,0.584,5.96499999999997,1.71499999999998,0.586499999999999,1.8565,-0.385000000000005,-1.19735,-1.2269,0.692000000000001,0.881749999999999,4.201575
1,0.75,396.58285,-0.122500000000001,8.36375,5.19234999999999,4.72749999999999,295.52,316.54,12.4335,97.1775,0,0,98.0075,1.25,5.5325,2.52,0.426499999999999,1.84075,-0.365000000000012,-1.2167,-1.225,0.661999999999999,0.8705,4.252875
1,1.25,398.3091,-0.122500000000001,5.962,3.95629999999999,6.55,290.0325,316.3375,8.67825,97.1775,0,0,97.415,0.753,6.8875,0.700000000000001,0.49775,1.853,-0.457500000000015,-1.23985,-1.2298,0.671749999999999,0.862249999999999,4.36625
1,1.75,403.513675,-0.122500000000001,9.125,3.9984,13.4,294.235,316.3825,8.44825,97.1775,0,0,97.31,2.50200000000001,6.53249999999996,3.68749999999993,0.701749999999999,1.9055,-0.642500000000019,-1.2744,-1.21995,0.7775,0.725999999999998,4.01849999999999
1,2.25,413.316925,-0.1,8.5025,3.9916,5.55749999999999,297.325,316.23,12.2605,97.1775,0,0,97.905,0.44625,6.345,4.22499999999999,1.1565,1.771,-1.32500000000003,-1.311725,-1.21755,0.755,0.643749999999999,4.03749999999999
1,2.75,406.211725,-0.380000000000004,9.733,4.076,5,297.96,314.3625,13.07075,97.1775,0,0,97.2,0.45375,4.9,1.44749999999999,0.84325,1.918,-1.92750000000002,-1.350175,-1.21315,0.829,0.60125,4.79375
1,3.25,413.777275,-0.380000000000004,6.95399999999999,4.014,6.01999999999999,292.7525,312.96,12.841,97.2,0,0,97.21,0.56,7.62249999999998,1.1275,0.889499999999999,1.8955,-1.94500000000002,-1.390525,-1.207775,0.702999999999999,0.56125,4.4765
1,3.75,403.09925,-0.1,12.4862499999999,5.17075,5.16999999999999,287.4525,309.6825,10.49775,97.2,0,0,97.3025,0.776,4.225,1.325,0.70325,1.70775,-1.77500000000001,-1.42205,-1.2046,0.762,0.544999999999998,4.453
1,4.25,398.7272,-0.122500000000001,7.2395,4.517575,8.8875,286.4825,306.965,10.14825,97.1775,0,0,97.2075,0.22,4.47500000000001,1.50249999999999,0.83875,1.6855,-2.58000000000001,-1.441025,-1.201175,0.7425,0.535999999999998,4.43332499999999
1,4.75,398.022275,-1.41553435639707e-15,11.0525,4.27725,11.23,283.81,305.5225,16.9655,97.2,0,0,97.1175,0.24825,4.665,1.63,0.802999999999999,1.74775,-3.43300000000002,-1.454125,-1.204825,0.8975,0.515999999999998,3.87199999999999
1,5.25,398.20845,0.0649999999999949,8.367,4.0956,9.47500000000001,279.055,304.6875,11.82725,97.2,0,0,97.41,0.286,4.80999999999999,0.645,1.14,1.68775,-3.27602500000001,-1.46635,-1.216025,0.75425,0.518249999999997,3.90999999999999
1,5.75,398.1647,0.152499999999991,13.47,4.0587,5.65,278.1825,305.4075,14.278,97.155,0,0,97.5125,0.3775,4.39999999999999,0.689999999999999,0.90875,1.67325,-1.5312,-1.4796,-1.2177,0.7495,0.505999999999998,4.2805
1,6.25,398.10165,0.12999999999999,16.4665,4.0961,11.52,277.8275,305.55,16.64575,97.155,0,0,97.4175,1.0175,6.34,1,0.86325,1.664,-1.17292500000001,-1.4813,-1.218075,0.8465,0.512249999999999,4.2815
1,6.75,396.62565,0.374999999999991,15.149,4.10045,8.46,279.1525,306.0075,21.64275,97.155,0,0,96.91,0.465,10.225,1.555,0.879749999999999,1.98425,-0.77150000000001,-1.4732,-1.2146,0.891,0.524999999999998,4.52524999999999
1,7.25,397.063375,0.6,16.3695,4.176,9.4,282.8125,306.435,25.56825,97.1775,0,0,96.03,1.01125,7.62,1.2,1.05325,2.19175,-0.473000000000009,-1.470875,-1.214075,0.9405,0.5515,4.5615
1,7.75,397.3981,1.16499999999999,17.29275,4.236425,13.47,281.2325,306.995,24.0292499999999,97.1775,0,0,96.9075,3.6945,7.87999999999999,2.34,0.70775,1.681,-0.369000000000011,-1.4989,-1.208725,0.944,0.481,4.67425
1,8.25,397.8035,1.49749999999999,19.378,4.5132,15.0375,279.7975,307.2975,24.6809999999999,97.1,0,0,96.2275,0.411,9.0475,2.995,1.32274999999999,1.79975,-0.27125000000001,-1.528025,-1.20525,1.158,0.616499999999998,4.36725
1,8.75,397.8185,1.57499999999999,22.787,5.409875,8.41,289.9475,307.4,25.641,97.1775,2.570725,0.455749999999998,96.52,1.21625,7.0625,3.425,2.72875,1.96525,-0.368475000000011,-1.557925,-1.198,1.08,0.685249999999998,4.4885
1,9.25,397.55745,1.44249999999999,20.292,5.4462,17.9125,294.1375,307.89,27.3415,97.1775,21.6585,7.1245,97.1,1.6695,8.825,2.725,19.02525,13.77325,-0.26990000000001,-1.588925,-1.219375,1.1765,0.691749999999999,4.229
1,9.75,399.24085,1.31,26.73325,5.5167,8.56,295.7125,308.3225,45.0315,97.1775,82.8175,25.7875,97.305,2.84625,8.065,2.72,75.285,35.325,-0.177500000000008,-1.5838,-1.2387,1.04125,0.522999999999999,3.8585
1,10.25,399.742475,0.977499999999999,48.202,5.196125,12.06,279.1925,309.3,89.997,97.2,191.39325,49.1905,97.4075,4.42000000000001,12.79,1.9325,138.575,58.94375,-0.0875000000000043,-1.581625,-1.260925,1.0235,0.7205,3.832
1,10.75,400.61265,0.139999999999996,58.32625,4.594,16.92,292.66,310.93,131.86775,97.2,266.9605,73.3015,97.3075,1.735,15.325,2.375,196.655,67.0995,-0.0850000000000051,-1.576425,-1.279275,1.001,0.811,4.2235
1,11.25,402.103875,-0.560000000000001,92.0225,4.151625,21.6,291.66,312.3375,161.933,97.2,377.41875,94.1755,97.4075,0.63875,20.95,2.55,238.6825,76.5325,-0.0775000000000077,-1.5683,-1.28395,0.878000000000001,0.872249999999999,4.1435
