DOY2,HR2,TA,USTAR,WS,FC,H,LE,CO2,H2O,PA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,RH,TS
1,6.25,-7.469,0.11075,0.877000005,-0.058,-19.735,-0.013,414.382216675,4.2974507245,95.20096588,-57.933333,-2.605666633,0.42400001,232.9999933,279.9000033,66.68416708,1.40316666675
1,6.75,-7.575000034,0.10325,0.79100001,-0.03525,-18.809,0.01975,414.1204447,4.106887864,95.18727112,-59.54333233,-2.723333333,0.387666667,232.4333367,279.1666633,67.7841673325,1.40166666675
1,7.25,-7.8648334295,0.108,0.810499995,-0.125500005,-19.25,0.2905,414.1271496,4.09495877825,95.1265468625,-56.14333333,-0.778666677,0.50199997,229.9999967,279.3,67.3649995,1.40083333325
1,7.75,-7.790000066,0.084,0.752,-0.14525,-15.21525,0.1065,414.157457125,4.13862110075,95.1296749125,-30.77,-0.418666673,0.918000013,232.5333367,279.60001,67.4541665,1.4
1,8.25,-7.416333367,0.08325,0.7502499825,-0.198,-9.4882498,0.039,413.4855089,4.142358901,95.1517181375,-10.35000017,3.81133333,1.758,228.7000033,281.39999,66.97666658,1.40225
1,8.75,-6.8452499745,0.1095,0.7504999925,-0.0745,-4.5869999,0.338499995,414.9322103,4.20198573825,95.13954926,3.733999967,26.6833334,4.433999867,233.5333333,282.06667,65.65083392,1.402
1,9.25,-5.91179173375,0.12,0.7067499925,-0.166999995,-0.073,1.048,413.1959511,4.003991263,95.1641998275,25.08099968,48.9441670025,6.29200003325,236.7749975,287.266664975,62.963333835,1.40075
1,9.75,-5.44612499225,0.1815000025,0.856749995,-0.3079999925,2.456,4.27725,414.068647725,4.3573733385,95.1748962425,47.3600001675,68.6316666675,9.32050009975,238.7250075,292.108340825,60.1349995,1.41425
1,10.25,-4.84275012525,0.211,0.901999995,-0.33399999,7.062,7.782,415.7451743,4.649911369,95.18481827,60.1875002475,82.1516672525,10.4566666675,239.2416642,294.6000025,58.21500017,1.42275
1,10.75,-4.524374942,0.204,0.8395,-0.3965000075,10.057,8.20225,414.38351045,4.780861713,95.2283783,77.3175000025,102.008334225,13.9325000025,236.808330825,299.74999415,55.12999967,1.4095
1,11.25,-3.78029168775,0.26575,0.96149999,-0.4482499925,14.52825,8.13775,414.8292506,4.646580921,95.258571625,77.49166808,109.79999925,15.134166915,244.208332525,302.1666617,53.591667165,1.4145
1,11.75,-3.404333333,0.2507499925,0.971249985,-0.360499995,13.232,10.477,414.5398716,4.736152239,95.2244758625,84.4099984975,114.38333335,15.375,243.20000335,302.650009975,51.951666335,1.4055
1,12.25,-3.4485416715,0.29499999,1.1235,-0.43399999,16.54825,8.402,413.9434484,5.10501522075,95.20056152,85.29500017,111.4833333,15.4974997525,242.616668325,302.808325825,50.993332335,1.4055
1,12.75,-3.353,0.336250005,1.262,-0.45975001,17.57,14.43825,414.7212683,4.51520652825,95.17113113,82.5316686675,119.30833335,15.7566671675,244.925000825,305.108332525,48.8516675,1.40425
