DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA,RH,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,PA
1,13.25,-4.474725,-9.9772,-5.29785,-54.97575,0.141375,-0.4601,381.863,434.56575,8.134175,82.0025,9.39125,0,-13.36175,48.9515,0.446925,-7.81175,-6.311025,-4.990775,-3.89635,-4.11395,-0.566625,-4.2231,-4.9475,-6.483,-7.855,-5.349925,-4.2946,-8.34025,-9.9305,97.31925
1,13.75,-3.768,-11.90835,-20.9398,-65.3345,0.287375,-12.16715,378.897375,434.0095,0.846225000000003,85.52835,9.1365,0,-13.00975,47.40325,0.3929,-8.33875,-5.869625,-4.55355,-3.868175,-3.996575,-0.5713,-4.346575,-4.9021,-6.588,-7.84875,-4.38945,-4.417675,-8.3615,-9.62525,97.31
1,14.25,-3.94445,-22.04235,-1.9096,-98.03345,0.250125,-3.351,381.25375,434.5404,-4.316675,73.1975,9.37375,0,-12.67425,47.74725,0.417075,-8.475,-5.6923,-4.766625,-4.05455,-4.032,-0.6205,-4.37285,-4.883725,-6.376,-7.75375,-5.32715,-5.023325,-8.2485,-9.46625,97.276625
1,14.75,-3.802775,-11.5631,-0.49355,-67.3886,0.325125,-8.9959,380.233125,433.93415,1.639925,61.63375,8.9925,0,-12.85725,50.11325,0.3333,-8.442,-5.626225,-4.758,-4.0171,-4.21695,-0.57275,-4.3586,-4.813475,-6.572,-7.7075,-5.5399,-4.85165,-8.33375,-9.73525,97.252875
1,15.25,-3.989475,-8.22495,-14.5295,-122.27975,0.2795,-6.65845,380.770125,434.137,1.633125,49.638525,7.122575,0,-12.85475,51.35125,0.3404,-9.01725,-5.5562,-4.77185,-3.8218,-3.8301,-0.5342,-4.1609,-4.7696,-6.549,-7.66875,-4.5241,-5.19995,-8.233,-9.93425,97.2445
1,15.75,-2.6665,-3.514375,-3.366,-115.956125,0.1956,-4.77625,380.8225,432.979175,-14.19,36.553,6.45965,0,-12.946,55.02375,0.326775,-9.107,-5.64825,-4.7082,-4.1514,-3.89625,-0.4413,-4.029675,-4.7707,-6.902,-7.6725,-5.4306,-5.7473,-7.981,-9.87525,97.238
1,16.25,-3.0946,-5.1935,-23.029175,-133.90675,0.1406,-8.275,381.0711,417.0703,-35.81675,21.7535,4.137475,0,-13.35225,54.912,0.2955,-9.98725,-5.5451,-4.899925,-4.34025,-3.7886,-0.49395,-4.07655,-4.8744,-6.966,-7.75,-5.77845,-6.0766,-7.865,-9.64425,97.2162
1,16.75,-2.099,-2.09295,-13.0331,-104.60325,0.075875,-2.895725,381.40775,413.7348,-60.45075,12.079,0,0,-13.4225,56.7935,0.277,-9.57125,-5.476225,-4.80265,-4.9251,-3.65,-0.43225,-4.13035,-4.75175,-6.49,-7.76625,-5.44525,-6.4694,-7.91,-9.6615,97.204375
1,17.25,-2.15,-5.4152,-11.436325,-157.61775,0.05,-3.2876,382.3699,413.83465,-75.3225,0,0,0,-13.91825,57.95425,0.0722,-8.74675,-5.3999,-4.942575,-5.903475,-3.48905,-0.3613,-4.098425,-4.7461,-6.647,-7.6825,-5.57795,-7.0805,-8.05725,-9.7705,97.203625
1,17.75,-1.940875,-22.177825,-0.2687,-166.739675,0.06975,-3.983275,382.185925,414.0878,-75.4825,0,0,0,-15.11125,61.19775,0.0115,-9.42575,-4.83895,-5.0513,-6.31665,-3.509775,-0.360025,-4.028125,-4.75895,-6.8523,-7.75,-4.837,-6.3583,-8.0415,-10.10325,97.185125
