DOY2,HR2,FC_1_1_1,SC_1_1_1,USTAR_1_1_1,LE_1_1_1,H_1_1_1,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,WS_1_2_1,WS_1_3_1,WS_2_1_1,PA_1_1_1,NEE_1_1_1
1,0.5,0.35,0,0.1785,1.7,-6,402.23,402.315,402.76,403.86,-4.67,-4.94,-5.445,-5.94,83.15,83.7,85.8,91.3,-1,-0.72,-0.6,-0.58,-0.915,-0.66,-0.73,-0.365,-0.055,-0.125,0.48,1.26,0,0.3,-36.35,245.65,281,3.325,2.81,2.895,97.65,0.4
1,1.5,0.4,0,0.1875,1.6,-7.2,401.98,402.37,402.89,403.68,-4.98,-5.135,-5.64,-6.03,83.4,83.8,85.6,91.3,-1.05,-0.74,-0.645,-0.59,-1,-0.71,-0.785,-0.37,-0.055,-0.13,0.48,1.26,0,0.3,-31.6,246.4,279.8,3.54,3.05,3.17,97.635,0.4
1,2.5,0.35,0,0.184,1.7,-6.5,401.93,402.275,402.63,403.505,-5.12,-5.29,-5.67,-6.195,83.95,84.6,85.9,91.6,-1.09,-0.775,-0.69,-0.61,-1.07,-0.76,-0.855,-0.38,-0.06,-0.135,0.48,1.26,0,0.3,-29.15,249.25,279.6,3.485,2.98,3.145,97.665,0.4
1,3.5,0.32,0,0.183,1.2,-6.35,401.86,402.05,402.39,403.39,-5.515,-5.695,-6.08,-6.58,84.3,84.6,86,91.5,-1.16,-0.805,-0.715,-0.615,-1.135,-0.81,-0.91,-0.385,-0.06,-0.14,0.48,1.26,0,0.3,-31.1,248.2,279.1,3.345,2.91,3.005,97.65,0.3
1,4.5,0.36,0,0.19,2,-6,401.835,402.02,402.45,403.375,-5.58,-5.785,-6.485,-6.68,84.55,85.15,86.4,91.6,-1.22,-0.83,-0.755,-0.62,-1.25,-0.84,-0.945,-0.395,-0.06,-0.135,0.48,1.25,0,0.3,-29.55,247.85,277.95,3.365,2.85,2.955,97.64,0.36
1,5.5,0.345,0,0.194,1.5,-5.8,401.78,402.14,402.54,403.61,-5.845,-6.14,-6.92,-6.73,84.65,85.5,86.5,92,-1.26,-0.88,-0.79,-0.62,-1.325,-0.89,-0.97,-0.4,-0.06,-0.13,0.475,1.25,0,0.3,-27.4,248.45,276.95,3.53,3.05,3.135,97.655,0.4
1,6.5,0.36,0,0.199,1.25,-5.2,401.985,402.265,402.74,403.5,-6.09,-6.365,-6.89,-7.215,84.95,85.45,86.55,91.95,-1.3,-0.96,-0.845,-0.62,-1.38,-0.98,-1.065,-0.41,-0.07,-0.13,0.475,1.25,0,0.3,-28.55,248.5,277.05,3.43,2.97,3.06,97.685,0.38
1,7.5,0.385,0,0.193,1.3,-6.2,402.01,402.515,402.74,403.58,-6.24,-6.43,-6.9,-7.195,85.45,85.95,87.1,92,-1.35,-1.005,-0.855,-0.63,-1.45,-1.01,-1.155,-0.42,-0.07,-0.15,0.475,1.25,1.3,1.7,-25.55,246.4,276.15,3.37,2.975,2.96,97.7,0.4
1,8.5,0.4,0,0.21,5.3,-0.85,402.23,402.35,402.69,403.38,-6.015,-6.185,-6.235,-6.205,84.05,84.65,85.4,91.3,-1.33,-1.055,-0.89,-0.63,-1.405,-1.06,-1.17,-0.43,-0.075,-0.15,0.475,1.25,58.3,26.3,1,248.8,281.35,3.615,3.23,3.3,97.71,0.4
1,9.5,0.51,-0.1,0.2545,13.75,13.3,401.81,401.98,402.075,402.5,-4.635,-4.45,-4.37,-4.375,79.85,79.85,80.75,88.15,-1.19,-0.995,-0.895,-0.64,-1.22,-1.025,-1.165,-0.435,-0.08,-0.15,0.475,1.25,188.6,60.35,55.1,248.2,292.6,4.355,3.94,4.065,97.73,0.4
