DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,FC_1_1_1,H_1_1_1,LE_1_1_1,G_2_1_1,TS_2_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,PPFD_DIF_1_1_1,T_SONIC_1_2_1,TA_1_2_1,TA_1_3_1,RH_1_2_1,RH_1_3_1,CO2_1_2_1,H2O_1_2_1,SW_IN_1_2_1,SW_OUT_1_2_1,LW_IN_1_2_1,LW_OUT_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,W_SIGMA_1_2_1,T_SONIC_SIGMA_1_2_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,PPFD_IN_1_1_2,TA_1_1_2,RH_1_1_2,WS_1_1_2,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_2_1_1,CO2_2_1_1,H2O_2_1_1,LW_BC_IN_1_1_1,LW_BC_OUT_1_1_1,PPFD_BC_IN_1_1_1,TA_2_1_1,G_2_1_2,U_SIGMA_2_1_1,V_SIGMA_2_1_1,W_SIGMA_2_1_1,T_SONIC_SIGMA_2_1_1,WS_1_2_1,WS_2_1_1
10,18.5,0.2705,16.585,3.225,0.4598595,-14.489,3.881,0.227,14.52,59.05085,98.4,400.683,7.44,-72.6,0,1.215,2.28197,337.2865,393.0335,10.6445,4.74527,20.06795,17.3426,17.23545,62.82915,64.2804,409.283,11.52645,3.06383,3.09254,344.434,392.358,0.570461,0.5934285,0.372402,0.203856,18.5966,0.170075,11.9026,17.7271,55.71935,3.11585,0.556774,0.595276,0.353531,16.91695,424.3365,12.899,388.622,390.8235,0.5694145,15.7893,-0.042346,0.103322,0.1306935,0.04468255,0.16312,1.38527,0.225972
10,19.5,0.2760545,15.88,3.52,1.067,-19.238,2.52329,-1.500195,14.4345,61.95,98.4299,401.7335,6.49,-74.53,0,-1.47,1.51003,334.146,389.55,10.502,0.345371,19.1214,16.70275,16.4042,65.16235,66.35925,410.686,11.4308,-2.07081,2.032015,340.5485,388.9105,0.584143,0.608287,0.398236,0.215163,18.2094,0.200115,0.0315476,17.2715,56.6636,3.33684,0.570571,0.606408,0.379276,15.8745,429.796,12.8637,383.0725,386.1555,0.0782848,14.6744,-2.83343,0.100825,0.132151,0.0479924,0.125122,1.48724,0.242367
10,20.5,0.3215,15.25035,3.644,1.427,-23.149,2.129,-2.872,14.333,64.69415,98.47,403.188,5.88,-73.03,0,-1.45488,1.478,331.69,386.7375,10.531,0.345,18.494,16.0167,15.7481,68.7427,68.7517,412.3975,11.5234,-1.96329,2.10762,335.168,386.153,0.635803,0.675387,0.419501,0.207845,17.596,0.205433,0.0265904,16.52865,58.9871,3.48775,0.651634,0.693193,0.41604,15.0594,432.2585,12.8045,379.225,383.108,0.106057,14.0418,-3.89588,0.112433,0.14129,0.0515733,0.117676,1.58749,0.291489
10,21.5,0.325078,14.79,3.77545,1.84211,-27.4695,1.644,-3.739,14.273,66.676,98.4845,404.5205,5.06,-71.265,0,-1.43347,1.38711,328.65,384.241,10.469,0.345,17.76195,15.30465,15.3729,72.0631,72.3516,413.433,11.47305,-1.92864,1.989295,332.6335,383.328,0.6744845,0.701297,0.446516,0.196909,16.5463,0.213494,0.0171882,15.69205,60.33765,3.6347,0.669756,0.700532,0.439389,14.66305,435.394,12.4854,377.166,380.571,0.117167,13.5252,-4.78744,0.109252,0.141991,0.0538497,0.122525,1.651575,0.3166825
10,22.5,0.328,14.1183,3.8,1.81531,-26.749,1.691385,-4.619,14.131,69.005,98.5,405.228,4.67,-72.947,0,-1.4,1.35349,327.3,381.5,10.4515,0.3435,17.11555,14.7377,14.5893,74.8635,74.09845,414.736,11.4705,-1.94983,1.95334,329.96,380.062,0.70058,0.716151,0.455227,0.204861,16.0719,0.219452,0.01518295,15.07685,62.54885,3.75478,0.685217,0.714443,0.432677,14.4562,434.8045,12.1658,375.36,379.221,0.121446,13.2848,-5.72176,0.111631,0.1450115,0.05590055,0.1185305,1.664515,0.337682
10,23.5,0.3245565,13.4525,3.80222,1.83639,-26.90355,0.892,-5.33,14.0052,71.14365,98.49,405.88,4.3,-71.01,0,-1.41124,1.30983,325.373,378.209,10.399,0.342,16.5814,14.0785,14.25945,76.9182,75.6693,416.258,11.59575,-1.827325,1.94535,329.48,378.209,0.647123,0.6613885,0.4353005,0.199312,15.5237,0.215591,0.0138173,14.63405,63.85345,3.7114,0.682414,0.695501,0.437293,14.0622,436.462,12.2149,372.619,377.528,0.116981,13.0165,-6.7086,0.110718,0.139517,0.0580764,0.125535,1.592485,0.355624
11,0.5,0.400944,7.22667,3.819,1.28259,-22.8481,-0.314,-8.13523,9.661735,69.125,98.6941,407.74,2.74,-66.165,0,-0.9575,1.167,296.3505,346.5895,6.409885,0.3318845,8.36913,6.49348,6.94192,72.5317,74.3013,422.588,7.353985,-1.7477,1.638035,292.9275,339.206,0.759687,0.7547565,0.476162,0.153462,7.00202,0.147385,0.0170121,8.521705,64.77065,3.758,0.730342,0.80135,0.501181,6.94612,434.196,7.26747,320.591,337.749,-0.00110177,6.13511,-12.6589,0.188152,0.224548,0.084995,0.172905,2.29432,0.452047
11,1.5,0.4025,6.919,3.8795,1.23748,-20.938,-0.4335,-8.42,9.631,69.9,98.6978,407.96,2.62,-65.8,0,-0.8725,1.17228,294.824,345.048,6.35,0.331,8.17332,6.272025,6.49818,73.8896,74.4204,422.534,7.24222,-1.69113,1.63378,290.463,337.158,0.746264,0.7648885,0.4852845,0.152247,6.7713,0.150385,0.0159066,8.408845,65.0447,3.70269,0.7322955,0.7884335,0.4874355,6.663855,434.474,7.164345,318.1995,336.6275,-0.0181999,5.6209,-13.2616,0.188995,0.2086875,0.08452655,0.1670215,2.270895,0.466947
11,2.5,0.39,6.51,3.86,1.24051,-20.3965,-0.5758505,-8.9255,9.57,71.635,98.6975,407.9815,2.385,-62.9795,0,-0.8792315,1.18,296.0595,343.14,6.398,0.331,7.57087,5.779665,6.06644,75.51775,74.2734,423.331,7.32823,-1.600895,1.63814,289.625,335.378,0.7734935,0.7159755,0.4606275,0.152198,6.34364,0.1462555,0.0165352,8.229935,69.321,3.74362,0.721162,0.726507,0.466105,6.295545,435.274,7.29834,316.807,334.625,-0.027399,5.11003,-13.7112,0.1832395,0.20985,0.08761085,0.168602,2.29885,0.472192
11,3.5,0.3855,6.17917,3.848,1.33206,-19.3632,-0.71,-9.3125,9.515,73.27,98.679,408.899,2.16,-61.7945,0,-0.885,1.109,296.41,341.3985,6.3555,0.33,7.19106,5.343105,5.66911,76.8955,75.53055,423.1,7.29261,-1.55754,1.52241,290.14,333.882,0.7478735,0.7271035,0.4605555,0.15518,5.65375,0.140924,0.0127988,7.90247,71.8523,3.70047,0.711972,0.721561,0.478401,5.7454,436.2625,7.19556,317.691,332.714,-0.03173315,4.69649,-14.6207,0.182366,0.226563,0.0879828,0.1658165,2.242755,0.460807
