DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,G,SG
1,0.25,-21.7525,74.3265,5.568,100.85,-0.166,-0.016,-5.61525,0,0,197.43,209.62,0.246855,-26.496,-3.01665,-2.7755,-2.46135,-1.8897,-3.34425,-0.029312
1,0.75,-21.4825,74.765,5.17,100.85,-0.159,-0.039,-10.3461,0,0,190.76,210.22,0.25451,-26.4745,-3.0205,-2.781,-2.46635,-1.81485,-3.33875,-0.032243
1,1.25,-21.4425,76.002,5.1435,100.85,-0.19,-0.083,-9.5715,0,0,189.45,210.485,0.254285,-26.532,-3.02215,-2.7865,-2.471,-1.818,-3.33325,-0.02345
1,1.75,-21.61,76.2595,5.4665,100.85,-0.186,-0.072,-10.16665,0,0.020115,189.9,210.505,0.256805,-26.655,-3.024,-2.7915,-2.47515,-1.8212,-3.32495,-0.035174
1,2.25,-21.565,76.6855,5.701,100.85,-0.207,-0.044,-5.902,0,0.020113,188.98,210.405,0.257385,-26.657,-3.0258,-2.79735,-2.4802,-1.8248,-3.31945,-0.035174
1,2.75,-21.225,76.923,5.842,100.9,-0.208,-0.012,-5.9745,0,0,187.31,208.7,0.25664,-28.146,-3.1697,-2.949,-2.6067,-1.9103,-3.1953,-0.035174
1,3.25,-21.3,76.755,6.19,100.9,-0.166,-0.051,-5.98465,0,0,188.075,210.2,0.25623,-26.7595,-3.1697,-2.9567,-2.6127,-1.9143,-3.1898,-0.02345
1,3.75,-21.315,76.789,6.173,100.9,-0.23,-0.045,-8.9395,0,0,195.1,210.98,0.25726,-26.719,-3.1703,-2.9633,-2.6183,-1.9183,-3.1898,-0.011725
1,4.25,-21.2,76.897,6.195,100.8,-0.154,-0.053,-7.0788,0,0,192.455,210.795,0.25453,-26.727,-3.1703,-2.9707,-2.6247,-1.923,-3.1898,-0.041037
1,4.75,-21.19,75.725,5.679,100.8,-0.182,-0.016,-7.40765,0,0,187.93,210.82,0.25075,-26.7435,-3.1707,-2.978,-2.6307,-1.927,-3.1898,-0.02345
1,5.25,-21.275,75.351,5.308,100.8,-0.153,-0.02,-9.06255,0,0,189.265,210.335,0.25071,-26.7235,-3.171,-2.9847,-2.637,-1.9313,-3.1898,-0.029312
1,5.75,-20.65,76.282,5.621,100.8,-0.19,-0.051,-5.61,0,0,191.28,209.52,0.2476,-27.332,-3.1723,-2.991,-2.6427,-1.9353,-3.1953,-0.035174
1,6.25,-20.705,76.115,5.313,100.8,-0.182,-0.041,-5.61,0,0,191.5,209.32,0.24377,-27.192,-3.174,-2.9973,-2.6483,-1.939,-3.2008,-0.041037
1,6.75,-20.65,75.863,5.294,100.8,-0.176,-0.022,-7.4706,-0.05411,0,188.895,205.775,0.26448,-27.6665,-3.1747,-3.0037,-2.6543,-1.9437,-3.2008,-0.02345
1,7.25,-20.6,75.607,4.934,100.8,-0.202,-0.012,-11.978,-0.325655,0,189.775,205.345,0.2637,-27.6065,-3.176,-3.0067,-2.66,-1.9483,-3.2173,-0.032243
1,7.75,-20.99,75.4615,4.669,100.8,-0.1605,-0.0205,-12.952,0,0,185.78,201.53,0.264405,-28,-3.0563,-2.8545,-2.53315,-1.8625,-3.28355,-0.0498305
1,8.25,-21.2625,75.6465,4.61,100.8,-0.187,-0.063,-11.122,0,1.1281,187.21,203.99,0.27009,-27.852,-3.05965,-2.85785,-2.53785,-1.86615,-3.28635,-0.029312
1,8.75,-21.935,74.98,4.819,100.9,-0.17,-0.039,-3.5833,5.8562,5.4596,185.68,193.52,0.27112,-29.4175,-2.9463,-2.712,-2.4097,-1.7787,-3.3222,-0.052762
1,9.25,-21.795,74.344,5.203,100.9,-0.232,-0.063,-1.0262,18.377,14.104,184.71,197.8,0.27244,-29.504,-2.9523,-2.717,-2.4133,-1.7813,-3.3277,-0.035174
1,9.75,-22.115,74.737,5.165,100.9,-0.135,-0.008,1.8232,31.298,24.049,180.68,198.76,0.274,-29.477,-2.9583,-2.723,-2.4183,-1.7843,-3.3222,-0.041037
1,10.25,-21.75,74.7855,5.2195,100.9,-0.0525,0.1355,8.76575,50.8265,34.107,184.175,200.44,0.265825,-28.427,-2.965,-2.7287,-2.4233,-1.788,-3.3167,-0.043968
1,10.75,-22.5,74.99,4.922,100.9,0.313,0.353,13.3,77.0645,50.6615,194.52,204.155,0.24029,-27.314,-2.9717,-2.7343,-2.4277,-1.7907,-3.3001,-0.0410365
1,11.25,-21.4425,75.367,5.6745,100.9,1.2815,1.51,16.533,90.754,65.109,196.42,204.68,0.26392,-26.563,-3.08285,-2.87765,-2.5662,-1.88785,-3.2946,-0.0205185
1,11.75,-21.515,74.59,5.869,100.8,3.153,3.306,14.9525,115.17,76.5455,194.65,205.315,0.24803,-26.4105,-2.985,-2.7467,-2.4377,-1.7973,-3.3056,-0.02345
1,12.25,-21.79,74.808,5.726,100.8,5.328,5.32,19.0275,126.025,87.537,193.275,204.405,0.25125,-25.9795,-2.9913,-2.7523,-2.4423,-1.8,-3.3167,-0.017587
1,12.75,-22.18,74.95,5.381,100.9,6.908,6.913,20.394,139.96,87.739,197.8,204.77,0.24053,-26.313,-2.9973,-2.758,-2.447,-1.8027,-3.3222,-0.011725
1,13.25,-22.18,74.592,5.324,100.9,7.213,7.269,16.441,146.12,90.764,193.13,204.92,0.24115,-26.189,-3.0037,-2.764,-2.452,-1.8067,-3.3332,-0.017587
1,13.75,-22.18,74.647,5.899,100.9,6.141,5.97,19.288,137.26,96.075,192.2,206.34,0.23849,-25.509,-3.0107,-2.7703,-2.4573,-1.81,-3.3443,-0.017587
1,14.25,-22.9175,74.4835,5.561,100.9,4.108,4.383,13.115,98.795,73.299,192.87,208.14,0.25412,-25.921,-3.018,-2.7763,-2.4623,-1.8133,-3.3498,-0.029312
1,14.75,-23.695,74.567,5.156,100.9,1.827,1.806,13.502,93.161,69.644,187.97,209.08,0.23141,-25.779,-3.025,-2.783,-2.4677,-1.817,-3.3663,-0.017587
1,15.25,-23.64,74.375,5.29,100.9,0.392,0.601,3.9839,71.046,55.109,187.5,209.57,0.23074,-25.757,-3.0317,-2.7887,-2.4733,-1.8203,-3.3774,-0.017587
1,15.75,-23.54,74.697,4.605,100.9,-0.024,0.226,0.035682,53.892,41.918,188.03,206.98,0.22953,-25.992,-3.0387,-2.7957,-2.4787,-1.8247,-3.3829,-0.029312
1,16.25,-23.46,75.024,5.283,100.9,-0.117,0.024,-1.8037,35.544,28.837,187.2,207.54,0.22972,-26.234,-3.0457,-2.802,-2.484,-1.828,-3.3939,-0.02345
1,16.75,-23.08,75.183,5.12,101,-0.172,-0.016,-4.4274,22.844,16.281,188.42,207.24,0.2334,-26.755,-3.053,-2.8087,-2.4897,-1.8313,-3.4105,-0.017587
1,17.25,-23.02,75.022,5.716,101,-0.154,-0.027,-11.86,7.965,6.753,192.03,205.95,0.23694,-26.907,-3.0597,-2.8147,-2.4947,-1.835,-3.4105,-0.017587
1,17.75,-22.805,74.757,5.005,101,-0.17,-0.027,-16.564,1.752,3.0697,188.58,204.94,0.23852,-26.971,-3.067,-2.821,-2.4997,-1.8383,-3.416,-0.02345
1,18.25,-22.57,74.734,5.088,101,-0.156,-0.029,-14.517,0,0.271975,188.45,206.105,0.24093,-27.168,-3.074,-2.8277,-2.5057,-1.842,-3.416,-0.02345
1,18.75,-22.37,74.61,5.457,101,-0.204,-0.012,-15.08,0,0.020118,188.5,205.86,0.2382,-27.3235,-3.0813,-2.8343,-2.5107,-1.8453,-3.4105,-0.011725
1,19.25,-22.28,75.755,5.274,101,-0.182,-0.063,-13.491,0,0.010066,186.39,206.445,0.24463,-27.076,-3.0887,-2.8413,-2.5167,-1.8497,-3.4215,-0.0058624
1,19.75,-22.235,74.743,5.172,101,-0.16,-0.025,-13.317,0,0,191.52,207.19,0.24591,-27.163,-3.0963,-2.848,-2.523,-1.854,-3.4271,-0.011725
1,20.25,-21.965,74.661,5.107,100.9,-0.182,-0.069,-11.337,0,0.020132,189.3,206,0.25055,-27.389,-3.104,-2.855,-2.5287,-1.8577,-3.4326,-0.0029312
1,20.75,-21.83,75.217,5.224,100.9,-0.192,0.004,-8.3574,0,0,191.95,204.1,0.2516,-27.613,-3.112,-2.8623,-2.5343,-1.8617,-3.4326,-0.017587
1,21.25,-21.675,74.616,5.194,100.9,-0.196,-0.037,-6.4702,0,0,192.605,203.705,0.25318,-28.1055,-3.1197,-2.869,-2.5403,-1.8657,-3.4381,0.0058624
1,21.75,-21.52,75.029,5.537,100.9,-0.184,-0.051,-6.0428,0,0,191.51,204.51,0.25614,-28.206,-3.1273,-2.876,-2.5457,-1.869,-3.4381,-0.011725
1,22.25,-21.52,75.073,5.367,100.8,-0.228,-0.041,-5.9363,0,0,191.31,204.74,0.25251,-27.783,-3.1347,-2.8833,-2.5517,-1.8733,-3.4491,-0.02345
1,22.75,-21.51,74.765,5.245,100.8,-0.202,-0.047,-6.4675,0,0.020131,191.73,204.7,0.24953,-27.593,-3.1427,-2.8903,-2.5577,-1.8777,-3.4546,-0.011725
1,23.25,-21.585,73.859,4.887,100.9,-0.172,-0.022,-5.6138,0,0,191.2,204.56,0.25448,-27.845,-3.1507,-2.8973,-2.5637,-1.881,-3.4491,-0.011725
1,23.75,-22.52,74.3705,4.4965,100.85,-0.187,-0.0785,-6.699,0,0,194.525,205.72,0.246565,-28.1365,-3.166,-2.95615,-2.66965,-1.97515,-3.4629,-0.0146562
2,0.25,-28.305,83.268,3.8332,101.5,-0.037,0,-5.61525,0,0,197.43,209.62,0.07671,-26.496,-7.633,-7.4287,-7.1767,-6.6683,-2.8236,-0.11725
2,0.75,-28.3835,87.2985,3.9385,101.5,-0.0530085,0,-10.3461,0,0,190.76,210.22,0.070582,-26.4745,-8.60835,-8.568,-8.46715,-8.22415,-2.79265,-0.112975
2,1.25,-28.504,89.271,3.778,101.5,-0.01470395,0,-9.5715,0,0,189.45,210.485,0.068809,-26.532,-8.59835,-8.5598,-8.4545,-8.2145,-2.7204,-0.0937965
2,1.75,-28.979,88.986,3.672,101.5,-0.069508,0,-10.16665,0,0.020115,189.9,210.505,0.0730215,-26.655,-8.59165,-8.5502,-8.44665,-8.2082,-2.741,-0.093798
2,2.25,-28.8825,88.986,3.9245,101.5,-0.036816,0,-5.902,0,0.020113,188.98,210.405,0.071153,-26.657,-8.5885,-8.5437,-8.442,-8.20335,-2.74035,-0.112905
2,2.75,-28.686,84.8365,4.7081,101.5,-0.047,0,-5.9745,0,0,187.31,208.7,0.070153,-28.146,-7.60985,-7.39565,-7.145,-6.65035,-2.7743,-0.115005
2,3.25,-28.61,83.706,4.1458,101.5,-0.083,0,-5.98465,0,0,188.075,210.2,0.070497,-26.7595,-7.606,-7.3807,-7.1153,-6.6297,-2.6566,-0.0991895
2,3.75,-28.9475,87.382,4.3532,101.5,-0.00185235,0,-8.9395,0,0,195.1,210.98,0.072581,-26.719,-7.609,-7.39715,-7.1425,-6.6498,-2.68455,-0.076029
2,4.25,-28.69,85.346,4.1894,101.5,-0.066866,0,-7.0788,0,0,192.455,210.795,0.076437,-26.727,-7.60865,-7.397,-7.13985,-6.6512,-2.68455,-0.0751245
2,4.75,-28.985,88.854,3.7235,101.55,-0.063,0,-7.40765,0,0,187.93,210.82,0.071177,-26.7435,-7.5993,-7.3923,-7.1127,-6.632,-2.7275,-0.07498
2,5.25,-28.725,85.884,4.1014,101.5,-0.053,0,-9.06255,0,0,189.265,210.335,0.080578,-26.7235,-7.5957,-7.3953,-7.109,-6.6323,-2.6921,-0.13985
2,5.75,-28.175,87.999,4.0985,101.5,-0.039,0,-5.61,0,0,191.28,209.52,0.0749605,-27.332,-7.60915,-7.3983,-7.1347,-6.651,-2.68455,-0.11341
2,6.25,-27.925,86.628,3.977,101.5,-0.063,0,-5.61,0,0,191.5,209.32,0.079377,-27.192,-7.61035,-7.39965,-7.1365,-6.65115,-2.70285,-0.084437
2,6.75,-28.53,82.904,3.6948,101.55,-0.054,0,-7.4706,-0.05411,0,188.895,205.775,0.0841735,-27.6665,-7.495,-7.315,-7.1067,-6.6267,-2.6964,-0.11305
2,7.25,-28.573,81.603,3.379,101.6,-0.034,0,-11.978,-0.325655,0,189.775,205.345,0.077437,-27.6065,-7.495,-7.315,-7.1067,-6.6243,-2.6523,-0.0848225
2,7.75,-28.155,83.179,3.1888,101.6,0.006,0.096,-12.952,0,0,185.78,201.53,0.082758,-28,-7.4953,-7.3153,-7.107,-6.626,-2.6876,-0.11725
2,8.25,-27.6235,80.375,3.0115,101.6,0.663,0.67045,-11.122,0,1.1281,187.21,203.99,0.086311,-27.852,-7.495,-7.315,-7.1073,-6.628,-2.6833,-0.075847
2,8.75,-29.9225,90.3945,2.7379,101.6,5.4558,5.28425,-3.5833,5.8562,5.4596,185.68,193.52,0.0735275,-29.4175,-9.23785,-8.99485,-8.7605,-8.36315,-2.8194,-0.066754
2,9.25,-29.521,93.999,2.722,101.6,20.822,20.08,-1.0262,18.377,14.104,184.71,197.8,0.071176,-29.504,-10.223,-10,-9.8033,-9.5267,-2.8714,-0.0726645
2,9.75,-28.342,93.207,2.8839,101.6,44.83,46.37,1.8232,31.298,24.049,180.68,198.76,0.0615045,-29.477,-10.53,-10.285,-10.08685,-9.7985,-2.9695,-0.058624
2,10.25,-28.0955,94.3065,3.4306,101.5,84.05,83.5885,8.76575,50.8265,34.107,184.175,200.44,0.0756065,-28.427,-10.432,-10.20315,-10.02015,-9.75835,-2.9372,-0.061555
2,10.75,-27.196,95.509,3.6752,101.55,125.48,120.98,13.3,77.0645,50.6615,194.52,204.155,0.0732295,-27.314,-10.643,-10.423,-10.247,-9.98,-2.9745,-6.8788e-15
2,11.25,-26.9505,95.1105,3.5739,101.55,166.01,158.35,16.533,90.754,65.109,196.42,204.68,0.079869,-26.563,-10.603,-10.373,-10.24,-9.97835,-2.9986,-0.0615555
2,11.75,-26.509,95.821,3.937,101.6,186.75,186.7,14.9525,115.17,76.5455,194.65,205.315,0.087014,-26.4105,-10.5,-10.243,-10.16,-9.98,-2.9754,-0.052762
2,12.25,-26.734,96.693,3.8285,101.6,222,207.53,19.0275,126.025,87.537,193.275,204.405,0.088469,-25.9795,-10.417,-10.16,-10.1,-9.98,-2.9448,-0.035174
