DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,TA,RH
1,0.25,0.00832,2.40751,10.1685,0.55839025,2.23136,0.277459,0.6950635,406.922,2.605975,1.04991,1.04884,0.485445,0.231078,-0.4819919,1.062023,304.160848,321.9382449,0.06,1.085,91.2
1,0.75,0.0036,2.2507,11.423725,0.598488,2.06064,0.274033,0.67087325,382.908,3.3793525,1.08796,0.994836,0.447608,0.191949,-0.4611101,1.01783,301.3847927,320.6478223,0.056,1.072,91.3
1,1.25,0.012905,2.5240975,11.69671,0.509589,2.01611,0.28518275,0.763675,408.496,3.19387,0.964828,0.94574825,0.4292135,0.263776,-0.3982833,1.181401,304.009281075,321.0648067,0.057,0.774,90.8
1,1.75,0.0039125,1.4171075,11.80168,0.926667,2.0897175,0.267843,0.83987,409.763,3.611685,0.99960225,0.87875225,0.41057025,0.21670225,-0.406863,1.367556,304.86281045,322.5319283,0.067,0.895,91.4
1,2.25,0.0066725,2.85365,8.834425,0.472608,2.176575,0.23792675,0.84838,409.587,3.46095,0.952233,0.86385025,0.414939,0.22393225,-0.3473206,1.255665,305.81702285,320.9816266,0.077,1.072,91.1
1,2.75,0.0066925,3.3948825,7.9873175,0.541483,2.07957,0.2552315,1.44724,409.556,3.39573,0.93460925,0.87229075,0.409675,0.197398,-0.3546206,1.38698,307.806517775,323.3703888,0.068,0.798,91.5
1,3.25,0.0037425,2.8918075,7.757665,0.831817,2.1983525,0.29556825,1.30593,409.40775,3.295945,0.904602,0.93864325,0.4279565,0.17067075,-0.4131429,1.354189,309.145231775,322.7020188,0.084,0.769,91.8
1,3.75,0.003885,2.075425,6.25338,0.715848,1.976925,0.28838625,1.33169,409.563,2.863755,0.8432345,0.94963725,0.41736575,0.181263,-0.4472456,1.425491,307.1268603,323.2723323,0.095,1.059,92
1,4.25,0.003793,2.9151175,9.24105,0.5065845,2.23989,0.29209375,1.42899,409.4125,3.22241,1.03887875,0.99593775,0.45499675,0.180635,-0.4384045,1.530897,305.29444405,323.5678633,0.101,0.76,91.1
1,4.75,0.001295,4.24502,10.51145,0.574583,2.165815,0.2676775,1.05378,408.143,3.05345,1.022425,1.0014015,0.4509455,0.225652,-0.5088598,1.44104,305.8289524,321.813527,0.1,0.619,91.6
1,5.25,0.001235,2.3330375,12.0169,0.834651,2.262355,0.2632255,1.07565,408.552,3.30082,1.062635,1.056915,0.48165025,0.194138,-0.5549197,1.320179,301.970140625,322.5305453,0.095,0.526,92.6
1,5.75,0.00368,3.0405125,9.3823,0.67387,2.2530175,0.2931995,1.09396,408.988,3.28916,1.00476,1.02947,0.4949685,0.18657075,-0.454148,1.349928,304.142421225,321.8540696,0.103,0.537,92.3
1,6.25,0.00152525,3.8764975,9.787895,0.636763,2.26958,0.27111725,1.11257,409.242,3.1257375,1.1186225,1.1015325,0.53564075,0.197797,-0.4686226,1.314996,305.33376365,322.1277306,0.099,0.576,91.4
1,6.75,0.002415,2.765785,8.57035,0.549253,2.304515,0.2742475,1.02502,409.66,3.06584,1.1238125,1.04419,0.5221965,0.211582,-0.5164002,1.345178,304.7138486,321.7872205,0.081,0.381,91.9
1,7.25,0.0030875,3.714505,10.2382425,0.930001,2.2342975,0.26340025,0.155258,394.786,2.7822225,1.0515825,0.9840465,0.47777375,0.21762575,-0.3843065,1.344229,303.632860725,319.2336388,0.084,0.28,91.8
1,7.75,0.003565,3.2127575,7.99907,1.13937,2.160035,0.264172,-0.159187,393.821,2.68594,0.9987385,1.0412825,0.446076,0.180732,-0.4001921,1.333798,302.667412525,318.0594409,0.61,0.349,91.9
1,8.25,0.0014925,2.69813,8.11654,0.154438,2.299845,0.25400075,0.548223,402.107,2.44432,1.0083315,0.964494,0.47289725,0.18392325,3.249833,3.374704,302.406792925,319.1477415,11.22,0.255,92.5
1,8.75,-0.002455,6.539835,11.641525,0.55693625,2.15678,0.30791725,0.543325,408.597,2.83722,1.0465075,1.11420975,0.50191075,0.272464,21.77097,8.345263,300.54187075,320.4751088,60.15,0.258,92.6
1,9.25,0.03975,11.989075,11.75865,0.285972,2.3843,0.296206,0.518097,410.718,3.059735,1.1074125,1.0906275,0.4816125,0.238981,62.94042,18.17861,301.16850435,321.1095696,149.4,0.396,92.1
1,9.75,-0.0044375,13.084075,14.2725,0.1103,2.1918175,0.328613,0.85744475,410.698,3.053175,1.1237675,1.15661,0.48490225,0.244008,112.1615,41.06493,301.617883425,321.439425475,265.1,0.737,91.3
1,10.25,0.068175,23.16815,15.08605,0.3561585,2.354835,0.3347315,2.0215325,398.8345,3.093335,1.074145,1.168995,0.49329325,0.29848275,139.1444,54.85502,300.6232382,324.636313125,350.8,1.146,91.2
1,10.75,0.0158,23.561225,15.463775,0.113082,2.50238,0.313859,2.0365825,394.518,3.54827,1.16568,1.225305,0.511998,0.295976,182.7503,64.39358,299.1663094,324.9296819,480.1,1.515,90.3
1,11.25,0.0037,36.54605,20.7885,0.653045,2.4144,0.3153965,2.671735,411.9455,3.1716525,1.08235,1.17585,0.47841325,0.3084025,219.1748,74.64342,299.4703811,328.5624144,525.3,1.947,89.9
