DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,VPD,RH,PA,TA,TS_1,TS_2,G_1,G_2,WS
2,6.25,0.555103188,-5.436,0.298685,0.074,0,0.596775,215.8,226.69,-16.635,3.71e-06,0.192405,77.4335,99.801,-18.1065,-1.22145,-1.17205,-8.87035,-8.96235,0.54011
2,6.75,0.5633591925,-3.38435,0.67694,0.07895,0,0.61761,214.21,229.605,-15.565,0.00096421,0.18241,78.0885,99.821,-18.0335,-1.2487,-1.18995,-8.8198,-8.9062,0.50453
2,7.25,0.855248058,-5.6691,0.50877,0.0862,0,0.590735,215.55,228.95,-16.262,0.001724,0.17351,79.1235,99.83,-18.194,-1.24605,-1.1889,-8.79255,-8.87255,0.493385
2,7.75,0.626754638,-3.9041,0.276875,0.069,0,0.842465,214.205,227.085,-16.566,0.017814,0.164815,79.7635,99.83,-18.3525,-1.2295,-1.1909,-8.8414,-8.8409,0.496025
2,8.25,0.431081178,-3.9467,0.031195,0.07775,0,1.01235,214.33,225.76,-15.14,0.41133,0.179465,79.564,99.841,-18.494,-1.19985,-1.1835,-8.89645,-8.81965,0.5053
2,8.75,0.53723431,-5.1766,-0.158,0.07245,1.86785,2.62015,214.49,225.9,-14.7075,5.46555,0.18473,78.864,99.8825,-17.646,-1.2644,-1.20025,-8.8712,-8.8142,0.46534
2,9.25,0.7218537865,-7.0687,0.13056,0.07785,9.6039,9.34075,209.58,229.545,-11.887,20.3255,0.181645,76.7035,99.902,-17.7695,-1.24575,-1.1676,-8.844,-8.83465,0.528425
2,9.75,0.768806678,-9.6519,0.81482,0.0908,32.078,25.654,211.52,230.875,-8.73855,53.3685,0.22037,75.5525,99.944,-16.1775,-1.23325,-1.13715,-8.7887,-8.8649,0.53714
2,10.25,0.49194812,-9.041,0.84191,0.08235,59.444,48.279,215.03,237.975,-3.16525,100.215,0.24502,73.683,99.945,-15.405,-1.1984,-1.08725,-8.72065,-8.9257,0.620095
2,10.75,0.478896898,-12.357,1.0103,0.09255,89.495,72.9825,220.44,240.605,1.5275,154.66,0.34747,71.076,99.9275,-14.7315,-1.19515,-1.0925,-8.71,-9.00255,0.709875
2,11.25,0.666188634,-20.6175,1.1203,0.11877,120.585,94.4015,221.78,244.78,3.6914,202.195,0.46076,69.838,99.905,-12.9215,-1.2048,-1.09545,-8.6779,-9.0387,0.975375
2,11.75,0.5556525685,-14.3685,1.1227,0.10583,148.825,114.175,222.48,249.385,3.31195,246.62,0.61415,69.617,99.953,-12.148,-1.2166,-1.14255,-8.6435,-9.06105,1.2107
2,12.25,0.4122721525,-12.209,0.88847,0.11515,169.38,128.715,225.005,249.685,1.118615,280.405,0.70975,67.501,99.968,-11.2295,-1.19525,-1.11895,-8.691,-9.05175,1.3075
2,12.75,0.505497648,-12.066,1.08635,0.10528,173.36,132.87,224.2,253.27,3.5909,286.92,0.74644,65.4,99.96,-9.9303,-1.2127,-1.12695,-8.71365,-9.04285,1.34755
2,13.25,0.458929799,-13.024,1.5572,0.10756,182.895,138.235,224.62,255.495,2.5888,315.29,0.94024,62.0855,99.9115,-8.9687,-1.20045,-1.12385,-8.76795,-9.1099,1.4491
2,13.75,0.492502616,-13.893,1.059815,0.11304,178.16,137.63,221.98,255.785,-2.4056,307.515,0.867905,62.2765,99.898,-8.10455,-1.2018,-1.14755,-8.76515,-9.1485,1.5537
2,14.25,0.4845621375,-13.099,1.24525,0.102485,159.705,126.265,222.45,256.87,-3.8678,269.48,1.014225,60.6285,99.9065,-7.7058,-1.2478,-1.17265,-8.77075,-9.2217,1.4906
2,14.75,0.53759614,-9.3596,0.10608,0.0938,144.085,116.705,223.17,255.5,-5.9527,241.76,1.06335,60.703,99.9165,-7.47565,-1.238,-1.20845,-8.75195,-9.32415,1.3981
2,15.25,0.403193258,-8.993,0.442095,0.08895,114.905,91.6855,222.795,255.475,-11.7117,199.26,1.0551,62.1335,99.832,-7.86005,-1.2453,-1.1901,-8.7524,-9.41225,1.28075
2,15.75,0.473565266,-8.9764,0.96699,0.0893,78.336,65.863,220.205,251.23,-14.733,134.05,0.98306,63.17,99.817,-7.9687,-1.24305,-1.1652,-8.7382,-9.4982,1.35865
2,16.25,0.498896918,-8.9307,0.51378,0.0767,45.591,36.9325,221.58,249.76,-16.765,82.912,0.771325,67.071,99.792,-9.04255,-1.1847,-1.08075,-8.742,-9.47755,0.854925
