DOY2,HR2,FC_1_1_1,LE_1_1_1,H_1_1_1,SW_IN_1_1_1,VPD_1_1_1,RH_1_1_1,TA_1_1_1,USTAR_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,PA,LW_IN_1_1_1
1,0.25,-0.2502614,12.338832,5.990424,0.0018666675,0.64943585,78.4597,-5.267346,0.32333385,411.5127,2.309939,1.547961,97.708305,247.35665
1,0.75,0.2885116,11.789775,0.68422815,0.0021212455,0.64701585,78.69445,-5.2681935,0.3353672,412.3448,2.3019445,1.577143,97.69785,246.29995
1,1.25,0.6701799,17.53078,2.919411,0.0014150435,0.65447335,78.66111,-5.4480285,0.3235182,411.72305,2.3105385,1.632536,97.7006,248.1667
1,1.75,0.1942359,13.996455,1.3346875,0.001438468,0.61366055,78.03615,-5.4916795,0.32441105,412.162,2.370045,1.5071565,97.7241,246.45
1,2.25,-0.9773619,13.038835,2.906366,0.001876552,0.6045355,78.83887,-5.601944,0.3222001,412.6788,2.32821,1.54188,97.717885,248.04
1,2.75,0.0564408385,15.29674,1.4544425,0.002062639,0.59669585,79.4542,-5.708388,0.2981273,412.7897,2.219881,1.416473,97.728545,246.56
1,3.25,0.120402855,11.63869,4.505759,0.001854556,0.59181205,80.4333,-5.845923,0.31449075,412.2364,2.3410075,1.406608,97.73725,246.07665
1,3.75,-0.2508211,7.014626,6.735646,0.0016367145,0.5735022,80.46944,-5.8952705,0.3428229,413.1077,2.3773285,1.5859765,97.68575,243.795
1,4.25,0.7177877,12.7182,6.635781,0.001213804,0.5535899,80.406955,-5.9908945,0.3342687,411.33935,2.301064,1.528701,97.675665,245.4217
1,4.75,0.439528,11.19132,7.550714,0.001211824,0.5517068,80.63751,-5.8754015,0.29810695,412.6295,2.212639,1.476382,97.711405,242.83335
1,5.25,0.6416659,5.498859,3.618807,0.0016173495,0.52001195,80.61805,-5.858279,0.3054481,413.16085,2.2004395,1.486418,97.74915,250.5767
1,5.75,0.030340075,6.7141835,8.5261735,0.0015578445,0.5111058,80.56111,-5.793653,0.29540615,413.2605,2.169746,1.488815,97.7735,252.5817
