DOY2,HR2,FC_1_1_1,CO2_1_1_1,CO2_SIGMA_1_1_1,SC_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,H_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,WS_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,TA_1_1_1,VPD_1_1_1,RH_1_1_1,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD_1_1_1,SW_IN_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_DIF_1_1_1,FC_1_2_1,CO2_1_2_1,CO2_SIGMA_1_2_1,LE_1_2_1,H2O_1_2_1,H2O_SIGMA_1_2_1,H_1_2_1,T_SONIC_1_2_1,T_SONIC_SIGMA_1_2_1,WS_1_2_1,USTAR_1_2_1,W_SIGMA_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,TA_1_2_1,VPD_1_2_1,RH_1_2_1,TAU_1_1_1,TAU_1_2_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,PA_1_2_1,PPFD_IN_1_1_2,PA_1_1_1,LW_IN_1_2_1,LW_OUT_1_2_1,NETRAD_1_2_1
1,0.25,1.8070865,424.0608335,2.08750525,0.12552075,3.8945395,10.550501,0.170437,-5.046,14.167,0.394651,2.796,0.28,0.336155,0.687023,0.589067,9.5175,3.0945,93.2,99.9,10.617,10.818,11.08,11.5,12.072,-8.0935,-16.906,0,0,0,0,0.781275,334.223,347.804,0.676,0.97816,453.10487125,7.77078325,1.2445,10.59043,0.17335875,0.1644625,12.363,0.3688875,0.49025,0.0618355,0.080177,0.266744,0.260688,7.63,1.371,93.8,-0.0152995,0.001417665,11.0025,11.03,11.2475,11.64,12.295,10.67,10.9025,11.19,11.6325,12.1475,10.8975,11.0625,11.2575,11.55,12.2475,10.9675,11.12,11.3475,11.6775,12.1975,-6.881145,-8.53116,-8.9409375,-4.5222125,-4.6437625,-13.05925,-15.8041,99.945,0.676,99.8475,341.25,344.95,-5.51
1,0.75,2.141,423.5341535,2.5011985,1.2553995,3.68775,10.43234775,0.179877,-5.3405,14.17875,0.416833,2.832,0.276,0.342053,0.683704,0.596764,9.3375,3.07,92.921,99.9,10.59075,10.775,11.0635,11.477,12.07625,-7.793,-18.12925,0,0,0,0,0.781275,333.88825,347.355,0.67675,1.1488,453.860901,7.5397465,1.376725,10.486274,0.1835655,0.32541,12.245,0.360458,0.504535,0.06174025,0.08219725,0.263091,0.25701425,7.599,1.3201,94,-0.01587625,0.0014445,10.9875,11.0475,11.23,11.63,12.295,10.6025,10.865,11.14,11.6125,12.1475,10.8725,11.0275,11.25,11.5475,12.2375,10.93,11.09,11.31,11.66,12.205,-6.898125,-8.147595,-8.80209,-4.7513925,-4.2991575,-12.432675,-16.7776,99.9475,0.67675,99.8475,341.075,343.85,-6.015
1,1.25,1.874,423.11410175,2.091074,1.120559,3.79675,10.23459375,0.158079,-6.09925,13.95,0.397169,2.805,0.267,0.32963,0.662571,0.581525,9.355,3.10375,93.1,99.9,10.54,10.747,11.047,11.453,12.075,-8.102,-19.011,0,0,0,0,0.83336,333.519,347.936,0.677,1.0377225,453.669242,7.648228,0.98988225,10.41549425,0.174526,0.051122,12.2775,0.361071,0.510685,0.06113165,0.082500075,0.26082025,0.2576465,7.58,1.26,94.1,-0.02639925,0.00116425,10.9675,11.03,11.21,11.6225,12.2875,10.575,10.84,11.11,11.575,12.1475,10.835,10.9775,11.2175,11.5375,12.23,10.8975,11.0675,11.26,11.6375,12.1975,-6.719835,-7.0812,-8.5959225,-5.1442725,-4.30336,-12.02695,-16.21585,99.945,0.677,99.8375,340.605,344.03,-4.99
1,1.75,1.752,423.74238825,2.281194,1.08546525,4.0217645,10.11204725,0.16791575,-5.23025,13.8545,0.404969,2.8315,0.271998,0.3375065,0.677126,0.590762,9.3675,3.03,93.5,99.9,10.455,10.7,11.025,11.4315,12.0775,-7.945,-17.7505,0,0,0,0,0.781275,334.5,347.4465,0.677,1.1301,452.09653375,7.432151,1.387325,10.342011,0.166096,0.2974235,12.26760525,0.34687775,0.5051875,0.0599285,0.0829375,0.26576625,0.25898025,7.665,1.23885,94.1,-0.0181195,0.001362,10.96,11.005,11.195,11.615,12.29,10.5425,10.815,11.08,11.5375,12.14,10.8175,10.9775,11.205,11.535,12.2475,10.855,11.035,11.2075,11.625,12.2075,-6.93633,-7.04748,-8.5286025,-5.426655,-4.7025975,-11.331075,-15.3224,99.965,0.677,99.865,342.05,344.03,-4.21
1,2.25,1.93,422.91178,2.370687,1.149819,3.914998,10.043396,0.162831,-6.5355,13.83325,0.417133,2.7665,0.265,0.325814,0.676757,0.5696475,9.28,3.12,93.8,99.9,10.408,10.6715,10.9765,11.419,12.0765,-7.84,-18.196,0,0,0,0,0.72919,331.74225,347.23,0.677,0.86009,454.95609325,7.334823,1.052334,10.2188735,0.1924705,0.4869305,12.077,0.3513925,0.502186,0.061724,0.0847385,0.2689705,0.271019,7.525,1.1992,94.075,-0.01422425,0.001215,10.935,10.9675,11.18,11.615,12.29,10.505,10.7775,11.0275,11.515,12.14,10.8025,10.9825,11.1775,11.5275,12.2475,10.795,10.995,11.18,11.6025,12.225,-7.025475,-6.72714,-8.5622625,-5.15655,-4.7025975,-10.585275,-16.2585,99.9875,0.677,99.8975,342.955,344.67,-4.23
1,2.75,2.02269725,422.681977,2.34868975,1.25493075,5.025638,10.0872,0.164588,-6.5416865,13.7085,0.4216035,2.7695,0.27175,0.33128425,0.69245875,0.57705925,9.1875,3.03,93.8,99.9,10.3725,10.66,10.9525,11.41,12.073,-7.988,-17.05,0,0,0,0,0.72919,335.1945,346.9175,0.677,1.0497,455.86620575,7.588123,0.973003,9.978119,0.18160275,0.238632,12.06925,0.354965,0.47377575,0.06210825,0.08025225,0.26923425,0.26367025,7.5575,1.15035,94.1,-0.01871575,0.00197925,10.895,10.955,11.1675,11.6075,12.29,10.4525,10.72,10.9975,11.4925,12.1375,10.755,10.9275,11.135,11.515,12.2475,10.7475,10.9475,11.1775,11.58,12.2175,-6.694365,-6.42366,-7.7123475,-5.0951625,-4.6017375,-10.364925,-16.16958,99.97,0.677,99.88,343.015,345.68,-4.545
1,3.25,2.0395,423.854314,2.33755725,1.008361,5.158765,9.845974,0.16767,-6.04275,13.72625,0.427785,2.758,0.2665,0.3413205,0.6881135,0.583942,9.18,3.0525,94.2,99.9,10.3295,10.5815,10.94175,11.4025,12.06625,-8.254,-16.025,0,0,0,0,0.72919,335.817,346.486,0.677,1.15605,453.857,7.2894405,1.7239,10.121313,0.1992775,0.413479,11.967,0.345326,0.50003,0.06159225,0.08093065,0.26630925,0.2583885,7.42,1.145,94.1,-0.020731125,0.00156175,10.87,10.9475,11.14,11.5975,12.29,10.3925,10.685,10.9575,11.475,12.145,10.7325,10.8925,11.12,11.5,12.255,10.7225,10.9,11.16,11.5575,12.2175,-6.42693,-6.60069,-7.952175,-4.9969425,-4.48827,-10.415775,-15.37706,99.9725,0.677,99.875,341.65,345.06,-4.23
1,3.75,2.0715,424.2002725,2.08462125,0.5966875,5.971,10.03085975,0.156902,-6.120865,13.673,0.4315125,2.75225,0.27625,0.34047625,0.710106,0.5794385,8.9925,3.2,94.125,99.9,10.282,10.55425,10.9095,11.39875,12.061,-8.081,-14.388,0,0,0,0,0.72919,335.929,346.209,0.677,1.0436,455.3229915,7.13038925,1.442,10.0607565,0.19147,0.38529,11.765,0.343264,0.49746,0.061963,0.081175,0.265989,0.256951,7.3475,1.1833,94,-0.02259175,0.001743435,10.8375,10.925,11.11,11.59,12.295,10.3225,10.6475,10.935,11.455,12.135,10.6775,10.84,11.1125,11.49,12.2625,10.6875,10.86,11.115,11.5325,12.225,-6.57975,-6.92103,-8.1078525,-5.0951625,-4.28655,-10.9027,-15.57064,99.97,0.677,99.86,343.37,345.675,-4.195
1,4.25,2.11975,424.908894,2.157544,0.170118,5.339,9.984601,0.163393,-6.4055,13.58875,0.41770075,2.809,0.263,0.32198825,0.673794,0.57857575,8.8685,3.1205,94.3,99.9,10.273,10.527,10.897,11.385,12.058,-8.2105,-15.56825,0,0,0,0,0.72919,334.817,346.622,0.677,1.0912,452.3743085,6.766965,1.48495,9.85770575,0.1986345,0.270095,11.603,0.35326825,0.4992035,0.061434,0.084004,0.2649245,0.261095,7.285,1.20145,94.2,-0.0281586,0.00218075,10.785,10.9075,11.1075,11.58,12.305,10.35,10.6325,10.9125,11.4375,12.125,10.63,10.8025,11.0825,11.485,12.285,10.66,10.8325,11.0725,11.5125,12.2475,-6.48636,-7.52799,-8.0826075,-4.96011,-4.429435,-10.90775,-14.79168,99.96,0.677,99.8575,341.075,345.14,-3.19
1,4.75,1.87549125,423.351342,2.00125425,0.58633675,4.528,9.545843,0.145914,-5.73702575,13.739525,0.406202,2.812,0.27925,0.330905,0.6941235,0.588218,8.88,3.2275,94.075,99.9,10.24375,10.497,10.90125,11.374,12.06475,-8.24175,-16.349,0,0,0,0,0.62502,331.865,344.94575,0.677,1.01225,450.81184025,6.9805445,1.411753,9.83136375,0.1896275,0.279805,11.7035,0.333109,0.493215,0.06433425,0.08816825,0.27351575,0.27131175,7.26,1.19895,94.1,-0.022082,0.0015785,10.7525,10.875,11.0975,11.58,12.2975,10.335,10.6075,10.905,11.4175,12.115,10.6225,10.775,11.0675,11.4825,12.2675,10.63,10.805,11.0275,11.49,12.2175,-6.957555,-8.30355,-8.154135,-5.30388,-4.2571325,-10.1533,-14.97166,99.925,0.677,99.8175,343.45,344.975,-3.65
