DOY2,HR2,USTAR,TA,WS,FC,H,LE,H2O,CO2,SW_IN,LW_IN,SW_OUT,RH,TS,PA
1,17.25,0.233,2.39169792925,1.4855,1.6,-0.5215,17.689,7.333798375,427.12910275,9.5478334665,305.775,4.3743333,82.30000067,4.27,100.087
1,17.75,0.242,2.1100416755,1.426,1.56925,0.145,17.75425,7.4491583895,427.82190945,-0.304166663,306.366669975,1.1911666485,83.016667835,4.2,100.0665
1,18.25,0.286,1.9482083125,1.5305,1.40575,0.357,11.00425,6.8889741575,430.69332245,-0.7510833245,308.78332915,0.96833334,85.116666165,4.2425,100.07
1,18.75,0.2695,1.70675000025,1.4765,1.244,0.8785,7.892,6.908013706,432.7824771,-0.7224166735,309.116665,0.946333337,89.03333267,4,100.0445
1,19.25,0.274,1.64081249975,1.481,1.22,-0.296,11.034,4.9971821435,432.23366065,-0.649333327,309.0583358,0.894333343,91.10000042,4,100.0585
1,19.75,0.2535,1.6752812695,1.5225,1.4695,1.825,7.424,6.1161487175,432.96882985,-0.7816666665,309.674998325,1.128333333,93.80000133,4,100.066
1,20.25,0.265,1.53584375,1.58325,1.4405,0.595,11.8025,7.1905389085,428.464492725,-0.6001666775,310.52499915,1.063333327,93.60000033,4,100.0815
1,20.75,0.2595,1.493062496,1.475,1.4935,1.079,10.274,5.6280206805,430.694377,-0.4615833385,309.116665,1.120500014,95.58333333,3.775,100.10925
1,21.25,0.301,1.620729171,1.496,1.578,1.061,9.051,6.17843262,434.9382906,-0.5439166365,308.891662525,0.953500002,96.116666,3.775,100.123625
1,21.75,0.28275,1.6257291625,1.3085,1.468,0.227,9.66,4.989704277,441.1426035,-0.5465000025,309.058332475,1.1455833415,96.166665335,3.7675,100.14075
1,22.25,0.22125,1.64956250275,1.23,1.44575,-0.111,11.0745,5.631877879,441.0920621,-0.543333326,307.541665825,0.873083323,96.31666683,3.7,100.15275
1,22.75,0.22,1.44936457,1.272,1.3685,0.0995,7.6485,6.4473478195,438.89599775,-0.4970833305,308.9499967,0.9273333375,96.59999867,3.55,100.1735
1,23.25,0.275,1.2536875125,1.36475,1.306,1.743,10.509,6.006105766,441.1958906,-0.41308333675,309.966672525,1.103166668,96.56666833,3.55,100.132125
1,23.75,0.25375,1.33650000025,1.385,1.274,1.005,9.8375,5.27599461325,436.57288695,-0.407416664,309.316669975,1.021999973,96.30000125,3.6,100.13325
2,0.25,0.217,1.44595832075,1.629,1.4725,0.994,24.0965,7.00451141975,444.0984724,-0.2301666695,318.691667525,0.83783333025,98.566665665,4.325,100.133875
2,0.75,0.2565,1.324291671,1.5455,1.468,1.87625,13.161,6.968147432,443.691793225,-0.256000007,317.63333,1.0862500045,98.15000033,4.3175,100.091875
2,1.25,0.259,1.45940625025,1.4595,2.038,2.2625,24.204,6.71326701925,439.6757171,-0.288999993,317.7666633,1.052249973,97.99999867,4.32,100.0985
2,1.75,0.241,1.50208330825,1.54275,2.01,0.4725,18.562,6.50604581,439.3052002,-0.25933333,318.9333433,0.93933333675,97.75,4.335,100.098875
2,2.25,0.266,1.6478125005,1.518,1.695,0.839,20.064,6.2697591105,446.05827965,-0.272666663,319.5333367,0.97737503725,98.033334165,4.3375,100.114875
2,2.75,0.227,1.56216666675,1.45725,1.815,0.736,22.582,6.461929685,440.732665775,-0.18666667,320.7000033,0.97708333,98.69999933,4.295,100.145375
2,3.25,0.243,1.41527083475,1.346,1.315,4.63275,18.227,6.56032314975,444.068297875,-0.12166667,322.63334,0.919750004,99.0833347475,4.30375,100.157125
2,3.75,0.2265,1.53325,1.507,1.5985,2.7745,18.741,5.3159350975,438.2241941,-0.347666673,323.0333367,0.979499998,98.849999835,4.295,100.173375
2,4.25,0.2005,1.43849999975,1.454,1.28625,1.77,14.61325,5.07064634275,438.15983185,-0.156666667,323.43333,0.9826666735,98.3000005,4.3,100.156125
2,4.75,0.167,1.61504165425,1.4955,1.285,3.9035,18.03,5.476821473,442.082463,-0.244,321.8333333,0.80583333575,98.23333233,4.27,100.159
2,5.25,0.221,1.588916667,1.551,1.282,2.8525,13.699,6.219388629,439.4421746,-0.217999997,323.4666733,0.795250004,97.899999,4.2,100.1775
2,5.75,0.234,1.7901250125,1.454,1.46125,1.06575,11.45875,5.9752750015,441.9337932,-0.26433334,323.6666767,0.884666667,98.5333315,4.25,100.201
2,6.25,0.269,2.029374988,1.5,1.4905,3.389,19.949,5.61024921325,441.418501975,-0.30033333,323.79999,0.94083333225,98.733332335,4.25,100.212
