DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT
1,0.25,-0.226987,-12.8368,-4.175125,-0.71291075,2.2316525,0.270241,-10.0465575,418.3195,3.05331,0.8063925,0.6326145,0.437197,0.1347645,-2.0463065,-1.644979
1,0.75,-0.190487,-6.52785,0.02308175,-2.064995,2.25121,0.270879,-10.252785,417.71925,2.96064,0.765171,0.647685,0.42599,0.123986,-1.8676835,-1.527977
1,1.25,-0.174121,-8.73653,0.19682925,-1.92466,2.04272,0.279144,-10.002635,419.6295,3.02593,0.8188625,0.651511,0.410044,0.1160435,-2.2191935,-1.862598
1,1.75,-0.195465,-10.323925,-1.554336,-2.30704,2.12568,0.28811175,-9.74216,419.407,3.05232,0.798987,0.62035625,0.42999125,0.123658,-2.1160945,-1.7582505
1,2.25,-0.216899,-6.63944,-0.679283,-1.80938,2.0586675,0.25177,-9.85868,419.163,3.01553,0.750735,0.577333,0.415191,0.1129305,-2.569726,-2.118901
1,2.75,-0.2014255,-11.464175,-0.490141,-1.68813,2.187645,0.29309375,-9.9467975,418.517,3.0270125,0.8272795,0.62070575,0.42878525,0.111707,-2.904139,-2.4380035
1,3.25,-0.2040165,-1.8933855,-0.8149,-2.7147725,2.10516,0.27193525,-10.27435,419.236,3.07387,0.7478235,0.6053155,0.426483,0.116043,-2.6525115,-2.2263185
1,3.75,-0.23774325,1.01518625,-0.186758,-1.21741,1.9847475,0.25898875,-10.4604,419.479,3.027005,0.78525,0.60197475,0.43063875,0.116485,-2.483949,-2.049794
1,4.25,-0.25159225,1.05313525,-2.72196,-1.498298,2.1309975,0.23381975,-10.6301,418.3185,3.01286,0.7771035,0.56414275,0.40832475,0.108354,-2.4488885,-2.0275805
1,4.75,-0.24588,1.23011,0.7348915,-0.788412,2.0618975,0.239081,-11.157,419.6385,2.9449225,0.692807,0.538516,0.398086,0.113616,-2.5039265,-2.1017855
1,5.25,-0.23411175,-4.832084,-1.591748,-1.318055,1.9801125,0.24561725,-10.5645,421.305,2.85083,0.715515,0.584693,0.38610725,0.12176325,-2.6740145,-2.2142215
1,5.75,-0.30890175,-1.684465,0.305416,-2.612025,2.034075,0.23360875,-10.2394975,421.045,2.857435,0.7736705,0.62301875,0.40309025,0.108595,-2.3975015,-1.9463605
1,6.25,-0.228165,-0.788452,0.72884675,-3.14263,1.99601,0.306414,-10.491575,420.07475,3.116715,0.761869,0.669772,0.402895,0.120131,-2.1919465,-1.825439
1,6.75,-0.208818,-1.5313,0.2558715,-2.95458,2.04855,0.266643,-10.551825,420.269,3.1157125,0.702417,0.604769,0.417338,0.119116,-2.149137,-1.761932
1,7.25,-0.255756,-0.672593,1.1081875,-3.97218,1.97051,0.26675,-10.49815,419.733,3.1769525,0.746028,0.577289,0.405084,0.112382,-2.019493,-1.63396
1,7.75,-0.31906575,0.363726,-0.8543705,-1.723385,2.0673325,0.26902425,-10.5535,420.94475,3.20463,0.827514,0.6336015,0.4438335,0.12645875,-1.0627405,-0.85578115
1,8.25,-0.28406175,-3.692,-0.21378875,-1.08886075,2.025205,0.319262,-10.29455,420.892,3.1867,0.802436,0.5754985,0.476393,0.15037475,4.0666185,3.482556
1,8.75,-0.31211375,1.08566375,-1.0095845,-5.9885775,2.278155,0.344376,-9.8888325,419.963,3.14469,0.83937075,0.6814725,0.443193,0.14451625,14.21065,11.9461
1,9.25,-0.2919825,6.612655,-4.584735,-7.70768,2.08284,0.33554775,-9.77619,421.002,3.15445,0.90587675,0.7003045,0.50069425,0.16794875,24.07904,20.265005
1,9.75,-0.39350875,1.01559675,-6.65093,-2.2248,2.334755,0.41827325,-9.066595,420.29925,3.262865,0.88440675,0.77669025,0.54599875,0.1856,42.547375,35.74458
1,10.25,-0.32733,-40.27032,-2.82539,-3.20517,2.076155,0.416476,-8.36659,420.147,3.29575,0.898928,0.7388305,0.5746225,0.2162415,74.263515,62.290655
1,10.75,-0.2971725,-85.9911,-14.739975,-2.86173,2.30391,0.419182,-7.957145,419.208,3.3028825,0.8871875,0.722033,0.5820215,0.2256835,88.51537,74.24092
1,11.25,-0.3216305,-63.815,-17.3745,-3.398,2.28019,0.4419825,-7.74855,418.804,3.3112075,0.9960745,0.78805925,0.578892,0.247465,99.7079625,83.66334
1,11.75,-0.35561475,-33.50585,-10.984225,-5.694865,2.51629,0.41967875,-7.494015,418.46575,3.303335,0.94427025,0.85646725,0.53675575,0.2267535,109.294475,91.6795975
1,12.25,-0.313471,-27.2001,-0.601395,-3.2879825,2.30139,0.4277995,-7.41324,418.74175,3.46295,0.981895,0.882124,0.5822265,0.2533145,111.4554,93.4507825
1,12.75,-0.3369225,-30.0768,-5.877885,-2.7834125,2.43049,0.3682285,-7.38315,417.92225,3.36325,0.9679235,0.8242165,0.523546,0.2300675,111.9547,93.8662575
1,13.25,-0.247781,-69.48185,-2.61253,-4.3480425,2.55216,0.36353,-7.320665,417.17475,3.213225,0.939462,0.872248,0.5034585,0.2375365,102.24918,85.7899025
1,13.75,-0.32930725,-33.7148725,-1.346251,-4.058945,2.4671,0.33969875,-7.302765,417.6155,3.25835,1.037255,0.8641945,0.52862875,0.237494,99.377145,83.3281225
1,14.25,-0.2908785,7.798705,-5.22515,-2.63024,2.161495,0.35562225,-8.000775,417.2925,3.34021,0.997476,0.81951825,0.4895385,0.21616725,83.815005,70.299905
1,14.75,-0.291766,-5.423445,-10.884705,-1.5775425,2.437735,0.3521655,-7.35301,417.594,3.38434,0.923671,0.8870545,0.49435,0.206309,73.948605,62.051965
1,15.25,-0.267239,-0.684535,1.4997445,-1.14313175,2.416935,0.323698,-7.565755,418.44775,3.5194425,0.9317615,0.866009,0.446039,0.1833945,47.89946,40.19451
1,15.75,-0.286527,6.469855,2.59277,-0.956524,2.334045,0.3515935,-7.56346,419.636,3.65841,0.9193815,0.75524,0.450339,0.195394,50.095715,42.02967
1,16.25,-0.2715925,-6.0048075,1.03449,-2.6523625,2.134865,0.2981745,-7.75773,419.329,3.57515,0.8800045,0.720252,0.455253,0.16480275,32.829215,27.592885
1,16.75,-0.2100275,1.391566,0.167874,-4.0259275,1.8819075,0.2725815,-7.8840675,419.776,3.55854,0.751389,0.649057,0.4075605,0.1464415,15.49335,13.060975
1,17.25,-0.211022,-2.6293225,1.26519,-4.94768,1.94739,0.2897795,-8.0661325,420.078,3.61576,0.717098,0.5412105,0.3783685,0.1406855,3.115086,2.648378
1,17.75,-0.143391,-2.5462,-1.41384,-4.67768,1.94551,0.2734395,-8.3333,421.436,3.63392,0.729906,0.4978605,0.3601745,0.1448455,-1.49618,-1.194328
1,18.25,-0.17825025,-16.153925,-2.817435,-9.09352,1.98907,0.2868175,-8.0226525,421.875,3.80812,0.7068855,0.53257675,0.3967795,0.148709,-3.0605925,-2.494988
1,18.75,-0.200642,-6.2362875,-3.9063775,-6.1751125,1.84149,0.25609175,-7.983325,421.58,3.7132275,0.7278095,0.53497925,0.40822375,0.16069925,-2.712511,-2.1975695
1,19.25,-0.16324325,-11.9402,-6.89995,-4.04941,1.824945,0.26228,-7.99168,420.17125,3.71889,0.7063065,0.574168,0.3825565,0.13877,-2.4850305,-2.0429755
1,19.75,-0.2039815,-5.48082,-2.8020275,-3.25159,1.955335,0.2723025,-8.02849,420.044,3.658255,0.727324,0.625469,0.4013165,0.1245905,-2.6189105,-2.1666935
1,20.25,-0.202972,-8.31039,-0.08837925,-5.91121,1.9889,0.274975,-7.978405,419.483,3.6036375,0.725217,0.543723,0.397613,0.1170575,-2.794263,-2.320666
1,20.75,-0.2179355,-9.42292,0.038175,-3.52933,2.05219,0.2710685,-8.07523,420.515,3.4825025,0.7444895,0.535425,0.3997845,0.114915,-2.5002985,-2.09885
1,21.25,-0.2024515,-8.964345,-5.75782,-1.13203,1.8930825,0.2799495,-8.27127,418.643,3.25425,0.737647,0.593993,0.412683,0.1130035,-2.355204,-1.977512
1,21.75,-0.242641,-9.23909,-0.4016525,-1.2352,1.961075,0.2780075,-8.53737,418.253,3.23229,0.7300555,0.5810375,0.4088415,0.120779,-2.43518,-2.0438995
1,22.25,-0.21217025,-7.8068775,-5.5540225,-0.72230875,2.056815,0.27316525,-9.197625,418.59625,3.23516,0.74252825,0.62133525,0.4122415,0.115464,-2.514228,-2.110238
1,22.75,-0.21920425,-9.713655,-1.9739435,-1.1602375,2.08182,0.28931875,-9.11487,418.1145,3.1632,0.80242325,0.6350575,0.41193925,0.119493,-2.7576825,-2.277106
1,23.25,-0.18857,-4.85653,-1.0227385,-1.23181,2.051635,0.2625285,-9.170695,417.89025,3.158595,0.806813,0.6072865,0.4052295,0.1198675,-2.649433,-2.212199
1,23.75,-0.1985675,-7.9471575,-3.442665,-0.797296,2.06724,0.28070275,-9.176565,417.959,3.1091475,0.7987365,0.5689175,0.393926,0.12565525,-2.250511,-1.8204745
2,0.25,-0.191789,-14.8587,-1.84711,-3.3365175,2.220755,0.2909645,-6.3314,420.3415,3.97618,0.768334,0.6206755,0.4066895,0.114249,-2.362564,-1.983593
2,0.75,-0.193155,-13.3886,-2.5607,-1.285665,2.01321,0.29599,-6.5013,420.762,3.7842675,0.833127,0.601714,0.453095,0.112768,-2.051511,-1.658074
2,1.25,-0.223397,-7.2987425,-2.700495,-3.055115,2.1432775,0.30976,-7.484695,420.33325,3.72513,0.823481,0.583266,0.431128,0.1040965,-1.913253,-1.540685
2,1.75,-0.2700875,-8.876625,-1.08047825,-2.10422,2.351065,0.26802575,-6.9942125,419.6835,3.85265,0.8634055,0.6077675,0.4280745,0.105638,-1.762554,-1.415263
2,2.25,-0.20921,-7.7790675,-1.56555975,-1.5267425,2.30891,0.315771,-7.217515,418.803,3.873115,0.82760175,0.616253,0.413344,0.106503,-1.433053,-1.204427
2,2.75,-0.21627225,-11.2252,-1.1206925,-0.3355825,2.204995,0.262834,-7.306645,419.248,3.859835,0.8505265,0.57201675,0.39596975,0.0962,-1.524022,-1.214832
2,3.25,-0.2533855,-28.829875,-2.037955,-3.64281,2.28269,0.27186875,-7.4374875,418.762,3.71641,0.842427,0.565038,0.4616305,0.104628,-1.745527,-1.466455
2,3.75,-0.164193,-32.7312,-5.369515,-4.6548225,2.044785,0.27032775,-7.544555,418.432,3.787355,0.7794795,0.601295,0.44154075,0.105452,-1.544421,-1.297546
2,4.25,-0.151351,-27.9745,-3.4707875,-1.4883725,2.1006675,0.287797,-7.4408325,418.55825,3.95822,0.8170415,0.551769,0.437919,0.1002365,-1.4602,-1.1639
2,4.75,-0.1812045,-28.655775,-1.8831,-1.48716,2.35193,0.311482,-7.42088,419.41,3.9413975,0.846186,0.647336,0.428265,0.108933,-1.78792,-1.502947
2,5.25,-0.2373305,-16.3397,-5.440625,-1.6849175,2.132665,0.297962,-7.41145,418.288,3.79609,0.85834625,0.62627775,0.42576175,0.117434,-1.944255,-1.632826
2,5.75,-0.173878,-31.1022,-3.15918,-1.8975025,2.09993,0.298366,-7.39137,420.6715,3.77072,0.86956,0.634141,0.434454,0.121972,-2.004973,-1.682651
2,6.25,-0.18745225,-23.075,-2.351655,-2.26829,2.02108,0.32258075,-7.354625,420.83325,3.9706275,0.81867675,0.62752825,0.448093,0.12016,-2.241962,-1.881813
2,6.75,-0.20854675,-19.3294,-2.39026,-2.884075,2.15341,0.29733725,-7.181995,418.7465,3.89259,0.7995335,0.6066835,0.42069425,0.112702,-2.003503,-1.683608
2,7.25,-0.2211585,-13.21605,-0.7195615,-8.20926,2.13349,0.31321775,-7.1607725,419.5735,3.8582075,0.8267495,0.62089275,0.4172665,0.117666,-1.23439,-0.9740549
2,7.75,-0.227205,-19.32405,1.09146,-10.55352,2.22379,0.335031,-7.47375,421.905,3.8733875,0.84589,0.643938,0.446363,0.134036,1.99586,1.74411
2,8.25,-0.26818925,-28.3833,-12.426725,-2.76809,2.20265,0.328989,-7.05015,422.4215,3.95723,0.9223485,0.66449675,0.50562375,0.179394,12.82377,10.77943
2,8.75,-0.3147075,-56.3492,-2.391435,-7.122345,2.24589,0.38149125,-6.7589,421.1985,4.0168125,0.91508225,0.63611875,0.540825,0.2049,31.72682,26.59416
2,9.25,-0.24336525,-28.1418,-5.0020675,-2.08605,2.4878275,0.36922725,-6.575315,422.121,4.00816,0.9159585,0.63335475,0.535728,0.22020225,56.594515,47.4566825
2,9.75,-0.3756575,-56.32715,-24.21575,-8.639,2.43435,0.4162895,-6.1434,421.2555,4.00435,1.03075,0.6905865,0.5640145,0.2345955,72.228595,60.575465
2,10.25,-0.33718175,-58.6755,-32.9202,-8.82133,2.404565,0.38814525,-5.74561,420.828,4.1043325,0.9831615,0.7531795,0.553037,0.25268525,109.6307,91.975465
2,10.75,-0.3351515,-95.078925,-32.7955,-14.9079,2.5848,0.4243765,-5.788885,419.803,4.01621,0.982937,0.7096565,0.58439275,0.28704425,125.5482,105.2479
2,11.25,-0.358424,-85.7868,-26.9119,-11.8139,2.610085,0.442433,-5.47104,419.9735,4.1505025,0.989026,0.6639145,0.6145205,0.2734305,124.68625,104.542475
2,11.75,-0.421088,-71.14545,-26.0464,-14.4359875,2.45378,0.432459,-5.288295,419.1065,4.0181525,1.07705,0.7093375,0.6416835,0.2812995,154.253725,129.36375
2,12.25,-0.429863,-73.52625,-28.2431,-5.50833,2.3881675,0.4524505,-4.89493,419.5685,4.090005,1.075475,0.775684,0.6347445,0.2716645,166.25945,139.44895
2,12.75,-0.45331975,-79.449,-19.8521,-8.0326675,2.599305,0.44555825,-4.579045,418.7115,3.89971,1.025403,0.697592,0.6654885,0.2775855,179.89275,150.81745
2,13.25,-0.3721955,-67.2889,-21.4339,-2.98622,2.634455,0.4390715,-4.709395,417.90825,3.86476,1.03296,0.8772975,0.6502875,0.2733515,176.77005,148.2587
2,13.75,-0.4183365,-85.5202,-16.1257,-2.4816775,2.50439,0.402119,-4.76877,418.057,4.176005,1.050325,0.837928,0.6089505,0.281731,184.50225,154.70725
2,14.25,-0.3884615,-51.74575,-20.8594,-8.82062,2.65753,0.4316245,-4.641785,418.9815,4.2440225,1.08436,0.838243,0.62844375,0.276346,183.59505,153.94775
2,14.75,-0.34665075,-43.88295,-2.59035,-2.6366,2.64738,0.42308175,-4.47774,418.90675,3.88945,1.016385,0.8022105,0.61588975,0.2560535,153.11015,128.35365
2,15.25,-0.4123895,-33.909175,-8.69208,-3.2523325,2.526255,0.44802,-4.625425,418.40725,3.9076075,1.07507,0.75752975,0.628242,0.2387125,124.248,104.1574
2,15.75,-0.313305,-37.7405,-24.7423,-5.0877,2.47322,0.439469,-3.83243,419.0385,3.90617,1.03157,0.759744,0.633047,0.229878,108.580525,91.09649
2,16.25,-0.3659395,-17.36365,-15.9462,-5.6107175,2.4429525,0.3577,-3.85599,418.3815,3.84518,0.929049,0.740819,0.628129,0.201056,75.89708,63.64019
2,16.75,-0.286416,-37.3459,-8.81905,-5.82927,2.49825,0.353715,-3.86424,420.113,3.94257,0.881994,0.658448,0.540723,0.16393,44.3906375,37.2624125
2,17.25,-0.25448325,-41.20085,0.70661225,-3.9311275,2.23373,0.40207,-4.6350875,419.8175,4.011045,0.82391825,0.568324,0.5501455,0.1559735,20.3342,17.09289
2,17.75,-0.270371,-26.29,-9.40786,-7.69342,2.01496,0.340494,-4.19851,420.3985,4.08991,0.798238,0.615637,0.562393,0.150411,5.80403475,4.916972
2,18.25,-0.232151,-11.7129,-7.236445,-8.13431,2.07359,0.292569,-4.32069,421.0945,4.028705,0.784325,0.544282,0.486679,0.14236,-0.60641745,-0.509143125
2,18.75,-0.224835,-8.20652,-5.26508,-5.317215,2.0552725,0.311138,-4.2772025,420.90775,4.03231,0.73142425,0.62886625,0.440772,0.13544525,-2.55804275,-2.1280705
2,19.25,-0.188337,-4.8223525,-4.0944025,-1.570885,2.02981,0.314711,-4.84924,421.14,4.008285,0.802633,0.634749,0.418564,0.141942,-2.7850395,-2.33835825
2,19.75,-0.173371,-5.2414,-5.16209,-2.27648,2.05234,0.302701,-4.94704,420.758,3.983885,0.782145,0.625303,0.420694,0.131595,-2.25377625,-1.89259325
2,20.25,-0.21842625,-10.561325,-6.49724,-0.1072735,2.319235,0.291634,-4.8229225,421.4325,3.951085,0.730512,0.61974475,0.4579865,0.12323225,-2.57778625,-2.1400075
2,20.75,-0.203418,-14.2421,-7.23934,-1.54086,2.2832475,0.338021,-5.02015,422.22775,3.9883775,0.773707,0.650554,0.461258,0.12274875,-2.129678,-1.73984525
2,21.25,-0.22116025,-13.8879,-7.992855,-2.774225,2.2305425,0.319257,-5.073485,421.38775,4.0451625,0.8211435,0.5954215,0.4294045,0.1204925,-2.29910775,-1.8942385
2,21.75,-0.2352245,-13.093775,-3.086175,-2.109685,2.14258,0.29957525,-5.201575,419.689,3.973805,0.79671725,0.6309385,0.44764025,0.1137925,-2.4666645,-2.041011
2,22.25,-0.225998,-9.08664,-2.42691,-7.068025,2.16867,0.283836,-5.44001,420.4525,3.73277,0.714535,0.581618,0.446464,0.117756,-2.4039935,-2.018402
2,22.75,-0.197103,-7.02769,-7.5179625,-2.76235,2.2205,0.280549,-5.65403,420.957,3.78161,0.80346,0.576356,0.421478,0.111838,-2.95694975,-2.48215275
2,23.25,-0.2186825,-14.17995,-1.403487,-2.341295,2.016795,0.280905,-6.009375,419.556,3.75261,0.7647155,0.6189185,0.411959,0.1180535,-2.5938625,-2.1267215
2,23.75,-0.18742625,-11.42755,-7.18558,-2.68014,1.89782,0.28158675,-6.2339375,421.7315,3.853795,0.741423,0.575069,0.42049825,0.110567,-2.8277395,-2.325695
3,0.25,-0.1331065,-14.023875,-3.5556675,-3.94338,1.69408,0.23000975,-2.01129,422.38275,4.46879,0.564448,0.427077,0.3695955,0.111976,-3.7018215,-3.04798775
3,0.75,-0.122777,-14.0675,-6.88963,-4.30371,1.660965,0.234935,-2.2456275,423.543,4.44291,0.5432265,0.4084615,0.375682,0.111193,-3.709848,-3.062678
3,1.25,-0.108991,-10.4439,-2.89116,-4.2327025,1.6629725,0.228406,-2.5294225,423.985,4.5664775,0.58512025,0.3722335,0.378486,0.101627,-3.5516855,-2.93457525
3,1.75,-0.12523375,-12.39085,-6.321605,-3.322235,1.533865,0.20210125,-2.52305,423.931,4.50529,0.518213,0.397786,0.35567925,0.103649,-3.49748,-2.91148325
