DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,G,RH,PA,NETRAD,PPFD_IN,SW_IN,CO2,VPD,TS_1_1_1,TS_1_2_1,NEE
1,17.75,0.502,1.18475,1.713,0.665,0.302,-5.96,6.45,-0.767,94.075,88.601,-4.32475,0,0,366.35,1.6425,0.6855,1.7175,0.851
1,18.25,0.4775,0.91975,1.4165,0.616,0.38,-5.74,8.685,-0.766,95.225,88.601,-3.30875,0,0,366.715,1.5625,0.604,1.5425,1.11975
1,18.75,0.4775,0.938,1.30275,0.795,0.26675,-2.91,4.43,-0.76575,95.625,88.601,-3.17525,0,0,366.8925,1.525,0.53525,1.513,0.85975
1,19.25,0.459,1.023,1.297,0.664,0.27875,-1.6925,4.9425,-0.7635,95.6,88.601,-4.01025,0,0,366.73,1.415,0.52025,1.49325,0.67975
1,19.75,0.473,0.84375,1.35375,0.9235,0.243,-1.97,2.965,-0.7635,95.425,88.601,-3.7415,0,0,366.91,1.36,0.51,1.4845,1.0135
1,20.25,0.4255,0.62125,1.44975,0.832,0.22625,-5.915,3.2225,-0.796,95.1,88.601,-3.0905,0,0,367.07,1.285,0.4775,1.45775,0.941
1,20.75,0.4755,0.716,1.49325,0.856,0.16,-5.455,3.6725,-0.81725,96.05,88.601,-3.83975,0,0,366.915,1.225,0.45025,1.366,0.858
1,21.25,0.44675,0.54225,1.39825,0.696,0.27375,-3.525,4.9,-0.81575,95.875,88.601,-4.335,0,0,366.9,1.19,0.4185,1.38775,0.78425
1,21.75,0.42325,0.317,1.3015,0.6185,0.173,-5.3475,4.54,-0.81275,96.075,88.601,-3.3485,0,0,367.14,1.1975,0.4665,1.46775,0.5515
1,22.25,0.46975,0.33625,1.48025,0.6045,0.3355,-3.825,6.77,-0.8965,96,88.601,-3.85375,0,0,366.84,1.255,0.4175,1.4535,0.666
1,22.75,0.51325,0.366,1.462,0.94475,0.24625,-4.205,4.4675,-0.92525,95.975,88.601,-3.8995,0,0,367.0675,1.2175,0.3855,1.3655,1.16825
1,23.25,0.47325,0.28975,1.4275,0.7285,0.4055,-2.22,3.1725,-0.9225,95.875,88.601,-3.16875,0,0,367.17,1.22,0.424,1.37,0.697
1,23.75,0.5,0.37025,1.54175,0.372,0.32875,-4.3225,3.67,-0.92425,95.675,88.62575,-2.16975,0,0,367.425,1.2075,0.3835,1.3725,0.50025
2,0.25,0.342,0.61025,1.25775,0.702,0.42,-2.135,3.8,-1.504,95.975,88.5,-2.81325,0,0,369.855,1.475,0.594,1.35875,0.786
2,0.75,0.442,0.46775,1.0465,0.947,0.324,-2.12,5.44,-1.5025,95.975,88.5,-1.72975,0,0,370.505,1.36,0.62525,1.3685,1.06
2,1.25,0.4015,0.70775,1.21725,0.753,0.192,-2.185,5.2725,-1.521,95.975,88.5,-2.44775,0,0,370.1625,1.355,0.60225,1.347,0.574
2,1.75,0.32325,0.53125,1.3855,0.956,0.372,-2.4775,2.985,-1.54075,95.9,88.52525,-2.39575,0,0,370.625,1.3425,0.58825,1.3235,1.25
2,2.25,0.37375,0.3745,1.5165,0.7595,0.2515,-1.1975,6.185,-1.53925,96.275,88.601,-2.99475,0,0,370.46,1.365,0.59275,1.32925,0.628
2,2.75,0.36675,0.35975,1.419,0.839,0.2775,-1.1875,5.0175,-1.52225,96.3,88.601,-2.655,0,0,370.5875,1.305,0.5825,1.334,0.78625
2,3.25,0.411,0.391,1.27825,0.76225,0.1375,-2.5025,4.1325,-1.56,96.525,88.601,-3.69625,0,0,370.78,1.275,0.54375,1.342,0.5775
2,3.75,0.377,0.47,1.16775,0.679,0.251,-2.065,3.445,-1.56025,96.5,88.601,-2.39825,0,0,370.525,1.2175,0.57325,1.33625,0.665
2,4.25,0.44475,0.4015,1.3655,0.67825,0.168,-2.585,6.835,-1.57925,96.975,88.601,-1.931,0,0,370.2975,1.2825,0.55875,1.319,0.48525
2,4.75,0.4165,0.29275,1.09875,0.801,0.2135,-2.9125,4.495,-1.586,96.325,88.601,-2.28,0,0,371.205,1.3325,0.514,1.29125,0.564
2,5.25,0.359,0.411,1.14375,0.774,0.35775,-3.84,9.3,-1.59075,96.1,88.601,-2.09175,0,0,370.5175,1.3425,0.505,1.3015,0.682
2,5.75,0.37825,0.24625,1.37425,0.6405,0.23725,-3.74,6.43,-1.596,96.15,88.601,-2.284,0,0,370.79,1.2375,0.53,1.31175,0.68175
2,6.25,0.3705,0.2845,1.46325,0.84375,0.304,-1.86,5.875,-1.616,96,88.601,-1.88175,0,0,371.005,1.2475,0.551,1.30625,0.519
2,6.75,0.3665,0.24775,1.0655,0.8135,0.239,-3.495,4.62,-1.62525,95.9,88.601,-1.65575,0,0,371.105,1.3175,0.52625,1.27675,0.7795
2,7.25,0.3675,0.16,1.35825,0.475,0.115,-3.71,3.5775,-1.632,95.9,88.601,-0.522,24.655,9.3025,371.11,1.3025,0.55,1.32,0.556
2,7.75,0.349,0.34525,1.31875,0.3625,0.039,-1.67,6.56,-1.6385,95.8,88.601,18.6875,101.125,40.865,371.505,1.5025,0.4285,1.2255,0.1755
2,8.25,0.3435,0.80075,1.09975,0.6245,0.004,6.37,13.1525,-1.625,95.475,88.7,54.4,207.925,114.425,371.735,1.935,0.19925,1.0055,0.194
2,8.75,0.447,1.35475,1.07175,0.1495,-0.028,25.4475,17.58,-1.637,95.1,88.7,102.725,281.375,235.15,370.4225,2.28,0.14275,0.89375,-0.201
2,9.25,0.466,2.57125,1.2385,0.251,-0.032,54.53,22.0975,-1.65975,94.65,88.7,138.25,345.55,276.675,370.17,2.7075,0.03325,0.83675,-0.2615
2,9.75,0.485,2.75425,1.3455,-0.341,-0.0265,82.845,29.66,-1.648,92.1,88.7,173.7,408.875,330.075,370.22,3.1225,0.0615,0.85025,-0.6625
2,10.25,0.435,3.4205,1.12,-0.3575,0.001,96.575,29.625,-1.65675,90.15,88.7,207.8,720.5,393.25,370.14,3.5025,0.313,1.02,-0.589
2,10.75,0.505,3.9125,1.38825,-0.57175,-0.0495,124.365,39.1475,-1.639,90.05,88.7,233.275,934,487,370.275,3.775,0.30475,1.0465,-0.9035
2,11.25,0.52125,4.7605,1.5205,-0.85025,0.009,127.5625,42.825,-1.61475,88.6,88.7,253.3,1032,521.05,370.31,4.0875,0.43975,1.13725,-0.95575
2,11.75,0.5745,5.179,1.58075,-0.658,0.00575,137.92,40.065,-1.567,88.375,88.7,263.825,1050.95,538.4,370.65,4.3175,0.3675,1.085,-0.68
2,12.25,0.54075,5.814,1.5115,-0.52725,-0.006,142.345,46.255,-1.529,88.05,88.601,245.85,1057.9,540.175,370.04,4.37,0.45825,1.20225,-0.705
2,12.75,0.57,6.32275,1.77975,-0.686,-0.004,153.18,49.6,-1.50025,87.975,88.601,263.75,1064.95,545.975,369.7,4.665,0.38425,1.14075,-0.904
2,13.25,0.6,7.067,1.9425,-0.6625,-0.006,140.2525,52.86,-1.48025,88,88.601,260.225,1050,529.225,369.4225,4.9425,0.4585,1.23,-0.76625
2,13.75,0.5565,6.8405,1.83175,-0.473,-0.001,129.6625,52.72,-1.3845,88.35,88.601,241.125,969.75,481.725,369.955,5.2325,0.53425,1.282,-0.74975
2,14.25,0.558,6.95,1.855,-0.38,0.028,123.2,44.95,-1.37475,86.975,88.57575,216.75,870.5,361.575,369.4725,5.01,0.80175,1.51825,-0.3095
2,14.75,0.55525,6.709,1.8405,-0.2255,0.042,110.22,38.76,-1.38775,86.025,88.57575,186.75,773.75,266.5,369.355,5.205,0.89725,1.641,-0.205
2,15.25,0.52,6.299,1.81575,-0.2245,0.133,83.205,32.51,-1.35225,91.1,88.5505,151,625.225,230.625,369.4,5.0775,1.01475,1.77025,-0.1395
2,15.75,0.5465,6.33975,1.7945,-0.10775,0.11975,61.24,28.195,-1.36425,91.075,88.5,108.075,462.425,113.05,369.315,4.7375,1.01925,1.79075,-0.068
2,16.25,0.5325,6.04975,1.7745,-0.02275,0.238,30.9525,27.1625,-1.371,93.625,88.5505,52.405,305.4,81.225,368.76,4.5475,1.1355,1.8625,0.103
2,16.75,0.50775,5.219,1.7265,0.1315,0.34575,12.92,17.2575,-1.36,92.375,88.5505,14.9075,170.925,44.5975,368.92,4.06,1.208,1.94725,0.39
2,17.25,0.51,4.0995,1.52525,0.25225,0.494,-0.525,11.965,-1.34825,93.325,88.5505,-0.822,48.4975,18.61,368.945,3.6575,1.20575,2.005,0.59225
2,17.75,0.47325,3.251,1.509,0.7005,0.761,-5.36,5.495,-1.3495,95.425,88.5505,-4.9085,6.65425,2.785,369.18,2.7675,1.2185,1.957,1.4215
2,18.25,0.42425,2.722,1.37375,0.796,0.6665,-2.64,4.9,-1.3685,95.575,88.601,-4.432,0,0,369.6775,2.3825,1.1065,1.8135,1.404
2,18.75,0.45325,2.4865,1.29225,0.856,0.459,-3.425,7.535,-1.3755,95.975,88.601,-3.96375,0,0,369.4775,2.215,0.9555,1.69325,1.152
2,19.25,0.426,2.3685,1.33725,0.767,0.2765,-4.6525,5.4425,-1.40975,96.3,88.601,-3.491,0,0,370.15,2.0375,0.852,1.56925,1.0645
2,19.75,0.42875,1.99075,1.32725,0.974,0.2945,-3.005,8.23,-1.4085,96.225,88.601,-3.647,0,0,370,2.065,0.776,1.49925,0.869
2,20.25,0.463,1.9005,1.20025,0.9805,0.1985,-6.77,6.0125,-1.419,96.075,88.5505,-3.24975,0,0,369.6475,1.96,0.71875,1.4405,1.249
2,20.75,0.41325,1.78975,1.28475,0.835,0.182,-3.925,6.1225,-1.42075,95.875,88.5505,-3.97025,0,0,369.9,1.935,0.689,1.41975,0.898
2,21.25,0.351,1.65075,1.22375,0.94375,0.23575,-5.51,4.62,-1.386,95.8,88.601,-4.14375,0,0,370.12,1.7025,0.695,1.4085,1.16075
2,21.75,0.42825,1.66,1.258,1.133,0.293,-4.625,4.2675,-1.41125,95.775,88.5505,-3.0585,0,0,370.87,1.6275,0.63525,1.39,1.36
2,22.25,0.441,1.46475,1.23775,1.19225,0.38425,-3.1075,5.7275,-1.3815,95.95,88.5,-2.36425,0,0,370.6,1.58,0.63425,1.39975,1.355
2,22.75,0.41,1.2445,1.26825,1.044,0.31,-3.6375,3.75,-1.385,95.75,88.5,-2.979,0,0,370.775,1.405,0.61925,1.35275,1.03
2,23.25,0.364,1.07175,1.43425,0.754,0.3525,-5.24,3.77,-1.4045,95.475,88.5,-2.8815,0,0,370.785,1.4225,0.62175,1.379,1.026
2,23.75,0.42,0.7755,1.17425,0.83875,0.343,-3.79,4.235,-1.4315,95.875,88.5,-3.445,0,0,370.435,1.5325,0.6145,1.3565,0.9265
3,0.25,0.651,2.93,1.543,0.87225,0.30825,-8.625,10.25,-1.76275,87.575,88.4,-16.0175,0,0,369.64,1.7675,1.1145,3.20725,0.83975
3,0.75,0.5515,2.889,1.4735,0.6645,0.22075,-11.38,6.9875,-1.819,87.1,88.4,-15.2775,0,0,369.69,1.8375,1.00225,3.32275,0.6495
3,1.25,0.57625,2.94,1.4775,0.691,0.209,-8.77,8.2825,-1.84,86,88.4,-15.7525,0,0,369.755,1.835,0.88475,3.4255,0.646
3,1.75,0.583,2.91525,1.54925,0.70275,0.2165,-6.84,5.71,-1.853,86.375,88.4,-13.76,0,0,369.8225,1.68,0.8215,3.407,0.87275
3,2.25,0.5855,3.05775,1.62625,0.752,0.2,-6.45,8.09,-1.8505,86.175,88.4,-12.645,0,0,370.0725,1.72,0.7665,3.204,0.9705
3,2.75,0.6015,2.82625,1.78025,0.9095,0.291,-8.72,7.55,-1.8765,86.45,88.4,-11.72,0,0,370.05,1.615,0.68675,3.26675,0.7985
3,3.25,0.59125,2.81,1.48575,0.812,0.27,-9.7525,6.34,-1.84675,85.8,88.4,-8.9375,0,0,370.015,1.67,0.71875,3.21625,0.682
3,3.75,0.5145,2.873,1.567,1.12,0.257,-8.975,9.5,-1.8425,86.275,88.4,-8.43,0,0,370.45,1.7075,0.73025,3.08575,1.119
3,4.25,0.5565,2.92375,1.617,1.03675,0.07125,-7.39,6.91,-1.85125,86.4,88.4,-8.1225,0,0,369.7,1.7025,0.66875,2.9985,1.00325
3,4.75,0.588,2.8365,1.60325,1.056,0.1445,-11.06,7.6175,-1.86675,87.875,88.4,-6.73225,0,0,369.8575,1.635,0.69775,2.923,1.1655
3,5.25,0.5105,2.7435,1.60275,0.7085,0.15,-8.8525,9.92,-1.8825,87.525,88.5,-8.015,0,0,369.645,1.54,0.722,2.91275,0.639
3,5.75,0.57025,2.43575,1.70075,0.54775,0.156,-5.9375,8.9975,-1.88925,88.575,88.5,-8.55,0,0,370.32,1.745,0.69275,2.899,0.5765
3,6.25,0.58075,2.2635,1.6375,0.482,0.052,-5.26,11.025,-1.9115,89.25,88.5,-4.37275,20.6875,8.645,370.565,1.5575,0.72875,3.02575,0.6125
3,6.75,0.55025,2.3975,1.611,0.23675,0.002,-7.52,16.2875,-1.90475,88.65,88.5,15.055,111.6,49.4025,370.45,1.6975,0.66825,2.47825,0.18875
3,7.25,0.539,3.441,1.56,0.2055,-0.10925,5.14,17.68,-1.7885,88.375,88.5,59.595,243.65,116.55,370.525,1.95,0.37375,1.75625,-0.1575
3,7.75,0.537,4.32525,1.505,0.101,-0.12175,33.76,29.735,-1.788,83.95,88.5,132.675,417.875,224.275,370.07,2.3,0.32075,1.332,-0.56475
3,8.25,0.6505,4.634,1.707,-0.44125,-0.13075,66.96,39.2625,-1.54325,80.625,88.5,183.5,584.05,300.9,370.77,2.7425,0.35425,1.226,-0.73975
3,8.75,0.58525,5.32575,1.8125,-0.81225,-0.2015,99.92,43.3375,-0.87475,80.85,88.5,249.1,758.25,373.675,369.33,3.285,0.525,1.4045,-1.2965
3,9.25,0.63875,5.5085,1.862,-1.05125,-0.18525,127.6175,60.09,-0.58925,78.425,88.5,306.775,895,446.325,368.75,3.665,1.05725,1.49625,-1.61125
3,9.75,0.7015,5.8795,1.93775,-1.394,-0.173,175.57,74.01,3.4695,78.725,88.5,363.3,1054.5,522.675,368.65,4.1725,2.27775,1.622,-1.803
3,10.25,0.71625,6.1035,2.1525,-1.27,-0.154,199.845,85.235,11.6635,76.3,88.4,418.85,1169.75,568.1,368.7,4.4225,3.816,2.131,-1.5955
3,10.75,0.7915,7.1275,2.2535,-1.611,-0.09225,229.155,98.0775,22.616,74.675,88.4,466.75,1317.5,660.3,368.64,4.6,4.8265,2.62125,-1.865
3,11.25,0.76625,7.87,2.3125,-1.378,-0.05,258.485,105.285,27.7925,73.675,88.5,497.55,1400,693.075,368.7425,5.195,5.88925,2.81625,-1.55
3,11.75,0.81,8.5,2.377,-1.40125,-0.071,280.05,108.445,29.66425,73.175,88.4,521.25,1445,717,368.94,5.7525,7.25825,2.5515,-1.71525
