DOY2,HR2,CO2,FC,G,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SW_IN,SW_OUT,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,USTAR,VPD,WS
1,0.25,422.24275,0.2862285,-22.3283359033355,-8.674905,3.68980440908116,6.583595,212.8,277.9,-66.17,98.8981,-0.04625,-0.03825,77.2144843552908,0,0.292,-6.14491,0.6,1.4,3.9,4.175,0.01275,1.54575,3.2585,4.27525,-2.65725,-0.887,0.17725,0.913,1.6575,2.495,3.18225,4.03875,5.491,-3.31625,-1.5985,-0.372,0.441,1.202,2.134,2.769,3.736,5.137,0.159155,0.309553315430687,2.45051
1,0.75,422.0825,0.06485435,-22.8374973614684,-6.97173,3.56189460938799,4.43428,212.15,276.95,-68.84,98.8472386166992,-0.04875,-0.0405,78.1453396791575,0,0.277,-6.437754,0.6,1.4,3.9,4.175,0.08325,1.567,3.2375,4.3,-2.761,-0.906,0.163,0.908,1.68125,2.46025,3.16225,3.96475,5.521,-3.3255,-1.65075,-0.3295,0.45075,1.202,2.124,2.769,3.736,5.1565,0.16602375,0.297495163547424,2.35080850915016
1,1.25,422.243,0.162855,-24.8380320823866,-5.3977825,3.60085519673257,5.73032101621836,212.9,274.5,-64.8525,98.766675,-0.049,-0.039,78.0248819885934,0,0.3085,-6.07127075,0.6,1.4,3.9,4.175,0.04575,1.567,3.22475,4.3,-3.025,-0.96775,0.17725,0.92225,1.667,2.4555,3.148,4.019,5.516,-3.391,-1.7695,-0.363,0.4315,1.1925,2.124,2.769,3.726,5.147,0.14578875,0.27321594219873,2.159565
1,1.75,423.349,0.1357605,-25.0632805561392,-4.457955,3.8086996030649,4.1459025,212.05,272.9,-64.235,98.8705,-0.051,-0.04,78.6939925182444,0,0.2615,-5.9849815,0.6,1.4,3.9,4.175,0.04575,1.55,3.2,4.3,-2.968,-1.0105,0.18675,0.9365,1.67625,2.5,3.172,3.97925,5.50625,-3.3775,-1.82625,-0.3295,0.45075,1.202,2.124,2.769,3.726,5.167,0.136491,0.271851402232128,2.0176475
1,2.25,422.741,0.1278707,-22.2048952434142,-3.81073,3.61587763693348,6.7782,212.85,273.2,-62.1725,98.74065,-0.04775,-0.04,79.7967267403619,0,0.2795,-5.913353,0.6,1.4,3.9,4.17075,0.0545,1.57475,3.21275,4.271,-2.582,-1.0295,0.14875,0.927,1.681,2.5,3.16725,4.004,5.521,-3.87075,-1.8925,-0.3915,0.4315,1.202,2.124,2.7595,3.7355,5.167,0.1584065,0.25979006732018,2.224085
1,2.75,422.938056142421,0.0334052,-21.642731249531,-2.42162,3.55072301387868,4.4962475,212.35,272.95,-60.55,98.7479,-0.04875,-0.03875,80.0179574013706,0,0.23775,-5.999389,0.6,1.4,3.9,4.16675,0.05,1.517,3.2,4.271,-2.723,-1.0675,0.20175,0.95075,1.68125,2.5045,3.153,3.96475,5.521,-3.871,-1.949,-0.401,0.4315,1.202,2.124,2.769,3.726,5.147,0.165240426086379,0.260733434867003,2.17008024487565
1,3.25,422.873711747012,0.079415,-23.0588819448705,-5.8796,3.57230484405325,4.257,210.75,272.65,-60.865,98.719875,-0.049,-0.03775,80.381689840228,0,0.28425,-6.181058,0.6,1.4,3.9,4.15425,0.01275,1.56275,3.2,4.28725,-2.61475,-1.16725,0.16775,0.91275,1.66225,2.49025,3.148,3.999,5.516,-4.1575,-2.0575,-0.46775,0.4315,1.202,2.124,2.769,3.726,5.1365,0.15997775,0.266768041001387,2.384725
1,3.75,422.778,0.0262138525,-21.6277942711537,-3.0536575,3.58924424972938,5.1269175,210.3,272.4,-59.385,98.7162508089192,-0.04875,-0.03875,79.7168581628935,0,0.26075,-6.316839,0.59175,1.4,3.9,4.15825,0.02475,1.54575,3.2,4.28725,-2.61475,-1.29075,0.1535,0.93175,1.6765,2.48525,3.16225,4.019,5.51075,-4.378,-2.105,-0.45825,0.41225,1.202,2.119,2.74975,3.716,5.13675,0.172189917592622,0.271187517998533,2.40109165639385
1,4.25,423.098680357363,-0.016505638,-22.5699430542323,-4.6635975,3.5998343891444,6.30516,208.35,271.55,-61.865,98.6669,-0.046,-0.04075,80.8875741507871,0,0.2175,-5.837327,0.6,1.4,3.9,4.15825,-0.00425,1.5585,3.2,4.28725,-2.7705,-1.324,0.15825,0.9415,1.667,2.5045,3.16225,3.999,5.48075,-4.33125,-2.034,-0.42,0.441,1.202,2.119,2.74975,3.716,5.13175,0.164999,0.272447219317641,2.35209
1,4.75,423.261791874145,-0.04255,-20.9247234727145,-3.5632,3.54681500756853,5.43054,208.95,271.85,-62.8575,98.6878029245334,-0.046,-0.03675,80.6168367685838,0,0.21,-5.866052,0.59575,1.4,3.9,4.15825,-0.05425,1.56275,3.2,4.28725,-3.05725,-1.29075,0.13925,0.9365,1.643,2.4995,3.16725,3.994,5.511,-4.4155,-1.93925,-0.39125,0.4555,1.202,2.124,2.769,3.726,5.1665,0.160791875252295,0.275433883524776,2.4532
