DOY2,HR2,FC_1_1_1,CO2_1_1_1,CO2_SIGMA_1_1_1,SC_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,H_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,WS_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,TA_1_1_1,VPD_1_1_1,RH_1_1_1,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD_1_1_1,SW_IN_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_DIF_1_1_1,FC_1_2_1,CO2_1_2_1,CO2_SIGMA_1_2_1,LE_1_2_1,H2O_1_2_1,H2O_SIGMA_1_2_1,H_1_2_1,T_SONIC_1_2_1,T_SONIC_SIGMA_1_2_1,WS_1_2_1,USTAR_1_2_1,W_SIGMA_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,TA_1_2_1,VPD_1_2_1,RH_1_2_1
1,0.25,0.682,400.588038,1.055171,-0.212493,0.451,9.230228,0.065115,-15.187,12.345,0.284605,2.261,0.181,0.230217,0.503984,0.424264,7.545,1.615,84.6,99.6,9.363,9.675,10.05,10.578,11.183,-12.105,-45.827,0,0,0,0,0,294.7015,336.948,0,0.33543,426.267086,4.58314,0.3212,9.106531,0.086456,-0.737095,9.4044,0.254067,0.333275,0.0402585,0.0483385,0.192009,0.183669,5.217,0.805835,91.6
1,0.75,0.8535,399.905997,1.083248,0.1355975,0.323,9.04296,0.0700515,-15.182,12.343,0.286356,2.249,0.177,0.230217,0.510882,0.427785,7.53,1.55,84.5,99.6,9.3185,9.6215,10.029,10.5725,11.1875,-12.665,-45.827,0,0,0,0,0,289.5915,336.422,0,0.398095,428.757819,4.472452,0.10031,9.240814,0.08854,-0.586195,9.3523,0.26224,0.337375,0.040763,0.0495905,0.197598,0.1885865,5.226,0.7887,91.9
1,1.25,0.828,397.9602205,1.063716,0.021736,0.678,9.0886955,0.0691865,-15.816,12.1465,0.279285,2.282,0.182,0.232379,0.519615,0.442719,7.47,1.555,84.2935,99.6,9.28,9.563,9.998,10.553,11.188,-13.097,-46.331,0,0,0,0,0,290.81,335.156,0,0.39751,428.533193,4.791247,0.10643,9.335844,0.0864535,-0.9959,9.25665,0.2604105,0.327205,0.041025,0.051328,0.1934695,0.184758,5.171,0.773995,91.9
1,1.75,0.727,397.37874,1.045022,0.1233405,0.579,8.935793,0.071417,-14.307,12.224,0.282843,2.27,0.178,0.232379,0.505964,0.427785,7.3735,1.62,83.6,99.6,9.255,9.527,9.955,10.538,11.183,-13.181,-44.748,0,0,0,0,0,294.725,334.9875,0,0.461785,424.7144,4.457805,0.012909,9.220151,0.086588,-0.84749,9.2617,0.2530545,0.34536,0.0416885,0.0521155,0.1994005,0.1848445,5.212,0.73862,92.1
1,2.25,0.741,397.11573,1.058141,0.346069,0.394,8.797987,0.070618,-14.421,12.1245,0.281069,2.249,0.183,0.232379,0.505964,0.431277,7.225,1.63,83.15,99.6,9.232,9.482,9.928,10.515,11.178,-12.264,-44.1,0,0,0,0,0,298.7395,335.604,0,0.29752,426.789699,4.607084,0.008076,9.0315965,0.09734,-0.532205,9.2338,0.257113,0.33209,0.041175,0.052983,0.192234,0.184675,5.042,0.747985,92.2
1,2.75,0.828,400.3211715,1.062021,0.4237015,0.874,8.7907715,0.073093,-16.333,12.1165,0.2854805,2.249,0.185,0.230217,0.515267,0.424264,7.27,1.58,83.5,99.6,9.177,9.46,9.898,10.495,11.182,-12.248,-42.8415,0,0,0,0,0,293.041,335.505,0,0.29279,427.569899,4.660822,0.028851,8.736898,0.100614,-0.86396,9.26705,0.257385,0.33704,0.0395055,0.05227,0.1926215,0.196982,5.072,0.73868,92.2
1,3.25,0.853,400.2259505,1.067066,-0.228736,1.218,8.6700915,0.070193,-16.0575,12.0585,0.298329,2.234,0.186,0.232379,0.511859,0.439318,7.05,1.57,83.85,99.6,9.1385,9.3955,9.866,10.4715,11.191,-12.052,-43.885,0,0,0,0,0,292.522,334.934,0,0.401375,426.853936,4.301663,0.43331,8.808896,0.09387,-0.70185,9.1862,0.265492,0.34242,0.041895,0.0530705,0.196463,0.183788,4.911,0.73038,92.2
1,3.75,0.8645,400.925042,1.056252,-0.869444,1.306,8.783102,0.072655,-15.766,11.982,0.298329,2.1975,0.191,0.2418655,0.517687,0.426615,6.826,1.59,83.35,99.6,9.123,9.359,9.836,10.463,11.1875,-11.9555,-43.669,0,0,0,0,0,292.816,334.242,0,0.34383,427.9580485,4.322931,0.097846,8.563979,0.092593,-0.723215,8.9815,0.2618,0.3479,0.04182,0.052709,0.19376,0.187566,4.811,0.72869,92.1
1,4.25,0.8745,400.05034,1.055996,-0.260333,1.1515,8.5732095,0.076428,-15.646,11.9715,0.296648,2.209,0.18,0.235582,0.493457,0.426028,6.8175,1.63,83.1,99.6,9.09,9.338,9.806,10.45,11.183,-12.7275,-43.885,0,0,0,0,0,300.852,334.053,0,0.42706,430.733448,4.344,0.29589,8.739007,0.092715,-0.82416,8.9331,0.256692,0.35054,0.042634,0.052725,0.186191,0.188279,4.69,0.71412,92.2
1,4.75,0.68,398.95468,1.048472,-0.045417,1.013,8.538967,0.0704055,-14.987,11.964,0.292403,2.24,0.183,0.230217,0.503984,0.4248525,6.6725,1.535,83.05,99.6,9.0615,9.304,9.775,10.4365,11.182,-13.0065,-43.813,0,0,0,0,0,295.2825,333.389,0,0.36079,430.060231,4.241099,0.23416,8.78509,0.091219,-0.739405,8.8694,0.245689,0.342485,0.0413035,0.0510445,0.1872645,0.186506,4.668,0.70736,92.1
