DOY2,HR2,FC_1_1_1,USTAR_1_1_1,LE_1_1_1,H_1_1_1,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,WS_1_2_1,WS_1_3_1,WS_2_1_1,NEE_1_1_1
1,0.5,0,0.084,-0.8,-19.9,755.675,758.675,760.6,764.3,-10.8,-11.3375,-11.5325,-11.9475,75.125,77.525,77.7,82.5,0,0,-51.725,218,257.5,1.95,1.4475,1.42,0
1,1.5,0.02,0.097,-0.4,-19.75,754.85,758,760.9,763.55,-10.84,-11.49,-11.7225,-12.065,75.6,77.95,78.3,82.6,0,0,-50.8,219.4,256.8,2,1.5,1.5225,0
1,2.5,0.02,0.095,-0.5,-18.4,757.575,759.825,760.725,762.75,-11.07,-11.515,-11.7825,-12,76.55,77.625,78.2,82.5,0,0,-51.05,218.8,256.625,2.0875,1.52,1.58,0
1,3.5,0.065,0.088,-0.7,-18.7,758.275,760.2,761.325,763.2,-11.275,-11.785,-11.9675,-12.34,77,79.1,79.4,83.6,0,0,-51,219.325,256.8,2.04,1.5025,1.57,0
1,4.5,0.03,0.09275,-0.6,-17.125,758.2,759.8,761.3,763.925,-11.545,-12.07,-12.2075,-12.4225,77.325,79.2,79.6,83.4,0,0,-50.8,218.525,255.3,2.04,1.54,1.6125,0
1,5.5,0.02,0.099,-0.6,-17.6,757.775,759.2,761.2,764.7,-11.455,-12.0475,-12.2775,-12.4875,76.925,79.2,79.2,83.1,0,0,-50.4,218.275,255.6,1.99,1.565,1.62,0
1,6.5,0,0.099,-0.5,-17.225,758.075,760,760.4,763.125,-11.7675,-12.2725,-12.59,-12.875,77.05,79.6,79.825,83.625,0,0,-49.4,216.775,254.225,2.05,1.49,1.54,0
1,7.5,0.0675,0.09225,-0.7,-20.175,757.975,759.2,760.8,763.25,-11.73,-12.3775,-12.63,-13.04,77.4,79.4,80.125,83.7,0.9,0.6,-48.55,217.7,253.7,2.06,1.51,1.545,0.1
1,8.5,0.0525,0.121,1.55,-14.4,756.475,757.6,757.4,759.8,-11.445,-11.9725,-12.0425,-11.72,76.225,78.1,77.8,82.1,32.775,13.225,-13.7,214.225,258.825,1.995,1.5775,1.5825,0
1,9.5,0.1975,0.16,6.55,0.1,752.175,753,752.5,754,-10.02,-10.265,-9.7925,-9.12,72.4,73.7,72.9,77.225,110.8,36.9,23.9,214.675,268.225,2.56,2.1575,2.28,0.1
1,10.5,0.21,0.184,10.875,7.975,746.9,747.675,746.2,746.275,-9.1375,-9.19,-8.51,-7.4525,67.2,67.975,67.3,70.7,180.95,60.8,51.075,216.8,278.3,2.975,2.54,2.7325,0.1
1,11.5,0.3,0.2,13.2,13.45,741.65,741.85,740,740.1,-8.29,-8.27,-7.7,-6.5375,62,63,62.5,63.8,239.15,72.9,77.5,219.3,286.7,3.2,2.7475,2.985,0.2
1,12.5,0.305,0.2095,14.95,14.2,738,738.5,736.4,736.525,-7.495,-7.49,-6.85,-5.52,57.9,58.675,57.3,58.7,277,78.2,80.8,221.4,291.6,3.415,3.04,3.16,0.2
