DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,T_CANOPY,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF,PPFD_IN,PPFD_OUT,NETRAD,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_A,TS_1_2_1,TS_1_2_2,TS_1_2_A
1,0.25,3.5909,0.7371,0.5644,0.3779,4.649,3.756,89.7,98.1366,6.3586,0.442,419.664575,8.2171,0.932775,0.932775,-9.512,10.8273,0.340025,12.125,1.011,288.5,322.8,2.025,0,0,-11.5225,-9.72,-18.06,-9.85,-14.34,-12.585,6.051,5.564,5.84775,6.442,6.339,6.3585
1,0.75,3.4416,0.6729,0.5877,0.3322,4.61,4.211,90.5,98.1442,6.39905,0.4951,416.53395,7.9301,0.73905,0.73905,-12.7948,8.4287,0.324375,12.125,1.119,292.9,320.4,1.446,0,0,-7.84295,-10.37,-17.62,-10.22,-15.42,-13.4025,5.9395,5.4265,5.721,6.432,6.347,6.34325
1,1.25,3.3437,0.67,0.6273,0.3413,4.475,3.774,91,98.1569,6.0726,0.35235,417.4771,7.72195,0.790825,0.790825,0.0022,13.095025,0.3076,12.125,0.983,304.4,319.3,1.777,0,0,-3.4945,-10,-15.21,-8.1,-14.34,-12.4725,5.8445,5.2985,5.6005,6.422,6.3495,6.327
1,1.75,3.5423,0.8506,0.6446,0.3671,3.386,2.85,92.5,98.1737,6.202475,0.48665,418.1646,7.44225,1.03905,1.03905,-10.8658,12.2701,0.34045,12.125,1.089,308.2,319.9,2.016,0,0,-2.9005,-8.93,-11.56,-6.528,-10.58,-9.38,5.7645,5.1775,5.487,6.4075,6.351,6.3135
1,2.25,4.2522,0.8153,0.6837,0.4396,4.022,2.92,92.4,98.1951,5.995275,0.544925,417.028975,7.3745,0.7565,0.7565,-8.2614,11.4042,0.4018,12.125,1.0665,308.4,320.4,1.558,0,0,-1.373,-8.17,-10.72,-8.67,-9.74,-8.9495,5.689,5.06,5.3745,6.391,6.338,6.3175
1,2.75,3.6289,0.7693,0.6612,0.3596,3.134,2.963,92.3,98.1981,5.14,0.4134,417.6819,7.4398,0.7334,0.7334,-6.9117,8.0831,0.3215,12.125,1.123,308.5,320.6,1.977,0,0,-2.5215,-8.4,-11.4,-10.62,-11.24,-10.415,5.586,4.951,5.2685,6.3735,6.3175,6.3185
1,3.25,3.6522,0.7209,0.5833,0.3616,2.981,3.092,92.8,98.2137,4.6738,0.4484,419.5673,7.45825,0.689,0.689,-2.86895,10.8554,0.3197,12.125,1.01375,307.9,321.3,1.769,0,0,-1.059,-9.73,-12.1,-10.38,-12.62,-11.9025,5.4875,4.8175,5.16525,6.359,6.294,6.3125
1,3.75,3.2817,0.762,0.6598,0.3418,2.981,3.167,93.6,98.2393,4.374425,0.3878,418.675475,7.604575,0.82,0.82,-4.079275,11.5718,0.31995,12.125,1.1565,307.9,319.4,1.547,0,0,-0.4445,-8.82,-11,-9.52,-12.61,-10.61,5.391,4.679,5.05875,6.342,6.2765,6.30125
1,4.25,3.3997,0.7995,0.629,0.3521,2.954,2.683,94.2,98.2728,4.4554,0.3892,422.3071,7.2606,0.6892,0.6892,-5.198775,16.42,0.3433,12.125,1.02725,307.9,317.1,1.713,0,0,-1.0005,-6.697,-8.83,-7.171,-10.66,-8.3145,5.2915,4.543,4.92525,6.324,6.2555,6.2865
1,4.75,3.8218,0.9221,0.709,0.3916,2.825,2.429,94.1,98.2693,4.2733,0.548075,422.7907,7.731,0.7708,0.7708,-8.26065,17.0932,0.38825,12.125,1.042,308.5,316,1.846,0,0,-0.8535,-6.994,-8.66,-7.066,-9.58,-7.623,5.1785,4.402,4.79025,6.3075,6.2355,6.27075
1,5.25,3.4527,0.7862,0.728,0.3772,2.783,2.591,93.7,98.2814,4.5086,0.516,424.59785,7.6629,0.604725,0.604725,-4.5031,5.6804,0.351025,12.125,1.032,308.5,316.9,1.933,0,0,-3.1795,-6.909,-8.49,-6.585,-9.04,-7.2603,5.056,4.262,4.659,6.296,6.218,6.257
1,5.75,3.190275,0.704575,0.6592,0.3363,2.17,1.905,94,98.2772,3.02365,0.41165,424.285125,7.9112,0.6258,0.6258,-7.600025,7.219175,0.311025,12.125,1.12875,296.9,314.1,1.756,0,0,-3.0865,-8.56,-13.47,-8.63,-9.9,-10.805,4.9325,4.094,4.51325,6.286,6.199,6.2425
1,6.25,3.621025,0.766925,0.6105,0.3635,1.043,0.865,94.5,98.2888,2.3306,0.3723,420.94565,7.52545,0.6465,0.6465,-8.934,5.2435,0.3364,12.125,1.032,296.4,309.7,1.813,0,0,-2.4925,-9.07,-14.01,-9.58,-13.42,-11.52,4.811,3.982,4.3795,6.277,6.184,6.2305
1,6.75,3.5363,0.84065,0.57455,0.362025,1.551,1.914,94.6,98.3152,2.3774,0.42545,415.900325,7.7357,0.705775,0.705775,-6.2523,9.57005,0.330575,12.125,1.0275,308.5,315.5,1.581,0,0,-3.224,-8.84,-13.78,-9.67,-13.53,-11.455,4.69,3.879,4.2515,6.2695,6.1665,6.218
1,7.25,3.78895,0.80815,0.5889,0.4159,1.976,2.477,94.5,98.3574,2.43195,0.39855,412.986625,7.91235,0.7053,0.7053,2.2912,10.709,0.348675,12.125,1.056,308.2,316.7,2.119,0.718,0,-3.36,-8.45,-12.06,-8.02,-13.53,-10.96,4.5475,3.7645,4.107,6.257,6.1525,6.20475
1,7.75,3.795125,0.81745,0.6827,0.402,2.001,2.756,94.2,98.367,2.052175,0.457275,412.6568,7.8344,0.4592,0.4592,-4.461175,8.84605,0.36525,19.9975,8.845,307.9,317.7,11.82,37.04,5.703,-0.6455,-7.036,-8.97,-7.336,-11.83,-8.5912,4.39,3.647,3.95625,6.247,6.135,6.191
1,8.25,3.84905,0.91645,0.6148,0.4103,2.098,3.073,94.1,98.384,2.415475,0.404175,422.6619,8.5431,1.1375,1.1375,1.5298,16.3853,0.372275,70.83,24.87,300.8,321.4,28.26,171,27.52,6.133,-5.301,-6.599,-6.972,-9.33,-6.7808,4.253,3.5905,3.861,6.2365,6.1215,6.179
1,8.75,4.79685,1.02485,0.7313,0.471,3.491,4.163,92.6,98.397,3.82165,0.501775,421.3919,9.2673,0.752725,0.752725,18.5012,33.6627,0.46575,175.9,39.82,298.4,323.7,47.51,378.7,46.38,55.23,-4.502,-5.318,-6.176,-7.632,-5.8162,4.1345,3.6125,3.80475,6.227,6.1075,6.16725
