DOY2,HR2,TS_1_1_1
1,0.25,-2.88575
1,0.75,-2.901
1,1.25,-2.93475
1,1.75,-2.94675
1,2.25,-2.95325
1,2.75,-2.955
1,3.25,-2.9635
1,3.75,-2.969
1,4.25,-2.97625
1,4.75,-2.98175
1,5.25,-2.997
1,5.75,-3.026
1,6.25,-3.05075
1,6.75,-3.07625
1,7.25,-3.102
1,7.75,-3.097
1,8.25,-3.0735
1,8.75,-3.0415
1,9.25,-3.05
1,9.75,-3.05325
1,10.25,-3.019
1,10.75,-2.99875
1,11.25,-2.98975
1,11.75,-2.9775
1,12.25,-2.912
1,12.75,-2.864
1,13.25,-2.835
1,13.75,-2.8195
1,14.25,-2.80475
1,14.75,-2.789
1,15.25,-2.777
1,15.75,-2.7675
1,16.25,-2.75675
1,16.75,-2.741
1,17.25,-2.7275
1,17.75,-2.71625
1,18.25,-2.70925
1,18.75,-2.7045
1,19.25,-2.7
1,19.75,-2.69825
1,20.25,-2.69525
1,20.75,-2.6965
1,21.25,-2.704
1,21.75,-2.71175
1,22.25,-2.71875
1,22.75,-2.73325
1,23.25,-2.75375
1,23.75,-2.78925
2,0.25,-3.906
2,0.75,-3.92
2,1.25,-3.9355
2,1.75,-3.95525
2,2.25,-3.981
2,2.75,-4.009
2,3.25,-4.03625
2,3.75,-4.06525
2,4.25,-4.0955
2,4.75,-4.12775
2,5.25,-4.15775
2,5.75,-4.158
2,6.25,-4.1585
2,6.75,-4.167
2,7.25,-4.1935
2,7.75,-4.2215
2,8.25,-4.25
2,8.75,-4.28525
2,9.25,-4.308
2,9.75,-4.31425
2,10.25,-4.31475
2,10.75,-4.29325
2,11.25,-4.217
2,11.75,-4.1315
2,12.25,-4.057
2,12.75,-4.02375
2,13.25,-3.991
2,13.75,-3.962
2,14.25,-3.9285
2,14.75,-3.8955
2,15.25,-3.86825
2,15.75,-3.83875
2,16.25,-3.81325
2,16.75,-3.791
2,17.25,-3.771
2,17.75,-3.75475
2,18.25,-3.74275
2,18.75,-3.73375
2,19.25,-3.73125
2,19.75,-3.735
2,20.25,-3.743
2,20.75,-3.75375
2,21.25,-3.76975
2,21.75,-3.79175
2,22.25,-3.815
2,22.75,-3.841
2,23.25,-3.8705
2,23.75,-3.8935
3,0.25,-2.94325
3,0.75,-2.97075
3,1.25,-3.001
3,1.75,-3.009
3,2.25,-3.00525
3,2.75,-3.00375
3,3.25,-3.0055
3,3.75,-2.9915
3,4.25,-2.9795
3,4.75,-2.96675
3,5.25,-2.95325
3,5.75,-2.9445
3,6.25,-2.93675
3,6.75,-2.92975
3,7.25,-2.9235
3,7.75,-2.917
3,8.25,-2.91125
3,8.75,-2.9085
3,9.25,-2.9135
3,9.75,-2.90875
3,10.25,-2.89875
3,10.75,-2.884
3,11.25,-2.86425
3,11.75,-2.84375
3,12.25,-2.82625
3,12.75,-2.80825
3,13.25,-2.789
3,13.75,-2.769
3,14.25,-2.75075
3,14.75,-2.73325
3,15.25,-2.71525
3,15.75,-2.70375
3,16.25,-2.69225
3,16.75,-2.6865
3,17.25,-2.6825
3,17.75,-2.68225
3,18.25,-2.68675
3,18.75,-2.7035
3,19.25,-2.73
3,19.75,-2.759
3,20.25,-2.79075
3,20.75,-2.80425
3,21.25,-2.8215
3,21.75,-2.83775
3,22.25,-2.866
3,22.75,-2.8965
3,23.25,-2.9115
3,23.75,-2.926
4,0.25,1.450625
4,0.75,1.38725
4,1.25,1.3065
4,1.75,1.269
4,2.25,1.23
4,2.75,1.1915
4,3.25,1.14575
4,3.75,1.099
4,4.25,1.068875
4,4.75,1.039625
4,5.25,1.0255
4,5.75,1.01425
4,6.25,0.981875
4,6.75,0.959875
4,7.25,0.9435
4,7.75,0.936375
4,8.25,0.935375
4,8.75,0.94875
4,9.25,1.122
4,9.75,1.22825
4,10.25,1.256125
4,10.75,1.350875
4,11.25,1.499125
4,11.75,1.595625
