DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA_1_1_1,CO2,VPD_1_1_1,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.626675,7.1946,9.099575,3.70257499999999,38.374,26.7544749999999,-7.50060000000002,5.4712,6.3761,100,95.9622,401.0672,4.36,-5.76050000000004,1.8851,0,1.59,2.828,332.0337,347.0866,11.7895
1,0.75,0.63925,6.7642,9.204,2.309,6.80640000000001,13.4634,-8.4402,5.1887,6.2266,100,95.949,415.048,4.043,-4.94550000000002,1.9952,0,1.53309999999999,2.8316,333.2901,344.5214,10.851625
1,1.25,0.64515,6.7351,9.2484,2.35200000000001,31.8789749999999,20.225,-9.75750000000001,4.9102,6.0873,100,95.9356,410.5534,4.332,-2.88280000000002,3.03469999999999,0,1.607,2.8268,335.4997,341.5327,10.7961
1,1.75,0.5422,7.1214,7.90585,1.30180000000001,24.4562,44.9942000000002,-8.18920000000001,4.7735,5.9472,100,95.9351,411.6086,4.235,-5.44330000000001,3.74009999999999,-0.003,1.6088,2.8279,329.9996,343.8944,10.7145
1,2.25,0.5652,7.34119999999999,9.17965,5.10340000000002,30.6156,12.9323,-7.91340000000002,4.7279,5.797,100,95.9291,423.3022,4.143,-6.2223,3.00859999999999,-0.000300000000000026,1.607,2.8351,331.8145,345.0528,11.2405
1,2.75,0.5126,7.78509999999999,7.852225,5.60092499999999,33.5138000000001,27.007575,-6.98960000000002,4.7416,5.6457,100,95.9719,401.5905,4.277,-4.55550000000001,2.8206,0,1.607,2.8523,327.2014,347.4901,11.1246
1,3.25,0.5019,7.85839999999998,8.334575,1.0175,33.7062000000001,71.4538000000001,-8.11020000000002,4.76439999999999,5.4922,100,95.9672,401.8039,4.505,-4.27940000000001,2.8682,0,1.607,2.8379,329.1752,348.3628,11.0052
1,3.75,0.499825,7.76269999999999,7.3464,3.45169999999998,22.3136,27.7656,-9.26150000000001,4.74849999999999,5.3366,100,95.9671,402.283225,4.284,-4.12950000000001,3.1956,0,1.607,2.828,328.4575,348.7382,10.8544
1,4.25,0.51305,7.71299999999999,7.008,2.37519999999998,26.2300000000001,12.318275,-8.10140000000004,4.70809999999999,5.1855,100,95.9646,505.935849999999,3.88,-3.75450000000001,3.86989999999999,0,1.6068,2.8676,321.9768,348.4021,10.7348
1,4.75,0.570325,7.5391,6.6262,9.75400000000001,34.5492,14.3626000000001,-7.41100000000005,4.65919999999999,5.0315,100,95.9841,411.38355,4.163,-3.09750000000002,3.433,0,1.607,2.8276,321.5488,347.5491,10.6836
