DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,SH_1_1_1,LE_1_1_1,SLE_1_1_1,G_2_1_1,G_2_3_1,TS_2_1_1,TS_2_2_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,TS_2_3_1,G_3_1_1,TS_3_1_1,TS_3_2_1
1,0.25,0.43267657075,3.08921,5.038481005,1.338875,1.078319075,0.0276,-1.91567,0.13945,7.3693675,0.0895255,-6.273,-8.355,2.4095,2.0755,84.175,97.701809615,398.171442825,2.97685,-29.821924895,0.549370711,0.001,0.287826593,260.167525,326.1567065,5.79386482,1.167,-16.53,4.34,5.2812
1,0.75,0.43226684225,2.95618,5.05905269075,1.3561,1.1914179485,0.0176,-1.6469,0.137235653,7.5162775,0.089975,-6.39425,-8.32,2.34975,2.0975,84.52823862,97.7448771075,398.01583405,2.75435,-28.80613985,1.013,0,0.32086993125,259.015,325.0209,5.79250111175,1.167,-16.47175,3.9724,4.6867
1,1.25,0.42345761975,2.653558223,5.01867163225,1.333175,1.20611,0.0151,-2.34355,0.239462435,6.59536,0.08343647,-6.33250467975,-8.295,2.357375,2.0745,85.45947239,97.74745139,397.95,2.825285,-28.8212923475,0.51904384525,0.001,0.275727304,259.39575,325.142175,5.749659755,1.164,-16.4045,4.2822,5.2027
1,1.75,0.4266494,2.72710629575,5.060275,1.36325,1.1446,0.0209,-1.660365,0.17445408575,7.6963,0.0485855,-6.296482286,-8.5425,2.367,2.14475,85.589325,97.79598538,398.3095,2.67805,-29.27,0.555421741,0.001,0.272919909,259.685525,323.8137,5.628934924,1.156,-16.55625,4.3706,5.355
1,2.25,0.4266917785,2.60084,5.009308682,1.21515,0.977688811,0.014271,-1.8403,0.183728124,6.858543631,0.0475,-6.2755,-8.5875,2.338,2.2,85.825955,97.7202614075,397.986,2.5467,-31.70862495,0.553481887,0,0.34567757525,258.31405,322.274439125,5.5891546145,1.1165,-16.553,4.5513,5.2656
1,2.75,0.426670205,2.47132,5.123557374,1.20215,1.0491246625,0.01572775,-1.8652,0.075375,7.3916,0.05,-6.32825,-8.5875,2.272,2.2375,85.405,97.77519229,398.5925,2.66645,-26.94,0.5387108705,0,0.3759306035,258.4285,322.32025,5.705561241,1.126,-16.48325,4.2005,5.0486
1,3.25,0.424154126,2.13915,4.938174536,1.1482,1.03960453,0.0235,-1.2485,0.1276152525,6.8558425,0.0757,-6.41113489325,-8.52,2.238625,2.219,86.865,97.709556795,398.425,2.583075,-30.57,0.589636379,0,0.409673925,258.532,322.189925,5.46696695975,1.13125,-16.4515,3.6738,4.2485
1,3.75,0.40890819275,1.71216655375,5.0626,1.1091,0.988657487,0.01915,-1.780525,0.26796,6.45575,0.09131525,-6.422,-8.36,2.212,2.177,86.396219915,97.7739329825,398.7345,2.440685,-28.13457238,0.5699282445,0.002,0.2993818,257.57765,321.64011035,5.4734684685,1.13125,-16.26425,3.5699,4.3796
1,4.25,0.433890997,1.54027589025,4.9206,1.1244071285,1.0303671675,0.0206285,-2.001795,0.18857258775,6.747725,0.101115935,-6.525,-8.3325,2.17,2.11675,86.86809962,97.692622435,398.668078,2.30918941,-23.996682445,0.5336023535,0,0.257528275,257.122525,320.5726328,5.352675,1.12475,-16.2415,2.8961,3.5575
1,4.75,0.43294077725,1.57252,5.009223872,1.2375916495,0.9104275,0.01756575,-1.7288225,0.17011781,7.83007,0.07989425,-6.53,-8.3175,2.189,2.1445,87.05226608,97.746,398.69,2.19848,-24.05,0.551080474,0.001,0.4217325,255.3394,318.8733247,5.563879085,1.1185,-16.4715,2.6802,3.3225
1,5.25,0.42874,1.309295,4.837254832,1.2098773065,1.17935,0.0220995,-1.18624,0.25539018,7.461875,0.1580233875,-6.50377343125,-8.2225,2.167,2.1435,87.394,97.71775906,399.925,2.2125026825,-24.7225,0.541080474,0.002,0.34286665925,260.05,321.71545,5.3547121515,1.1155,-16.409,2.7825,3.4122
1,5.75,0.4295525,1.3898075,4.930511932,1.2467,1.01831859,0.0213,0.024945,0.238625247,6.13196,0.0759,-6.500314575,-8.0225,2.046,2.158,86.9057025,97.83175,399.175,2.1674,-23.06934044,0.5914713225,0.001,0.2987092285,255.387625,319.059275,5.288741937,1.109,-16.1665,2.221175,2.659625
1,6.25,0.434042339,1.276245,4.8444103875,1.2968,1.0511175,0.0195,-0.606925,0.25574238525,6.314845,0.112397212,-6.48,-7.9625,2.038,2.1775,87.26725,97.756544175,399.335,2.13182,-25.1195205,0.901371548,0.008,0.31783010525,254.8241,318.01965,5.35795653675,1.099,-15.807,3.255925,3.85465
1,6.75,0.433146905,1.18049924725,5.174209234,1.22024307925,0.988251111,0.01765,0.0008825,0.22326334925,7.0911,0.0487,-6.55,-7.9525,2.00775,2.141,87.5715,97.78791669,399.1322668,2.13056,-23.44,2.4329799235,0.01825,0.336507214,254.38065,317.5742,5.4594331015,1.07975,-16.025,2.7085,3.24495
1,7.25,0.45080679675,1.447078713,5.193775,1.5402,1.1217019495,0.0201,2.37034,0.56558616575,8.476,0.2112425485,-6.621064577,-7.98,1.96475,2.1275,88.35979443,97.7972022675,399.07,2.165775,-21.35,11.65215,1.282916925,0.8616286545,254.70305,317.3487926,5.407447081,1.08375,-16.363,3.070275,3.658425
1,7.75,0.4530193275,1.458545,5.289025645,1.74473874,1.5770125,0.02535,8.9032225,1.3001369905,11.94245,0.19404996875,-6.774014579,-8.0825,1.923,2.127,88.2729212025,97.82151965,399.34475,2.17739938,-11.4025,34.84,15.505,1.504493,254.56,317.6972253,5.46393543625,1.106,-16.159,2.574875,3.094375
1,8.25,0.471156352,1.820465,5.450402328,1.50074460075,1.2577,0.0275545,25.915565,1.6319600765,17.00325,0.3649382905,-6.633139577,-8.0875,1.82575,2.08225,87.64870709,97.7774757225,399.41,2.33172,8.06,155.7,77.05,12.982944415,255.28455,318.6916,5.827543892,1.1195,-16.452,1.673525,2.023225
