DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,0.25,440.3845885,9.130206,2337.1156975,0.972097,3.0405745,-6.785387,-4.029511,3.996688,1.637113,0.144698,-0.017697,0.423207,0.149628,102.04,91.2,7.208,0.896713,16.418581,0.167516,11.08,11.35,11.27,11.39,11.73,10.7,11.07,11.52,11.23,11.78,10.94,11.13,11.44,11.56,11.89,-49.838502,0,0,-2.658487,0.976801,295.4988775,348.90356,-0.363196
1,0.75,439.8935255,9.0770205,2324.739297,0.867249,-0.5533425,-7.526901,-1.882391,3.064181,1.5975055,0.130509,-0.0151855,0.3819295,0.1450505,102.046,91.7,7.108,0.858632,16.1467485,0.17252,11.075,11.345,11.25,11.405,11.75,10.59,11.005,11.515,11.215,11.81,10.86,11.095,11.38,11.6,11.89,-46.6941815,0,0,-2.4284255,0.915751,299.471871,348.338456,-0.363196
1,1.25,441.7493255,9.049716,2380.068503,0.789878,2.2675,-8.111302,-2.587166,4.45325,1.6567585,0.1242425,-0.014372,0.409107,0.1438525,102.0445,92.4,6.779,0.818244,16.0621315,0.17376,11,11.33,11.25,11.405,11.75,10.54,10.945,11.525,11.18,11.81,10.81,11.05,11.29,11.6,11.89,-47.1878065,0,0,-2.494792,0.976801,298.506457,347.139934,-0.363196
1,1.75,442.643597,8.9459095,2406.271361,1.046107,1.7516705,-8.700564,-2.5594305,3.656803,1.676786,0.138777,-0.015526,0.389505,0.156025,102.05,92.8,6.5885,0.7135105,15.766911,0.187903,10.935,11.3,11.26,11.41,11.745,10.45,10.83,11.52,11.135,11.795,10.67,10.96,11.285,11.59,11.885,-42.8037805,0,0,-2.484472,0.915751,301.1611805,346.081389,-0.363196
1,2.25,442.4921655,8.9235895,2408.087271,0.884146,2.177061,-9.1953915,-2.232411,4.07321,1.439866,0.139576,-0.014305,0.408318,0.138162,102.064,93.7,6.54,0.6653295,15.788031,0.1773835,10.855,11.285,11.26,11.42,11.745,10.36,10.82,11.475,11.095,11.79,10.605,10.88,11.265,11.565,11.89,-41.9872085,0,0,-2.402863,0.854701,302.896065,345.31332,-0.363196
1,2.75,438.972323,8.7377545,2471.818957,0.6646455,3.304241,-9.6002575,-1.8115325,4.045017,1.520173,0.133691,-0.011316,0.384796,0.1345825,102.069,93.2,6.232,0.608817,15.681267,0.194009,10.74,11.23,11.25,11.425,11.75,10.285,10.745,11.46,11.04,11.795,10.565,10.785,11.225,11.525,11.885,-40.3244925,0,0,-2.380952,0.854701,305.5009815,344.610435,-0.363196
1,3.25,438.347696,8.7297935,2475.939971,0.865611,2.2623,-10.205512,-2.530725,3.711634,1.568065,0.131491,-0.014175,0.393322,0.154748,102.03,93.5,6.172,0.606978,15.535839,0.191921,10.645,11.19,11.21,11.425,11.76,10.185,10.68,11.4313335,10.985,11.79,10.505,10.67,11.155,11.52,11.895,-38.4986405,0,0,-2.380952,0.854701,306.999549,343.719444,-0.363196
1,3.75,439.02645,8.619733,2444.1397595,0.9050695,3.6297275,-10.528081,-1.549294,3.632473,1.74635,0.145561,-0.020351,0.412487,0.163817,102.0315,94,6.219,0.553351,15.462952,0.173554,10.58,11.155,11.19,11.42,11.755,10.11,10.59,11.4376665,10.96,11.8,10.4,10.63,11.125,11.525,11.9,-35.6529935,0,0,-2.249489,0.915751,306.564056,343.106411,-0.363196
1,4.25,438.371595,8.519676,2440.650129,0.7298285,3.9754525,-10.735452,-1.8316785,2.716674,1.5648375,0.141293,-0.0157395,0.3979275,0.1522885,102.0415,94.4,6.048,0.551478,15.275099,0.1757965,10.48,11.12,11.19,11.41,11.76,9.96,10.53,11.424,10.95,11.78,10.325,10.565,11.12,11.52,11.9,-34.136125,0,0,-2.277433,0.854701,308.866299,343.038366,-0.363196
1,4.75,440.467537,8.263011,2418.6798315,0.847724,4.591108,-10.885944,-2.0716875,5.5804495,1.7301615,0.134352,-0.014045,0.4228955,0.152709,102.0345,94.9,6.01,0.483931,15.1164015,0.182769,10.42,11.05,11.18,11.405,11.75,9.84,10.47,11.385,10.92,11.79,10.23,10.495,11.1033335,11.54,11.91,-32.50328,0,0,-2.277433,0.79924,307.07911,341.956525,-0.363196
1,5.25,440.877477,8.320026,2444.660663,0.953449,2.8737675,-11.004861,-2.138079,5.545333,1.7447605,0.134981,-0.0171665,0.405912,0.1589835,102.021,95.15,5.9075,0.3828185,14.992802,0.19702,10.29,11.015,11.12,11.385,11.75,9.76,10.375,11.37,10.84,11.785,10.12,10.38,11.0766665,11.55,11.925,-30.488665,0,0,-2.277433,0.804829,308.3252215,341.463711,-0.363196
1,5.75,441.160693,8.307264,2462.121388,1.016126,4.9158175,-11.368538,-1.295553,4.8237635,1.596718,0.14803,-0.017359,0.385285,0.154741,102.043,95.65,5.813,0.393258,14.779429,0.180689,10.18,10.985,11.05,11.37,11.76,9.69,10.31,11.32,10.775,11.78,10.055,10.285,11.035,11.545,11.915,-28.8338815,0,0,-2.277433,0.854701,310.6047975,341.231889,-0.363196
