DOY2,HR2,PA,TA,RH,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,TS_1,TS_2,G_1,G_2
1,0.25,100.73175,-1.16762,95.2931,0.2753155,1.401545,305.522155,325.548855,9.96196499999999,0.0229608,-0.028575325,8.22495,0.56073275,0.23040825,-0.250269750000001,-0.0860643000000004
1,0.75,100.7385,-1.409553,95.331425,0.264482,1.11856,305.142405,327.418995,10.35305,0.02963175,-0.0292389,8.5555475,0.55662425,0.2261035,-0.291098750000001,-0.154599500000001
1,1.25,100.77075,-1.46179,95.543075,0.3147315,1.1776075,304.0764725,325.37777,9.37418749999999,0.031577925,-0.033520625,7.08875,0.55620575,0.2300715,-0.3311495,-0.232506275000001
1,1.75,100.793,-1.5472435,95.602375,0.191217375,1.5203425,302.9916425,316.3424875,9.11635249999999,0.027010725,-0.025338275,7.77602,0.558579,0.23568625,-0.38167025,-0.308946850000001
1,2.25,100.7685,-1.355064,95.2453,0.4155675,1.246655,302.972465,313.4786475,9.33167999999999,0.022418725,-0.028574425,9.71669,0.55889475,0.23629075,-0.4416015,-0.382548375000001
1,2.75,100.7585,-0.908950250000002,94.805925,0.26627525,1.2635175,306.4303075,322.551145,10.68264,0.02205535,-0.028954625,9.1240575,0.55110625,0.22592175,-0.4980295,-0.419275720000001
1,3.25,100.76525,-0.698463250000001,94.690925,0.50414775,1.1348375,307.8099725,320.8018,14.45387,0.029053175,-0.028197525,8.1309,0.55110325,0.22493775,-0.55264775,-0.407025472500001
1,3.75,100.77875,-0.516366650000001,94.6982,0.541599,1.43604,308.685565,329.84558,12.8996925,0.025151075,-0.02782105,9.754845,0.54932425,0.2203295,-0.594141500000001,-0.400941750000001
1,4.25,100.8165,-0.29245475,95.17215,0.43401725,1.34564,309.52362,324.3815925,11.6779525,0.025532525,-0.033176775,9.38595,0.54837775,0.2174755,-0.647037000000001,-0.401626325000001
1,4.75,100.86525,-0.30413075,95.822925,0.3538425,1.04985,309.87866,318.5637625,11.222965,0.02552425,-0.03196835,8.914105,0.5408305,0.2077895,-0.702895250000001,-0.408762825000001
1,5.25,100.924,-0.451375500000001,96.1324,0.20486625,1.9838075,309.5295925,330.4424575,11.5610175,0.02537375,-0.02997505,8.831795,0.5295655,0.19778875,-0.759432750000001,-0.421431125000001
1,5.75,100.9595,-0.703972000000002,96.1727,0.36148475,1.4341275,308.9236925,330.4698275,10.6218725,0.022181375,-0.032304425,9.14696,0.53494575,0.2072265,-0.810216250000001,-0.439577600000001
1,6.25,100.934,-1.04218555,96.435725,0.5347625,1.202515,307.7818525,324.026865,12.4386575,0.01996555,-0.030711525,8.97535,0.5387705,0.217111,-0.860497750000002,-0.460572500000001
1,6.75,100.8985,-1.332070975,97.123075,0.568647,1.1604825,306.53796,323.8985925,13.00419,0.02377765,-0.02808815,9.39896,0.53737725,0.2140075,-0.906454500000002,-0.484340190000001
1,7.25,100.86525,-2.5109675,97.264225,0.45621525,1.2935,302.5176925,319.793585,13.498,0.026926425,-0.0246029,8.77239,0.5356555,0.20870375,-0.955562750000002,-0.510452310000002
1,7.75,100.8685,-2.824625,97.2894,0.4358025,1.48811,300.57513,315.6859725,9.927685,1.0013725,0.80828375,8.7464475,0.52820375,0.198474,-0.930384250000002,-0.491314675000002
1,8.25,100.913,-2.93998,96.836475,12.4968,11.993025,299.9750275,324.943,10.4201575,22.471425,20.68275,8.57792,0.516987,0.19365475,-0.912346500000002,-0.468787500000001
1,8.75,100.9185,-3.18942,96.4517,75.609075,60.182525,299.6621725,318.200115,12.5865825,101.1589,97.0279,8.46878,0.51954525,0.198062,-0.901060250000002,-0.449575325000001
1,9.25,100.9075,-3.31732,96.4604,137.70675,110.85875,299.2793,331.6056675,16.475655,230.46975,214.176,8.2005,0.5226755,0.23514425,-0.905886750000002,-0.436677425000002
1,9.75,100.91775,-2.9986775,96.2292,208.5075,169.91675,299.3208675,336.7968325,21.974315,399.6305,355.04575,8.14354,0.53453175,0.2902235,-0.912744750000002,-0.428556975000002
1,10.25,100.94,-2.5510275,95.7407,259.947,206.79575,299.21351,359.035835,31.6953975,539.098,482.13575,8.865515,0.5320225,0.31156225,-0.927110000000002,-0.425684200000002
1,10.75,100.94875,-1.845105,95.104875,315.96825,249.53975,300.56789,369.6151075,33.7108425,638.8755,592.10925,9.632125,0.5431085,0.31166925,-0.945393250000003,-0.427791750000002
1,11.25,100.90975,-1.006211,94.334075,356.19925,279.57975,304.0114825,375.7840975,43.138665,762.205,686.124,9.7548325,0.55561075,0.31625875,-0.965603575000003,-0.434253750000002
1,11.75,100.88325,-0.831177000000003,94.188975,395.17325,293.31175,310.14343,378.830555,61.3658275,807.80225,734.459,9.01107999999999,0.54663175,0.28128225,-0.980963875000003,-0.441434000000002
1,12.25,100.86875,-0.692303500000003,93.9164,412.21775,311.0695,310.966805,374.5082125,67.430575,854.028,783.00725,8.86527999999999,0.5630835,0.27350175,-0.994242650000003,-0.447610750000002
1,12.75,100.86,0.305277,93.769325,424.09925,319.302,311.9055725,393.35816,54.3176125,898.1935,793.38475,8.3599575,0.5631645,0.26005375,-1.009568825,-0.459596750000002
1,13.25,100.89875,0.776160999999999,93.603975,395.25275,311.594,312.49524,393.9867625,50.7023975,857.54925,776.75825,9.48712,0.55048825,0.25914925,-1.009580875,-0.467387500000002
1,13.75,100.93075,0.989754249999999,93.55385,385.199,310.19425,313.559455,387.4118625,47.2533875,838.50675,756.89775,9.73384,0.5557565,0.26919825,-1.002813775,-0.462248250000002
1,14.25,100.9505,1.38072,93.284475,338.135,272.04475,313.690625,391.2943275,35.34008,730.62,646.87575,9.5801325,0.56208775,0.27391525,-0.986399400000003,-0.452644000000002
1,14.75,100.956,1.9652755,93.393125,303.01275,244.4355,315.09011,382.439875,25.60677,644.6175,571.7645,8.751895,0.56552075,0.260936,-0.966994250000003,-0.437829500000002
1,15.25,100.947,1.814774,93.624425,256.8655,211.393,315.6474225,382.939575,25.819115,551.52325,483.5515,9.35875,0.560965,0.2605855,-0.951897250000003,-0.424972000000002
1,15.75,100.977,1.61442875,93.759675,181.325,152.6455,315.3223725,371.097205,14.8207625,376.2405,329.985,7.908765,0.5488645,0.22280375,-0.864022000000003,-0.397825750000002
1,16.25,100.96375,1.472958,94.286525,117.43225,104.80125,314.715755,357.76358,11.2331,227.806,202.7675,7.7121675,0.54646625,0.2073,-0.759062250000003,-0.305182000000002
1,16.75,100.9805,1.29649575,94.794225,47.91515,45.463025,314.4873075,351.731095,8.6650225,93.031175,82.73375,8.96014,0.5357855,0.1836595,-0.659781500000003,-0.225782000000002
1,17.25,101.0195,0.578887749999999,95.4408,8.842735,9.0147025,312.413345,349.57702,9.01054,21.215225,17.94015,7.465605,0.53206875,0.1835115,-0.569436250000003,-0.141631500000001
1,17.75,100.98525,0.0972090499999995,95.458325,0.3238565,1.1586425,310.7623775,348.28675,6.989625,1.01468525,0.75591475,7.3615,0.53825,0.199502,-0.409060500000002,-0.0404732500000013
1,18.25,100.92775,-0.0888040000000011,94.819775,0.1933065,1.1812525,309.10026,349.3797875,7.545365,0.0354559,-0.026234225,7.24977,0.543374,0.2121165,-0.181342000000001,0.0286269999999989
1,18.75,100.86775,-0.187393500000001,94.3677,0.218929,1.33914,307.8837925,341.23972,10.02946,0.02498065,-0.02738815,7.9121375,0.547757,0.22094925,-0.0139102500000011,0.079334499999999
1,19.25,100.78775,-0.128592000000001,94.09905,0.27334775,1.2353975,307.6958925,342.9858225,7.9861475,0.02330695,-0.03037095,7.64675,0.55172725,0.22802475,0.0669437499999991,0.140904749999999
1,19.75,100.76325,-0.0822267500000011,94.1111,0.45436075,1.1582725,308.0658725,339.70169,7.8784,0.0240067,-0.02843645,8.13466,0.5542515,0.23245275,0.065070499999999,0.176180999999999
1,20.25,100.74775,-0.0409560000000022,94.3569,0.358088,1.61129,307.76918,355.82675,6.43137499999999,0.0299044,-0.0312581,7.84578,0.552491,0.23115975,0.061574499999999,0.201197774999999
1,20.75,100.743,-0.00994300000000198,94.83195,0.374551,1.1651,307.30149,353.32116,5.30543499999999,0.03209335,-0.032812075,7.357995,0.5447125,0.217361,0.069122499999999,0.224182999999999
1,21.25,100.746,-0.0501315000000009,94.9196,0.204690725,1.1932125,306.8706025,350.8593,4.1237275,0.029062925,-0.02893245,7.980435,0.5352235,0.20598775,0.0535664999999989,0.206488174999999
1,21.75,100.76275,-0.130369500000001,94.850075,0.1907685,1.1335675,306.7503975,339.706105,5.84221,0.028642625,-0.027290575,8.134,0.5388365,0.21037175,0.0191172499999989,0.18541955
1,22.25,100.764,-0.267066250000001,94.70935,0.331711,1.1098,306.518095,335.0141875,5.03732,0.026109825,-0.02819605,8.3335075,0.54568975,0.21781,-0.0484662500000012,0.148992325
1,22.75,100.7365,-0.58982,94.78835,0.33416475,1.306965,306.1226925,328.22317,7.071865,0.02993655,-0.027368825,8.39398499999999,0.542119,0.21639175,-0.114524500000001,0.104425625
1,23.25,100.71875,-0.695531500000001,94.484325,0.3897815,1.2076425,305.6690075,329.720935,8.1409725,0.02504235,-0.026592625,8.242615,0.5397845,0.21615225,-0.169670500000001,0.0489496474999999
1,23.75,100.724,-0.849341500000001,95.01165,0.41609475,1.251455,305.5108875,326.6542075,13.33438,0.021117925,-0.0263272,8.519095,0.538193,0.21679675,-0.217923025000001,-0.0184527500000002
2,0.25,100.24,0.1566125,91.448625,0.662381499999999,1.2451425,311.985415,353.186275,4.5182,0.03641825,-0.0286545,6.9616475,-2.52013,-2.9120525,-3.76805,-2.338875
2,0.75,100.241,0.4852255,91.590675,0.635212749999999,1.5235825,312.317345,350.6604225,5.703845,0.176490425,-0.02886975,6.9139875,-2.5340625,-2.93785,-3.741125,-2.330275
2,1.25,100.23325,0.500971749999999,91.5266,0.76582325,1.28469,311.3978,349.2359675,5.3219525,0.0239586,-0.031707,7.09268,-2.54095,-2.9737475,-3.715475,-2.330225
