DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH
1,0.25,-0.211961,-10.1035,2.89395,1.662265,1.52189,0.414692,-0.575454,413.853,2.28794,0.837332,0.553363,0.472232,0.0795,-1.129841,0.6364862,291.3715,310.2059,-2.016,85.7
1,0.75,-0.224765,-10.7376,4.0957,1.29294,1.43344,0.42006,-0.472676,412.69,2.46067,0.77408,0.626358,0.494363,0.0757,-0.9225333,0.694527,289.4537,309.6564,-2,84
1,1.25,-0.216945,-9.80779,5.96146,1.17451,1.56083,0.414318,-0.452357,412.746,2.36781,0.788278,0.616273,0.466887,0.102444,-0.9435372,0.6701767,288.4253,309.4022,-1.985,84.1
1,1.75,-0.236203,-8.25943,2.2977,1.16678,1.612395,0.4301125,-0.5800695,412.038,2.35588,0.8063765,0.553997,0.4761225,0.0962,-1.069289,0.5712833,288.1299,309.4199,-2.158,86.3
1,2.25,-0.255491,-9.486715,3.800165,0.9121935,1.42032,0.451177,-0.7323525,412.826,2.202715,0.8157705,0.6366215,0.456262,0.0988,-0.9376447,0.589586,287.0672,308.5457,-1.982,86.6
1,2.75,-0.268498,-12.41165,4.179685,1.18702,1.59032,0.465188,-1.0223205,414.073,2.15143,0.854784,0.609712,0.515251,0.08935,-0.9702395,0.5761326,288.1217,307.5689,-1.98,87.4
1,3.25,-0.30331,-6.250105,3.329335,0.877614,1.71501,0.490016,-1.84396,412.674,2.237775,0.912462,0.7150475,0.549233,0.0931,-0.9396999,0.5453887,287.4718,306.938,-2.053,87.4
1,3.75,-0.30679,-6.77505,2.81659,1.48262,1.62024,0.4914,-0.590901,414.3165,2.20818,0.9336255,0.677453,0.5423865,0.0994035,-1.076635,0.61818,281.5277,305.9582,-2.242,86.9
1,4.25,-0.3185895,-7.701255,4.44265,0.9775565,1.590165,0.5050205,-0.622735,412.204,2.29018,0.978818,0.646022,0.534367,0.109186,-0.946962,0.6776699,279.8188,305.7854,-2.455,86.5
1,4.75,-0.282787,-8.621505,5.5146,1.32437,1.564735,0.4776445,-0.627647,411.353,2.46345,0.854974,0.6401275,0.5178865,0.103329,-0.9083228,0.6579643,282.0678,306.3369,-2.378,86.8
1,5.25,-0.204669,-8.811715,3.836015,1.092995,1.53954,0.4068745,-0.620502,411.118,2.238445,0.8311415,0.6339335,0.4753825,0.0936,-0.8120436,0.6390886,286.224,305.9854,-2.303,87.2
1,5.75,-0.27038,-8.71824,8.15226,1.55778,1.62206,0.4650285,-0.4876905,412.123,2.49503,0.826468,0.6783355,0.506577,0.108103,-0.78093,0.5893356,284.5373,305.7417,-2.349,87.4
