DOY2,HR2,USTAR,TA_1_3_1,WS,NEE,FC,SC,H,LE,G_1_1_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,H2O
1,0.25,0.017,2.06225,0.2336,-0.2766,-6.00825,-3.218875,-82.78215,-11.575,-45.2675,52.3705,101.3,370.4032,0.4,-75.465,-5.9956,0,4.455
1,0.75,0.02,2.5511,0.1896,0.272,-16.79055,-5.849125,-76.574,-11.64995,-44.673,54.419,101.245,371.8375,0.4,-73.545,-6.000375,0,3.77775
1,1.25,0.0172,2.80125,0.2268,-0.163,-15.04965,-3.6222,-90.984125,-28.126,-44.399,56.6955,101.3,371.819875,0.4,-74.055,-5.9555,0,4.5579
1,1.75,0.01,2.76905,0.281025,0.518025,-18.56375,-1.86015,-120.5325,-17.4736,-42.5515,59.597,101.245,373.2633,0.3625,-73.19,-5.982,0,3.43875
1,2.25,0.01275,2.1449,0.202,1.0891,-41.395525,-1.65355,-83.996275,-22.4652,-40.8225,59.158,101.2,372.11625,0.3575,-73.165,-5.80635,0,3.3035
1,2.75,0.0115,2.6541,0.26555,-1.16435,-16.52,-4.3034,-87.371125,-59.873975,-40.30525,57.836,101.2,373.16655,0.3575,-71.35,-6.3078,0,4.917
1,3.25,0.017,2.2057,0.207,0.78875,-21.25025,-3.824,-80.489525,-88.7201,-41.14025,60.291,101.2,370.781625,0.3575,-69.518,-16.026,0,3.6708
1,3.75,0.01,2.03245,0.2755,0.8603,-22.658475,-4.1475,-95.0456,-80.560875,-41.75,57.0665,101.2,367.7318,0.3575,-68.667,-6.65615,0,4.6375
1,4.25,0.0095,1.72425,0.2255,0.586,-10.132675,-4.1964,-70.031825,-11.63,-42.00525,57.5535,101.145,371.676,0.3575,-68.259,-7.5149,0,4.716825
1,4.75,0.01,1.6523,0.194,0.573,-14.713675,-1.104,-87.83715,-48.601475,-41.75875,57.669,101.145,372.9932,0.3575,-69.615,-14.403,0,4.23505
1,5.25,0.01,1.48925,0.1907,0.585,-30.9921,-2.59605,-85.670075,-41.036075,-41.63025,59.3445,101.145,373.2804,0.3575,-69.706,-8.31515,0,4.18915
1,5.75,0.014,1.46305,0.296,-0.171499999999999,-23.76735,-1.9332,-100.9294,-98.5562,-41.527,58.2885,101.2,373.6336,0.35175,-70.6,-16.310375,0,3.275
1,6.25,0.01,0.71365,0.21365,0.836875,-16.963,-2.95,-95.7117,-44.7883,-40.96225,59.507,101.145,374.058,0.38575,-71.055,-6.597525,0,3.756
1,6.75,0.0144,0.1604,0.268,0.15735,-18.31125,-4.108875,-91.448525,-48.70645,-40.22475,62.96,101.19,374.5636,0.3525,-69.32,-15.628,0,3.352375
1,7.25,0.005675,0.9431,0.212,-3.8099,-18.3889,-5.105,-91.5488,-66.4165,-39.07675,65.0325,101.19,373.43315,0.3,-63.7755,-11.284,0.5052,2.769875
1,7.75,0.0167,1.5411,0.266025,-1.4896,-21.66595,-4.03805,-77.254375,-66.04915,-37.38325,62.075,101.245,374.041825,0.361,-29.961,12.499,6.8152,3.34935
1,8.25,0.0352,2.73365,0.121725,-4.071,-45.563,-4.154025,-109.0618,-47.634525,-30.37575,58.665,101.3,373.223125,0.43,8.90075,37.47025,15.978,4.02545
1,8.75,0.050225,5.692725,0.22805,-7.13255,-48.4132,-8.65595,-40.247875,-7.82119999999999,-23.882,56.225,101.3,373.2346,0.52975,14.29125,65.22925,18.734,4.76
1,9.25,0.106625,6.4428,0.61675,-10.71855,-52.6433,-15.48325,-39.81825,-132.5345,-19.64875,52.42325,101.3,371.809875,0.7565,25.5475,87.12,27.2395,3.8305
1,9.75,0.1055,7.118,0.542,-11.16675,-10.32275,-23.210975,-1.92374999999999,-85.438,-17.528375,49.222,101.3,370.036775,0.924,33.3975,109.5804,50.89125,4.26275
1,10.25,0.132,8.408,0.7708,-10.7567,-10.211125,-4.0971,2.79980000000001,22.45375,-14.5425,45.219,101.3,369.95,1.292,51.28425,163.5,72.9275,5.214
1,10.75,0.137125,9.31325,0.9007,-11.4435,-11.3962,-0.69265,13.1466,12.258,-13.762,41.4915,101.3,369.075,1.49875,48.3195,164.4175,100.34,5.025375
1,11.25,0.1835,9.68525,0.8645,-12.2736,-11.537075,-0.663875,21.304575,23.198,-12.3175,32.4605,101.3,368.95175,1.6375,57.06,182.9,84.1,5.128
1,11.75,0.16085,9.8545,0.8884,-11.647125,-12.547775,-0.3353,35.6078,15.001,-11.33825,31.7835,101.2475,369.22825,2.17,47.84725,165.28,107.735,4.98325
1,12.25,0.17,9.9982,0.9614,-12.25145,-12.7026,-0.276,27.85855,25.76025,-10.416,29.67025,101.2,368.866,2.4,61.076,200.805,94.3625,4.9036
