DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_2,NEE,FC,SC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,16.75,0.29,27.285,1.77,3.21,-1.305,4.33,0.58,63.36,3.94,25.12,25.11,67.8705,98.35,379.69,11.855,67.585,239.395,114.75,7.73,18.36,422.21,467.835,24.57
1,17.25,0.245,27.155,1.66,7.37,-0.175,7.28,-2.405,27.645,2.68,25.14,25.14,70.6885,98.37,380.215,10.495,19.92,102.005,48.89,4.095,8.17,420.82,464.71,24.63
1,17.75,0.15,26.89,1.545,10.25,0.21,9.25,-2.32,8.03,1.83,25.17,25.15,71.4505,98.39,381.76,9.91,-9.285,21.95,10.52,1.16,2.09,416.94,461.31,24.46
1,18.25,0.11,26.505,1.76,9.08,0.45,8.65,-2.46,3.54,0.96,25.19,25.17,72.5785,98.41,383.26,9.46,-20.54,-3.05,-1.455,0.35,0.01,413.675,456.87,24.5
1,18.75,0.12,26.36,1.96,10.18,0.71,9.235,-3.66,4.8,0.05,25.21,25.19,71.802,98.43,386.42,9.48,-18.99,-3.55,-1.7,0.355,-0.02,415.89,454.19,24.62
1,19.25,0.1,26.19,2.155,9.76,0.76,7.76,-4.11,3.04,-0.8,25.22,25.22,72.082,98.48,387.95,9.28,-18.74,-3.49,-1.675,0.34,-0.09,412.81,453.38,24.55
1,19.75,0.12,25.92,2.24,9.04,0.8,7.005,-4.615,3.79,-1.51,25.24,25.23,72.121,98.525,389.51,9.37,-18.05,-3.435,-1.65,0.335,-0.105,411.47,451.82,24.65
1,20.25,0.14,25.855,2.18,8.46,1.52,5.785,-5.58,3.41,-2.09,25.26,25.25,74.326,98.57,391.665,8.04,-17.66,-3.1,-1.49,0.325,-0.08,410.57,450.22,24.815
1,20.75,0.13,25.725,2.21,6.52,1.71,4.58,-5.81,3.75,-2.44,25.28,25.27,74.553,98.58,393.64,7.82,-18.34,-3.24,-1.55,0.34,-0.095,410.53,449.45,24.79
1,21.25,0.14,25.35,2.23,7.39,1.71,4.625,-5.82,1.78,-2.77,25.28,25.28,76.026,98.61,395.9,7.825,-17.92,-3.11,-1.495,0.345,-0.12,409.6,448.175,24.905
1,21.75,0.13,25.345,2.36,7.37,1.745,3.56,-5.595,1.64,-3.12,25.29,25.29,75.34,98.63,396.465,7.88,-17,-2.99,-1.43,0.36,-0.11,408.33,447.06,24.56
1,22.25,0.13,25.165,2.215,7.96,1.69,3.45,-5.87,1.71,-3.29,25.29,25.3,77.7325,98.65,397.995,7.025,-15.46,-2.91,-1.39,0.39,-0.135,409.74,446.235,24.56
1,22.75,0.13,24.97,2.355,7.82,1.98,4.58,-5.62,1.87,-3.49,25.28,25.3,79.057,98.63,398.31,6.42,-15.26,-2.775,-1.33,0.39,-0.14,409.86,445.49,24.34
1,23.25,0.13,24.895,2.3,8.455,2.23,4.755,-5.73,2.18,-3.76,25.28,25.3,78.855,98.625,401.04,6.25,-14.77,-2.595,-1.245,0.39,-0.12,410.15,444.405,24.38
1,23.75,0.14,24.635,2.305,6.28,2.055,2.76,-5.86,2.855,-3.82,25.28,25.3,78.893,98.62,401.31,7.16,-14.42,-2.51,-1.2,0.435,-0.06,412.02,443.86,25.59
2,0.25,0.205,23.55,2.21,6.755,5.52,0.895,-8.52,2.305,-4.27,24.86,24.95,92.541,98.59,402.54,2.11,-11.07,-1.8,-0.865,0.49,0.01,420.295,437.855,26
2,0.75,0.21,23.4,2.32,9.35,6.34,2.28,-7.405,3.12,-4.41,24.85,24.95,81.7275,98.58,406.34,5.455,-9.94,-1.685,-0.81,0.53,0,418.985,437.33,24.865
2,1.25,0.2,23.21,2.185,8.56,6.345,1.33,-8.125,3.06,-4.57,24.85,24.94,82.024,98.56,407.95,5.105,-10.23,-1.55,-0.745,0.58,-0.005,421.005,436.44,24.88
2,1.75,0.18,23.17,2.24,7.26,6.88,0.42,-6.86,3.525,-4.63,24.84,24.93,82.466,98.52,408.59,5.01,-9.72,-1.55,-0.74,0.66,0.01,421.015,435.8,24.7
2,2.25,0.19,23.05,2.25,8.255,5.59,1.67,-7.18,2.285,-4.79,24.83,24.93,82.569,98.5,409.765,4.97,-9.42,-1.45,-0.69,0.735,-0.01,420.6,434.74,24.405
2,2.75,0.195,23,2.22,9.54,6.8,1.26,-7.96,3.085,-4.83,24.82,24.92,83.183,98.49,409.39,4.93,-8.06,-1.325,-0.635,0.81,0,420.77,434.23,24.315
2,3.25,0.2,22.87,2.21,9.635,6.405,2.3,-8.67,2.97,-4.81,24.81,24.9,82.964,98.49,411.36,4.77,-8.635,-1.32,-0.63,0.86,-0.01,422.36,434.08,24.31
2,3.75,0.21,22.765,2.25,7.79,7.1,1.38,-7.04,3.335,-5.03,24.8,24.89,84.258,98.5,413.675,4.47,-7.795,-1.35,-0.65,0.955,0.01,422.43,434.15,24.34
2,4.25,0.215,22.715,2.34,7.69,8.01,0.54,-7.695,2.94,-5.06,24.79,24.89,83.6405,98.51,414.095,4.5,-6.99,-1.25,-0.595,0.96,0.01,424.27,433.86,24.275
2,4.75,0.22,22.65,2.28,8.475,7.52,1.795,-9.105,3.64,-5.16,24.78,24.87,84.091,98.53,414.53,4.55,-6.295,-1.11,-0.53,1,0.01,426.13,433.705,24.27
2,5.25,0.2,22.525,2.195,9.615,7.015,1.905,-8.26,2.87,-5.22,24.76,24.86,84.5185,98.54,416.64,4.47,-6.06,-1.17,-0.56,1.06,0.015,425.46,433.53,24.31
2,5.75,0.19,22.5,2.09,8.31,6.84,0.89,-8.19,3.78,-5.15,24.75,24.85,84.562,98.58,416.36,4.36,-3.97,3.865,1.855,1.41,0.315,425.69,433.54,24.32
2,6.25,0.225,22.495,2.18,5.82,7.1,-1.79,-7.69,5.44,-5.15,24.74,24.84,84.801,98.61,418.3,4.26,10.49,51.825,24.84,2.73,3.325,425.14,433.67,24.41
2,6.75,0.29,22.58,2.12,2.28,7.885,-5.46,-4.375,18.14,-5,24.72,24.83,85.639,98.66,419.45,4.13,40.27,154.37,73.99,4.95,9.23,427.21,435.12,24.53
2,7.25,0.34,22.775,2.21,-3.66,6.62,-9.7,3.07,51.085,-4.56,24.71,24.81,83.514,98.71,417.25,4.61,78.99,257.34,123.345,7.29,15.3555,428.31,437.74,24.68
2,7.75,0.41,23.13,2.16,-8.14,3.89,-11.14,17.335,111.09,-3.965,24.69,24.8,82.6905,98.75,412.68,5.005,120.14,402.115,192.74,11.005,25.175,430.55,440.33,24.875
2,8.25,0.465,23.655,2.47,-12.965,-3.17,-11.83,32.35,136.605,-3.155,24.675,24.78,81.198,98.79,406.69,5.69,187.63,555.91,266.455,14.2,32.025,431.73,443.94,24.895
2,8.75,0.5,24.135,2.41,-17.06,-7.865,-9.14,51.705,161.56,-2,24.66,24.76,78.2485,98.82,401.25,6.755,217.56,654.22,313.58,16.325,36.22,435.29,448.35,24.88
2,9.25,0.52,24.695,2.49,-17.14,-9.3,-7.285,57.04,205.37,-0.93,24.65,24.75,76.882,98.83,397.25,7.435,231.83,731.425,350.585,18.67,39.83,437.1,451.38,24.8
2,9.75,0.52,24.985,2.53,-19.95,-11.965,-7.2,66.67,246.12,0.225,24.63,24.735,74.1995,98.83,393.275,8.61,289.32,890.3,426.73,21.41,48.93,440.28,454.47,25
2,10.25,0.54,25.485,2.49,-20.36,-14.57,-5.415,85.44,281.16,1.73,24.63,24.73,71.0725,98.82,388.095,9.9,342.09,1031.17,494.255,21.68,53.36,442.79,457.62,25.03
2,10.75,0.53,25.79,2.35,-20.44,-16.03,-4.39,74.14,289.95,2.71,24.62,24.72,67.015,98.795,384.02,11.62,355.48,1071.865,513.765,23.74,55.67,443.73,460.315,24.31
2,11.25,0.54,26.14,2.355,-19.035,-15.54,-3.235,73.59,263.66,3.55,24.61,24.72,65.813,98.77,381.2,12.48,338.78,1038.95,497.99,24.25,57.115,444.52,460.885,24.27
2,11.75,0.51,26.24,2.455,-18.4,-15.98,-2.49,88.39,303.71,4.15,24.61,24.71,77.446,98.72,379.04,7.54,356.44,1112.875,533.42,25.58,60.85,446.385,462.145,26.19
2,12.25,0.51,26.515,2.265,-17.58,-15.78,-1.7,82.285,314.585,5.03,24.61,24.71,78.62,98.68,377.31,7.195,392.2,1138.17,545.545,27.63,66.235,446.125,463,26.45
2,12.75,0.51,26.83,2.255,-15,-14.13,-1.07,85.17,324.915,5.07,24.64,24.72,67.8685,98.625,376.6,11.675,396.69,837.18,401.28,27.9,65.371,444.945,466.43,25.02
2,13.25,0.47,26.79,2.07,-13.33,-13.11,-0.61,86.92,328.98,5.58,24.63,24.73,67.83,98.55,376.11,11.5,398.28,973.06,466.4,27.43,69.91,441.77,468.54,24.8
