DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,9.25,207.4835,21.2064,19.50115,58.7689,-0.585006,0.175117,383.5685,7.152705,5.166025,88.254,4.479595,67.60105,0.794064,323.625,472.409,1.10804,1.937,5.153,7.085,8.98,10.065
1,9.75,276.366,55.0631,23.28985,102.172,-0.8768745,0.196015,383.1885,7.110765,7.72635,88.2795,7.9062,56.9308,0.872985,412.762,704.08,1.46328,1.9625,5.13175,7.07,9.065,10.165
1,10.25,330.73,73.5617,29.06895,138.8925,-0.770517,0.2084015,381.793,6.93964,9.890415,88.3378,11.00095,46.7611,0.850317,486.066,849.685,2.09494,2.31875,5.0805,7.135,9.165,10.265
1,10.75,372.2985,85.77785,35.1066,164.791,-0.251006,0.235113,381.45,6.6469,11.7332,88.33195,13.1481,40.1328,0.931754,549.148,1031.895,3.13675,2.89,5.11425,7.16,9.215,10.325
1,11.25,402.8265,80.53885,33.6472,187.5125,-0.3806395,0.239962,380.822,6.29787,13.0756,88.3039,14.38135,34.93535,1.037535,592.816,1101.96,4.686285,3.8535,5.09825,7.07,9.145,10.305
1,11.75,423.8825,93.43655,36.644,220.9795,-0.389719,0.266114,380.417,5.85187,14.0719,88.263,15.51655,31.6673,1.189535,630.526,1201.425,6.05998,4.833,5.03175,6.9605,9.11,10.3
1,12.25,428.2635,101.413,34.2898,227.969,-0.337224,0.3003085,379.8385,5.680345,14.89405,88.224,16.48615,29.0142,1.25288,636.733,1230.87,7.114715,5.79825,4.9225,6.811,9.025,10.195
1,12.75,421.157,101.0734,38.2211,236.563,-0.224572,0.3073885,379.687,5.61012,15.5007,88.1826,16.9629,27.08095,1.36055,645.481,1263.255,8.318705,6.97375,4.90175,6.6665,8.84,10.04
1,13.25,399.08,96.75835,32.53215,236.034,-0.1797605,0.3516765,379.1,5.42335,15.96435,88.1387,17.5401,26.21705,1.438215,619.443,1227.245,9.44773,8.225,5.15275,6.6685,8.855,10.08
1,13.75,372.2855,92.65215,31.8332,233.783,-0.130717,0.3527435,378.8645,5.260535,16.2535,88.09725,17.8453,25.2039,1.775875,596.889,1159.225,10.23,9.155,5.3805,6.631,8.74,10.01
1,14.25,337.8935,84.7778,28.24045,208.6265,0.00867642,0.3376495,378.719,5.21183,16.39535,88.0662,18.0018,25.1385,1.659555,558.549,970.479,10.8573,9.9525,5.6625,6.6045,8.7,9.995
1,14.75,269.8595,61.34415,23.9662,168.8375,0.106573,0.328525,378.647,5.061425,16.3462,88.05865,18.29745,24.07775,1.712625,475.839,857.422,11.4702,10.555,5.97725,6.5935,8.675,9.955
1,15.25,218.8435,28.9499,20.66585,146.835,0.200113,0.3676415,378.454,5.162655,16.56315,88.05345,18.27455,24.0068,1.934915,408.531,783.3955,11.8244,11.095,6.341,6.624,8.63,9.945
1,15.75,154.0005,9.765815,18.7891,105.989,0.294679,0.3806855,378.112,5.09567,16.74955,88.0602,18.24085,23.6227,2.037585,322.2,616.1315,12.0458,11.21,6.64925,6.707,8.645,9.94
1,16.25,96.17505,-4.865445,13.7887,61.4338,0.3751445,0.338798,378.167,5.29229,16.5481,88.05955,17.99915,23.61195,2.10013,236.793,426.063,11.8525,11.1825,6.98075,6.761,8.54,9.905
1,16.75,34.25445,-13.21825,9.017255,22.0464,0.434908,0.3294385,378.281,5.28776,16.22065,88.0561,17.2496,23.54545,2.106935,142.744,246.2365,11.2635,10.98,7.25,6.8035,8.58,9.86
1,17.25,-25.5974,-22.8026,3.64819,-8.69848,0.317747,0.28858,377.6795,5.34314,15.6286,88.0663,15.7149,24.7785,1.96139,47.0153,74.6561,10.4918,10.385,7.22125,6.774,8.355,9.7
1,17.75,-61.791,-32.5666,0.458349,-17.9792,0.23642,0.193246,377.0945,5.66291,14.4368,88.0707,13.5265,29.0857,1.69988,6.39616,9.1419,9.8025,9.825,7.3695,6.932,8.255,9.6
1,18.25,-63.5116,-39.1648,0.0719236,-18.98585,0.239917,0.173793,376.9395,5.908945,12.9416,88.0778,11.1852,34.3602,1.41247,0.0437597,0,9.042435,9.165,7.5575,7.145,8.215,9.575
1,18.75,-59.4232,-40.0315,-0.0649562,-14.5742,0.172979,0.14567,377.449,6.36191,11.6167,88.0813,9.33484,44.085,1.17265,0,0,8.381285,8.5975,7.67,7.34,8.205,9.58
1,19.25,-56.633,-41.1839,0.2974665,-14.73695,0.135979,0.140357,377.574,6.84747,9.966015,88.10415,7.83653,49.42765,1.12647,0,0,7.79,8.05775,7.755,7.565,8.21,9.64
1,19.75,-53.8958,-41.43375,-0.217657,-9.36127,0.128499,0.1254985,377.6575,6.884515,8.87834,88.11755,6.1691,51.8934,0.8639765,0,0,7.32075,7.6725,7.79,7.74,8.255,9.62
1,20.25,-51.76055,-41.1864,-0.149357,-10.644685,0.0707583,0.127021,378.02,6.705375,7.881645,88.12935,5.01429,56.41535,0.8860975,0,0,6.801645,7.232,7.75975,7.855,8.265,9.63
1,20.75,-50.4076,-40.8184,-0.281739,-10.64755,0.0456686,0.1322645,378.237,6.77978,7.198035,88.1461,4.342075,59.41715,0.8651135,0,0,6.28933,6.886,7.685,7.925,8.265,9.63
1,21.25,-48.52445,-41.6596,-0.323616,-6.4794,0.0664667,0.112363,378.369,6.8712,6.35835,88.16025,3.519295,62.0269,0.7340705,0,0,5.99966,6.4795,7.60625,8,8.295,9.61
1,21.75,-47.3451,-41.5845,-0.535691,-6.386355,0.0314994,0.114579,378.433,6.979905,5.91855,88.1726,2.37551,65.6501,0.769116,0,0,5.500915,6.11275,7.53025,8.025,8.31,9.63
1,22.25,-46.26325,-40.80865,-0.327533,-7.06314,0.03355695,0.111963,378.145,6.96939,5.08752,88.1895,1.62732,68.71795,0.808994,0,0,5.027065,5.67625,7.44575,8.1,8.325,9.65
1,22.75,-43.25705,-39.87085,-0.2213755,-5.307485,0.111081,0.104754,378.325,7.028915,4.51553,88.2075,1.462735,71.4261,0.708182,0,0,4.71415,5.38675,7.3345,8.095,8.325,9.62
1,23.25,-42.24395,-39.8152,-0.608776,-5.95406,0.105704,0.106865,378.711,7.05413,4.110715,88.2057,0.8766275,73.83035,0.768941,0,0,4.34207,5.086,7.2045,8.055,8.365,9.605
1,23.75,-41.5905,-40.36345,-0.260336,-3.04098,-0.0185377,0.10823,378.603,6.97589,3.42078,88.1952,0.4348865,74.7589,0.666828,0,0,4.02674,4.8195,7.089,7.99,8.39,9.62
2,0.25,-44.41545,-39.6279,-0.4811685,-6.09751,-0.007695835,0.0969644,379.277,6.03372,4.380605,88.0017,1.31518,66.15165,0.6812675,0,0,5.97561,6.785,9.28,9.72,9.44,9.995
2,0.75,-45.72325,-40.77785,-0.192061,-5.2705,0.0236199,0.10963,379.1835,6.158795,4.1277,87.99815,0.9291175,68.56375,0.665679,0,0,5.693905,6.40575,9.1025,9.695,9.465,9.975
2,1.25,-44.2842,-41.5405,-0.315386,-6.26016,-0.00256615,0.105774,378.88,6.24557,3.444945,87.9926,0.2661275,71.2002,0.772988,0,0,5.370495,6.14425,8.95,9.635,9.475,9.995
2,1.75,-44.3593,-40.95535,-0.714786,-5.76521,0.0628326,0.106286,379.684,6.17606,3.266195,87.99815,-0.0897112,72.8648,0.680354,0,0,5.07682,5.84925,8.81,9.6,9.56,10.015
2,2.25,-43.8798,-40.49805,-0.408224,-5.569725,0.0784583,0.09981945,380.079,6.17614,2.81483,87.99215,-0.5306665,74.32415,0.6837025,0,0,4.790415,5.60225,8.645,9.55,9.575,10.025
2,2.75,-43.3306,-40.59135,-0.383784,-5.563495,0.001826863,0.09569345,379.7845,6.239575,2.13685,87.97765,-1.09313,73.33125,0.6966265,0,0,4.49074,5.34775,8.4425,9.45,9.57,9.975
2,3.25,-41.57285,-39.9868,-0.3356525,-4.01732,0.021009,0.09987465,379.5815,6.162325,1.71699,87.96695,-1.43937,75.8881,0.632983,0,0,4.21436,5.06275,8.315,9.395,9.61,9.98
2,3.75,-40.59795,-40.53035,-0.439472,-4.09882,0.0343809,0.10655,379.314,6.0805,1.36211,87.9622,-2.05241,76.662,0.664879,0,0,3.89238,4.848,8.1775,9.335,9.585,9.985
2,4.25,-38.38785,-39.81525,-0.0585193,-3.133675,0.0562014,0.1048575,378.591,5.97402,0.944853,87.96705,-2.38434,79.1649,0.6837625,0,0,3.62384,4.5515,8.065,9.235,9.635,9.995
2,4.75,-38.45125,-39.21095,-0.10471315,-4.34131,0.1340105,0.0998253,379.321,5.94377,0.4772805,87.9647,-2.841325,79.90495,0.751257,0,0,3.43443,4.3235,7.9075,9.18,9.635,10.06
2,5.25,-37.55545,-39.11335,-0.3464375,-3.74278,0.0431397,0.09400445,379.334,5.926535,-0.1246687,87.9757,-2.867725,81.21045,0.710006,0,0,3.205465,4.06525,7.76925,9.065,9.655,10.035
2,5.75,-38.10605,-39.06795,-0.0263181,-3.120615,0.05128595,0.0976316,379.832,5.76446,0.01321135,87.993,-2.99452,81.46105,0.6951425,0,0,3.08543,3.916,7.62325,8.965,9.66,10.03
2,6.25,-38.101,-39.16325,-0.217634,-5.92083,0.07180955,0.1096265,380.543,5.710905,-0.05644425,88.0114,-3.443555,82.13955,0.6933445,0,0,2.909085,3.74275,7.4615,8.905,9.67,10.055
2,6.75,-34.6821,-39.0167,-0.320606,-3.814535,-0.0475117,0.0954009,380.247,5.69685,-0.180587,88.02865,-3.47861,82.33005,0.769301,0.173327,0,2.713415,3.5705,7.3275,8.82,9.655,10.075
2,7.25,-23.1033,-37.45625,-0.346341,-3.70921,-0.0445222,0.0857485,381.0715,5.69434,-0.4329165,88.05235,-3.695585,82.4433,0.657164,10.6091,30.7385,2.48469,3.374,7.18025,8.685,9.685,10.05
2,7.75,20.69885,-27.86055,0.450307,0.756498,-0.0767461,0.0943918,382.3,5.8477,0.668442,88.06225,-1.314185,80.67225,0.6059315,72.9721,174.327,2.38632,3.2245,7.08125,8.595,9.685,10.065
2,8.25,94.55605,-14.22295,4.914235,17.7696,-0.428075,0.1426575,383.6795,6.308545,2.678945,88.09305,1.78728,72.69615,0.706045,173.266,346.8645,2.52699,3.23125,7.18,8.745,9.835,10.195
2,8.75,180.611,4.62472,11.1587,55.962,-0.732063,0.186792,383.567,6.65962,5.26411,88.0979,4.77625,59.6158,0.968322,269.8295,488.144,2.85718,3.55625,7.1805,8.845,9.99,10.465
2,9.25,260.3775,33.0725,18.5237,99.66225,-0.857992,0.1790255,383.171,6.70392,7.593795,88.1067,7.98602,48.9668,0.867913,372.5175,645.496,3.378295,3.76725,7.28,8.835,10.075,10.535
2,9.75,329.253,66.3191,21.6226,140.3825,-0.664621,0.21817,383.141,6.38132,10.231,88.1111,10.7451,41.2342,1.01502,468.857,845.451,4.15146,4.30625,7.2765,8.875,10.225,10.65
2,10.25,391.848,83.7844,28.2838,189.3575,-0.79592,0.255483,382.181,6.19752,11.5224,88.0962,12.6748,35.8537,1.02208,555.9115,1106.46,5.072145,4.9435,7.2295,8.855,10.25,10.765
2,10.75,439.955,93.07745,32.1876,219.88,-0.67893,0.283498,381.6415,5.991535,12.8142,88.09815,14.32635,32.04205,1.22449,629.2115,1246.75,6.51852,5.7315,7.136,8.82,10.255,10.785
2,11.25,472.6975,99.4262,32.2378,240.968,-0.610657,0.3322845,381.3175,5.451385,14.0047,88.0999,15.28395,29.40395,1.47067,669.9785,1339.96,7.7748,6.68625,6.9725,8.635,10.1,10.705
2,11.75,488.5025,107.089,30.7124,263.743,-0.578493,0.369868,380.7645,5.3188,15.04715,88.07685,16.3255,25.4497,2.01135,713.7115,1327.31,9.16967,7.53125,6.99175,8.455,10.09,10.59
2,12.25,505.358,104.81,30.0865,284.846,-0.5048205,0.423538,380.4035,5.228705,15.6752,88.0266,17.0886,24.6761,2.16501,728.692,1414.15,10.3594,8.53875,7.12325,8.365,9.975,10.54
2,12.75,502.757,113.786,29.08565,294.895,-0.632395,0.445319,380.388,5.1693,15.9771,87.9807,17.8404,23.2418,2.35833,740.1915,1436.1,11.48755,9.6255,7.155,8.175,9.865,10.45
2,13.25,485.53,116.098,28.272,292.8,-0.3069755,0.431182,380.0385,4.84195,16.2178,87.9327,18.0471,23.1664,2.21567,714.9245,1422.02,12.75215,11.1625,7.425,8.135,9.81,10.435
2,13.75,461.392,110.957,27.8284,281.033,-0.318352,0.420905,379.8395,4.76387,16.7199,87.8914,18.1932,21.0571,2.33689,684.8315,1328.97,13.5716,12.3475,7.73,8.115,9.725,10.41
2,14.25,413.314,88.50525,21.7202,260.098,-0.235674,0.462437,379.605,4.71642,16.9383,87.8687,18.40235,20.37975,2.415905,616.0485,1225.865,14.09805,13.1175,7.9625,8.045,9.7,10.375
2,14.75,363.319,66.7502,21.19435,241.5455,-0.0966477,0.482222,379.433,4.18039,17.1767,87.84795,18.3592,19.70055,2.64958,581.219,1100.54,14.55385,13.665,8.3525,8.13,9.675,10.39
2,15.25,301.236,35.7533,19.93875,211.0795,-0.0923928,0.470186,379.534,4.28227,17.2113,87.84085,18.66235,18.666,2.634885,493.061,970.1425,14.71305,14.065,8.7025,8.26,9.585,10.39
2,15.75,229.4565,5.910635,16.185,170.237,0.0811757,0.463421,379.321,4.49459,17.26885,87.83885,18.39195,19.2662,2.73354,406.9595,809.224,14.92355,14.265,9.1075,8.41,9.645,10.34
2,16.25,158.6355,-9.68686,12.70595,121.036,0.118375,0.4746155,379.456,4.54333,17.11075,87.8442,18.15735,19.80145,2.726855,316.549,613.444,14.8213,14.44,9.4575,8.545,9.59,10.315
2,16.75,85.90115,-18.1786,8.19979,62.1116,0.279144,0.4604675,379.4565,4.34381,16.7629,87.8492,17.5772,20.3585,2.770895,222.1765,420.295,14.7309,14.1775,9.675,8.68,9.495,10.35
2,17.25,22.67245,-24.7275,5.18099,19.3932,0.3594685,0.4575335,379.368,4.351915,16.33065,87.8516,16.89835,21.76715,2.733435,119.331,222.1105,14.06055,13.715,9.755,8.68,9.475,10.235
2,17.75,-30.5469,-31.4258,1.780595,-10.9457,0.340501,0.354613,378.922,4.54381,15.7972,87.8553,15.4487,23.8449,2.42127,40.97375,68.4958,13.15125,12.9225,9.7975,8.81,9.235,10.03
2,18.25,-64.8073,-38.9136,0.5867935,-22.0855,0.279086,0.266026,378.437,4.91956,14.5658,87.8638,13.7937,26.6769,1.94411,3.152285,5.67748,12.40605,12.445,9.91,8.955,9.21,9.995
2,18.75,-66.819,-42.7042,0.29456,-23.2931,0.24873,0.190952,377.956,5.09851,13.5585,87.885,11.6977,30.9161,1.56908,0.0013358475,0,11.7639,11.8625,10.0825,9.075,9.225,10.015
2,19.25,-61.8419,-43.1422,-0.275597,-19.1259,0.1716345,0.150917,377.603,5.30278,12.2631,87.9169,9.73003,34.4647,1.25474,0,0,11.1427,11.365,10.1675,9.255,9.25,10.04
2,19.75,-58.9875,-44.41485,-0.0954583,-13.285,0.0978649,0.136362,377.571,5.39406,11.59275,87.93435,8.602605,38.8683,1.20025,0,0,10.41915,10.77,10.195,9.345,9.27,10.055
2,20.25,-58.2386,-41.88275,-0.567052,-17.5639,0.0539278,0.130527,377.626,5.40103,10.46005,87.9461,7.847535,43.32875,0.98949,0,0,9.80708,10.245,10.195,9.535,9.305,10.06
2,20.75,-55.4319,-42.8581,-0.465909,-13.3302,0.0234319,0.143766,377.791,5.70967,9.570675,87.96705,6.74273,46.31305,0.9515945,0,0,9.31278,9.735,10.1875,9.625,9.32,10.055
