DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,336.3345,1.53595,-16.009575,-17.93875,-77.2485,-16.4025,0.875975,0.06065,0.2142535,0.2373835,0.05493035,98.3695,31.075,-7.405,0,-7.248365,0.0709633,0.794575,2.328,-4.870885,-3.178825,-0.129825,170.54225,274.68125
1,0.75,336.19,1.563,-9.4781,-18.28625,-79.610125,-45.1794,0.84195,0.0483,0.17703,0.246635,0.0582095,98.3772,32.45355,-7.22195,0,-7.55595,0.0590495,0.778675,2.26175,-4.69837,-3.2093,-0.170275,167.15825,274.331
1,1.25,336.173,1.4145,-3.1832,-18.52625,-83.823375,-13.96435,0.97575,0.0575,0.243495,0.21894,0.070554,98.3862,33.4581,-7.397,0,-7.66215,0.0488595,0.770925,2.2385,-5.02759,-3.28165,-0.1035,165.81675,273.7885
1,1.75,336.54675,1.534025,-17.01675,-18.72875,-74.39005,-21.03775,0.9245,0.04625,0.196415,0.2368,0.062928,98.4034,33.7886,-7.5715,0,-7.77045,0.052129,0.793825,2.21975,-5.16319,-3.39025,-0.03975,166.55575,273.44225
1,2.25,337.2045,1.3495,-13.90185,-18.92625,-75.365775,-18.9374,0.785,0.0568,0.203984,0.2218,0.0638965,98.4054,33.97,-7.746,0,-7.8951225,0.0381595,0.834825,2.191625,-5.30196,-3.0986,-0.4563,166.7375,273.48075
1,2.75,337.664,1.664375,-22.38475,-19.1525,-78.2536,-41.96725,0.6684,0.0614,0.2057035,0.18369,0.05442385,98.3968,34.5628,-7.769,0,-7.969965,0.04787315,0.868325,2.1635,-4.844075,-3.1981,-0.3929,165.308,272.68825
1,3.25,338.649,1.57185,-31.59315,-19.32875,-80.9426,-39.02165,0.704375,0.046875,0.216196,0.2121735,0.05927115,98.402,34.8782,-8.1225,0,-8.33935,0.05775995,0.88225,2.139,-4.85072,-3.23425,-0.140475,163.68725,272.16375
1,3.75,338.522,1.514,-28.891175,-19.33625,-77.521375,-16.72,0.7232,0.0556,0.1911425,0.213469,0.0504995,98.392,35.58,-8.1535,0,-8.468105,0.05856755,0.87625,2.10725,-5.14133,-3.30425,-0.125425,164.07675,271.17925
1,4.25,338.82,1.57875,-5.941425,-19.2675,-90.2725,-70.4475,0.82505,0.039,0.180236,0.21112,0.0627262,98.3828,35.8699,-8.279,0,-8.6041275,0.0762936,0.867325,2.0895,-5.056995,-3.2095,-0.0473,164.04775,270.19325
1,4.75,339.1525,1.49425,-4.9614,-19.24875,-86.2363,-27.9625,0.7117,0.05555,0.18273675,0.2231485,0.04598575,98.3732,35.62,-8.3455,0,-8.6862225,0.05310735,0.86225,2.072625,-4.439585,-3.2365,-0.31155,164.4415,269.58375
1,5.25,339.5315,1.509,-8.275025,-19.4225,-73.0028,-22.0883,0.767,0.053,0.194837,0.1928785,0.0540779,98.3912,36.427,-8.4075,0,-8.7456325,0.066753875,0.858425,2.070375,-4.618025,-3.119125,-0.305025,164.1115,269.1135
1,5.75,339.215,1.62145,-8.096675,-19.54875,-67.615,-42.69,0.774375,0.05465,0.191276,0.2146845,0.0589089,98.4114,36.6704,-8.6695,0,-8.813405,0.069478,0.84335,2.07225,-4.61882,-3.15085,-0.06745,163.52225,270.43725
1,6.25,337.9175,1.6235,-15.14755,-19.57,-66.28505,-29.669225,0.7918,0.0362,0.20136875,0.210529,0.052726575,98.4024,36.854875,-9.005,0,-8.9953025,0.063987975,0.8216,2.0745,-4.50171,-3.29475,-0.341775,163.212,271.8055
1,6.75,339.9525,1.6426,-8.536125,-19.59625,-76.1557,-31.9482,0.526975,0.047625,0.204615,0.21354,0.061116,98.4688,36.153925,-8.8005,0,-9.02774,0.0717955,0.796575,2.082625,-4.478455,-3.07235,-0.644675,163.15575,272.35775
1,7.25,339.65,1.5119,-24.135,-19.4675,-78.20365,-47.195,0.748975,0.03665,0.162515,0.2324885,0.05825065,98.3756,35.20115,-9.056,0,-9.16696,0.05009745,0.773175,2.0935,-1.07616,-0.842975,-0.13325,163.2345,272.5595
1,7.75,337.874,1.344,-26.53145,-18.88875,-68.2146,-30.010525,0.56315,0.039475,0.17541925,0.18823875,0.0433421,98.5132,35.735,-9.08,0,-9.1023,0.049699325,0.750325,2.1195,3.3389,3.62155,0.4367,163.035,272.47875
1,8.25,338.81475,1.162,-19.9867,-17.9,-60.347275,-48.287,0.6923,0.0418,0.1947005,0.198245,0.07562015,98.57,35.96,-8.56275,0,-8.755715,0.05208855,0.74125,2.1645,12.991,8.856,1.20155,161.9725,275.257
